"Title","Phonics attainment for children aged 5 to 6 by ethnicity and area"
"Location","England"
"Time period","2016/17"
"Data source","Phonics screening check and key stage 1 assessments: England 2017"
"Data source link","https://www.gov.uk/government/statistics/phonics-screening-check-and-key-stage-1-assessments-england-2017"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated","28/09/17"

"Standard Ethnicity","Local authority","%"
"Black","Peterborough","84"
"Black","Plymouth","90"
"Black","Poole","!"
"Black","Portsmouth","86"
"Black","Reading","83"
"Black","Redbridge","81"
"Black","Redcar and Cleveland","!"
"Black","Richmond upon Thames","84"
"Black","Rochdale","76"
"Black","Rotherham","74"
"Black","Rutland","100"
"Black","Salford","89"
"Black","Sandwell","81"
"Black","Sefton","!"
"Black","Sheffield","78"
"Black","Shropshire","!"
"Black","Slough","81"
"Black","Solihull","76"
"Black","Somerset","77"
"Black","South Gloucestershire","90"
"Black","South Tyneside","!"
"Black","Southampton","85"
"Black","Southend-on-Sea","86"
"Black","Southwark","84"
"Black","St. Helens","!"
"Black","Staffordshire","83"
"Black","Stockport","82"
"Black","Stockton-on-Tees","84"
"Black","Stoke-on-Trent","84"
"Black","Suffolk","86"
"Black","Sunderland","!"
"Black","Surrey","82"
"Black","Sutton","89"
"Black","Swindon","89"
"Black","Tameside","78"
"Black","Telford and Wrekin","79"
"Black","Thurrock","92"
"Black","Torbay","!"
"Black","Tower Hamlets","84"
"Black","Trafford","72"
"Black","Wakefield","76"
"Black","Walsall","86"
"Black","Waltham Forest","80"
"Black","Wandsworth","84"
"Black","Warrington","!"
"Black","Warwickshire","83"
"Black","West Berkshire","85"
"Black","West Sussex","80"
"Black","Westminster","86"
"Black","Wigan","73"
"Black","Wiltshire","80"
"Black","Windsor and Maidenhead","81"
"Black","Wirral","100"
"Black","Wokingham","85"
"Black","Wolverhampton","85"
"Black","Worcestershire","81"
"Black","York","!"
"Chinese","Barking and Dagenham","!"
"Chinese","Barnet","94"
"Chinese","Barnsley","!"
"Chinese","Bath and North East Somerset","50"
"Chinese","Bedford","100"
"Chinese","Bexley","!"
"Chinese","Birmingham","85"
"Chinese","Blackburn with Darwen","!"
"Chinese","Blackpool","100"
"Chinese","Bolton","!"
"Chinese","Bournemouth","!"
"Chinese","Bracknell Forest","!"
"Chinese","Bradford","!"
"Chinese","Brent","!"
"Chinese","Brighton and Hove","81"
"Chinese","Bristol, City of","!"
"Chinese","Bromley","95"
"Chinese","Buckinghamshire","100"
"Chinese","Bury","71"
"Chinese","Calderdale","100"
"Chinese","Cambridgeshire","91"
"Chinese","Camden","87"
"Chinese","Central Bedfordshire","!"
"Chinese","Cheshire East","100"
"Chinese","Cheshire West and Chester","!"
"Chinese","City of London","!"
"Chinese","Cornwall","!"
"Chinese","County Durham","80"
"Chinese","Coventry","!"
"Chinese","Croydon","!"
"Chinese","Cumbria","73"
"Chinese","Darlington","!"
"Chinese","Derby","80"
"Chinese","Derbyshire","84"
"Chinese","Devon","83"
"Chinese","Doncaster","!"
"Chinese","Dorset","100"
"Chinese","Dudley","!"
"Chinese","Ealing","!"
"Chinese","East Riding of Yorkshire","!"
"Chinese","East Sussex","!"
"Chinese","Enfield","!"
"Chinese","Essex","82"
"Chinese","Gateshead","!"
"Chinese","Gloucestershire","100"
"Chinese","Greenwich","93"
"Chinese","Hackney","85"
"Chinese","Halton","N/A"
"Chinese","Hammersmith and Fulham","100"
"Chinese","Hampshire","93"
"Chinese","Haringey","91"
"Chinese","Harrow","!"
"Chinese","Hartlepool","100"
"Chinese","Havering","!"
"Chinese","Herefordshire, County of","!"
"Chinese","Hertfordshire","93"
"Chinese","Hillingdon","!"
"Chinese","Hounslow","!"
"Chinese","Isle of Wight","!"
"Chinese","Isles of Scilly","!"
"Chinese","Islington","100"
"Chinese","Kensington and Chelsea","!"
"Chinese","Kent","84"
"Chinese","Kingston upon Hull, City of","100"
"Chinese","Kingston upon Thames","91"
"Chinese","Kirklees","75"
"Chinese","Knowsley","100"
"Chinese","Lambeth","83"
"Chinese","Lancashire","86"
"Chinese","Leeds","81"
"Chinese","Leicester","83"
"Chinese","Leicestershire","83"
"Chinese","Lewisham","82"
"Chinese","Lincolnshire","76"
"Chinese","Liverpool","81"
"Chinese","Luton","60"
"Chinese","Manchester","95"
"Chinese","Medway","100"
"Chinese","Merton","85"
"Chinese","Middlesbrough","!"
"Chinese","Milton Keynes","!"
"Chinese","Newcastle upon Tyne","85"
"Chinese","Newham","87"
"Chinese","Norfolk","89"
"Chinese","North East Lincolnshire","100"
"Chinese","North Lincolnshire","!"
"Chinese","North Somerset","100"
"Chinese","North Tyneside","100"
"Chinese","North Yorkshire","50"
"Chinese","Northamptonshire","91"
"Chinese","Northumberland","100"
"Chinese","Nottingham","!"
"Chinese","Nottinghamshire","88"
"Chinese","Oldham","67"
"Chinese","Oxfordshire","!"
"Chinese","Peterborough","75"
"Chinese","Plymouth","!"
"Chinese","Poole","!"
"Chinese","Portsmouth","!"
"Chinese","Reading","79"
"Chinese","Redbridge","!"
