"Standard Ethnicity","Local authority","Boys","Girls"
"Asian","Windsor and Maidenhead","83","84"
"Asian","Wirral","74","92"
"Asian","Wokingham","84","92"
"Asian","Wolverhampton","82","90"
"Asian","Worcestershire","74","82"
"Asian","York","89","!"
"Black","Barking and Dagenham","82","89"
"Black","Barnet","81","85"
"Black","Barnsley","64","!"
"Black","Bath and North East Somerset","!","!"
"Black","Bedford","84","86"
"Black","Bexley","86","93"
"Black","Birmingham","79","84"
"Black","Blackburn with Darwen","79","84"
"Black","Blackpool","!","!"
"Black","Bolton","64","81"
"Black","Bournemouth","!","!"
"Black","Bracknell Forest","82","!"
"Black","Bradford","69","86"
"Black","Brent","78","86"
"Black","Brighton and Hove","71","90"
"Black","Bristol, City of","71","78"
"Black","Bromley","79","88"
"Black","Buckinghamshire","83","91"
"Black","Bury","73","77"
"Black","Calderdale","!","!"
"Black","Cambridgeshire","65","83"
"Black","Camden","74","85"
"Black","Central Bedfordshire","77","88"
"Black","Cheshire East","!","100"
"Black","Cheshire West and Chester","!","!"
"Black","City of London","!","!"
"Black","Cornwall","N/A","!"
"Black","County Durham","64","100"
"Black","Coventry","81","86"
"Black","Croydon","81","86"
"Black","Cumbria","!","!"
"Black","Darlington","!","100"
"Black","Derby","77","85"
"Black","Derbyshire","!","!"
"Black","Devon","50","100"
"Black","Doncaster","63","!"
"Black","Dorset","!","!"
"Black","Dudley","!","!"
"Black","Ealing","78","82"
"Black","East Riding of Yorkshire","!","!"
"Black","East Sussex","84","!"
"Black","Enfield","75","86"
"Black","Essex","77","90"
"Black","Gateshead","!","!"
"Black","Gloucestershire","70","87"
"Black","Greenwich","85","91"
"Black","Hackney","80","92"
"Black","Halton","N/A","!"
"Black","Hammersmith and Fulham","82","84"
"Black","Hampshire","76","88"
"Black","Haringey","79","87"
"Black","Harrow","75","88"
"Black","Hartlepool","!","!"
"Black","Havering","81","89"
"Black","Herefordshire, County of","N/A","!"
"Black","Hertfordshire","82","86"
"Black","Hillingdon","80","90"
"Black","Hounslow","74","85"
"Black","Isle of Wight","!","N/A"
"Black","Isles of Scilly","!","!"
"Black","Islington","69","86"
"Black","Kensington and Chelsea","72","86"
"Black","Kent","87","92"
"Black","Kingston upon Hull, City of","85","65"
"Black","Kingston upon Thames","65","68"
"Black","Kirklees","79","76"
"Black","Knowsley","!","!"
"Black","Lambeth","77","87"
"Black","Lancashire","76","85"
"Black","Leeds","75","76"
"Black","Leicester","79","85"
"Black","Leicestershire","88","91"
"Black","Lewisham","75","84"
"Black","Lincolnshire","!","100"
"Black","Liverpool","75","86"
"Black","Luton","78","88"
"Black","Manchester","79","87"
"Black","Medway","92","93"
"Black","Merton","84","83"
"Black","Middlesbrough","!","!"
"Black","Milton Keynes","80","86"
"Black","Newcastle upon Tyne","72","90"
"Black","Newham","83","92"
"Black","Norfolk","74","80"
"Black","North East Lincolnshire","!","!"
"Black","North Lincolnshire","!","!"
"Black","North Somerset","!","57"
"Black","North Tyneside","63","100"
"Black","North Yorkshire","67","80"
"Black","Northamptonshire","77","82"
"Black","Northumberland","!","!"
"Black","Nottingham","77","90"
"Black","Nottinghamshire","83","87"
"Black","Oldham","79","!"
"Black","Oxfordshire","78","84"
"Black","Peterborough","84","85"
"Black","Plymouth","83","100"
"Black","Poole","!","!"
"Black","Portsmouth","91","82"
"Black","Reading","80","87"
"Black","Redbridge","79","83"
"Black","Redcar and Cleveland","!","!"
"Black","Richmond upon Thames","85","83"
"Black","Rochdale","78","75"
"Black","Rotherham","72","75"
"Black","Rutland","!","!"
"Black","Salford","86","92"
"Black","Sandwell","79","84"
"Black","Sefton","100","!"
"Black","Sheffield","73","84"
"Black","Shropshire","!","!"
"Black","Slough","74","!"
"Black","Solihull","68","83"
"Black","Somerset","57","100"
"Black","South Gloucestershire","!","!"
"Black","South Tyneside","!","!"
"Black","Southampton","79","93"
"Black","Southend-on-Sea","77","!"
"Black","Southwark","80","87"
"Black","St. Helens","!","!"
"Black","Staffordshire","82","85"
"Black","Stockport","67","!"
"Black","Stockton-on-Tees","77","100"
"Black","Stoke-on-Trent","82","86"
"Black","Suffolk","83","88"
"Black","Sunderland","!","100"
"Black","Surrey","77","87"
"Black","Sutton","85","93"
"Black","Swindon","82","!"
"Black","Tameside","85","72"
"Black","Telford and Wrekin","!","!"
"Black","Thurrock","91","93"
"Black","Torbay","N/A","!"
"Black","Tower Hamlets","79","89"
"Black","Trafford","69","75"
"Black","Wakefield","81","73"
"Black","Walsall","82","91"
"Black","Waltham Forest","76","86"
"Black","Wandsworth","81","87"
"Black","Warrington","!","100"
"Black","Warwickshire","78","86"
"Black","West Berkshire","!","!"
"Black","West Sussex","79","81"
"Black","Westminster","87","86"
"Black","Wigan","69","77"
"Black","Wiltshire","74","86"
"Black","Windsor and Maidenhead","!","!"
"Black","Wirral","100","100"
"Black","Wokingham","73","!"
"Black","Wolverhampton","85","84"
"Black","Worcestershire","75","!"
"Black","York","!","!"
"Chinese","Barking and Dagenham","100","!"
"Chinese","Barnet","!","!"
"Chinese","Barnsley","!","!"
"Chinese","Bath and North East Somerset","!","!"
"Chinese","Bedford","100","100"
"Chinese","Bexley","!","100"
"Chinese","Birmingham","81","88"
"Chinese","Blackburn with Darwen","100","!"
"Chinese","Blackpool","!","!"
"Chinese","Bolton","!","!"
"Chinese","Bournemouth","!","!"
"Chinese","Bracknell Forest","!","100"
"Chinese","Bradford","100","!"
"Chinese","Brent","!","100"
"Chinese","Brighton and Hove","!","82"
"Chinese","Bristol, City of","!","100"
"Chinese","Bromley","!","!"
"Chinese","Buckinghamshire","100","100"
"Chinese","Bury","60","!"
"Chinese","Calderdale","100","100"
"Chinese","Cambridgeshire","90","!"
"Chinese","Camden","!","!"
"Chinese","Central Bedfordshire","100","!"
"Chinese","Cheshire East","100","100"
"Chinese","Cheshire West and Chester","!","!"
"Chinese","City of London","!","!"
"Chinese","Cornwall","!","!"
"Chinese","County Durham","73","100"
"Chinese","Coventry","!","!"
"Chinese","Croydon","!","100"
"Chinese","Cumbria","!","!"
"Chinese","Darlington","!","!"
"Chinese","Derby","!","!"
"Chinese","Derbyshire","!","73"
"Chinese","Devon","!","!"
"Chinese","Doncaster","!","100"
"Chinese","Dorset","100","100"
"Chinese","Dudley","!","!"
"Chinese","Ealing","100","!"
"Chinese","East Riding of Yorkshire","!","!"
"Chinese","East Sussex","!","100"
"Chinese","Enfield","100","!"
"Chinese","Essex","74","!"
"Chinese","Gateshead","!","!"
"Chinese","Gloucestershire","100","100"
"Chinese","Greenwich","!","!"
"Chinese","Hackney","!","82"
"Chinese","Halton","N/A","N/A"
"Chinese","Hammersmith and Fulham","100","100"
"Chinese","Hampshire","100","87"
"Chinese","Haringey","84","100"
"Chinese","Harrow","!","100"
"Chinese","Hartlepool","!","!"
"Chinese","Havering","!","100"
"Chinese","Herefordshire, County of","100","!"
"Chinese","Hertfordshire","90","!"
"Chinese","Hillingdon","100","!"
"Chinese","Hounslow","100","!"
"Chinese","Isle of Wight","!","N/A"
"Chinese","Isles of Scilly","!","!"
"Chinese","Islington","!","!"
"Chinese","Kensington and Chelsea","!","N/A"
"Chinese","Kent","77","!"
"Chinese","Kingston upon Hull, City of","!","!"
"Chinese","Kingston upon Thames","77","100"
"Chinese","Kirklees","!","57"
"Chinese","Knowsley","!","!"
"Chinese","Lambeth","79","!"
"Chinese","Lancashire","!","!"
"Chinese","Leeds","83","78"
"Chinese","Leicester","!","!"
"Chinese","Leicestershire","71","!"
"Chinese","Lewisham","76","89"
"Chinese","Lincolnshire","50","!"
"Chinese","Liverpool","77","86"
"Chinese","Luton","!","!"
"Chinese","Manchester","92","!"
"Chinese","Medway","100","100"
"Chinese","Merton","!","!"
"Chinese","Middlesbrough","!","!"
"Chinese","Milton Keynes","100","!"
"Chinese","Newcastle upon Tyne","86","83"
"Chinese","Newham","!","!"
"Chinese","Norfolk","82","!"
"Chinese","North East Lincolnshire","!","!"
"Chinese","North Lincolnshire","!","!"
"Chinese","North Somerset","!","!"
"Chinese","North Tyneside","100","100"
"Chinese","North Yorkshire","!","!"
"Chinese","Northamptonshire","84","100"
"Chinese","Northumberland","!","!"
"Chinese","Nottingham","!","100"
"Chinese","Nottinghamshire","87","!"
"Chinese","Oldham","!","!"
"Chinese","Oxfordshire","100","!"
"Chinese","Peterborough","!","!"
"Chinese","Plymouth","!","!"
"Chinese","Poole","!","!"
"Chinese","Portsmouth","!","100"
"Chinese","Reading","!","70"
"Chinese","Redbridge","!","100"
"Chinese","Redcar and Cleveland","!","!"
"Chinese","Richmond upon Thames","!","!"
"Chinese","Rochdale","100","100"
"Chinese","Rotherham","!","!"
"Chinese","Rutland","N/A","!"
"Chinese","Salford","!","100"
"Chinese","Sandwell","!","100"
"Chinese","Sefton","!","!"
"Chinese","Sheffield","83","76"
"Chinese","Shropshire","!","!"
"Chinese","Slough","!","!"
"Chinese","Solihull","100","100"
"Chinese","Somerset","!","!"
"Chinese","South Gloucestershire","100","100"
"Chinese","South Tyneside","!","!"
"Chinese","Southampton","!","100"
"Chinese","Southend-on-Sea","100","100"
"Chinese","Southwark","88","!"
"Chinese","St. Helens","!","!"
"Chinese","Staffordshire","81","100"
"Chinese","Stockport","!","100"
"Chinese","Stockton-on-Tees","!","100"
"Chinese","Stoke-on-Trent","!","!"
"Chinese","Suffolk","100","100"
"Chinese","Sunderland","!","!"
"Chinese","Surrey","!","88"
"Chinese","Sutton","!","100"
"Chinese","Swindon","100","!"
"Chinese","Tameside","!","!"
"Chinese","Telford and Wrekin","!","!"
"Chinese","Thurrock","100","100"
"Chinese","Torbay","N/A","!"
"Chinese","Tower Hamlets","!","!"
"Chinese","Trafford","87","90"
"Chinese","Wakefield","!","!"
"Chinese","Walsall","100","!"
"Chinese","Waltham Forest","!","!"
"Chinese","Wandsworth","100","100"
"Chinese","Warrington","!","100"
"Chinese","Warwickshire","100","100"
"Chinese","West Berkshire","!","!"
"Chinese","West Sussex","!","100"
"Chinese","Westminster","!","!"
"Chinese","Wigan","!","100"
"Chinese","Wiltshire","!","!"
"Chinese","Windsor and Maidenhead","!","!"
"Chinese","Wirral","!","100"
"Chinese","Wokingham","100","100"
"Chinese","Wolverhampton","!","!"
"Chinese","Worcestershire","67","!"
"Chinese","York","!","!"
"Mixed","Barking and Dagenham","80","88"
"Mixed","Barnet","87","89"
"Mixed","Barnsley","92","78"
"Mixed","Bath and North East Somerset","76","72"
"Mixed","Bedford","72","86"
"Mixed","Bexley","85","90"
"Mixed","Birmingham","75","85"
"Mixed","Blackburn with Darwen","84","!"
"Mixed","Blackpool","81","84"
"Mixed","Bolton","90","86"
"Mixed","Bournemouth","82","90"
"Mixed","Bracknell Forest","92","91"
"Mixed","Bradford","78","80"
"Mixed","Brent","80","85"
"Mixed","Brighton and Hove","80","83"
"Mixed","Bristol, City of","80","82"
"Mixed","Bromley","85","92"
"Mixed","Buckinghamshire","81","87"
"Mixed","Bury","80","83"
"Mixed","Calderdale","82","84"
"Mixed","Cambridgeshire","81","86"
"Mixed","Camden","78","88"
"Mixed","Central Bedfordshire","78","89"
"Mixed","Cheshire East","84","83"
"Mixed","Cheshire West and Chester","75","93"
"Mixed","City of London","!","!"
"Mixed","Cornwall","75","87"
"Mixed","County Durham","82","86"
"Mixed","Coventry","77","85"
"Mixed","Croydon","78","87"
"Mixed","Cumbria","75","85"
"Mixed","Darlington","!","!"
"Mixed","Derby","81","86"
"Mixed","Derbyshire","76","86"
"Mixed","Devon","84","84"
"Mixed","Doncaster","74","94"
"Mixed","Dorset","75","86"
"Mixed","Dudley","72","87"
"Mixed","Ealing","77","88"
"Mixed","East Riding of Yorkshire","84","89"
"Mixed","East Sussex","77","84"
"Mixed","Enfield","83","86"
"Mixed","Essex","83","84"
"Mixed","Gateshead","92","!"
"Mixed","Gloucestershire","81","82"
"Mixed","Greenwich","77","89"
"Mixed","Hackney","84","89"
"Mixed","Halton","82","80"
"Mixed","Hammersmith and Fulham","88","90"
"Mixed","Hampshire","80","88"
"Mixed","Haringey","85","94"
"Mixed","Harrow","86","92"
"Mixed","Hartlepool","60","!"
"Mixed","Havering","80","91"
"Mixed","Herefordshire, County of","86","79"
"Mixed","Hertfordshire","78","86"
"Mixed","Hillingdon","83","89"
"Mixed","Hounslow","86","95"
"Mixed","Isle of Wight","82","!"
"Mixed","Isles of Scilly","!","!"
"Mixed","Islington","78","86"
"Mixed","Kensington and Chelsea","87","93"
"Mixed","Kent","83","89"
"Mixed","Kingston upon Hull, City of","74","73"
"Mixed","Kingston upon Thames","85","90"
"Mixed","Kirklees","70","82"
"Mixed","Knowsley","67","86"
"Mixed","Lambeth","85","87"
"Mixed","Lancashire","83","86"
"Mixed","Leeds","74","79"
"Mixed","Leicester","71","83"
"Mixed","Leicestershire","78","83"
"Mixed","Lewisham","78","83"
"Mixed","Lincolnshire","83","88"
"Mixed","Liverpool","73","81"
"Mixed","Luton","73","85"
"Mixed","Manchester","76","83"
"Mixed","Medway","78","88"
"Mixed","Merton","78","88"
"Mixed","Middlesbrough","82","80"
"Mixed","Milton Keynes","79","94"
"Mixed","Newcastle upon Tyne","79","85"
"Mixed","Newham","85","91"
"Mixed","Norfolk","75","83"
"Mixed","North East Lincolnshire","75","76"
"Mixed","North Lincolnshire","!","!"
"Mixed","North Somerset","80","84"
"Mixed","North Tyneside","76","86"
"Mixed","North Yorkshire","85","85"
"Mixed","Northamptonshire","78","81"
"Mixed","Northumberland","91","!"
"Mixed","Nottingham","75","83"
"Mixed","Nottinghamshire","79","85"
"Mixed","Oldham","80","80"
"Mixed","Oxfordshire","77","84"
"Mixed","Peterborough","75","85"
"Mixed","Plymouth","73","87"
"Mixed","Poole","85","83"
"Mixed","Portsmouth","87","87"
"Mixed","Reading","81","80"
"Mixed","Redbridge","79","83"
"Mixed","Redcar and Cleveland","85","!"
"Mixed","Richmond upon Thames","91","92"
"Mixed","Rochdale","73","81"
"Mixed","Rotherham","73","90"
"Mixed","Rutland","!","100"
"Mixed","Salford","76","89"
"Mixed","Sandwell","72","84"
"Mixed","Sefton","76","92"
"Mixed","Sheffield","72","82"
"Mixed","Shropshire","79","85"
"Mixed","Slough","81","88"
"Mixed","Solihull","81","89"
"Mixed","Somerset","81","83"
"Mixed","South Gloucestershire","78","89"
"Mixed","South Tyneside","82","!"
"Mixed","Southampton","79","86"
"Mixed","Southend-on-Sea","77","91"
"Mixed","Southwark","84","89"
"Mixed","St. Helens","79","78"
"Mixed","Staffordshire","77","91"
"Mixed","Stockport","73","80"
"Mixed","Stockton-on-Tees","79","82"
"Mixed","Stoke-on-Trent","83","88"
"Mixed","Suffolk","75","86"
"Mixed","Sunderland","76","83"
"Mixed","Surrey","83","91"
"Mixed","Sutton","75","84"
"Mixed","Swindon","77","89"
"Mixed","Tameside","84","91"
"Mixed","Telford and Wrekin","80","81"
"Mixed","Thurrock","81","88"
"Mixed","Torbay","62","!"
"Mixed","Tower Hamlets","81","83"
"Mixed","Trafford","76","84"
"Mixed","Wakefield","73","76"
"Mixed","Walsall","74","87"
"Mixed","Waltham Forest","84","91"
"Mixed","Wandsworth","80","85"
"Mixed","Warrington","77","81"
"Mixed","Warwickshire","80","93"
"Mixed","West Berkshire","74","80"
"Mixed","West Sussex","77","88"
"Mixed","Westminster","86","95"
"Mixed","Wigan","79","93"
"Mixed","Wiltshire","78","87"
"Mixed","Windsor and Maidenhead","84","93"
"Mixed","Wirral","82","88"
"Mixed","Wokingham","85","84"
"Mixed","Wolverhampton","76","81"
"Mixed","Worcestershire","80","91"
"Mixed","York","83","86"
"White","Barking and Dagenham","71","80"
"White","Barnet","82","88"
"White","Barnsley","73","84"
"White","Bath and North East Somerset","78","83"
"White","Bedford","72","81"
"White","Bexley","79","85"
"White","Birmingham","75","82"
"White","Blackburn with Darwen","75","83"
"White","Blackpool","76","85"
"White","Bolton","77","84"
"White","Bournemouth","81","86"
"White","Bracknell Forest","81","88"
"White","Bradford","75","81"
"White","Brent","77","84"
"White","Brighton and Hove","73","84"
"White","Bristol, City of","77","85"
"White","Bromley","86","89"
"White","Buckinghamshire","79","86"
"White","Bury","79","85"
"White","Calderdale","76","84"
"White","Cambridgeshire","77","83"
"White","Camden","81","86"
"White","Central Bedfordshire","80","85"
"White","Cheshire East","80","88"
"White","Cheshire West and Chester","77","85"
"White","City of London","!","!"
"White","Cornwall","75","83"
"White","County Durham","79","86"
"White","Coventry","73","81"
"White","Croydon","77","84"
"White","Cumbria","76","83"
"White","Darlington","81","89"
"White","Derby","76","85"
"White","Derbyshire","76","83"
"White","Devon","79","86"
"White","Doncaster","74","82"
"White","Dorset","78","85"
"White","Dudley","75","83"
"White","Ealing","82","88"
"White","East Riding of Yorkshire","78","86"
"White","East Sussex","76","85"
"White","Enfield","76","80"
"White","Essex","78","85"
"White","Gateshead","80","86"
"White","Gloucestershire","75","83"
"White","Greenwich","79","83"
"White","Hackney","82","88"
"White","Halton","77","81"
"White","Hammersmith and Fulham","83","89"
"White","Hampshire","79","85"
"White","Haringey","82","84"
"White","Harrow","81","84"
"White","Hartlepool","79","86"
"White","Havering","81","89"
"White","Herefordshire, County of","80","88"
"White","Hertfordshire","80","86"
"White","Hillingdon","74","85"
"White","Hounslow","79","87"
"White","Isle of Wight","70","81"
"White","Isles of Scilly","!","!"
"White","Islington","78","87"
"White","Kensington and Chelsea","87","93"
"White","Kent","78","86"
"White","Kingston upon Hull, City of","74","83"
"White","Kingston upon Thames","82","87"
"White","Kirklees","74","84"
"White","Knowsley","72","83"
"White","Lambeth","84","88"
"White","Lancashire","78","85"
"White","Leeds","74","81"
"White","Leicester","73","79"
"White","Leicestershire","78","84"
"White","Lewisham","81","86"
"White","Lincolnshire","78","85"
"White","Liverpool","72","80"
"White","Luton","73","83"
"White","Manchester","74","82"
"White","Medway","77","85"
"White","Merton","83","84"
"White","Middlesbrough","72","82"
"White","Milton Keynes","75","85"
"White","Newcastle upon Tyne","80","85"
"White","Newham","81","89"
"White","Norfolk","74","82"
"White","North East Lincolnshire","76","83"
"White","North Lincolnshire","75","86"
"White","North Somerset","80","85"
"White","North Tyneside","77","86"
"White","North Yorkshire","77","85"
"White","Northamptonshire","77","84"
"White","Northumberland","81","89"
"White","Nottingham","74","81"
"White","Nottinghamshire","75","83"
"White","Oldham","74","83"
"White","Oxfordshire","78","85"
"White","Peterborough","70","80"
"White","Plymouth","77","84"
"White","Poole","82","88"
"White","Portsmouth","72","81"
"White","Reading","76","81"
"White","Redbridge","75","81"
