"","All","","Asian","","Black","","Chinese","","Mixed","","White",""
"County Durham","79","86","!","79","64","100","73","100","82","86","79","86"
"Coventry","76","83","83","89","81","86","!","!","77","85","73","81"
"Croydon","80","86","86","90","81","86","!","100","78","87","77","84"
"Cumbria","76","83","!","!","!","!","!","!","75","85","76","83"
"Darlington","81","89","!","!","!","100","!","!","!","!","81","89"
"Derby","76","84","78","83","77","85","!","!","81","86","76","85"
"Derbyshire","76","83","73","93","!","!","!","73","76","86","76","83"
"Devon","79","86","72","100","50","100","!","!","84","84","79","86"
"Doncaster","73","82","72","83","63","!","!","100","74","94","74","82"
"Dorset","78","85","76","86","!","!","100","100","75","86","78","85"
"Dudley","75","83","74","84","!","!","!","!","72","87","75","83"
"Ealing","80","87","84","89","78","82","100","!","77","88","82","88"
"East Riding of Yorkshire","78","85","100","100","!","!","!","!","84","89","78","86"
"East Sussex","76","85","85","86","84","!","!","100","77","84","76","85"
"Enfield","77","83","84","91","75","86","100","!","83","86","76","80"
"Essex","79","85","90","91","77","90","74","!","83","84","78","85"
"Gateshead","80","86","!","!","!","!","!","!","92","!","80","86"
"Gloucestershire","75","83","89","90","70","87","100","100","81","82","75","83"
"Greenwich","81","87","85","92","85","91","!","!","77","89","79","83"
"Hackney","82","89","89","90","80","92","!","82","84","89","82","88"
"Halton","77","81","!","!","N/A","!","N/A","N/A","82","80","77","81"
"Hammersmith and Fulham","83","88","92","93","82","84","100","100","88","90","83","89"
"Hampshire","79","85","84","86","76","88","100","87","80","88","79","85"
"Haringey","81","85","89","87","79","87","84","100","85","94","82","84"
"Harrow","85","89","90","93","75","88","!","100","86","92","81","84"
"Hartlepool","78","86","!","84","!","!","!","!","60","!","79","86"
"Havering","82","89","90","94","81","89","!","100","80","91","81","89"
"Herefordshire, County of","80","87","!","100","N/A","!","100","!","86","79","80","88"
"Hertfordshire","80","86","87","91","82","86","90","!","78","86","80","86"
"Hillingdon","79","87","85","92","80","90","100","!","83","89","74","85"
"Hounslow","81","88","86","90","74","85","100","!","86","95","79","87"
"Isle of Wight","70","82","!","100","!","N/A","!","N/A","82","!","70","81"
"Isles of Scilly","!","!","!","!","!","!","!","!","!","!","!","!"
"Islington","77","87","84","!","69","86","!","!","78","86","78","87"
"Kensington and Chelsea","82","91","84","!","72","86","!","N/A","87","93","87","93"
"Kent","78","86","85","95","87","92","77","!","83","89","78","86"
"Kingston upon Hull, City of","74","81","!","!","85","65","!","!","74","73","74","83"
"Kingston upon Thames","82","87","84","88","65","68","77","100","85","90","82","87"
"Kirklees","74","84","75","85","79","76","!","57","70","82","74","84"
"Knowsley","72","84","!","!","!","!","!","!","67","86","72","83"
"Lambeth","81","87","83","86","77","87","79","!","85","87","84","88"
"Lancashire","78","85","76","85","76","85","!","!","83","86","78","85"
"Leeds","74","80","75","83","75","76","83","78","74","79","74","81"
"Leicester","77","83","83","88","79","85","!","!","71","83","73","79"
"Leicestershire","79","85","84","93","88","91","71","!","78","83","78","84"
"Lewisham","77","84","80","92","75","84","76","89","78","83","81","86"
"Lincolnshire","78","85","85","!","!","100","50","!","83","88","78","85"
"Liverpool","72","80","80","84","75","86","77","86","73","81","72","80"
"Luton","73","83","74","84","78","88","!","!","73","85","73","83"
"Manchester","75","83","77","84","79","87","92","!","76","83","74","82"
"Medway","78","86","84","94","92","93","100","100","78","88","77","85"
"Merton","83","85","86","91","84","83","!","!","78","88","83","84"
"Middlesbrough","71","81","71","88","!","!","!","!","82","80","72","82"
"Milton Keynes","78","87","88","93","80","86","100","!","79","94","75","85"
"Newcastle upon Tyne","79","85","76","88","72","90","86","83","79","85","80","85"
"Newham","84","91","88","93","83","92","!","!","85","91","81","89"
"Norfolk","74","82","78","93","74","80","82","!","75","83","74","82"
"North East Lincolnshire","76","82","100","!","!","!","!","!","75","76","76","83"
"North Lincolnshire","75","85","82","89","!","!","!","!","!","!","75","86"
"North Somerset","80","84","!","78","!","57","!","!","80","84","80","85"
"North Tyneside","77","86","82","81","63","100","100","100","76","86","77","86"
"North Yorkshire","77","85","84","81","67","80","!","!","85","85","77","85"
"Northamptonshire","77","84","80","89","77","82","84","100","78","81","77","84"
"Northumberland","81","89","!","86","!","!","!","!","91","!","81","89"
"Nottingham","75","82","83","87","77","90","!","100","75","83","74","81"
"Nottinghamshire","75","83","85","87","83","87","87","!","79","85","75","83"
"Oldham","73","81","71","81","79","!","!","!","80","80","74","83"
"Oxfordshire","78","85","77","85","78","84","100","!","77","84","78","85"
"Peterborough","71","80","72","84","84","85","!","!","75","85","70","80"
"Plymouth","76","85","80","!","83","100","!","!","73","87","77","84"
"Poole","82","88","!","!","!","!","!","!","85","83","82","88"
"Portsmouth","73","82","74","90","91","82","!","100","87","87","72","81"
"Reading","78","83","86","89","80","87","!","70","81","80","76","81"
"Redbridge","81","86","86","90","79","83","!","100","79","83","75","81"
"Redcar and Cleveland","77","85","100","100","!","!","!","!","85","!","77","85"
"Richmond upon Thames","86","91","88","96","85","83","!","!","91","92","86","91"
"Rochdale","77","86","82","91","78","75","100","100","73","81","77","85"
"Rotherham","75","83","81","89","72","75","!","!","73","90","75","82"
"Rutland","79","89","100","!","!","!","N/A","!","!","100","79","89"
"Salford","74","85","81","94","86","92","!","100","76","89","73","84"
"Sandwell","75","82","79","85","79","84","!","100","72","84","74","81"
"Sefton","75","84","68","78","100","!","!","!","76","92","75","84"
"Sheffield","73","81","77","81","73","84","83","76","72","82","73","81"
"Shropshire","78","86","!","!","!","!","!","!","79","85","78","86"
"Slough","80","89","86","93","74","!","!","!","81","88","72","83"
"Solihull","81","88","79","91","68","83","100","100","81","89","82","88"
"Somerset","75","82","72","!","57","100","!","!","81","83","75","82"
"South Gloucestershire","79","87","92","95","!","!","100","100","78","89","79","86"
"South Tyneside","79","87","68","85","!","!","!","!","82","!","80","88"
"Southampton","78","86","86","92","79","93","!","100","79","86","77","86"
"Southend-on-Sea","78","85","84","82","77","!","100","100","77","91","78","85"
"Southwark","81","86","82","88","80","87","88","!","84","89","82","88"
"St. Helens","75","83","!","!","!","!","!","!","79","78","76","84"
"Staffordshire","80","87","79","88","82","85","81","100","77","91","80","87"
"Stockport","78","85","79","82","67","!","!","100","73","80","79","86"
"Stockton-on-Tees","79","87","78","86","77","100","!","100","79","82","79","87"
"Stoke-on-Trent","75","84","77","89","82","86","!","!","83","88","74","83"
"Suffolk","76","84","76","93","83","88","100","100","75","86","76","84"
"Sunderland","79","87","81","84","!","100","!","!","76","83","78","87"
"Surrey","80","86","83","90","77","87","!","88","83","91","80","86"
"Sutton","80","88","89","94","85","93","!","100","75","84","79","86"
"Swindon","77","85","75","90","82","!","100","!","77","89","77","85"
"Tameside","74","84","76","81","85","72","!","!","84","91","73","84"
"Telford and Wrekin","78","87","86","96","!","!","!","!","80","81","78","86"
"Thurrock","80","88","91","91","91","93","100","100","81","88","76","87"
"Torbay","80","88","100","100","N/A","!","N/A","!","62","!","80","88"
"Tower Hamlets","78","87","79","88","79","89","!","!","81","83","73","84"
"Trafford","80","87","80","83","69","75","87","90","76","84","81","89"
"Wakefield","74","82","78","88","81","73","!","!","73","76","74","82"
"Walsall","77","84","82","88","82","91","100","!","74","87","76","83"
"Waltham Forest","81","88","85","90","76","86","!","!","84","91","79","89"
"Wandsworth","84","89","78","92","81","87","100","100","80","85","88","89"
"Warrington","77","85","88","88","!","100","!","100","77","81","77","85"
"Warwickshire","78","87","88","90","78","86","100","100","80","93","78","87"
"West Berkshire","74","83","82","!","!","!","!","!","74","80","74","82"
"West Sussex","76","84","81","86","79","81","!","100","77","88","76","83"
"Westminster","85","89","90","93","87","86","!","!","86","95","86","88"
"Wigan","79","87","!","81","69","77","!","100","79","93","80","88"
"Wiltshire","77","85","83","93","74","86","!","!","78","87","78","85"
"Windsor and Maidenhead","81","87","83","84","!","!","!","!","84","93","81","88"
"Wirral","72","81","74","92","100","100","!","100","82","88","72","80"
"Wokingham","79","87","84","92","73","!","100","100","85","84","78","85"
"Wolverhampton","76","83","82","90","85","84","!","!","76","81","73","81"
"Worcestershire","77","85","74","82","75","!","67","!","80","91","77","85"
"York","82","85","89","!","!","!","!","!","83","86","82","86"
