"Title","Writing attainments for children aged 5 to 7 by ethnicity, area and gender"
"Location","England"
"Time period","2015/16"
"Data source","Key stage 1 statistics https://www.gov.uk/government/statistics/phonics-screening-check-and-key-stage-1-assessments-england-2016"
"Source","https://www.ethnicityfactsandfigures.digitalbeta.org.uk"

"Local Authority","LA Code","Ethnicity","Ethnicity type","Gender","Gender_type","Value","Value_girls"
"Luton","E06000032","Mixed","ONS 5","Boys","All/Boys/Girls","61","73"
"Luton","E06000032","White","ONS 5","Boys","All/Boys/Girls","53","66"
"Norfolk","E10000020","All","ONS 5","Boys","All/Boys/Girls","62","77"
"Norfolk","E10000020","Asian","ONS 5","Boys","All/Boys/Girls","73","88"
"Norfolk","E10000020","Black","ONS 5","Boys","All/Boys/Girls","72","73"
"Norfolk","E10000020","Chinese","ONS 5","Boys","All/Boys/Girls","!","!"
"Norfolk","E10000020","Mixed","ONS 5","Boys","All/Boys/Girls","68","76"
"Norfolk","E10000020","White","ONS 5","Boys","All/Boys/Girls","62","77"
"Peterborough","E06000031","All","ONS 5","Boys","All/Boys/Girls","52","70"
"Peterborough","E06000031","Asian","ONS 5","Boys","All/Boys/Girls","53","73"
"Peterborough","E06000031","Black","ONS 5","Boys","All/Boys/Girls","54","79"
"Peterborough","E06000031","Chinese","ONS 5","Boys","All/Boys/Girls","!","!"
"Peterborough","E06000031","Mixed","ONS 5","Boys","All/Boys/Girls","58","71"
"Peterborough","E06000031","White","ONS 5","Boys","All/Boys/Girls","52","69"
"Southend-on-Sea","E06000033","All","ONS 5","Boys","All/Boys/Girls","60","78"
"Southend-on-Sea","E06000033","Asian","ONS 5","Boys","All/Boys/Girls","69","80"
"Southend-on-Sea","E06000033","Black","ONS 5","Boys","All/Boys/Girls","63","74"
"Southend-on-Sea","E06000033","Chinese","ONS 5","Boys","All/Boys/Girls","!","!"
"Southend-on-Sea","E06000033","Mixed","ONS 5","Boys","All/Boys/Girls","54","80"
"Southend-on-Sea","E06000033","White","ONS 5","Boys","All/Boys/Girls","59","79"
"Suffolk","E10000029","All","ONS 5","Boys","All/Boys/Girls","56","71"
"Suffolk","E10000029","Asian","ONS 5","Boys","All/Boys/Girls","68","70"
"Suffolk","E10000029","Black","ONS 5","Boys","All/Boys/Girls","47","69"
"Suffolk","E10000029","Chinese","ONS 5","Boys","All/Boys/Girls","!","!"
"Suffolk","E10000029","Mixed","ONS 5","Boys","All/Boys/Girls","60","70"
"Suffolk","E10000029","White","ONS 5","Boys","All/Boys/Girls","56","72"
"Thurrock","E06000034","All","ONS 5","Boys","All/Boys/Girls","63","74"
"Thurrock","E06000034","Asian","ONS 5","Boys","All/Boys/Girls","68","84"
"Thurrock","E06000034","Black","ONS 5","Boys","All/Boys/Girls","71","86"
"Thurrock","E06000034","Chinese","ONS 5","Boys","All/Boys/Girls","!","!"
"Thurrock","E06000034","Mixed","ONS 5","Boys","All/Boys/Girls","59","77"
"Thurrock","E06000034","White","ONS 5","Boys","All/Boys/Girls","61","70"
"Derby","E06000015","All","ONS 5","Boys","All/Boys/Girls","48","61"
"Derby","E06000015","Asian","ONS 5","Boys","All/Boys/Girls","57","71"
"Derby","E06000015","Black","ONS 5","Boys","All/Boys/Girls","52","75"
"Derby","E06000015","Chinese","ONS 5","Boys","All/Boys/Girls","64","56"
"Derby","E06000015","Mixed","ONS 5","Boys","All/Boys/Girls","51","65"
"Derby","E06000015","White","ONS 5","Boys","All/Boys/Girls","46","58"
"Derbyshire","E10000007","All","ONS 5","Boys","All/Boys/Girls","58","73"
"Derbyshire","E10000007","Asian","ONS 5","Boys","All/Boys/Girls","76","77"
"Derbyshire","E10000007","Black","ONS 5","Boys","All/Boys/Girls","!","!"
"Derbyshire","E10000007","Chinese","ONS 5","Boys","All/Boys/Girls","!","!"
"Derbyshire","E10000007","Mixed","ONS 5","Boys","All/Boys/Girls","56","81"
"Derbyshire","E10000007","White","ONS 5","Boys","All/Boys/Girls","57","73"
"Leicester","E06000016","All","ONS 5","Boys","All/Boys/Girls","52","67"
"Leicester","E06000016","Asian","ONS 5","Boys","All/Boys/Girls","60","73"
"Leicester","E06000016","Black","ONS 5","Boys","All/Boys/Girls","53","72"
"Leicester","E06000016","Chinese","ONS 5","Boys","All/Boys/Girls","!","!"
"Leicester","E06000016","Mixed","ONS 5","Boys","All/Boys/Girls","50","66"
"Leicester","E06000016","White","ONS 5","Boys","All/Boys/Girls","45","60"
"Leicestershire","E10000018","All","ONS 5","Boys","All/Boys/Girls","57","72"
"Leicestershire","E10000018","Asian","ONS 5","Boys","All/Boys/Girls","70","79"
"Leicestershire","E10000018","Black","ONS 5","Boys","All/Boys/Girls","59","80"
"Leicestershire","E10000018","Chinese","ONS 5","Boys","All/Boys/Girls","67","71"
"Leicestershire","E10000018","Mixed","ONS 5","Boys","All/Boys/Girls","65","70"
"Leicestershire","E10000018","White","ONS 5","Boys","All/Boys/Girls","56","71"
"Lincolnshire","E10000019","All","ONS 5","Boys","All/Boys/Girls","56","72"
"Lincolnshire","E10000019","Asian","ONS 5","Boys","All/Boys/Girls","!","!"
"Lincolnshire","E10000019","Black","ONS 5","Boys","All/Boys/Girls","!","!"
"Lincolnshire","E10000019","Chinese","ONS 5","Boys","All/Boys/Girls","64","100"
"Lincolnshire","E10000019","Mixed","ONS 5","Boys","All/Boys/Girls","62","73"
"Lincolnshire","E10000019","White","ONS 5","Boys","All/Boys/Girls","55","72"
"Northamptonshire","E10000021","All","ONS 5","Boys","All/Boys/Girls","57","70"
"Northamptonshire","E10000021","Asian","ONS 5","Boys","All/Boys/Girls","68","80"
"Northamptonshire","E10000021","Black","ONS 5","Boys","All/Boys/Girls","56","74"
"Northamptonshire","E10000021","Chinese","ONS 5","Boys","All/Boys/Girls","!","!"
"Northamptonshire","E10000021","Mixed","ONS 5","Boys","All/Boys/Girls","60","71"
"Northamptonshire","E10000021","White","ONS 5","Boys","All/Boys/Girls","57","69"
"Nottingham","E06000018","All","ONS 5","Boys","All/Boys/Girls","52","65"
"Nottingham","E06000018","Asian","ONS 5","Boys","All/Boys/Girls","58","71"
"Nottingham","E06000018","Black","ONS 5","Boys","All/Boys/Girls","57","75"
"Nottingham","E06000018","Chinese","ONS 5","Boys","All/Boys/Girls","!","!"
"Nottingham","E06000018","Mixed","ONS 5","Boys","All/Boys/Girls","56","68"
"Nottingham","E06000018","White","ONS 5","Boys","All/Boys/Girls","49","62"
"Nottinghamshire","E10000024","All","ONS 5","Boys","All/Boys/Girls","56","72"
"Nottinghamshire","E10000024","Asian","ONS 5","Boys","All/Boys/Girls","54","66"
"Nottinghamshire","E10000024","Black","ONS 5","Boys","All/Boys/Girls","40","82"
"Nottinghamshire","E10000024","Chinese","ONS 5","Boys","All/Boys/Girls","67","86"
"Nottinghamshire","E10000024","Mixed","ONS 5","Boys","All/Boys/Girls","63","69"
"Nottinghamshire","E10000024","White","ONS 5","Boys","All/Boys/Girls","56","73"
"Rutland","E06000017","All","ONS 5","Boys","All/Boys/Girls","63","76"
"Rutland","E06000017","Asian","ONS 5","Boys","All/Boys/Girls","!","100"
"Rutland","E06000017","Black","ONS 5","Boys","All/Boys/Girls","!","!"
"Rutland","E06000017","Chinese","ONS 5","Boys","All/Boys/Girls","!","!"
"Rutland","E06000017","Mixed","ONS 5","Boys","All/Boys/Girls","!","!"
"Rutland","E06000017","White","ONS 5","Boys","All/Boys/Girls","64","77"
"Barking and Dagenham","E09000002","All","ONS 5","Boys","All/Boys/Girls","62","75"
"Barking and Dagenham","E09000002","Asian","ONS 5","Boys","All/Boys/Girls","70","83"
"Barking and Dagenham","E09000002","Black","ONS 5","Boys","All/Boys/Girls","68","82"
"Barking and Dagenham","E09000002","Chinese","ONS 5","Boys","All/Boys/Girls","!","!"
"Barking and Dagenham","E09000002","Mixed","ONS 5","Boys","All/Boys/Girls","58","76"
"Barking and Dagenham","E09000002","White","ONS 5","Boys","All/Boys/Girls","54","66"
"Barnet","E09000003","All","ONS 5","Boys","All/Boys/Girls","63","74"
"Barnet","E09000003","Asian","ONS 5","Boys","All/Boys/Girls","74","82"
"Barnet","E09000003","Black","ONS 5","Boys","All/Boys/Girls","60","72"
"Barnet","E09000003","Chinese","ONS 5","Boys","All/Boys/Girls","76","87"
"Barnet","E09000003","Mixed","ONS 5","Boys","All/Boys/Girls","60","74"
"Barnet","E09000003","White","ONS 5","Boys","All/Boys/Girls","64","74"
"Bexley","E09000004","All","ONS 5","Boys","All/Boys/Girls","70","80"
"Bexley","E09000004","Asian","ONS 5","Boys","All/Boys/Girls","86","93"
"Bexley","E09000004","Black","ONS 5","Boys","All/Boys/Girls","81","86"
"Bexley","E09000004","Chinese","ONS 5","Boys","All/Boys/Girls","!","!"
"Bexley","E09000004","Mixed","ONS 5","Boys","All/Boys/Girls","74","82"
"Bexley","E09000004","White","ONS 5","Boys","All/Boys/Girls","65","77"
"Brent","E09000005","All","ONS 5","Boys","All/Boys/Girls","64","73"
"Brent","E09000005","Asian","ONS 5","Boys","All/Boys/Girls","72","77"
"Brent","E09000005","Black","ONS 5","Boys","All/Boys/Girls","63","73"
"Brent","E09000005","Chinese","ONS 5","Boys","All/Boys/Girls","!","!"
"Brent","E09000005","Mixed","ONS 5","Boys","All/Boys/Girls","65","82"
"Brent","E09000005","White","ONS 5","Boys","All/Boys/Girls","63","70"
"Bromley","E09000006","All","ONS 5","Boys","All/Boys/Girls","65","79"
"Bromley","E09000006","Asian","ONS 5","Boys","All/Boys/Girls","80","89"
"Bromley","E09000006","Black","ONS 5","Boys","All/Boys/Girls","66","84"
"Bromley","E09000006","Chinese","ONS 5","Boys","All/Boys/Girls","!","!"
"Bromley","E09000006","Mixed","ONS 5","Boys","All/Boys/Girls","64","84"
"Bromley","E09000006","White","ONS 5","Boys","All/Boys/Girls","64","77"
"Camden","E09000007","All","ONS 5","Boys","All/Boys/Girls","61","72"
"Camden","E09000007","Asian","ONS 5","Boys","All/Boys/Girls","58","72"
"Camden","E09000007","Black","ONS 5","Boys","All/Boys/Girls","58","71"
"Camden","E09000007","Chinese","ONS 5","Boys","All/Boys/Girls","!","!"
"Camden","E09000007","Mixed","ONS 5","Boys","All/Boys/Girls","68","73"
"Camden","E09000007","White","ONS 5","Boys","All/Boys/Girls","63","73"
"City of London","E09000001","All","ONS 5","Boys","All/Boys/Girls","!","!"
"City of London","E09000001","Asian","ONS 5","Boys","All/Boys/Girls","!","!"
"City of London","E09000001","Black","ONS 5","Boys","All/Boys/Girls","!","!"
"City of London","E09000001","Chinese","ONS 5","Boys","All/Boys/Girls","!","!"
"City of London","E09000001","Mixed","ONS 5","Boys","All/Boys/Girls","!","!"
"City of London","E09000001","White","ONS 5","Boys","All/Boys/Girls","!","!"
"Croydon","E09000008","All","ONS 5","Boys","All/Boys/Girls","62","75"
"Croydon","E09000008","Asian","ONS 5","Boys","All/Boys/Girls","72","87"
"Croydon","E09000008","Black","ONS 5","Boys","All/Boys/Girls","60","75"
"Croydon","E09000008","Chinese","ONS 5","Boys","All/Boys/Girls","!","!"
"Croydon","E09000008","Mixed","ONS 5","Boys","All/Boys/Girls","62","75"
"Croydon","E09000008","White","ONS 5","Boys","All/Boys/Girls","61","71"
"Ealing","E09000009","All","ONS 5","Boys","All/Boys/Girls","55","69"
"Ealing","E09000009","Asian","ONS 5","Boys","All/Boys/Girls","59","72"
"Ealing","E09000009","Black","ONS 5","Boys","All/Boys/Girls","50","63"
"Ealing","E09000009","Chinese","ONS 5","Boys","All/Boys/Girls","!","100"
"Ealing","E09000009","Mixed","ONS 5","Boys","All/Boys/Girls","59","79"
"Ealing","E09000009","White","ONS 5","Boys","All/Boys/Girls","56","71"
"Enfield","E09000010","All","ONS 5","Boys","All/Boys/Girls","60","72"
"Enfield","E09000010","Asian","ONS 5","Boys","All/Boys/Girls","77","85"
"Enfield","E09000010","Black","ONS 5","Boys","All/Boys/Girls","59","73"
"Enfield","E09000010","Chinese","ONS 5","Boys","All/Boys/Girls","62","69"
"Enfield","E09000010","Mixed","ONS 5","Boys","All/Boys/Girls","64","78"
"Enfield","E09000010","White","ONS 5","Boys","All/Boys/Girls","58","68"
"Greenwich","E09000011","All","ONS 5","Boys","All/Boys/Girls","70","82"
"Greenwich","E09000011","Asian","ONS 5","Boys","All/Boys/Girls","83","89"
"Greenwich","E09000011","Black","ONS 5","Boys","All/Boys/Girls","76","85"
"Greenwich","E09000011","Chinese","ONS 5","Boys","All/Boys/Girls","!","!"
"Greenwich","E09000011","Mixed","ONS 5","Boys","All/Boys/Girls","70","83"
"Greenwich","E09000011","White","ONS 5","Boys","All/Boys/Girls","65","77"
"Hackney","E09000012","All","ONS 5","Boys","All/Boys/Girls","73","83"
"Hackney","E09000012","Asian","ONS 5","Boys","All/Boys/Girls","78","82"
"Hackney","E09000012","Black","ONS 5","Boys","All/Boys/Girls","71","83"
"Hackney","E09000012","Chinese","ONS 5","Boys","All/Boys/Girls","!","!"
"Hackney","E09000012","Mixed","ONS 5","Boys","All/Boys/Girls","79","86"
"Hackney","E09000012","White","ONS 5","Boys","All/Boys/Girls","73","82"
"Hammersmith and Fulham","E09000013","All","ONS 5","Boys","All/Boys/Girls","66","75"
"Hammersmith and Fulham","E09000013","Asian","ONS 5","Boys","All/Boys/Girls","72","73"
"Hammersmith and Fulham","E09000013","Black","ONS 5","Boys","All/Boys/Girls","63","73"
"Hammersmith and Fulham","E09000013","Chinese","ONS 5","Boys","All/Boys/Girls","!","!"
"Hammersmith and Fulham","E09000013","Mixed","ONS 5","Boys","All/Boys/Girls","63","73"
"Hammersmith and Fulham","E09000013","White","ONS 5","Boys","All/Boys/Girls","69","78"
"Haringey","E09000014","All","ONS 5","Boys","All/Boys/Girls","69","80"
"Haringey","E09000014","Asian","ONS 5","Boys","All/Boys/Girls","75","88"
"Haringey","E09000014","Black","ONS 5","Boys","All/Boys/Girls","70","82"
"Haringey","E09000014","Chinese","ONS 5","Boys","All/Boys/Girls","!","!"
"Haringey","E09000014","Mixed","ONS 5","Boys","All/Boys/Girls","74","83"
"Haringey","E09000014","White","ONS 5","Boys","All/Boys/Girls","68","78"
"Harrow","E09000015","All","ONS 5","Boys","All/Boys/Girls","63","79"
"Harrow","E09000015","Asian","ONS 5","Boys","All/Boys/Girls","74","87"
"Harrow","E09000015","Black","ONS 5","Boys","All/Boys/Girls","53","74"
"Harrow","E09000015","Chinese","ONS 5","Boys","All/Boys/Girls","!","100"
"Harrow","E09000015","Mixed","ONS 5","Boys","All/Boys/Girls","66","70"
"Harrow","E09000015","White","ONS 5","Boys","All/Boys/Girls","52","73"
"Havering","E09000016","All","ONS 5","Boys","All/Boys/Girls","63","78"
"Havering","E09000016","Asian","ONS 5","Boys","All/Boys/Girls","67","91"
"Havering","E09000016","Black","ONS 5","Boys","All/Boys/Girls","65","86"
"Havering","E09000016","Chinese","ONS 5","Boys","All/Boys/Girls","!","!"
"Havering","E09000016","Mixed","ONS 5","Boys","All/Boys/Girls","60","77"
"Havering","E09000016","White","ONS 5","Boys","All/Boys/Girls","62","76"
"Hillingdon","E09000017","All","ONS 5","Boys","All/Boys/Girls","59","74"
"Hillingdon","E09000017","Asian","ONS 5","Boys","All/Boys/Girls","67","81"
"Hillingdon","E09000017","Black","ONS 5","Boys","All/Boys/Girls","62","73"
"Hillingdon","E09000017","Chinese","ONS 5","Boys","All/Boys/Girls","!","!"
"Hillingdon","E09000017","Mixed","ONS 5","Boys","All/Boys/Girls","60","76"
"Hillingdon","E09000017","White","ONS 5","Boys","All/Boys/Girls","53","70"
"Hounslow","E09000018","All","ONS 5","Boys","All/Boys/Girls","69","79"
"Hounslow","E09000018","Asian","ONS 5","Boys","All/Boys/Girls","78","87"
"Hounslow","E09000018","Black","ONS 5","Boys","All/Boys/Girls","61","75"
"Hounslow","E09000018","Chinese","ONS 5","Boys","All/Boys/Girls","!","!"
"Hounslow","E09000018","Mixed","ONS 5","Boys","All/Boys/Girls","71","76"
"Hounslow","E09000018","White","ONS 5","Boys","All/Boys/Girls","63","76"
"Islington","E09000019","All","ONS 5","Boys","All/Boys/Girls","65","72"
"Islington","E09000019","Asian","ONS 5","Boys","All/Boys/Girls","65","75"
"Islington","E09000019","Black","ONS 5","Boys","All/Boys/Girls","61","69"
"Islington","E09000019","Chinese","ONS 5","Boys","All/Boys/Girls","!","!"
"Islington","E09000019","Mixed","ONS 5","Boys","All/Boys/Girls","66","78"
"Islington","E09000019","White","ONS 5","Boys","All/Boys/Girls","67","74"
"Kensington and Chelsea","E09000020","All","ONS 5","Boys","All/Boys/Girls","72","79"
"Kensington and Chelsea","E09000020","Asian","ONS 5","Boys","All/Boys/Girls","!","!"
"Kensington and Chelsea","E09000020","Black","ONS 5","Boys","All/Boys/Girls","72","79"
"Kensington and Chelsea","E09000020","Chinese","ONS 5","Boys","All/Boys/Girls","!","!"
"Kensington and Chelsea","E09000020","Mixed","ONS 5","Boys","All/Boys/Girls","64","86"
"Kensington and Chelsea","E09000020","White","ONS 5","Boys","All/Boys/Girls","75","81"
"Kingston upon Thames","E09000021","All","ONS 5","Boys","All/Boys/Girls","59","71"
"Kingston upon Thames","E09000021","Asian","ONS 5","Boys","All/Boys/Girls","67","72"
"Kingston upon Thames","E09000021","Black","ONS 5","Boys","All/Boys/Girls","53","66"
"Kingston upon Thames","E09000021","Chinese","ONS 5","Boys","All/Boys/Girls","77","73"
"Kingston upon Thames","E09000021","Mixed","ONS 5","Boys","All/Boys/Girls","59","63"
"Kingston upon Thames","E09000021","White","ONS 5","Boys","All/Boys/Girls","57","72"
"Lambeth","E09000022","All","ONS 5","Boys","All/Boys/Girls","66","78"
"Lambeth","E09000022","Asian","ONS 5","Boys","All/Boys/Girls","63","84"
"Lambeth","E09000022","Black","ONS 5","Boys","All/Boys/Girls","64","76"
"Lambeth","E09000022","Chinese","ONS 5","Boys","All/Boys/Girls","!","!"
"Lambeth","E09000022","Mixed","ONS 5","Boys","All/Boys/Girls","67","84"
"Lambeth","E09000022","White","ONS 5","Boys","All/Boys/Girls","69","78"
"Lewisham","E09000023","All","ONS 5","Boys","All/Boys/Girls","67","79"
"Lewisham","E09000023","Asian","ONS 5","Boys","All/Boys/Girls","74","79"
"Lewisham","E09000023","Black","ONS 5","Boys","All/Boys/Girls","65","78"
"Lewisham","E09000023","Chinese","ONS 5","Boys","All/Boys/Girls","68","81"
"Lewisham","E09000023","Mixed","ONS 5","Boys","All/Boys/Girls","73","80"
"Lewisham","E09000023","White","ONS 5","Boys","All/Boys/Girls","68","79"
"Merton","E09000024","All","ONS 5","Boys","All/Boys/Girls","57","70"
"Merton","E09000024","Asian","ONS 5","Boys","All/Boys/Girls","68","73"
"Merton","E09000024","Black","ONS 5","Boys","All/Boys/Girls","54","72"
"Merton","E09000024","Chinese","ONS 5","Boys","All/Boys/Girls","!","!"
"Merton","E09000024","Mixed","ONS 5","Boys","All/Boys/Girls","48","68"
"Merton","E09000024","White","ONS 5","Boys","All/Boys/Girls","56","68"
"Newham","E09000025","All","ONS 5","Boys","All/Boys/Girls","69","81"
"Newham","E09000025","Asian","ONS 5","Boys","All/Boys/Girls","74","85"
"Newham","E09000025","Black","ONS 5","Boys","All/Boys/Girls","71","83"
"Newham","E09000025","Chinese","ONS 5","Boys","All/Boys/Girls","100","!"
"Newham","E09000025","Mixed","ONS 5","Boys","All/Boys/Girls","74","88"
"Newham","E09000025","White","ONS 5","Boys","All/Boys/Girls","59","71"
"Redbridge","E09000026","All","ONS 5","Boys","All/Boys/Girls","62","74"
"Redbridge","E09000026","Asian","ONS 5","Boys","All/Boys/Girls","69","78"
"Redbridge","E09000026","Black","ONS 5","Boys","All/Boys/Girls","60","67"
"Redbridge","E09000026","Chinese","ONS 5","Boys","All/Boys/Girls","!","!"
"Redbridge","E09000026","Mixed","ONS 5","Boys","All/Boys/Girls","61","76"
"Redbridge","E09000026","White","ONS 5","Boys","All/Boys/Girls","52","69"
"Richmond upon Thames","E09000027","All","ONS 5","Boys","All/Boys/Girls","61","76"
"Richmond upon Thames","E09000027","Asian","ONS 5","Boys","All/Boys/Girls","67","77"
"Richmond upon Thames","E09000027","Black","ONS 5","Boys","All/Boys/Girls","50","76"
"Richmond upon Thames","E09000027","Chinese","ONS 5","Boys","All/Boys/Girls","!","100"
"Richmond upon Thames","E09000027","Mixed","ONS 5","Boys","All/Boys/Girls","61","76"
"Richmond upon Thames","E09000027","White","ONS 5","Boys","All/Boys/Girls","62","76"
"Southwark","E09000028","All","ONS 5","Boys","All/Boys/Girls","65","76"
"Southwark","E09000028","Asian","ONS 5","Boys","All/Boys/Girls","75","79"
"Southwark","E09000028","Black","ONS 5","Boys","All/Boys/Girls","65","78"
"Southwark","E09000028","Chinese","ONS 5","Boys","All/Boys/Girls","73","84"
"Southwark","E09000028","Mixed","ONS 5","Boys","All/Boys/Girls","60","75"
"Southwark","E09000028","White","ONS 5","Boys","All/Boys/Girls","67","76"
"Sutton","E09000029","All","ONS 5","Boys","All/Boys/Girls","61","76"
"Sutton","E09000029","Asian","ONS 5","Boys","All/Boys/Girls","74","85"
"Sutton","E09000029","Black","ONS 5","Boys","All/Boys/Girls","69","74"
"Sutton","E09000029","Chinese","ONS 5","Boys","All/Boys/Girls","!","!"
"Sutton","E09000029","Mixed","ONS 5","Boys","All/Boys/Girls","72","84"
"Sutton","E09000029","White","ONS 5","Boys","All/Boys/Girls","55","73"
"Tower Hamlets","E09000030","All","ONS 5","Boys","All/Boys/Girls","63","77"
"Tower Hamlets","E09000030","Asian","ONS 5","Boys","All/Boys/Girls","64","79"
"Tower Hamlets","E09000030","Black","ONS 5","Boys","All/Boys/Girls","65","74"
"Tower Hamlets","E09000030","Chinese","ONS 5","Boys","All/Boys/Girls","!","!"
"Tower Hamlets","E09000030","Mixed","ONS 5","Boys","All/Boys/Girls","57","85"
"Tower Hamlets","E09000030","White","ONS 5","Boys","All/Boys/Girls","59","70"
"Waltham Forest","E09000031","All","ONS 5","Boys","All/Boys/Girls","69","80"
"Waltham Forest","E09000031","Asian","ONS 5","Boys","All/Boys/Girls","72","82"
"Waltham Forest","E09000031","Black","ONS 5","Boys","All/Boys/Girls","63","83"
"Waltham Forest","E09000031","Chinese","ONS 5","Boys","All/Boys/Girls","!","!"
"Waltham Forest","E09000031","Mixed","ONS 5","Boys","All/Boys/Girls","76","81"
"Waltham Forest","E09000031","White","ONS 5","Boys","All/Boys/Girls","67","77"
"Wandsworth","E09000032","All","ONS 5","Boys","All/Boys/Girls","72","81"
"Wandsworth","E09000032","Asian","ONS 5","Boys","All/Boys/Girls","74","87"
"Wandsworth","E09000032","Black","ONS 5","Boys","All/Boys/Girls","64","78"
"Wandsworth","E09000032","Chinese","ONS 5","Boys","All/Boys/Girls","!","!"
"Wandsworth","E09000032","Mixed","ONS 5","Boys","All/Boys/Girls","67","72"
"Wandsworth","E09000032","White","ONS 5","Boys","All/Boys/Girls","77","83"
"Westminster","E09000033","All","ONS 5","Boys","All/Boys/Girls","64","75"
"Westminster","E09000033","Asian","ONS 5","Boys","All/Boys/Girls","69","79"
"Westminster","E09000033","Black","ONS 5","Boys","All/Boys/Girls","79","78"
"Westminster","E09000033","Chinese","ONS 5","Boys","All/Boys/Girls","100","73"
"Westminster","E09000033","Mixed","ONS 5","Boys","All/Boys/Girls","63","84"
"Westminster","E09000033","White","ONS 5","Boys","All/Boys/Girls","63","78"
"County Durham","E06000047","All","ONS 5","Boys","All/Boys/Girls","63","77"
"County Durham","E06000047","Asian","ONS 5","Boys","All/Boys/Girls","82","81"
"County Durham","E06000047","Black","ONS 5","Boys","All/Boys/Girls","!","!"
"County Durham","E06000047","Chinese","ONS 5","Boys","All/Boys/Girls","!","!"
"County Durham","E06000047","Mixed","ONS 5","Boys","All/Boys/Girls","67","79"
"County Durham","E06000047","White","ONS 5","Boys","All/Boys/Girls","63","77"
"Darlington","E06000005","All","ONS 5","Boys","All/Boys/Girls","62","74"
"Darlington","E06000005","Asian","ONS 5","Boys","All/Boys/Girls","41","71"
"Darlington","E06000005","Black","ONS 5","Boys","All/Boys/Girls","!","100"
"Darlington","E06000005","Chinese","ONS 5","Boys","All/Boys/Girls","!","!"
"Darlington","E06000005","Mixed","ONS 5","Boys","All/Boys/Girls","!","!"
"Darlington","E06000005","White","ONS 5","Boys","All/Boys/Girls","63","74"
"Gateshead","E08000037","All","ONS 5","Boys","All/Boys/Girls","62","76"
"Gateshead","E08000037","Asian","ONS 5","Boys","All/Boys/Girls","68","68"
"Gateshead","E08000037","Black","ONS 5","Boys","All/Boys/Girls","56","76"
