"Title","Writing attainments for children aged 5 to 7 by ethnicity and area"
"Location","England"
"Time period","2015/16"
"Data source","Key stage 1 statistics https://www.gov.uk/government/statistics/phonics-screening-check-and-key-stage-1-assessments-england-2016"
"Source","https://www.ethnicityfactsandfigures.digitalbeta.org.uk"

"Region","Local Authority","LA Code","Ethnicity","Ethnicity type","Gender","Gender_type","Value"
"London","Bexley","E09000004","Mixed","ONS 5","All","All/Boys/Girls","78"
"London","Brent","E09000005","Mixed","ONS 5","All","All/Boys/Girls","74"
"London","Bromley","E09000006","Mixed","ONS 5","All","All/Boys/Girls","73"
"London","Croydon","E09000008","Mixed","ONS 5","All","All/Boys/Girls","68"
"London","Ealing","E09000009","Mixed","ONS 5","All","All/Boys/Girls","69"
"London","Enfield","E09000010","Mixed","ONS 5","All","All/Boys/Girls","71"
"London","Greenwich","E09000011","Mixed","ONS 5","All","All/Boys/Girls","77"
"London","Harrow","E09000015","Mixed","ONS 5","All","All/Boys/Girls","68"
"London","Havering","E09000016","Mixed","ONS 5","All","All/Boys/Girls","69"
"London","Hillingdon","E09000017","Mixed","ONS 5","All","All/Boys/Girls","68"
"London","Hounslow","E09000018","Mixed","ONS 5","All","All/Boys/Girls","73"
"London","Kingston upon Thames","E09000021","Mixed","ONS 5","All","All/Boys/Girls","61"
"London","Merton","E09000024","Mixed","ONS 5","All","All/Boys/Girls","58"
"London","Redbridge","E09000026","Mixed","ONS 5","All","All/Boys/Girls","68"
"London","Richmond upon Thames","E09000027","Mixed","ONS 5","All","All/Boys/Girls","68"
"London","Sutton","E09000029","Mixed","ONS 5","All","All/Boys/Girls","78"
"London","Waltham Forest","E09000031","Mixed","ONS 5","All","All/Boys/Girls","79"
"South East","Bracknell Forest","E06000036","Mixed","ONS 5","All","All/Boys/Girls","76"
"South East","Brighton and Hove","E06000043","Mixed","ONS 5","All","All/Boys/Girls","66"
"South East","Buckinghamshire","E10000002","Mixed","ONS 5","All","All/Boys/Girls","65"
"South East","East Sussex","E10000011","Mixed","ONS 5","All","All/Boys/Girls","72"
"South East","Hampshire","E10000014","Mixed","ONS 5","All","All/Boys/Girls","73"
"South East","Isle of Wight","E06000046","Mixed","ONS 5","All","All/Boys/Girls","70"
"South East","Kent","E10000016","Mixed","ONS 5","All","All/Boys/Girls","77"
"South East","Medway","E06000035","Mixed","ONS 5","All","All/Boys/Girls","75"
"South East","Milton Keynes","E06000042","Mixed","ONS 5","All","All/Boys/Girls","73"
"South East","Oxfordshire","E10000025","Mixed","ONS 5","All","All/Boys/Girls","61"
"South East","Portsmouth","E06000044","Mixed","ONS 5","All","All/Boys/Girls","63"
"South East","Reading","E06000038","Mixed","ONS 5","All","All/Boys/Girls","58"
"South East","Slough","E06000039","Mixed","ONS 5","All","All/Boys/Girls","69"
"South East","Southampton","E06000045","Mixed","ONS 5","All","All/Boys/Girls","72"
"South East","Surrey","E10000030","Mixed","ONS 5","All","All/Boys/Girls","73"
"South East","West Berkshire","E06000037","Mixed","ONS 5","All","All/Boys/Girls","72"
"South East","West Sussex","E10000032","Mixed","ONS 5","All","All/Boys/Girls","57"
"South East","Windsor and Maidenhead","E06000040","Mixed","ONS 5","All","All/Boys/Girls","75"
"South East","Wokingham","E06000041","Mixed","ONS 5","All","All/Boys/Girls","75"
"South West","Bath and North East Somerset","E06000022","Mixed","ONS 5","All","All/Boys/Girls","61"
"South West","Bournemouth","E06000028","Mixed","ONS 5","All","All/Boys/Girls","62"
"South West","Bristol, City of","E06000023","Mixed","ONS 5","All","All/Boys/Girls","59"
"South West","Cornwall","E06000052","Mixed","ONS 5","All","All/Boys/Girls","68"
"South West","Devon","E10000008","Mixed","ONS 5","All","All/Boys/Girls","65"
"South West","Dorset","E10000009","Mixed","ONS 5","All","All/Boys/Girls","68"
"South West","Gloucestershire","E10000013","Mixed","ONS 5","All","All/Boys/Girls","62"
"South West","Isles of Scilly","E06000053","Mixed","ONS 5","All","All/Boys/Girls","!"
"South West","North Somerset","E06000024","Mixed","ONS 5","All","All/Boys/Girls","71"
"South West","Plymouth","E06000026","Mixed","ONS 5","All","All/Boys/Girls","69"
"South West","Poole","E06000029","Mixed","ONS 5","All","All/Boys/Girls","78"
"South West","Somerset","E10000027","Mixed","ONS 5","All","All/Boys/Girls","68"
"South West","South Gloucestershire","E06000025","Mixed","ONS 5","All","All/Boys/Girls","72"
"South West","Swindon","E06000030","Mixed","ONS 5","All","All/Boys/Girls","68"
