"","All","","Asian","","Black","","Chinese","","Mixed","","White",""
"North Yorkshire","68","6,188","76","93","67","18","100","13","66","124","67","5,886"
"Rotherham","62","3,335","58","231","61","38","!","8","67","58","62","2,980"
"Sheffield","59","5,242","57","501","56","260","83","18","53","265","61","4,001"
"Wakefield","64","3,645","65","116","63","38","!","6","64","64","64","3,407"
"York","69","1,585","100","11","56","9","!","9","82","33","68","1,511"
"Derby","54","2,787","53","482","45","85","!","8","51","166","55","2,015"
"Derbyshire","62","7,628","!","75","!","19","71","14","59","161","62","7,297"
"Leicester","57","3,409","68","1,631","53","345","!","3","51","210","44","1,149"
"Leicestershire","65","7,017","79","505","70","43","73","22","68","246","64","6,108"
"Lincolnshire","62","7,807","87","76","62","34","82","33","69","134","62","7,464"
"Northamptonshire","60","7,650","70","326","60","282","!","20","54","327","59","6,612"
"Nottingham","50","2,534","62","438","51","248","100","8","53","231","46","1,528"
"Nottinghamshire","66","7,883","73","180","76","78","88","25","69","255","66","7,243"
"Rutland","76","489","!","4","!","3","N/A","0","67","9","77","472"
"Birmingham","60","12,035","61","4,580","55","1,489","82","45","58","834","61","4,492"
"Coventry","61","3,463","74","660","59","276","!","9","53","181","58","2,275"
"Dudley","56","3,591","56","298","46","70","!","4","53","183","56","2,974"
"Herefordshire, County of","62","1,732","!","5","!","5","100","4","80","25","62","1,681"
"Sandwell","50","3,499","59","934","47","257","!","5","48","223","46","1,986"
"Shropshire","63","2,986","!","19","!","7","!","8","66","53","63","2,857"
"Solihull","65","2,987","72","278","54","72","!","10","57","181","66","2,375"
"Staffordshire","60","8,758","60","254","60","37","80","20","57","189","60","8,176"
"Stoke-on-Trent","56","2,269","60","301","44","48","!","9","48","69","55","1,801"
"Telford and Wrekin","59","2,014","53","117","53","36","!","9","56","70","59","1,769"
"Walsall","57","3,261","67","628","55","139","100","3","54","155","55","2,306"
"Warwickshire","67","5,585","77","263","52","50","69","16","72","187","67","5,003"
"Wolverhampton","59","2,470","74","530","53","221","!","3","48","223","56","1,457"
"Worcestershire","65","5,565","63","142","30","20","!","8","65","169","65","5,183"
"Bedford","59","1,862","63","273","53","109","100","3","53","143","59","1,308"
"Cambridgeshire","68","5,707","80","190","57","56","87","30","72","194","67","5,139"
"Central Bedfordshire","64","2,596","59","46","52","44","!","10","58","103","65","2,376"
"Essex","64","14,607","83","337","71","333","80","51","66","541","64","13,142"
"Hertfordshire","70","12,613","77","849","71","447","84","63","65","702","69","10,336"
"Luton","56","2,442","62","967","54","294","!","4","47","192","52","937"
"Norfolk","61","8,014","85","88","66","68","84","25","57","178","61","7,551"
"Peterborough","55","2,292","54","367","62","73","!","8","63","105","54","1,698"
"Southend-on-Sea","69","2,047","84","135","78","125","!","22","66","91","67","1,649"
"Suffolk","60","7,158","67","102","47","53","!","4","56","305","60","6,440"
"Thurrock","62","1,721","69","65","75","164","67","9","77","61","59","1,385"
"Camden","63","1,422","64","272","59","345","!","10","56","142","65","549"
"City of London","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Hackney","70","2,038","75","272","65","719","!","12","69","193","73","687"
"Hammersmith and Fulham","70","1,350","78","116","59","333","!","6","69","133","75","624"
"Haringey","64","2,231","72","127","57","639","67","12","68","253","65","1,005"
"Islington","64","1,397","78","170","63","423","!","!","64","158","60","506"
"Kensington and Chelsea","76","740","81","26","72","148","!","!","74","113","76","297"
"Lambeth","62","1,887","81","79","58","945","!","15","59","228","69","491"
"Lewisham","56","2,334","67","129","52","1,041","76","37","64","286","54","698"
"Newham","63","3,489","70","1,601","60","917","73","11","51","199","54","582"
"Southwark","69","2,386","77","124","71","1,094","91","34","66","255","66","685"
"Tower Hamlets","63","2,570","68","1,685","61","307","100","10","55","129","52","316"
"Wandsworth","70","1,660","77","333","61","458","100","14","72","188","71","571"
"Westminster","72","1,566","72","199","65","333","!","18","75","130","78","483"
"Barking and Dagenham","60","2,201","72","398","63","551","!","6","55","141","55","1,051"
"Barnet","73","3,647","86","512","64","489","87","46","73","363","72","1,835"
"Bexley","67","3,192","84","207","77","532","85","40","63","161","62","2,183"
"Brent","64","3,035","70","900","54","767","!","9","55","158","59","579"
"Bromley","72","3,305","89","167","68","272","89","36","74","229","74","2,419"
"Croydon","61","3,844","74","453","59","1,124","!","21","59","424","63","1,534"
"Ealing","65","2,781","69","747","55","574","!","5","72","195","66","826"
"Enfield","63","3,579","81","313","59","879","85","20","65","324","61","1,754"
"Greenwich","61","2,204","75","207","67","604","83","24","62","208","55","1,071"
"Harrow","68","2,127","76","900","60","344","73","11","64","163","62","610"
"Havering","64","2,917","72","117","66","362","!","11","61","127","64","2,237"
"Hillingdon","65","3,136","74","751","59","327","!","12","68","299","61","1,479"
"Hounslow","66","2,667","77","696","60","344","!","5","74","224","66","951"
"Kingston upon Thames","78","1,515","86","343","66","73","!","23","83","115","75","871"
"Merton","70","1,440","71","222","63","299","100","6","74","155","70","734"
"Redbridge","72","3,363","78","1,623","62","494","!","20","61","230","69","903"
"Richmond upon Thames","71","1,367","70","96","50","48","!","12","70","135","73","1,025"
"Sutton","77","2,667","93","524","74","212","100","41","76","201","71","1,623"
"Waltham Forest","64","2,539","71","635","57","598","55","22","62","227","63","969"
"Bracknell Forest","61","1,076","78","41","69","26","100","4","69","49","60","946"
"Brighton and Hove","65","2,139","63","82","51","41","100","3","69","181","65","1,802"
"Buckinghamshire","74","5,622","69","855","61","132","!","18","68","312","75","4,220"
"East Sussex","63","4,930","75","60","61","31","100","9","63","166","63","4,532"
"Hampshire","67","13,101","75","333","53","115","89","35","66","350","67","12,110"
"Isle of Wight","52","1,305","50","12","N/A","0","!","3","56","27","52","1,249"
"Kent","64","15,727","86","526","78","303","92","64","73","536","62","14,022"
"Medway","65","2,967","82","157","64","116","!","11","62","125","64","2,508"
"Milton Keynes","60","2,800","72","204","55","338","67","15","59","187","59","1,994"
"Oxfordshire","66","5,975","60","317","58","126","81","26","59","288","67","5,136"
"Portsmouth","58","1,729","74","95","70","33","!","7","63","54","57","1,515"
"Reading","64","1,169","75","221","51","90","100","21","56","98","62","711"
"Slough","72","1,632","79","798","63","148","100","5","74","112","63","497"
"Southampton","57","1,952","78","176","59","56","!","9","56","95","54","1,593"
"Surrey","70","10,399","74","602","63","180","86","44","74","473","70","8,958"
"West Berkshire","65","1,906","76","50","60","25","!","12","63","75","66","1,704"
"West Sussex","65","8,118","71","330","39","120","58","12","61","258","65","7,316"
"Windsor and Maidenhead","72","1,470","68","191","66","29","100","8","79","99","73","1,119"
"Wokingham","73","1,601","70","166","64","75","100","10","64","89","75","1,231"
"Bath and North East Somerset","70","2,022","!","24","50","24","!","!","65","74","70","1,863"
"Bournemouth","67","1,617","85","40","59","17","!","7","71","73","66","1,429"
"Bristol, City of","60","3,138","67","253","48","282","73","15","64","209","60","2,316"
"Cornwall","64","5,432","67","21","44","9","!","!","71","99","64","5,232"
"Devon","65","6,971","77","26","71","14","!","13","63","95","65","6,726"
"Dorset","65","4,153","65","46","!","9","!","11","68","80","65","3,933"
"Gloucestershire","66","6,385","86","146","51","63","83","23","62","195","66","5,882"
"Isles of Scilly","70","23","N/A","0","N/A","0","N/A","0","N/A","0","67","21"
"North Somerset","63","2,176","81","32","33","15","!","6","68","66","63","2,043"
"Plymouth","58","2,640","88","25","17","18","69","13","70","43","57","2,489"
"Poole","68","1,438","87","31","!","4","!","5","79","47","68","1,338"
"Somerset","63","5,137","76","50","50","14","73","11","67","100","63","4,933"
"South Gloucestershire","60","2,770","72","67","51","43","100","6","54","109","60","2,530"
"Swindon","61","2,109","67","195","62","42","!","10","67","60","60","1,756"
"Torbay","63","1,511","!","12","57","7","100","8","75","40","65","1,335"
"Wiltshire","66","4,899","73","70","55","38","100","6","73","115","66","4,582"
