"Title","Police workforce by ethnicity and area"
"Location","England and Wales"
"Time period","2016"
"Data source","Police workforce, England and Wales, 31 March 2016"
"Data source link","https://www.gov.uk/government/statistics/police-workforce-england-and-wales-31-march-2016"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated",""

"Ethnicity","Police force area","%","% Population"
"Black","Gwent","0.5","0.6"
"Black","Hampshire","0.2","0.9"
"Black","Hertfordshire","0.6","2.8"
"Black","Humberside","0.4","0.5"
"Black","Kent","0.2","1.3"
"Black","Lancashire","0.1","0.4"
"Black","Leicestershire","0.9","2.4"
"Black","Lincolnshire","0.5","0.4"
"Black","London, City of","1.6","2.6"
"Black","Merseyside","0.6","1.1"
"Black","Metropolitan Police","3.1","13.3"
"Black","Norfolk","0.5","0.5"
"Black","North Wales","0.1","0.2"
"Black","North Yorkshire","0.0","0.5"
"Black","Northamptonshire","1.3","2.4"
"Black","Northumbria","0.2","0.6"
"Black","Nottinghamshire","0.9","2.5"
"Black","South Wales","0.2","1.0"
"Black","South Yorkshire","0.6","1.9"
"Black","Staffordshire","0.4","0.8"
"Black","Suffolk","0.3","0.9"
"Black","Surrey","0.5","1.1"
"Black","Sussex","0.2","0.9"
"Black","Thames Valley","0.8","3.0"
"Black","Warwickshire","0.1","0.8"
"Black","West Mercia","0.3","0.4"
"Black","West Midlands","1.5","6.0"
"Black","West Yorkshire","0.7","2.1"
"Black","Wiltshire","0.4","0.9"
"Mixed","All - excluding BTP","1.7","2.2"
"Mixed","Avon & Somerset","1.6","1.8"
"Mixed","Bedfordshire","1.9","3.0"
"Mixed","British Transport Police","2.6","N/A"
"Mixed","Cambridgeshire","1.1","2.0"
"Mixed","Cheshire","0.5","1.0"
"Mixed","Cleveland","0.3","1.0"
"Mixed","Cumbria","0.4","0.5"
"Mixed","Derbyshire","0.7","1.4"
"Mixed","Devon & Cornwall","0.8","0.9"
"Mixed","Dorset","0.9","1.3"
"Mixed","Durham","1.0","0.7"
"Mixed","Dyfed-Powys","0.5","0.6"
"Mixed","Essex","1.5","1.6"
"Mixed","Gloucestershire","0.8","1.5"
"Mixed","Greater Manchester","1.8","2.3"
"Mixed","Gwent","0.5","1.0"
"Mixed","Hampshire","1.2","1.6"
"Mixed","Hertfordshire","1.8","2.5"
"Mixed","Humberside","0.6","0.9"
"Mixed","Kent","1.3","1.6"
"Mixed","Lancashire","1.6","1.1"
"Mixed","Leicestershire","2.0","2.0"
"Mixed","Lincolnshire","0.8","0.9"
"Mixed","London, City of","2.1","3.9"
"Mixed","Merseyside","2.0","1.5"
"Mixed","Metropolitan Police","2.9","5.0"
"Mixed","Norfolk","0.9","1.2"
"Mixed","North Wales","0.5","0.7"
"Mixed","North Yorkshire","0.9","0.9"
"Mixed","Northamptonshire","1.2","2.0"
"Mixed","Northumbria","1.0","0.9"
"Mixed","Nottinghamshire","1.3","2.8"
"Mixed","South Wales","1.1","1.4"
"Mixed","South Yorkshire","1.0","1.5"
"Mixed","Staffordshire","0.8","1.3"
"Mixed","Suffolk","1.8","1.7"
"Mixed","Surrey","1.8","2.1"
"Mixed","Sussex","1.0","1.9"
"Mixed","Thames Valley","2.2","2.5"
"Mixed","Warwickshire","0.7","1.5"
"Mixed","West Mercia","0.9","1.1"
"Mixed","West Midlands","2.0","3.5"
"Mixed","West Yorkshire","1.2","2.2"
"Mixed","Wiltshire","0.3","1.4"
"Other","All - excluding BTP","0.7","1.7"
"Other","Avon & Somerset","0.3","1.0"
"Other","Bedfordshire","0.0","1.4"
"Other","British Transport Police","0.5","N/A"
"Other","Cambridgeshire","0.2","1.6"
"Other","Cheshire","0.0","0.5"
"Other","Cleveland","0.2","0.8"
"Other","Cumbria","0.1","0.3"
"Other","Derbyshire","0.2","0.7"
"Other","Devon & Cornwall","0.3","0.6"
"Other","Dorset","0.1","0.8"
"Other","Durham","0.1","0.5"
"Other","Dyfed-Powys","0.1","0.4"
"Other","Essex","0.1","0.9"
"Other","Gloucestershire","0.4","0.5"
"Other","Greater Manchester","0.4","2.0"
"Other","Gwent","0.1","0.6"
"Other","Hampshire","0.5","1.1"
"Other","Hertfordshire","0.1","1.4"
"Other","Humberside","0.0","0.8"
"Other","Kent","0.3","0.9"
"Other","Lancashire","0.1","0.7"
"Other","Leicestershire","0.1","1.9"
"Other","Lincolnshire","0.0","0.4"
"Other","London, City of","0.3","5.7"
"Other","Merseyside","0.5","1.6"
"Other","Metropolitan Police","1.9","5.0"
"Other","Norfolk","0.2","0.6"
"Other","North Wales","0.1","0.6"
"Other","North Yorkshire","0.0","0.8"
"Other","Northamptonshire","0.1","0.8"
"Other","Northumbria","0.1","1.3"
"Other","Nottinghamshire","0.2","1.4"
"Other","South Wales","0.2","1.5"
"Other","South Yorkshire","0.1","1.8"
"Other","Staffordshire","0.0","0.7"
"Other","Suffolk","0.1","0.6"
"Other","Surrey","0.5","1.7"
"Other","Sussex","0.5","1.0"
"Other","Thames Valley","0.4","1.4"
"Other","Warwickshire","0.5","0.9"
"Other","West Mercia","0.3","0.5"
"Other","West Midlands","0.2","2.3"
"Other","West Yorkshire","0.4","1.4"
"Other","Wiltshire","0.1","0.6"
"White","All - excluding BTP","94.1","86.0"
"White","Avon & Somerset","97.2","93.3"
"White","Bedfordshire","93.4","77.5"
"White","British Transport Police","90.9","N/A"
"White","Cambridgeshire","97.5","90.3"
"White","Cheshire","99.2","96.9"
"White","Cleveland","98.3","94.5"
"White","Cumbria","99.0","98.5"
"White","Derbyshire","96.5","93.3"
"White","Devon & Cornwall","98.5","97.5"
"White","Dorset","98.7","96.0"
"White","Durham","98.3","97.8"
"White","Dyfed-Powys","99.2","98.0"
"White","Essex","97.9","93.2"
"White","Gloucestershire","97.9","95.4"
"White","Greater Manchester","95.1","83.8"
"White","Gwent","98.3","96.1"
"White","Hampshire","97.2","93.3"
"White","Hertfordshire","95.7","87.6"
"White","Humberside","98.7","96.5"
"White","Kent","97.1","93.1"
"White","Lancashire","95.9","90.4"
"White","Leicestershire","92.3","78.4"
"White","Lincolnshire","98.2","97.6"
"White","London, City of","93.7","78.6"
"White","Merseyside","96.6","94.5"
"White","Metropolitan Police","87.4","59.8"
"White","Norfolk","98.2","96.5"
"White","North Wales","99.2","97.5"
"White","North Yorkshire","98.8","96.6"
"White","Northamptonshire","96.4","91.5"
"White","Northumbria","98.3","94.6"
"White","Nottinghamshire","95.6","88.8"
"White","South Wales","98.1","93.4"
"White","South Yorkshire","96.5","90.6"
"White","Staffordshire","98.2","94.1"
"White","Suffolk","97.6","95.2"
"White","Surrey","96.0","90.4"
"White","Sussex","98.1","93.7"
"White","Thames Valley","95.0","84.6"
"White","Warwickshire","95.2","92.7"
"White","West Mercia","97.7","96.2"
"White","West Midlands","91.0","70.1"
"White","West Yorkshire","94.8","81.8"
"White","Wiltshire","98.4","94.5"
