"Ethnicity","Local Authority","All","Boys","Girls"
"Asian","Warwickshire","0.48","0.36","0.58"
"Asian","West Berkshire","0.48","0.41","0.59"
"Asian","West Sussex","0.52","0.40","0.66"
"Asian","Westminster","0.45","0.30","0.61"
"Asian","Wigan","0.59","0.38","1.07"
"Asian","Wiltshire","0.63","0.46","0.83"
"Asian","Windsor and Maidenhead","0.23","0.12","0.35"
"Asian","Wirral","0.80","0.70","0.86"
"Asian","Wokingham","0.38","0.22","0.65"
"Asian","Wolverhampton","0.34","0.28","0.39"
"Asian","Worcestershire","0.51","0.19","0.82"
"Asian","York","1.04","!","!"
"Chinese","All - England","0.68","0.56","0.80"
"Chinese","Barking and Dagenham","0.18","!","!"
"Chinese","Barnet","0.66","0.41","0.89"
"Chinese","Barnsley","N/A","N/A","N/A"
"Chinese","Bath and North East Somerset","1.08","!","!"
"Chinese","Bedford","1.47","!","!"
"Chinese","Bexley","0.38","0.22","0.58"
"Chinese","Birmingham","0.81","0.78","0.83"
"Chinese","Blackburn with Darwen","!","!","N/A"
"Chinese","Blackpool","1.31","N/A","1.31"
"Chinese","Bolton","0.92","!","!"
"Chinese","Bournemouth","0.82","!","!"
"Chinese","Bracknell Forest","0.88","!","!"
"Chinese","Bradford","!","N/A","!"
"Chinese","Brent","0.70","!","!"
"Chinese","Brighton and Hove","!","!","!"
"Chinese","Bristol, City of","0.60","0.39","1.31"
"Chinese","Bromley","0.47","0.28","0.74"
"Chinese","Buckinghamshire","0.26","0.36","0.16"
"Chinese","Bury","0.07","!","!"
"Chinese","Calderdale","0.43","!","!"
"Chinese","Cambridgeshire","1.13","0.92","1.42"
"Chinese","Camden","0.81","!","!"
"Chinese","Central Bedfordshire","0.74","0.13","1.22"
"Chinese","Cheshire East","0.33","!","!"
"Chinese","Cheshire West and Chester","0.43","-0.38","0.91"
"Chinese","City of London","N/A","N/A","N/A"
"Chinese","Cornwall","!","!","N/A"
"Chinese","County Durham","0.59","!","!"
"Chinese","Coventry","0.43","-0.31","0.87"
"Chinese","Croydon","0.45","0.33","0.51"
"Chinese","Cumbria","0.11","-0.01","0.18"
"Chinese","Darlington","!","N/A","!"
"Chinese","Derby","0.97","!","!"
"Chinese","Derbyshire","0.07","0.02","0.20"
"Chinese","Devon","0.98","0.55","1.29"
"Chinese","Doncaster","0.43","0.10","0.57"
"Chinese","Dorset","0.85","!","!"
"Chinese","Dudley","0.13","!","!"
"Chinese","Ealing","0.71","N/A","0.71"
"Chinese","East Riding of Yorkshire","!","!","N/A"
"Chinese","East Sussex","0.77","!","!"
"Chinese","Enfield","0.52","0.30","0.71"
"Chinese","Essex","0.57","0.53","0.61"
"Chinese","Gateshead","!","!","!"
"Chinese","Gloucestershire","0.93","0.60","1.06"
"Chinese","Greenwich","0.36","0.13","0.66"
"Chinese","Hackney","0.81","0.51","1.25"
"Chinese","Halton","N/A","N/A","N/A"
"Chinese","Hammersmith and Fulham","0.76","N/A","0.76"
"Chinese","Hampshire","0.64","0.57","0.83"
"Chinese","Haringey","0.82","!","!"
"Chinese","Harrow","0.28","-0.85","1.19"
"Chinese","Hartlepool","!","!","N/A"
"Chinese","Havering","0.29","0.18","0.56"
"Chinese","Herefordshire, County of","1.60","!","!"
"Chinese","Hertfordshire","0.74","0.82","0.65"
"Chinese","Hillingdon","0.73","1.17","0.47"
"Chinese","Hounslow","0.91","!","!"
"Chinese","Isle of Wight","!","!","N/A"
"Chinese","Isles of Scilly","N/A","N/A","N/A"
"Chinese","Islington","!","!","N/A"
"Chinese","Kensington and Chelsea","!","N/A","!"
"Chinese","Kent","0.77","0.72","0.83"
"Chinese","Kingston upon Hull, City of","!","N/A","!"
"Chinese","Kingston upon Thames","0.62","0.82","0.49"
"Chinese","Kirklees","0.77","!","!"
"Chinese","Knowsley","!","N/A","!"
"Chinese","Lambeth","0.25","0.09","0.40"
"Chinese","Lancashire","0.62","0.83","0.47"
"Chinese","Leeds","1.27","1.03","1.49"
"Chinese","Leicester","!","N/A","!"
"Chinese","Leicestershire","0.47","0.47","0.48"
"Chinese","Lewisham","0.70","0.75","0.68"
"Chinese","Lincolnshire","0.53","0.53","0.52"
"Chinese","Liverpool","0.61","0.51","0.72"
"Chinese","Luton","-0.02","!","!"
"Chinese","Manchester","0.94","0.85","1.04"
"Chinese","Medway","0.69","0.47","0.87"
"Chinese","Merton","1.45","!","!"
"Chinese","Middlesbrough","N/A","N/A","N/A"
"Chinese","Milton Keynes","0.50","0.14","1.50"
"Chinese","Newcastle upon Tyne","0.38","0.37","0.39"
"Chinese","Newham","0.59","0.54","0.65"
"Chinese","Norfolk","0.48","0.24","0.72"
"Chinese","North East Lincolnshire","!","N/A","!"
"Chinese","North Lincolnshire","0.76","0.76","N/A"
"Chinese","North Somerset","0.61","!","!"
"Chinese","North Tyneside","1.30","1.34","1.27"
"Chinese","North Yorkshire","0.96","0.46","1.39"
"Chinese","Northamptonshire","0.78","0.95","0.64"
"Chinese","Northumberland","0.79","!","!"
"Chinese","Nottingham","!","1.36","!"
"Chinese","Nottinghamshire","!","!","0.74"
"Chinese","Oldham","1.05","!","!"
"Chinese","Oxfordshire","0.91","0.54","1.12"
"Chinese","Peterborough","0.55","0.79","0.41"
"Chinese","Plymouth","1.43","1.82","0.90"
"Chinese","Poole","!","!","N/A"
"Chinese","Portsmouth","0.50","0.36","0.69"
"Chinese","Reading","0.87","0.94","0.79"
"Chinese","Redbridge","0.82","0.62","1.16"
"Chinese","Redcar and Cleveland","!","N/A","!"
"Chinese","Richmond upon Thames","0.96","0.73","1.30"
"Chinese","Rochdale","!","!","N/A"
"Chinese","Rotherham","0.68","0.94","0.41"
"Chinese","Rutland","N/A","N/A","N/A"
"Chinese","Salford","0.08","!","!"
"Chinese","Sandwell","1.11","!","!"
"Chinese","Sefton","0.11","!","!"
"Chinese","Sheffield","0.82","0.20","1.26"
"Chinese","Shropshire","0.85","0.85","0.85"
"Chinese","Slough","0.86","!","!"
"Chinese","Solihull","0.62","0.72","0.47"
"Chinese","Somerset","0.39","!","!"
"Chinese","South Gloucestershire","0.61","!","!"
"Chinese","South Tyneside","N/A","N/A","N/A"
"Chinese","Southampton","0.78","0.78","0.77"
"Chinese","Southend-on-Sea","0.61","0.50","0.74"
"Chinese","Southwark","0.77","0.67","0.94"
"Chinese","St. Helens","0.60","!","!"
"Chinese","Staffordshire","1.27","0.82","1.59"
"Chinese","Stockport","0.79","0.53","0.96"
"Chinese","Stockton-on-Tees","!","!","!"
"Chinese","Stoke-on-Trent","0.43","!","!"
"Chinese","Suffolk","0.67","!","!"
"Chinese","Sunderland","0.98","N/A","0.98"
"Chinese","Surrey","0.76","0.55","1.06"
"Chinese","Sutton","0.64","0.56","0.73"
