"Title","Pupil progress (‘Progress 8’)  by ethnicity and area"
"Location","England"
"Time period","2015/16"
"Data source","Revised GCSE and equivalent results in England: 2015 to 2016"
"Data source link","https://www.gov.uk/government/statistics/revised-gcse-and-equivalent-results-in-england-2015-to-2016"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated","-"

"Ethnicity","Local Authority","Score","Pupils"
"Chinese","Hampshire","0.64","28"
"Chinese","Haringey","0.82","7"
"Chinese","Harrow","0.28","9"
"Chinese","Hartlepool","!","!"
"Chinese","Havering","0.29","10"
"Chinese","Herefordshire, County of","1.60","4"
"Chinese","Hertfordshire","0.74","50"
"Chinese","Hillingdon","0.73","8"
"Chinese","Hounslow","0.91","5"
"Chinese","Isle of Wight","!","!"
"Chinese","Isles of Scilly","N/A","0"
"Chinese","Islington","!","!"
"Chinese","Kensington and Chelsea","!","!"
"Chinese","Kent","0.77","54"
"Chinese","Kingston upon Hull, City of","!","!"
"Chinese","Kingston upon Thames","0.62","15"
"Chinese","Kirklees","0.77","7"
"Chinese","Knowsley","!","!"
"Chinese","Lambeth","0.25","14"
"Chinese","Lancashire","0.62","25"
"Chinese","Leeds","1.27","23"
"Chinese","Leicester","!","!"
"Chinese","Leicestershire","0.47","15"
"Chinese","Lewisham","0.70","31"
"Chinese","Lincolnshire","0.53","14"
"Chinese","Liverpool","0.61","40"
"Chinese","Luton","-0.02","4"
"Chinese","Manchester","0.94","36"
"Chinese","Medway","0.69","9"
"Chinese","Merton","1.45","4"
"Chinese","Middlesbrough","N/A","0"
"Chinese","Milton Keynes","0.50","15"
"Chinese","Newcastle upon Tyne","0.38","7"
"Chinese","Newham","0.59","9"
"Chinese","Norfolk","0.48","14"
"Chinese","North East Lincolnshire","!","!"
"Chinese","North Lincolnshire","0.76","3"
"Chinese","North Somerset","0.61","5"
"Chinese","North Tyneside","1.30","9"
"Chinese","North Yorkshire","0.96","13"
"Chinese","Northamptonshire","0.78","17"
"Chinese","Northumberland","0.79","6"
"Chinese","Nottingham","!","!"
"Chinese","Nottinghamshire","!","21"
"Chinese","Oldham","1.05","6"
"Chinese","Oxfordshire","0.91","14"
"Chinese","Peterborough","0.55","8"
"Chinese","Plymouth","1.43","7"
"Chinese","Poole","!","!"
"Chinese","Portsmouth","0.50","7"
"Chinese","Reading","0.87","18"
"Chinese","Redbridge","0.82","16"
"Chinese","Redcar and Cleveland","!","!"
"Chinese","Richmond upon Thames","0.96","10"
"Chinese","Rochdale","!","!"
"Chinese","Rotherham","0.68","8"
"Chinese","Rutland","N/A","0"
"Chinese","Salford","0.08","6"
"Chinese","Sandwell","1.11","3"
"Chinese","Sefton","0.11","7"
"Chinese","Sheffield","0.82","12"
"Chinese","Shropshire","0.85","7"
"Chinese","Slough","0.86","5"
"Chinese","Solihull","0.62","10"
"Chinese","Somerset","0.39","5"
"Chinese","South Gloucestershire","0.61","6"
"Chinese","South Tyneside","N/A","0"
"Chinese","Southampton","0.78","7"
"Chinese","Southend-on-Sea","0.61","22"
"Chinese","Southwark","0.77","31"
"Chinese","St. Helens","0.60","4"
"Chinese","Staffordshire","1.27","17"
"Chinese","Stockport","0.79","10"
"Chinese","Stockton-on-Tees","!","!"
"Chinese","Stoke-on-Trent","0.43","6"
"Chinese","Suffolk","0.67","3"
"Chinese","Sunderland","0.98","3"
"Chinese","Surrey","0.76","34"
"Chinese","Sutton","0.64","40"
"Chinese","Swindon","0.18","7"
"Chinese","Tameside","0.62","9"
"Chinese","Telford and Wrekin","0.45","6"
"Chinese","Thurrock","0.78","9"
"Chinese","Torbay","0.54","3"
"Chinese","Tower Hamlets","0.99","9"
"Chinese","Trafford","0.51","43"
"Chinese","Wakefield","!","!"
"Chinese","Walsall","!","!"
"Chinese","Waltham Forest","0.95","9"
"Chinese","Wandsworth","0.54","13"
"Chinese","Warrington","0.52","5"
"Chinese","Warwickshire","0.59","13"
"Chinese","West Berkshire","0.74","10"
"Chinese","West Sussex","0.58","9"
"Chinese","Westminster","0.72","16"
"Chinese","Wigan","0.62","3"
"Chinese","Wiltshire","0.97","4"
"Chinese","Windsor and Maidenhead","0.42","7"
"Chinese","Wirral","0.87","11"
"Chinese","Wokingham","0.71","9"
"Chinese","Wolverhampton","!","!"
"Chinese","Worcestershire","0.68","6"
"Chinese","York","0.74","7"
"Black","All - England","0.17","24,265"
"Black","Barking and Dagenham","0.36","477"
"Black","Barnet","0.20","439"
"Black","Barnsley","0.64","9"
"Black","Bath and North East Somerset","-0.08","16"
"Black","Bedford","0.40","94"
"Black","Bexley","0.35","480"
"Black","Birmingham","0.14","1,307"
"Black","Blackburn with Darwen","-0.17","12"
"Black","Blackpool","0.01","7"
"Black","Bolton","0.29","82"
"Black","Bournemouth","0.36","9"
"Black","Bracknell Forest","0.06","22"
"Black","Bradford","0.36","59"
"Black","Brent","0.02","703"
"Black","Brighton and Hove","0.36","35"
"Black","Bristol, City of","0.01","235"
"Black","Bromley","0.26","244"
"Black","Buckinghamshire","0.07","108"
"Black","Bury","0.32","32"
"Black","Calderdale","0.52","18"
"Black","Cambridgeshire","0.43","46"
"Black","Camden","0.07","330"
"Black","Central Bedfordshire","0.33","37"
"Black","Cheshire East","-0.22","12"
"Black","Cheshire West and Chester","-0.02","10"
"Black","City of London","N/A","N/A"
"Black","Cornwall","-0.14","7"
"Black","County Durham","-0.29","6"
"Black","Coventry","0.35","202"
"Black","Croydon","0.10","1,006"
"Black","Cumbria","-0.48","7"
"Black","Darlington","!","!"
"Black","Derby","-0.13","78"
"Black","Derbyshire","0.13","18"
"Black","Devon","0.82","12"
"Black","Doncaster","-0.13","30"
"Black","Dorset","0.83","8"
"Black","Dudley","0.04","59"
"Black","Ealing","0.17","521"
"Black","East Riding of Yorkshire","!","!"
"Black","East Sussex","0.68","25"
"Black","Enfield","0.10","794"
"Black","Essex","0.40","278"
"Black","Gateshead","1.24","12"
"Black","Gloucestershire","-0.29","54"
"Black","Greenwich","0.21","539"
"Black","Hackney","0.25","657"
"Black","Halton","!","!"
"Black","Hammersmith and Fulham","0.01","311"
"Black","Hampshire","0.27","88"
"Black","Haringey","0.13","570"
"Black","Harrow","0.24","325"
"Black","Hartlepool","!","!"
"Black","Havering","0.13","327"
"Black","Herefordshire, County of","-0.15","5"
"Black","Hertfordshire","0.28","396"
"Black","Hillingdon","0.17","299"
"Black","Hounslow","0.30","320"
"Black","Isle of Wight","N/A","0"
"Black","Isles of Scilly","N/A","0"
"Black","Islington","0.22","400"
"Black","Kensington and Chelsea","0.32","140"
"Black","Kent","0.41","246"
"Black","Kingston upon Hull, City of","0.52","15"
"Black","Kingston upon Thames","0.23","66"
"Black","Kirklees","0.01","74"
"Black","Knowsley","!","!"
"Black","Lambeth","-0.02","880"
"Black","Lancashire","0.10","32"
"Black","Leeds","0.27","333"
"Black","Leicester","0.11","306"
"Black","Leicestershire","0.20","40"
"Black","Lewisham","-0.19","954"
"Black","Lincolnshire","0.07","26"
"Black","Liverpool","0.01","117"
"Black","Luton","0.20","259"
"Black","Manchester","0.24","597"
"Black","Medway","0.30","92"
"Black","Merton","0.24","267"
"Black","Middlesbrough","0.92","13"
"Black","Milton Keynes","0.37","269"
"Black","Newcastle upon Tyne","0.74","57"
"Black","Newham","0.16","826"
"Black","Norfolk","0.57","51"
"Black","North East Lincolnshire","!","!"
"Black","North Lincolnshire","0.31","9"
"Black","North Somerset","0.28","14"
"Black","North Tyneside","0.34","8"
"Black","North Yorkshire","0.49","16"
"Black","Northamptonshire","0.27","229"
"Black","Northumberland","!","!"
"Black","Nottingham","-0.06","209"
"Black","Nottinghamshire","0.08","67"
"Black","Oldham","0.16","36"
"Black","Oxfordshire","0.37","108"
"Black","Peterborough","0.49","56"
"Black","Plymouth","0.55","14"
"Black","Poole","0.49","3"
"Black","Portsmouth","0.87","27"
"Black","Reading","0.09","74"
"Black","Redbridge","0.21","470"
"Black","Redcar and Cleveland","!","!"
"Black","Richmond upon Thames","-0.04","43"
"Black","Rochdale","0.69","52"
"Black","Rotherham","0.65","31"
"Black","Rutland","0.37","3"
"Black","Salford","0.47","48"
"Black","Sandwell","-0.14","220"
"Black","Sefton","0.27","15"
"Black","Sheffield","0.27","219"
"Black","Shropshire","0.16","4"
"Black","Slough","0.28","139"
"Black","Solihull","-0.10","66"
"Black","Somerset","-0.01","10"
"Black","South Gloucestershire","-0.20","36"
"Black","South Tyneside","-0.18","6"
"Black","Southampton","0.59","47"
"Black","Southend-on-Sea","0.38","108"
"Black","Southwark","0.34","1,000"
"Black","St. Helens","-0.08","7"
"Black","Staffordshire","0.20","32"
"Black","Stockport","0.36","18"
"Black","Stockton-on-Tees","!","!"
"Black","Stoke-on-Trent","0.10","34"
"Black","Suffolk","0.35","37"
"Black","Sunderland","0.22","14"
"Black","Surrey","0.32","143"
"Black","Sutton","0.27","188"
"Black","Swindon","0.19","32"
"Black","Tameside","0.64","24"
"Black","Telford and Wrekin","0.34","24"
"Black","Thurrock","0.48","142"
"Black","Torbay","0.40","6"
"Black","Tower Hamlets","0.17","264"
"Black","Trafford","0.08","67"
"Black","Wakefield","0.31","27"
"Black","Walsall","0.12","121"
"Black","Waltham Forest","0.07","556"
"Black","Wandsworth","0.02","426"
"Black","Warrington","0.19","10"
"Black","Warwickshire","0.24","42"
"Black","West Berkshire","-0.19","22"
"Black","West Sussex","0.21","102"
"Black","Westminster","0.10","311"
"Black","Wigan","0.15","14"
"Black","Wiltshire","0.35","31"
