"Title","Pupil progress (‘Progress 8’) by ethnicity, gender and area"
"Location","England"
"Time period","2015/16"
"Data source","Revised GCSE and equivalent results in England: 2015 to 2016"
"Data source link","https://www.gov.uk/government/statistics/revised-gcse-and-equivalent-results-in-england-2015-to-2016"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated","19 January 2017 (revised)"

"","All pupils","","","Asian","","","Chinese","","","Black","","","Mixed","","","White","",""
"Local Authority","All","Boys","Girls","All","Boys","Girls","All","Boys","Girls","All","Boys","Girls","All","Boys","Girls","All","Boys","Girls"
"Isle of Wight","-0.33","-0.51","-0.14","-0.06","-0.48","0.57","!","!","N/A","N/A","N/A","N/A","-0.31","-0.46","-0.02","-0.33","-0.52","-0.14"
"Isles of Scilly","0.00","0.13","-0.13","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","-0.05","0.13","-0.22"
"Islington","0.19","0.12","0.28","0.51","0.44","0.58","!","!","N/A","0.22","0.19","0.25","0.04","-0.03","0.16","0.03","-0.06","0.15"
"Kensington and Chelsea","0.34","0.29","0.41","0.49","0.53","0.47","!","N/A","!","0.32","0.19","0.50","0.26","0.25","0.28","0.31","0.23","0.46"
"Kent","-0.04","-0.18","0.10","0.61","0.56","0.67","0.77","0.72","0.83","0.41","0.27","0.55","0.11","0.02","0.20","-0.08","-0.23","0.07"
"Kingston upon Hull, City of","0.03","-0.02","0.08","0.43","0.49","0.35","!","N/A","!","0.52","0.89","0.27","0.31","0.24","0.46","0.05","0.00","0.10"
"Kingston upon Thames","0.34","0.26","0.41","0.58","0.54","0.62","0.62","0.82","0.49","0.23","0.00","0.53","0.37","0.24","0.45","0.23","0.15","0.30"
"Kirklees","-0.11","-0.29","0.07","0.12","-0.05","0.29","0.77","!","!","0.01","-0.28","0.32","-0.28","-0.50","-0.03","-0.19","-0.36","-0.01"
"Knowsley","-0.89","-1.05","-0.70","!","!","!","!","N/A","!","!","!","!","-0.44","-0.18","-0.76","-0.91","-1.08","-0.71"
"Lambeth","0.06","-0.09","0.22","0.32","0.27","0.38","0.25","0.09","0.40","-0.02","-0.20","0.16","-0.05","-0.14","0.08","0.20","0.05","0.39"
"Lancashire","-0.11","-0.26","0.05","0.20","-0.05","0.47","0.62","0.83","0.47","0.10","-0.34","0.55","-0.14","-0.31","0.01","-0.14","-0.28","0.01"
"Leeds","-0.06","-0.21","0.10","0.08","-0.14","0.31","1.27","1.03","1.49","0.27","0.16","0.39","-0.19","-0.36","-0.01","-0.09","-0.23","0.05"
"Leicester","-0.14","-0.31","0.05","0.19","0.01","0.38","!","N/A","!","0.11","-0.06","0.28","-0.52","-0.64","-0.39","-0.55","-0.72","-0.37"
"Leicestershire","-0.12","-0.27","0.05","0.64","0.49","0.80","0.47","0.47","0.48","0.20","0.20","0.21","-0.03","-0.17","0.14","-0.19","-0.35","-0.02"
"Lewisham","-0.14","-0.35","0.10","0.41","0.23","0.60","0.70","0.75","0.68","-0.19","-0.46","0.13","-0.21","-0.32","-0.09","-0.21","-0.34","-0.04"
"Lincolnshire","-0.11","-0.25","0.04","0.50","!","!","0.53","0.53","0.52","0.07","0.19","-0.07","0.20","0.09","0.33","-0.12","-0.27","0.03"
"Liverpool","-0.35","-0.42","-0.27","0.31","0.21","0.45","0.61","0.51","0.72","0.01","-0.20","0.19","-0.47","-0.63","-0.31","-0.38","-0.46","-0.30"
"Luton","0.01","-0.09","0.11","0.22","0.21","0.24","-0.02","!","!","0.20","-0.09","0.47","-0.25","-0.41","-0.11","-0.23","-0.34","-0.11"
"Manchester","-0.03","-0.16","0.11","0.44","0.32","0.56","0.94","0.85","1.04","0.24","0.09","0.42","-0.28","-0.33","-0.24","-0.32","-0.46","-0.17"
"Medway","0.05","-0.04","0.14","0.66","0.63","0.68","0.69","0.47","0.87","0.30","0.28","0.32","0.04","-0.15","0.16","-0.01","-0.09","0.08"
"Merton","0.27","0.10","0.45","0.54","0.48","0.61","1.45","!","!","0.24","-0.05","0.52","0.23","0.22","0.24","0.21","0.01","0.41"
"Middlesbrough","-0.12","-0.25","0.00","0.80","0.78","0.82","N/A","N/A","N/A","0.92","0.69","1.19","0.24","0.00","0.42","-0.22","-0.31","-0.14"
"Milton Keynes","-0.12","-0.26","0.03","0.23","0.00","0.51","0.50","0.14","1.50","0.37","0.24","0.51","-0.12","-0.25","0.02","-0.23","-0.37","-0.09"
"Newcastle upon Tyne","-0.07","-0.12","-0.03","0.56","0.52","0.62","0.38","0.37","0.39","0.74","0.32","1.04","0.43","0.21","0.65","-0.19","-0.23","-0.15"
"Newham","0.23","0.10","0.37","0.40","0.28","0.52","0.59","0.54","0.65","0.16","0.04","0.30","-0.18","-0.42","0.07","-0.07","-0.17","0.06"
"Norfolk","0.01","-0.10","0.14","0.63","0.38","0.82","0.48","0.24","0.72","0.57","0.38","0.87","0.07","-0.03","0.18","0.00","-0.11","0.12"
"North East Lincolnshire","-0.06","-0.15","0.03","0.23","!","!","!","N/A","!","!","-0.75","!","0.13","0.07","0.25","-0.08","-0.18","0.01"
"North Lincolnshire","0.08","-0.04","0.21","0.53","0.32","0.69","0.76","0.76","N/A","0.31","!","!","0.37","0.17","0.54","0.06","-0.05","0.18"
"North Somerset","-0.12","-0.26","0.03","0.11","0.07","0.15","0.61","!","!","0.28","!","!","0.18","0.00","0.36","-0.13","-0.27","0.02"
