"Title","Travel by distance, trips, type of transport and purpose"
"Location","England"
"Time period","2002/06 to 2011/15 (5 yr rolling average)"
"Data source","Department for Transport"
"Data source link","https://www.gov.uk/government/collections/national-travel-survey-statistics"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated","-"
"Measure","Time","Time_Type","Ethnicity","Ethnicity_Type","Main_Mode_of_Transport","Value","Weighted_Sample_Trips","Unweighted_Sample_Trips","Weighted_Sample_Individuals","Unweighted_Sample_Individuals"
"Average trips per year by mode of transport","2007-2011","5-year rolling average","All ethnic groups","National Travel Survey broad ethnicity classification","Car / van driver","401","642110","603984","83421","82800"
"Average trips per year by mode of transport","2007-2011","5-year rolling average","All ethnic groups","National Travel Survey broad ethnicity classification","Car / van passenger","217","347221","335146","83421","82800"
"Average trips per year by mode of transport","2007-2011","5-year rolling average","All ethnic groups","National Travel Survey broad ethnicity classification","London Underground","10","15603","12447","83421","82800"
"Average trips per year by mode of transport","2007-2011","5-year rolling average","All ethnic groups","National Travel Survey broad ethnicity classification","Motorcycle ","3","5411","4658","83421","82800"
"Average trips per year by mode of transport","2007-2011","5-year rolling average","All ethnic groups","National Travel Survey broad ethnicity classification","Non-local bus","1","1080","1021","83421","82800"
"Average trips per year by mode of transport","2007-2011","5-year rolling average","All ethnic groups","National Travel Survey broad ethnicity classification","Other local bus","44","69639","64128","83421","82800"
"Average trips per year by mode of transport","2007-2011","5-year rolling average","All ethnic groups","National Travel Survey broad ethnicity classification","Other private transport","8","12259","12141","83421","82800"
"Average trips per year by mode of transport","2007-2011","5-year rolling average","All ethnic groups","National Travel Survey broad ethnicity classification","Other public transport","2","3655","3304","83421","82800"
"Average trips per year by mode of transport","2007-2011","5-year rolling average","All ethnic groups","National Travel Survey broad ethnicity classification","Surface Rail","18","28757","25409","83421","82800"
"Average trips per year by mode of transport","2007-2011","5-year rolling average","All ethnic groups","National Travel Survey broad ethnicity classification","Taxi / minicab","10","16077","14605","83421","82800"
"Average trips per year by mode of transport","2007-2011","5-year rolling average","All ethnic groups","National Travel Survey broad ethnicity classification","Walk","220","351739","345661","83421","82800"
"Average trips per year by mode of transport","2007-2011","5-year rolling average","Asian / Asian British","National Travel Survey broad ethnicity classification","All Modes","813","80278","69981","5151","4717"
"Average trips per year by mode of transport","2007-2011","5-year rolling average","Asian / Asian British","National Travel Survey broad ethnicity classification","Bicycle","6","552","444","5151","4717"
"Average trips per year by mode of transport","2007-2011","5-year rolling average","Asian / Asian British","National Travel Survey broad ethnicity classification","Bus in London","57","5583","4685","5151","4717"
"Average trips per year by mode of transport","2007-2011","5-year rolling average","Asian / Asian British","National Travel Survey broad ethnicity classification","Car / van driver","254","25109","21431","5151","4717"
"Average trips per year by mode of transport","2007-2011","5-year rolling average","Asian / Asian British","National Travel Survey broad ethnicity classification","Car / van passenger","181","17923","16116","5151","4717"
"Average trips per year by mode of transport","2007-2011","5-year rolling average","Asian / Asian British","National Travel Survey broad ethnicity classification","London Underground","21","2088","1618","5151","4717"
"Average trips per year by mode of transport","2007-2011","5-year rolling average","Asian / Asian British","National Travel Survey broad ethnicity classification","Motorcycle ","!","!","!","!","!"
"Average trips per year by mode of transport","2007-2011","5-year rolling average","Asian / Asian British","National Travel Survey broad ethnicity classification","Non-local bus","!","!","!","!","!"
"Average trips per year by mode of transport","2007-2011","5-year rolling average","Asian / Asian British","National Travel Survey broad ethnicity classification","Other local bus","35","3462","2734","5151","4717"
"Average trips per year by mode of transport","2007-2011","5-year rolling average","Asian / Asian British","National Travel Survey broad ethnicity classification","Other private transport","5","498","391","5151","4717"
"Average trips per year by mode of transport","2007-2011","5-year rolling average","Asian / Asian British","National Travel Survey broad ethnicity classification","Other public transport","!","!","!","!","!"
"Average trips per year by mode of transport","2007-2011","5-year rolling average","Asian / Asian British","National Travel Survey broad ethnicity classification","Surface Rail","25","2423","1987","5151","4717"
"Average trips per year by mode of transport","2007-2011","5-year rolling average","Asian / Asian British","National Travel Survey broad ethnicity classification","Taxi / minicab","6","614","523","5151","4717"
"Average trips per year by mode of transport","2007-2011","5-year rolling average","Asian / Asian British","National Travel Survey broad ethnicity classification","Walk","219","21654","19776","5151","4717"
"Average trips per year by mode of transport","2007-2011","5-year rolling average","Black / African / Caribbean / Black British","National Travel Survey broad ethnicity classification","All Modes","807","37389","34337","2416","2316"
"Average trips per year by mode of transport","2007-2011","5-year rolling average","Black / African / Caribbean / Black British","National Travel Survey broad ethnicity classification","Bicycle","!","!","!","!","!"
"Average trips per year by mode of transport","2007-2011","5-year rolling average","Black / African / Caribbean / Black British","National Travel Survey broad ethnicity classification","Bus in London","164","7583","6979","2416","2316"
"Average trips per year by mode of transport","2007-2011","5-year rolling average","Black / African / Caribbean / Black British","National Travel Survey broad ethnicity classification","Car / van driver","198","9155","8131","2416","2316"
"Average trips per year by mode of transport","2007-2011","5-year rolling average","Black / African / Caribbean / Black British","National Travel Survey broad ethnicity classification","Car / van passenger","124","5745","5379","2416","2316"
"Average trips per year by mode of transport","2007-2011","5-year rolling average","Black / African / Caribbean / Black British","National Travel Survey broad ethnicity classification","London Underground","27","1254","1100","2416","2316"
"Average trips per year by mode of transport","2007-2011","5-year rolling average","Black / African / Caribbean / Black British","National Travel Survey broad ethnicity classification","Motorcycle ","!","!","!","!","!"
"Average trips per year by mode of transport","2007-2011","5-year rolling average","Black / African / Caribbean / Black British","National Travel Survey broad ethnicity classification","Non-local bus","!","!","!","!","!"
"Average trips per year by mode of transport","2007-2011","5-year rolling average","Black / African / Caribbean / Black British","National Travel Survey broad ethnicity classification","Other local bus","49","2277","1990","2416","2316"
"Average trips per year by mode of transport","2007-2011","5-year rolling average","Black / African / Caribbean / Black British","National Travel Survey broad ethnicity classification","Other private transport","!","!","!","!","!"
"Average trips per year by mode of transport","2007-2011","5-year rolling average","Black / African / Caribbean / Black British","National Travel Survey broad ethnicity classification","Other public transport","!","!","!","!","!"
"Average trips per year by mode of transport","2007-2011","5-year rolling average","Black / African / Caribbean / Black British","National Travel Survey broad ethnicity classification","Surface Rail","30","1413","1223","2416","2316"
"Average trips per year by mode of transport","2007-2011","5-year rolling average","Black / African / Caribbean / Black British","National Travel Survey broad ethnicity classification","Taxi / minicab","8","380","338","2416","2316"
"Average trips per year by mode of transport","2007-2011","5-year rolling average","Black / African / Caribbean / Black British","National Travel Survey broad ethnicity classification","Walk","189","8755","8452","2416","2316"
"Average trips per year by mode of transport","2007-2011","5-year rolling average","Mixed / Multiple ethnic groups","National Travel Survey broad ethnicity classification","All Modes","881","23281","21107","1377","1290"
"Average trips per year by mode of transport","2007-2011","5-year rolling average","Mixed / Multiple ethnic groups","National Travel Survey broad ethnicity classification","Bicycle","14","369","304","1377","1290"
"Average trips per year by mode of transport","2007-2011","5-year rolling average","Mixed / Multiple ethnic groups","National Travel Survey broad ethnicity classification","Bus in London","65","1728","1464","1377","1290"
"Average trips per year by mode of transport","2007-2011","5-year rolling average","Mixed / Multiple ethnic groups","National Travel Survey broad ethnicity classification","Car / van driver","168","4427","3820","1377","1290"
"Average trips per year by mode of transport","2007-2011","5-year rolling average","Mixed / Multiple ethnic groups","National Travel Survey broad ethnicity classification","Car / van passenger","245","6481","6197","1377","1290"
"Average trips per year by mode of transport","2007-2011","5-year rolling average","Mixed / Multiple ethnic groups","National Travel Survey broad ethnicity classification","London Underground","17","441","303","1377","1290"
"Average trips per year by mode of transport","2007-2011","5-year rolling average","Mixed / Multiple ethnic groups","National Travel Survey broad ethnicity classification","Motorcycle ","!","!","!","!","!"
"Average trips per year by mode of transport","2007-2011","5-year rolling average","Mixed / Multiple ethnic groups","National Travel Survey broad ethnicity classification","Non-local bus","!","!","!","!","!"
"Average trips per year by mode of transport","2007-2011","5-year rolling average","Mixed / Multiple ethnic groups","National Travel Survey broad ethnicity classification","Other local bus","52","1385","1239","1377","1290"
"Average trips per year by mode of transport","2007-2011","5-year rolling average","Mixed / Multiple ethnic groups","National Travel Survey broad ethnicity classification","Other private transport","!","!","!","!","!"
"Average trips per year by mode of transport","2007-2011","5-year rolling average","Mixed / Multiple ethnic groups","National Travel Survey broad ethnicity classification","Other public transport","!","!","!","!","!"
"Average trips per year by mode of transport","2007-2011","5-year rolling average","Mixed / Multiple ethnic groups","National Travel Survey broad ethnicity classification","Surface Rail","24","643","553","1377","1290"
"Average trips per year by mode of transport","2007-2011","5-year rolling average","Mixed / Multiple ethnic groups","National Travel Survey broad ethnicity classification","Taxi / minicab","15","407","334","1377","1290"
"Average trips per year by mode of transport","2007-2011","5-year rolling average","Mixed / Multiple ethnic groups","National Travel Survey broad ethnicity classification","Walk","269","7119","6643","1377","1290"
"Average trips per year by mode of transport","2007-2011","5-year rolling average","Other ethnic group","National Travel Survey broad ethnicity classification","All Modes","812","16115","14016","1035","944"
"Average trips per year by mode of transport","2007-2011","5-year rolling average","Other ethnic group","National Travel Survey broad ethnicity classification","Bicycle","21","421","322","1035","944"
"Average trips per year by mode of transport","2007-2011","5-year rolling average","Other ethnic group","National Travel Survey broad ethnicity classification","Bus in London","79","1575","1298","1035","944"
"Average trips per year by mode of transport","2007-2011","5-year rolling average","Other ethnic group","National Travel Survey broad ethnicity classification","Car / van driver","202","4011","3566","1035","944"
"Average trips per year by mode of transport","2007-2011","5-year rolling average","Other ethnic group","National Travel Survey broad ethnicity classification","Car / van passenger","134","2666","2568","1035","944"
"Average trips per year by mode of transport","2007-2011","5-year rolling average","Other ethnic group","National Travel Survey broad ethnicity classification","London Underground","46","912","690","1035","944"
"Average trips per year by mode of transport","2007-2011","5-year rolling average","Other ethnic group","National Travel Survey broad ethnicity classification","Motorcycle ","!","!","!","!","!"
"Average trips per year by mode of transport","2007-2011","5-year rolling average","Other ethnic group","National Travel Survey broad ethnicity classification","Non-local bus","!","!","!","!","!"
"Average trips per year by mode of transport","2007-2011","5-year rolling average","Other ethnic group","National Travel Survey broad ethnicity classification","Other local bus","44","879","699","1035","944"
"Average trips per year by mode of transport","2007-2011","5-year rolling average","Other ethnic group","National Travel Survey broad ethnicity classification","Other private transport","!","!","!","!","!"
"Average trips per year by mode of transport","2007-2011","5-year rolling average","Other ethnic group","National Travel Survey broad ethnicity classification","Other public transport","!","!","!","!","!"
"Average trips per year by mode of transport","2007-2011","5-year rolling average","Other ethnic group","National Travel Survey broad ethnicity classification","Surface Rail","25","492","413","1035","944"
"Average trips per year by mode of transport","2007-2011","5-year rolling average","Other ethnic group","National Travel Survey broad ethnicity classification","Taxi / minicab","!","!","!","!","!"
"Average trips per year by mode of transport","2007-2011","5-year rolling average","Other ethnic group","National Travel Survey broad ethnicity classification","Walk","243","4833","4181","1035","944"
"Average trips per year by mode of transport","2007-2011","5-year rolling average","White","National Travel Survey broad ethnicity classification","All Modes","991","1394969","1334842","73370","73459"
"Average trips per year by mode of transport","2007-2011","5-year rolling average","White","National Travel Survey broad ethnicity classification","Bicycle","17","23778","21653","73370","73459"
"Average trips per year by mode of transport","2007-2011","5-year rolling average","White","National Travel Survey broad ethnicity classification","Bus in London","13","17959","15719","73370","73459"
"Average trips per year by mode of transport","2007-2011","5-year rolling average","White","National Travel Survey broad ethnicity classification","Car / van driver","426","598875","566517","73370","73459"
"Average trips per year by mode of transport","2007-2011","5-year rolling average","White","National Travel Survey broad ethnicity classification","Car / van passenger","223","314084","304563","73370","73459"
"Average trips per year by mode of transport","2007-2011","5-year rolling average","White","National Travel Survey broad ethnicity classification","London Underground","8","10889","8720","73370","73459"
"Average trips per year by mode of transport","2007-2011","5-year rolling average","White","National Travel Survey broad ethnicity classification","Motorcycle ","4","5265","4545","73370","73459"
"Average trips per year by mode of transport","2007-2011","5-year rolling average","White","National Travel Survey broad ethnicity classification","Non-local bus","1","918","884","73370","73459"
"Average trips per year by mode of transport","2007-2011","5-year rolling average","White","National Travel Survey broad ethnicity classification","Other local bus","44","61619","57447","73370","73459"
"Average trips per year by mode of transport","2007-2011","5-year rolling average","White","National Travel Survey broad ethnicity classification","Other private transport","8","11304","11322","73370","73459"
"Average trips per year by mode of transport","2007-2011","5-year rolling average","White","National Travel Survey broad ethnicity classification","Other public transport","2","3006","2768","73370","73459"
"Average trips per year by mode of transport","2007-2011","5-year rolling average","White","National Travel Survey broad ethnicity classification","Surface Rail","17","23730","21175","73370","73459"
"Average trips per year by mode of transport","2007-2011","5-year rolling average","White","National Travel Survey broad ethnicity classification","Taxi / minicab","10","14483","13249","73370","73459"
"Average trips per year by mode of transport","2007-2011","5-year rolling average","White","National Travel Survey broad ethnicity classification","Walk","220","309058","306280","73370","73459"
"Average trips per year by mode of transport","2008-2012","5-year rolling average","All ethnic groups","National Travel Survey broad ethnicity classification","All modes","966","1539324","1463504","83120","82612"
"Average trips per year by mode of transport","2008-2012","5-year rolling average","All ethnic groups","National Travel Survey broad ethnicity classification","Bicycle","16","26160","23632","83120","82612"
"Average trips per year by mode of transport","2008-2012","5-year rolling average","All ethnic groups","National Travel Survey broad ethnicity classification","Bus in London","21","33892","29455","83120","82612"
"Average trips per year by mode of transport","2008-2012","5-year rolling average","All ethnic groups","National Travel Survey broad ethnicity classification","Car / van driver","399","635574","601134","83120","82612"
"Average trips per year by mode of transport","2008-2012","5-year rolling average","All ethnic groups","National Travel Survey broad ethnicity classification","Car / van passenger","216","344026","332131","83120","82612"
"Average trips per year by mode of transport","2008-2012","5-year rolling average","All ethnic groups","National Travel Survey broad ethnicity classification","London Underground","10","15338","11971","83120","82612"
"Average trips per year by mode of transport","2008-2012","5-year rolling average","All ethnic groups","National Travel Survey broad ethnicity classification","Motorcycle ","3","5440","4727","83120","82612"
"Average trips per year by mode of transport","2008-2012","5-year rolling average","All ethnic groups","National Travel Survey broad ethnicity classification","Non-local bus","1","987","942","83120","82612"
"Average trips per year by mode of transport","2008-2012","5-year rolling average","All ethnic groups","National Travel Survey broad ethnicity classification","Other local bus","43","68559","63580","83120","82612"
"Average trips per year by mode of transport","2008-2012","5-year rolling average","All ethnic groups","National Travel Survey broad ethnicity classification","Other private transport","8","12044","11908","83120","82612"
"Average trips per year by mode of transport","2008-2012","5-year rolling average","All ethnic groups","National Travel Survey broad ethnicity classification","Other public transport","2","3706","3304","83120","82612"
"Average trips per year by mode of transport","2008-2012","5-year rolling average","All ethnic groups","National Travel Survey broad ethnicity classification","Surface Rail","18","29295","25855","83120","82612"
"Average trips per year by mode of transport","2008-2012","5-year rolling average","All ethnic groups","National Travel Survey broad ethnicity classification","Taxi / minicab","10","15926","14516","83120","82612"
"Average trips per year by mode of transport","2008-2012","5-year rolling average","All ethnic groups","National Travel Survey broad ethnicity classification","Walk","219","348375","340349","83120","82612"
"Average trips per year by mode of transport","2008-2012","5-year rolling average","Asian / Asian British","National Travel Survey broad ethnicity classification","All Modes","813","85003","74523","5450","4980"
"Average trips per year by mode of transport","2008-2012","5-year rolling average","Asian / Asian British","National Travel Survey broad ethnicity classification","Bicycle","6","588","473","5450","4980"
"Average trips per year by mode of transport","2008-2012","5-year rolling average","Asian / Asian British","National Travel Survey broad ethnicity classification","Bus in London","55","5712","4890","5450","4980"
"Average trips per year by mode of transport","2008-2012","5-year rolling average","Asian / Asian British","National Travel Survey broad ethnicity classification","Car / van driver","255","26681","23031","5450","4980"
"Average trips per year by mode of transport","2008-2012","5-year rolling average","Asian / Asian British","National Travel Survey broad ethnicity classification","Car / van passenger","182","18991","17135","5450","4980"
"Average trips per year by mode of transport","2008-2012","5-year rolling average","Asian / Asian British","National Travel Survey broad ethnicity classification","London Underground","21","2172","1663","5450","4980"
"Average trips per year by mode of transport","2008-2012","5-year rolling average","Asian / Asian British","National Travel Survey broad ethnicity classification","Motorcycle ","!","!","!","!","!"
"Average trips per year by mode of transport","2008-2012","5-year rolling average","Asian / Asian British","National Travel Survey broad ethnicity classification","Non-local bus","!","!","!","!","!"
"Average trips per year by mode of transport","2008-2012","5-year rolling average","Asian / Asian British","National Travel Survey broad ethnicity classification","Other local bus","34","3535","2799","5450","4980"
"Average trips per year by mode of transport","2008-2012","5-year rolling average","Asian / Asian British","National Travel Survey broad ethnicity classification","Other private transport","5","485","388","5450","4980"
"Average trips per year by mode of transport","2008-2012","5-year rolling average","Asian / Asian British","National Travel Survey broad ethnicity classification","Other public transport","!","!","!","!","!"
"Average trips per year by mode of transport","2008-2012","5-year rolling average","Asian / Asian British","National Travel Survey broad ethnicity classification","Surface Rail","25","2636","2133","5450","4980"
"Average trips per year by mode of transport","2008-2012","5-year rolling average","Asian / Asian British","National Travel Survey broad ethnicity classification","Taxi / minicab","6","618","491","5450","4980"
"Average trips per year by mode of transport","2008-2012","5-year rolling average","Asian / Asian British","National Travel Survey broad ethnicity classification","Walk","221","23126","21183","5450","4980"
"Average trips per year by mode of transport","2008-2012","5-year rolling average","Black / African / Caribbean / Black British","National Travel Survey broad ethnicity classification","All Modes","806","38282","35503","2475","2396"
"Average trips per year by mode of transport","2008-2012","5-year rolling average","Black / African / Caribbean / Black British","National Travel Survey broad ethnicity classification","Bicycle","!","!","!","!","!"
"Average trips per year by mode of transport","2008-2012","5-year rolling average","Black / African / Caribbean / Black British","National Travel Survey broad ethnicity classification","Bus in London","167","7920","7256","2475","2396"
"Average trips per year by mode of transport","2008-2012","5-year rolling average","Black / African / Caribbean / Black British","National Travel Survey broad ethnicity classification","Car / van driver","190","9028","8221","2475","2396"
"Average trips per year by mode of transport","2008-2012","5-year rolling average","Black / African / Caribbean / Black British","National Travel Survey broad ethnicity classification","Car / van passenger","128","6091","5788","2475","2396"
"Average trips per year by mode of transport","2008-2012","5-year rolling average","Black / African / Caribbean / Black British","National Travel Survey broad ethnicity classification","London Underground","26","1249","1057","2475","2396"
"Average trips per year by mode of transport","2008-2012","5-year rolling average","Black / African / Caribbean / Black British","National Travel Survey broad ethnicity classification","Motorcycle ","!","!","!","!","!"
"Average trips per year by mode of transport","2008-2012","5-year rolling average","Black / African / Caribbean / Black British","National Travel Survey broad ethnicity classification","Non-local bus","!","!","!","!","!"
"Average trips per year by mode of transport","2008-2012","5-year rolling average","Black / African / Caribbean / Black British","National Travel Survey broad ethnicity classification","Other local bus","47","2252","2030","2475","2396"
"Average trips per year by mode of transport","2008-2012","5-year rolling average","Black / African / Caribbean / Black British","National Travel Survey broad ethnicity classification","Other private transport","!","!","!","!","!"
"Average trips per year by mode of transport","2008-2012","5-year rolling average","Black / African / Caribbean / Black British","National Travel Survey broad ethnicity classification","Other public transport","!","!","!","!","!"
"Average trips per year by mode of transport","2008-2012","5-year rolling average","Black / African / Caribbean / Black British","National Travel Survey broad ethnicity classification","Surface Rail","32","1514","1339","2475","2396"
"Average trips per year by mode of transport","2008-2012","5-year rolling average","Black / African / Caribbean / Black British","National Travel Survey broad ethnicity classification","Taxi / minicab","8","399","347","2475","2396"
"Average trips per year by mode of transport","2008-2012","5-year rolling average","Black / African / Caribbean / Black British","National Travel Survey broad ethnicity classification","Walk","192","9110","8814","2475","2396"
"Average trips per year by mode of transport","2008-2012","5-year rolling average","Mixed / Multiple ethnic groups","National Travel Survey broad ethnicity classification","All Modes","867","22763","20669","1369","1285"
"Average trips per year by mode of transport","2008-2012","5-year rolling average","Mixed / Multiple ethnic groups","National Travel Survey broad ethnicity classification","Bicycle","18","459","378","1369","1285"
"Average trips per year by mode of transport","2008-2012","5-year rolling average","Mixed / Multiple ethnic groups","National Travel Survey broad ethnicity classification","Bus in London","58","1531","1274","1369","1285"
"Average trips per year by mode of transport","2008-2012","5-year rolling average","Mixed / Multiple ethnic groups","National Travel Survey broad ethnicity classification","Car / van driver","171","4478","3931","1369","1285"
"Average trips per year by mode of transport","2008-2012","5-year rolling average","Mixed / Multiple ethnic groups","National Travel Survey broad ethnicity classification","Car / van passenger","243","6390","6158","1369","1285"
"Average trips per year by mode of transport","2008-2012","5-year rolling average","Mixed / Multiple ethnic groups","National Travel Survey broad ethnicity classification","London Underground","18","465","315","1369","1285"
"Average trips per year by mode of transport","2008-2012","5-year rolling average","Mixed / Multiple ethnic groups","National Travel Survey broad ethnicity classification","Motorcycle ","!","!","!","!","!"
"Average trips per year by mode of transport","2008-2012","5-year rolling average","Mixed / Multiple ethnic groups","National Travel Survey broad ethnicity classification","Non-local bus","!","!","!","!","!"
"Average trips per year by mode of transport","2008-2012","5-year rolling average","Mixed / Multiple ethnic groups","National Travel Survey broad ethnicity classification","Other local bus","54","1415","1261","1369","1285"
"Average trips per year by mode of transport","2008-2012","5-year rolling average","Mixed / Multiple ethnic groups","National Travel Survey broad ethnicity classification","Other private transport","!","!","!","!","!"
"Average trips per year by mode of transport","2008-2012","5-year rolling average","Mixed / Multiple ethnic groups","National Travel Survey broad ethnicity classification","Other public transport","!","!","!","!","!"
"Average trips per year by mode of transport","2008-2012","5-year rolling average","Mixed / Multiple ethnic groups","National Travel Survey broad ethnicity classification","Surface Rail","23","594","518","1369","1285"
"Average trips per year by mode of transport","2008-2012","5-year rolling average","Mixed / Multiple ethnic groups","National Travel Survey broad ethnicity classification","Taxi / minicab","15","382","321","1369","1285"
"Average trips per year by mode of transport","2008-2012","5-year rolling average","Mixed / Multiple ethnic groups","National Travel Survey broad ethnicity classification","Walk","257","6745","6244","1369","1285"
"Average trips per year by mode of transport","2008-2012","5-year rolling average","Other ethnic group","National Travel Survey broad ethnicity classification","All Modes","777","16535","14381","1110","1014"
"Average trips per year by mode of transport","2008-2012","5-year rolling average","Other ethnic group","National Travel Survey broad ethnicity classification","Bicycle","20","422","320","1110","1014"
"Average trips per year by mode of transport","2008-2012","5-year rolling average","Other ethnic group","National Travel Survey broad ethnicity classification","Bus in London","73","1558","1238","1110","1014"
"Average trips per year by mode of transport","2008-2012","5-year rolling average","Other ethnic group","National Travel Survey broad ethnicity classification","Car / van driver","197","4189","3740","1110","1014"
"Average trips per year by mode of transport","2008-2012","5-year rolling average","Other ethnic group","National Travel Survey broad ethnicity classification","Car / van passenger","136","2892","2763","1110","1014"
"Average trips per year by mode of transport","2008-2012","5-year rolling average","Other ethnic group","National Travel Survey broad ethnicity classification","London Underground","41","880","659","1110","1014"
"Average trips per year by mode of transport","2008-2012","5-year rolling average","Other ethnic group","National Travel Survey broad ethnicity classification","Motorcycle ","!","!","!","!","!"
"Average trips per year by mode of transport","2008-2012","5-year rolling average","Other ethnic group","National Travel Survey broad ethnicity classification","Non-local bus","!","!","!","!","!"
"Average trips per year by mode of transport","2008-2012","5-year rolling average","Other ethnic group","National Travel Survey broad ethnicity classification","Other local bus","46","975","790","1110","1014"
"Average trips per year by mode of transport","2008-2012","5-year rolling average","Other ethnic group","National Travel Survey broad ethnicity classification","Other private transport","!","!","!","!","!"
"Average trips per year by mode of transport","2008-2012","5-year rolling average","Other ethnic group","National Travel Survey broad ethnicity classification","Other public transport","!","!","!","!","!"
"Average trips per year by mode of transport","2008-2012","5-year rolling average","Other ethnic group","National Travel Survey broad ethnicity classification","Surface Rail","21","439","363","1110","1014"
"Average trips per year by mode of transport","2008-2012","5-year rolling average","Other ethnic group","National Travel Survey broad ethnicity classification","Taxi / minicab","!","!","!","!","!"
"Average trips per year by mode of transport","2008-2012","5-year rolling average","Other ethnic group","National Travel Survey broad ethnicity classification","Walk","227","4840","4217","1110","1014"
"Average trips per year by mode of transport","2008-2012","5-year rolling average","White","National Travel Survey broad ethnicity classification","All Modes","987","1375661","1317501","72660","72885"
"Average trips per year by mode of transport","2008-2012","5-year rolling average","White","National Travel Survey broad ethnicity classification","Bicycle","17","24328","22176","72660","72885"
"Average trips per year by mode of transport","2008-2012","5-year rolling average","White","National Travel Survey broad ethnicity classification","Bus in London","12","17077","14709","72660","72885"
"Average trips per year by mode of transport","2008-2012","5-year rolling average","White","National Travel Survey broad ethnicity classification","Car / van driver","424","590864","561925","72660","72885"
"Average trips per year by mode of transport","2008-2012","5-year rolling average","White","National Travel Survey broad ethnicity classification","Car / van passenger","222","309479","300121","72660","72885"
"Average trips per year by mode of transport","2008-2012","5-year rolling average","White","National Travel Survey broad ethnicity classification","London Underground","8","10543","8253","72660","72885"
"Average trips per year by mode of transport","2008-2012","5-year rolling average","White","National Travel Survey broad ethnicity classification","Motorcycle ","4","5305","4627","72660","72885"
"Average trips per year by mode of transport","2008-2012","5-year rolling average","White","National Travel Survey broad ethnicity classification","Non-local bus","1","822","802","72660","72885"
"Average trips per year by mode of transport","2008-2012","5-year rolling average","White","National Travel Survey broad ethnicity classification","Other local bus","43","60368","56685","72660","72885"
"Average trips per year by mode of transport","2008-2012","5-year rolling average","White","National Travel Survey broad ethnicity classification","Other private transport","8","11161","11156","72660","72885"
"Average trips per year by mode of transport","2008-2012","5-year rolling average","White","National Travel Survey broad ethnicity classification","Other public transport","2","2986","2710","72660","72885"
"Average trips per year by mode of transport","2008-2012","5-year rolling average","White","National Travel Survey broad ethnicity classification","Surface Rail","17","24070","21461","72660","72885"
"Average trips per year by mode of transport","2008-2012","5-year rolling average","White","National Travel Survey broad ethnicity classification","Taxi / minicab","10","14342","13203","72660","72885"
"Average trips per year by mode of transport","2008-2012","5-year rolling average","White","National Travel Survey broad ethnicity classification","Walk","218","304315","299673","72660","72885"
"Average trips per year by mode of transport","2009-2013","5-year rolling average","All ethnic groups","National Travel Survey broad ethnicity classification","All modes","952","1513551","1442650","82923","82444"
"Average trips per year by mode of transport","2009-2013","5-year rolling average","All ethnic groups","National Travel Survey broad ethnicity classification","Bicycle","16","25318","22723","82923","82444"
"Average trips per year by mode of transport","2009-2013","5-year rolling average","All ethnic groups","National Travel Survey broad ethnicity classification","Bus in London","21","34031","29927","82923","82444"
"Average trips per year by mode of transport","2009-2013","5-year rolling average","All ethnic groups","National Travel Survey broad ethnicity classification","Car / van driver","393","624614","593313","82923","82444"
"Average trips per year by mode of transport","2009-2013","5-year rolling average","All ethnic groups","National Travel Survey broad ethnicity classification","Car / van passenger","213","338019","327426","82923","82444"
"Average trips per year by mode of transport","2009-2013","5-year rolling average","All ethnic groups","National Travel Survey broad ethnicity classification","London Underground","9","14894","11658","82923","82444"
"Average trips per year by mode of transport","2009-2013","5-year rolling average","All ethnic groups","National Travel Survey broad ethnicity classification","Motorcycle ","3","5115","4441","82923","82444"
"Average trips per year by mode of transport","2009-2013","5-year rolling average","All ethnic groups","National Travel Survey broad ethnicity classification","Non-local bus","1","935","886","82923","82444"
"Average trips per year by mode of transport","2009-2013","5-year rolling average","All ethnic groups","National Travel Survey broad ethnicity classification","Other local bus","42","67548","62477","82923","82444"
"Average trips per year by mode of transport","2009-2013","5-year rolling average","All ethnic groups","National Travel Survey broad ethnicity classification","Other private transport","7","11488","11387","82923","82444"
"Average trips per year by mode of transport","2009-2013","5-year rolling average","All ethnic groups","National Travel Survey broad ethnicity classification","Other public transport","2","3935","3495","82923","82444"
"Average trips per year by mode of transport","2009-2013","5-year rolling average","All ethnic groups","National Travel Survey broad ethnicity classification","Surface Rail","19","29838","26321","82923","82444"
"Average trips per year by mode of transport","2009-2013","5-year rolling average","All ethnic groups","National Travel Survey broad ethnicity classification","Taxi / minicab","10","15721","14292","82923","82444"
"Average trips per year by mode of transport","2009-2013","5-year rolling average","All ethnic groups","National Travel Survey broad ethnicity classification","Walk","215","342095","334304","82923","82444"
"Average trips per year by mode of transport","2009-2013","5-year rolling average","Asian / Asian British","National Travel Survey broad ethnicity classification","All Modes","808","87485","77766","5646","5216"
"Average trips per year by mode of transport","2009-2013","5-year rolling average","Asian / Asian British","National Travel Survey broad ethnicity classification","Bicycle","5","532","452","5646","5216"
"Average trips per year by mode of transport","2009-2013","5-year rolling average","Asian / Asian British","National Travel Survey broad ethnicity classification","Bus in London","51","5507","4901","5646","5216"
"Average trips per year by mode of transport","2009-2013","5-year rolling average","Asian / Asian British","National Travel Survey broad ethnicity classification","Car / van driver","260","28135","24643","5646","5216"
