"Title","Travel by distance, trips, type of transport and purpose"
"Location","England"
"Time period","2002/06 to 2011/15 (5 yr rolling average)"
"Data source","Department for Transport"
"Data source link","https://www.gov.uk/government/collections/national-travel-survey-statistics"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated","-"
"Measure","Time","Time_Type","Ethnicity","Ethnicity_Type","Trip_Purpose","Value","Weighted_Sample_Trips","Unweighted_Sample_Trips","Weighted_Sample_Individuals","Unweighted_Sample_Individuals","Weighted_Sample_Distance","Unweighted_Sample_Distance"
"Average distance per year by trip purpose","2005-2009","5-year rolling average","All ethnic groups","National Travel Survey broad ethnicity classification","Education / escort education","308","178918","177883","85373","84121","504546","483847"
"Average distance per year by trip purpose","2005-2009","5-year rolling average","All ethnic groups","National Travel Survey broad ethnicity classification","Leisure","2797","437307","422578","85373","84121","4579752","4447126"
"Average distance per year by trip purpose","2005-2009","5-year rolling average","All ethnic groups","National Travel Survey broad ethnicity classification","Other escort","479","152370","142366","85373","84121","784075","721260"
"Average distance per year by trip purpose","2005-2009","5-year rolling average","All ethnic groups","National Travel Survey broad ethnicity classification","Other including just walk","46","68470","70056","85373","84121","74776","74815"
"Average distance per year by trip purpose","2005-2009","5-year rolling average","All ethnic groups","National Travel Survey broad ethnicity classification","Personal business","490","170259","159843","85373","84121","801944","737339"
"Average distance per year by trip purpose","2005-2009","5-year rolling average","All ethnic groups","National Travel Survey broad ethnicity classification","Shopping","849","327695","298097","85373","84121","1389719","1253787"
"Average distance per year by trip purpose","2005-2009","5-year rolling average","Asian / Asian British","National Travel Survey broad ethnicity classification","All Purposes","4581","78592","68229","4844","4383","425646","360790"
"Average distance per year by trip purpose","2005-2009","5-year rolling average","Asian / Asian British","National Travel Survey broad ethnicity classification","Business","307","1849","1589","4844","4383","28539","24225"
"Average distance per year by trip purpose","2005-2009","5-year rolling average","Asian / Asian British","National Travel Survey broad ethnicity classification","Commuting","1171","14796","11886","4844","4383","108822","88450"
"Average distance per year by trip purpose","2005-2009","5-year rolling average","Asian / Asian British","National Travel Survey broad ethnicity classification","Education / escort education","428","15615","14610","4844","4383","39734","34256"
"Average distance per year by trip purpose","2005-2009","5-year rolling average","Asian / Asian British","National Travel Survey broad ethnicity classification","Leisure","1447","15355","13617","4844","4383","134480","117983"
"Average distance per year by trip purpose","2005-2009","5-year rolling average","Asian / Asian British","National Travel Survey broad ethnicity classification","Other escort","308","6890","6124","4844","4383","28654","24670"
"Average distance per year by trip purpose","2005-2009","5-year rolling average","Asian / Asian British","National Travel Survey broad ethnicity classification","Other including just walk","28","1931","1841","4844","4383","2569","2334"
"Average distance per year by trip purpose","2005-2009","5-year rolling average","Asian / Asian British","National Travel Survey broad ethnicity classification","Personal business","406","8635","7417","4844","4383","37736","31826"
"Average distance per year by trip purpose","2005-2009","5-year rolling average","Asian / Asian British","National Travel Survey broad ethnicity classification","Shopping","486","13522","11145","4844","4383","45113","37045"
"Average distance per year by trip purpose","2005-2009","5-year rolling average","Black / African / Caribbean / Black British","National Travel Survey broad ethnicity classification","All Purposes","4776","33263","29753","2122","1990","194392","170167"
"Average distance per year by trip purpose","2005-2009","5-year rolling average","Black / African / Caribbean / Black British","National Travel Survey broad ethnicity classification","Business","304","1110","994","2122","1990","12394","11931"
"Average distance per year by trip purpose","2005-2009","5-year rolling average","Black / African / Caribbean / Black British","National Travel Survey broad ethnicity classification","Commuting","1287","6138","5176","2122","1990","52383","44394"
"Average distance per year by trip purpose","2005-2009","5-year rolling average","Black / African / Caribbean / Black British","National Travel Survey broad ethnicity classification","Education / escort education","511","6411","6330","2122","1990","20810","19410"
"Average distance per year by trip purpose","2005-2009","5-year rolling average","Black / African / Caribbean / Black British","National Travel Survey broad ethnicity classification","Leisure","1384","6395","5678","2122","1990","56331","49822"
"Average distance per year by trip purpose","2005-2009","5-year rolling average","Black / African / Caribbean / Black British","National Travel Survey broad ethnicity classification","Other escort","277","2775","2580","2122","1990","11278","9846"
"Average distance per year by trip purpose","2005-2009","5-year rolling average","Black / African / Caribbean / Black British","National Travel Survey broad ethnicity classification","Other including just walk","13","402","390","2122","1990","540","528"
"Average distance per year by trip purpose","2005-2009","5-year rolling average","Black / African / Caribbean / Black British","National Travel Survey broad ethnicity classification","Personal business","541","4719","4164","2122","1990","22026","19214"
"Average distance per year by trip purpose","2005-2009","5-year rolling average","Black / African / Caribbean / Black British","National Travel Survey broad ethnicity classification","Shopping","458","5314","4441","2122","1990","18631","15022"
"Average distance per year by trip purpose","2005-2009","5-year rolling average","Mixed / Multiple ethnic groups","National Travel Survey broad ethnicity classification","All Purposes","5293","23436","21226","1336","1256","135571","119843"
"Average distance per year by trip purpose","2005-2009","5-year rolling average","Mixed / Multiple ethnic groups","National Travel Survey broad ethnicity classification","Business","215","421","381","1336","1256","5519","4866"
"Average distance per year by trip purpose","2005-2009","5-year rolling average","Mixed / Multiple ethnic groups","National Travel Survey broad ethnicity classification","Commuting","1017","3185","2560","1336","1256","26053","21090"
"Average distance per year by trip purpose","2005-2009","5-year rolling average","Mixed / Multiple ethnic groups","National Travel Survey broad ethnicity classification","Education / escort education","461","5116","5118","1336","1256","11814","11359"
"Average distance per year by trip purpose","2005-2009","5-year rolling average","Mixed / Multiple ethnic groups","National Travel Survey broad ethnicity classification","Leisure","2339","6175","5543","1336","1256","59899","54913"
"Average distance per year by trip purpose","2005-2009","5-year rolling average","Mixed / Multiple ethnic groups","National Travel Survey broad ethnicity classification","Other escort","416","2468","2253","1336","1256","10660","9367"
"Average distance per year by trip purpose","2005-2009","5-year rolling average","Mixed / Multiple ethnic groups","National Travel Survey broad ethnicity classification","Other including just walk","24","768","821","1336","1256","623","633"
"Average distance per year by trip purpose","2005-2009","5-year rolling average","Mixed / Multiple ethnic groups","National Travel Survey broad ethnicity classification","Personal business","407","2195","1964","1336","1256","10437","8879"
"Average distance per year by trip purpose","2005-2009","5-year rolling average","Mixed / Multiple ethnic groups","National Travel Survey broad ethnicity classification","Shopping","412","3107","2586","1336","1256","10565","8736"
"Average distance per year by trip purpose","2005-2009","5-year rolling average","Other ethnic group","National Travel Survey broad ethnicity classification","All Purposes","4377","16129","13664","1004","888","84256","70343"
"Average distance per year by trip purpose","2005-2009","5-year rolling average","Other ethnic group","National Travel Survey broad ethnicity classification","Business","270","380","329","1004","888","5203","4354"
"Average distance per year by trip purpose","2005-2009","5-year rolling average","Other ethnic group","National Travel Survey broad ethnicity classification","Commuting","1087","2886","2232","1004","888","20926","16112"
"Average distance per year by trip purpose","2005-2009","5-year rolling average","Other ethnic group","National Travel Survey broad ethnicity classification","Education / escort education","430","3318","3043","1004","888","8278","7130"
"Average distance per year by trip purpose","2005-2009","5-year rolling average","Other ethnic group","National Travel Survey broad ethnicity classification","Leisure","1532","3387","2910","1004","888","29483","25822"
"Average distance per year by trip purpose","2005-2009","5-year rolling average","Other ethnic group","National Travel Survey broad ethnicity classification","Other escort","299","1072","961","1004","888","5760","4873"
"Average distance per year by trip purpose","2005-2009","5-year rolling average","Other ethnic group","National Travel Survey broad ethnicity classification","Other including just walk","37","641","525","1004","888","708","604"
"Average distance per year by trip purpose","2005-2009","5-year rolling average","Other ethnic group","National Travel Survey broad ethnicity classification","Personal business","269","1603","1372","1004","888","5180","4350"
"Average distance per year by trip purpose","2005-2009","5-year rolling average","Other ethnic group","National Travel Survey broad ethnicity classification","Shopping","453","2842","2292","1004","888","8718","7098"
"Average distance per year by trip purpose","2005-2009","5-year rolling average","White","National Travel Survey broad ethnicity classification","All Purposes","7276","1494945","1416697","76000","75534","10605749","10012290"
"Average distance per year by trip purpose","2005-2009","5-year rolling average","White","National Travel Survey broad ethnicity classification","Business","700","50932","48964","76000","75534","1020223","985214"
"Average distance per year by trip purpose","2005-2009","5-year rolling average","White","National Travel Survey broad ethnicity classification","Commuting","1399","230631","205665","76000","75534","2038652","1822401"
"Average distance per year by trip purpose","2005-2009","5-year rolling average","White","National Travel Survey broad ethnicity classification","Education / escort education","291","148268","148577","76000","75534","423529","411316"
"Average distance per year by trip purpose","2005-2009","5-year rolling average","White","National Travel Survey broad ethnicity classification","Leisure","2946","405634","394454","76000","75534","4294659","4193863"
"Average distance per year by trip purpose","2005-2009","5-year rolling average","White","National Travel Survey broad ethnicity classification","Other escort","499","139060","130339","76000","75534","726708","671462"
"Average distance per year by trip purpose","2005-2009","5-year rolling average","White","National Travel Survey broad ethnicity classification","Other including just walk","48","64702","66452","76000","75534","70287","70660"
"Average distance per year by trip purpose","2005-2009","5-year rolling average","White","National Travel Survey broad ethnicity classification","Personal business","498","153015","144833","76000","75534","725929","672463"
"Average distance per year by trip purpose","2005-2009","5-year rolling average","White","National Travel Survey broad ethnicity classification","Shopping","896","302704","277413","76000","75534","1305762","1184912"
"Average distance per year by trip purpose","2006-2010","5-year rolling average","All ethnic groups","National Travel Survey broad ethnicity classification","All Purposes","6901","1605808","1519022","84634","83718","11201944","10582652"
"Average distance per year by trip purpose","2006-2010","5-year rolling average","All ethnic groups","National Travel Survey broad ethnicity classification","Business","628","51446","49225","84634","83718","1019806","988133"
"Average distance per year by trip purpose","2006-2010","5-year rolling average","All ethnic groups","National Travel Survey broad ethnicity classification","Commuting","1364","251695","221824","84634","83718","2213381","1961972"
"Average distance per year by trip purpose","2006-2010","5-year rolling average","All ethnic groups","National Travel Survey broad ethnicity classification","Education / escort education","311","175440","174985","84634","83718","505486","484862"
"Average distance per year by trip purpose","2006-2010","5-year rolling average","All ethnic groups","National Travel Survey broad ethnicity classification","Leisure","2745","424332","414335","84634","83718","4456472","4378284"
"Average distance per year by trip purpose","2006-2010","5-year rolling average","All ethnic groups","National Travel Survey broad ethnicity classification","Other escort","481","149653","141231","84634","83718","780906","728363"
"Average distance per year by trip purpose","2006-2010","5-year rolling average","All ethnic groups","National Travel Survey broad ethnicity classification","Other including just walk","45","67667","69594","84634","83718","73345","73588"
"Average distance per year by trip purpose","2006-2010","5-year rolling average","All ethnic groups","National Travel Survey broad ethnicity classification","Personal business","488","165229","156546","84634","83718","791610","736856"
"Average distance per year by trip purpose","2006-2010","5-year rolling average","All ethnic groups","National Travel Survey broad ethnicity classification","Shopping","838","320346","291282","84634","83718","1360940","1230593"
"Average distance per year by trip purpose","2006-2010","5-year rolling average","Asian / Asian British","National Travel Survey broad ethnicity classification","All Purposes","4686","81112","70880","5060","4625","454774","387683"
"Average distance per year by trip purpose","2006-2010","5-year rolling average","Asian / Asian British","National Travel Survey broad ethnicity classification","Business","314","1789","1555","5060","4625","30513","26321"
"Average distance per year by trip purpose","2006-2010","5-year rolling average","Asian / Asian British","National Travel Survey broad ethnicity classification","Commuting","1253","15568","12542","5060","4625","121559","99019"
"Average distance per year by trip purpose","2006-2010","5-year rolling average","Asian / Asian British","National Travel Survey broad ethnicity classification","Education / escort education","441","16248","15297","5060","4625","42799","37172"
"Average distance per year by trip purpose","2006-2010","5-year rolling average","Asian / Asian British","National Travel Survey broad ethnicity classification","Leisure","1481","15577","13993","5060","4625","143779","127576"
"Average distance per year by trip purpose","2006-2010","5-year rolling average","Asian / Asian British","National Travel Survey broad ethnicity classification","Other escort","305","7082","6351","5060","4625","29561","25499"
"Average distance per year by trip purpose","2006-2010","5-year rolling average","Asian / Asian British","National Travel Survey broad ethnicity classification","Other including just walk","25","1878","1812","5060","4625","2453","2275"
"Average distance per year by trip purpose","2006-2010","5-year rolling average","Asian / Asian British","National Travel Survey broad ethnicity classification","Personal business","388","8906","7753","5060","4625","37682","31808"
"Average distance per year by trip purpose","2006-2010","5-year rolling average","Asian / Asian British","National Travel Survey broad ethnicity classification","Shopping","478","14063","11577","5060","4625","46427","38013"
"Average distance per year by trip purpose","2006-2010","5-year rolling average","Black / African / Caribbean / Black British","National Travel Survey broad ethnicity classification","All Purposes","4678","35406","32256","2283","2167","204824","181342"
"Average distance per year by trip purpose","2006-2010","5-year rolling average","Black / African / Caribbean / Black British","National Travel Survey broad ethnicity classification","Business","322","1176","1049","2283","2167","14089","13263"
"Average distance per year by trip purpose","2006-2010","5-year rolling average","Black / African / Caribbean / Black British","National Travel Survey broad ethnicity classification","Commuting","1293","6586","5588","2283","2167","56640","48652"
"Average distance per year by trip purpose","2006-2010","5-year rolling average","Black / African / Caribbean / Black British","National Travel Survey broad ethnicity classification","Education / escort education","485","6716","6872","2283","2167","21235","20571"
"Average distance per year by trip purpose","2006-2010","5-year rolling average","Black / African / Caribbean / Black British","National Travel Survey broad ethnicity classification","Leisure","1276","6935","6316","2283","2167","55891","50429"
"Average distance per year by trip purpose","2006-2010","5-year rolling average","Black / African / Caribbean / Black British","National Travel Survey broad ethnicity classification","Other escort","253","2743","2645","2283","2167","11078","9714"
"Average distance per year by trip purpose","2006-2010","5-year rolling average","Black / African / Caribbean / Black British","National Travel Survey broad ethnicity classification","Other including just walk","13","463","436","2283","2167","560","525"
"Average distance per year by trip purpose","2006-2010","5-year rolling average","Black / African / Caribbean / Black British","National Travel Survey broad ethnicity classification","Personal business","605","5006","4476","2283","2167","26504","22681"
"Average distance per year by trip purpose","2006-2010","5-year rolling average","Black / African / Caribbean / Black British","National Travel Survey broad ethnicity classification","Shopping","430","5781","4874","2283","2167","18826","15508"
"Average distance per year by trip purpose","2006-2010","5-year rolling average","Mixed / Multiple ethnic groups","National Travel Survey broad ethnicity classification","All Purposes","5316","23939","21740","1382","1307","140919","124253"
"Average distance per year by trip purpose","2006-2010","5-year rolling average","Mixed / Multiple ethnic groups","National Travel Survey broad ethnicity classification","Business","251","374","337","1382","1307","6643","6006"
"Average distance per year by trip purpose","2006-2010","5-year rolling average","Mixed / Multiple ethnic groups","National Travel Survey broad ethnicity classification","Commuting","925","3223","2613","1382","1307","24532","20270"
"Average distance per year by trip purpose","2006-2010","5-year rolling average","Mixed / Multiple ethnic groups","National Travel Survey broad ethnicity classification","Education / escort education","417","4877","4859","1382","1307","11062","10683"
"Average distance per year by trip purpose","2006-2010","5-year rolling average","Mixed / Multiple ethnic groups","National Travel Survey broad ethnicity classification","Leisure","2458","6408","5786","1382","1307","65154","58862"
"Average distance per year by trip purpose","2006-2010","5-year rolling average","Mixed / Multiple ethnic groups","National Travel Survey broad ethnicity classification","Other escort","430","2543","2349","1382","1307","11408","10027"
"Average distance per year by trip purpose","2006-2010","5-year rolling average","Mixed / Multiple ethnic groups","National Travel Survey broad ethnicity classification","Other including just walk","32","931","968","1382","1307","859","849"
"Average distance per year by trip purpose","2006-2010","5-year rolling average","Mixed / Multiple ethnic groups","National Travel Survey broad ethnicity classification","Personal business","401","2336","2139","1382","1307","10638","8919"
"Average distance per year by trip purpose","2006-2010","5-year rolling average","Mixed / Multiple ethnic groups","National Travel Survey broad ethnicity classification","Shopping","401","3248","2689","1382","1307","10623","8636"
"Average distance per year by trip purpose","2006-2010","5-year rolling average","Other ethnic group","National Travel Survey broad ethnicity classification","All Purposes","4429","16001","13781","993","895","84352","71690"
"Average distance per year by trip purpose","2006-2010","5-year rolling average","Other ethnic group","National Travel Survey broad ethnicity classification","Business","304","397","346","993","895","5794","5024"
"Average distance per year by trip purpose","2006-2010","5-year rolling average","Other ethnic group","National Travel Survey broad ethnicity classification","Commuting","1026","2850","2232","993","895","19532","15519"
"Average distance per year by trip purpose","2006-2010","5-year rolling average","Other ethnic group","National Travel Survey broad ethnicity classification","Education / escort education","429","2825","2671","993","895","8174","7077"
"Average distance per year by trip purpose","2006-2010","5-year rolling average","Other ethnic group","National Travel Survey broad ethnicity classification","Leisure","1544","3482","3056","993","895","29399","25970"
"Average distance per year by trip purpose","2006-2010","5-year rolling average","Other ethnic group","National Travel Survey broad ethnicity classification","Other escort","283","1155","1054","993","895","5393","4726"
"Average distance per year by trip purpose","2006-2010","5-year rolling average","Other ethnic group","National Travel Survey broad ethnicity classification","Other including just walk","43","759","629","993","895","826","698"
"Average distance per year by trip purpose","2006-2010","5-year rolling average","Other ethnic group","National Travel Survey broad ethnicity classification","Personal business","308","1677","1424","993","895","5859","4907"
"Average distance per year by trip purpose","2006-2010","5-year rolling average","Other ethnic group","National Travel Survey broad ethnicity classification","Shopping","492","2857","2369","993","895","9375","7769"
"Average distance per year by trip purpose","2006-2010","5-year rolling average","White","National Travel Survey broad ethnicity classification","All Purposes","7179","1447962","1378987","74843","74649","10304671","9805516"
"Average distance per year by trip purpose","2006-2010","5-year rolling average","White","National Travel Survey broad ethnicity classification","Business","669","47632","45855","74843","74649","960361","934798"
"Average distance per year by trip purpose","2006-2010","5-year rolling average","White","National Travel Survey broad ethnicity classification","Commuting","1386","223341","198733","74843","74649","1989715","1777231"
"Average distance per year by trip purpose","2006-2010","5-year rolling average","White","National Travel Survey broad ethnicity classification","Education / escort education","294","144563","145071","74843","74649","421802","408968"
"Average distance per year by trip purpose","2006-2010","5-year rolling average","White","National Travel Survey broad ethnicity classification","Leisure","2896","391527","384772","74843","74649","4157265","4110694"
"Average distance per year by trip purpose","2006-2010","5-year rolling average","White","National Travel Survey broad ethnicity classification","Other escort","503","135987","128704","74843","74649","722317","677287"
"Average distance per year by trip purpose","2006-2010","5-year rolling average","White","National Travel Survey broad ethnicity classification","Other including just walk","48","63601","65711","74843","74649","68587","69174"
"Average distance per year by trip purpose","2006-2010","5-year rolling average","White","National Travel Survey broad ethnicity classification","Personal business","495","147171","140630","74843","74649","709953","667747"
"Average distance per year by trip purpose","2006-2010","5-year rolling average","White","National Travel Survey broad ethnicity classification","Shopping","888","294139","269511","74843","74649","1274671","1159616"
"Average distance per year by trip purpose","2007-2011","5-year rolling average","All ethnic groups","National Travel Survey broad ethnicity classification","All Purposes","6833","1553499","1475712","83421","82800","10932401","10376322"
"Average distance per year by trip purpose","2007-2011","5-year rolling average","All ethnic groups","National Travel Survey broad ethnicity classification","Business","602","48610","46610","83421","82800","962823","935696"
"Average distance per year by trip purpose","2007-2011","5-year rolling average","All ethnic groups","National Travel Survey broad ethnicity classification","Commuting","1345","243871","213208","83421","82800","2152530","1895102"
"Average distance per year by trip purpose","2007-2011","5-year rolling average","All ethnic groups","National Travel Survey broad ethnicity classification","Education / escort education","313","172557","171343","83421","82800","501075","478983"
"Average distance per year by trip purpose","2007-2011","5-year rolling average","All ethnic groups","National Travel Survey broad ethnicity classification","Leisure","2732","411584","404064","83421","82800","4370933","4320284"
"Average distance per year by trip purpose","2007-2011","5-year rolling average","All ethnic groups","National Travel Survey broad ethnicity classification","Other escort","486","145747","138806","83421","82800","777887","733818"
"Average distance per year by trip purpose","2007-2011","5-year rolling average","All ethnic groups","National Travel Survey broad ethnicity classification","Other including just walk","45","66484","68490","83421","82800","71606","72120"
"Average distance per year by trip purpose","2007-2011","5-year rolling average","All ethnic groups","National Travel Survey broad ethnicity classification","Personal business","488","158755","152013","83421","82800","780437","734919"
"Average distance per year by trip purpose","2007-2011","5-year rolling average","All ethnic groups","National Travel Survey broad ethnicity classification","Shopping","822","305892","281178","83421","82800","1315110","1205400"
"Average distance per year by trip purpose","2007-2011","5-year rolling average","Asian / Asian British","National Travel Survey broad ethnicity classification","All Purposes","4586","80278","69981","5151","4717","453063","386225"
"Average distance per year by trip purpose","2007-2011","5-year rolling average","Asian / Asian British","National Travel Survey broad ethnicity classification","Business","289","1689","1472","5151","4717","28545","24620"
"Average distance per year by trip purpose","2007-2011","5-year rolling average","Asian / Asian British","National Travel Survey broad ethnicity classification","Commuting","1309","16055","12759","5151","4717","129287","104779"
"Average distance per year by trip purpose","2007-2011","5-year rolling average","Asian / Asian British","National Travel Survey broad ethnicity classification","Education / escort education","426","16115","15115","5151","4717","42102","36523"
"Average distance per year by trip purpose","2007-2011","5-year rolling average","Asian / Asian British","National Travel Survey broad ethnicity classification","Leisure","1392","14793","13305","5151","4717","137502","122492"
"Average distance per year by trip purpose","2007-2011","5-year rolling average","Asian / Asian British","National Travel Survey broad ethnicity classification","Other escort","312","7290","6550","5151","4717","30801","26657"
"Average distance per year by trip purpose","2007-2011","5-year rolling average","Asian / Asian British","National Travel Survey broad ethnicity classification","Other including just walk","22","1736","1666","5151","4717","2156","1997"
"Average distance per year by trip purpose","2007-2011","5-year rolling average","Asian / Asian British","National Travel Survey broad ethnicity classification","Personal business","374","8823","7788","5151","4717","36975","31439"
"Average distance per year by trip purpose","2007-2011","5-year rolling average","Asian / Asian British","National Travel Survey broad ethnicity classification","Shopping","463","13777","11326","5151","4717","45694","37718"
"Average distance per year by trip purpose","2007-2011","5-year rolling average","Black / African / Caribbean / Black British","National Travel Survey broad ethnicity classification","All Purposes","4630","37389","34337","2416","2316","214547","191914"
"Average distance per year by trip purpose","2007-2011","5-year rolling average","Black / African / Caribbean / Black British","National Travel Survey broad ethnicity classification","Business","312","1250","1131","2416","2316","14441","13811"
"Average distance per year by trip purpose","2007-2011","5-year rolling average","Black / African / Caribbean / Black British","National Travel Survey broad ethnicity classification","Commuting","1258","6666","5662","2416","2316","58306","50046"
"Average distance per year by trip purpose","2007-2011","5-year rolling average","Black / African / Caribbean / Black British","National Travel Survey broad ethnicity classification","Education / escort education","481","7209","7401","2416","2316","22289","21551"
"Average distance per year by trip purpose","2007-2011","5-year rolling average","Black / African / Caribbean / Black British","National Travel Survey broad ethnicity classification","Leisure","1284","7536","6912","2416","2316","59520","54346"
"Average distance per year by trip purpose","2007-2011","5-year rolling average","Black / African / Caribbean / Black British","National Travel Survey broad ethnicity classification","Other escort","238","2873","2789","2416","2316","11033","9940"
"Average distance per year by trip purpose","2007-2011","5-year rolling average","Black / African / Caribbean / Black British","National Travel Survey broad ethnicity classification","Other including just walk","15","504","481","2416","2316","708","711"
"Average distance per year by trip purpose","2007-2011","5-year rolling average","Black / African / Caribbean / Black British","National Travel Survey broad ethnicity classification","Personal business","624","5338","4840","2416","2316","28906","25339"
"Average distance per year by trip purpose","2007-2011","5-year rolling average","Black / African / Caribbean / Black British","National Travel Survey broad ethnicity classification","Shopping","417","6013","5121","2416","2316","19342","16170"
"Average distance per year by trip purpose","2007-2011","5-year rolling average","Mixed / Multiple ethnic groups","National Travel Survey broad ethnicity classification","All Purposes","5077","23281","21107","1377","1290","134108","119199"
"Average distance per year by trip purpose","2007-2011","5-year rolling average","Mixed / Multiple ethnic groups","National Travel Survey broad ethnicity classification","Business","243","353","316","1377","1290","6429","5956"
"Average distance per year by trip purpose","2007-2011","5-year rolling average","Mixed / Multiple ethnic groups","National Travel Survey broad ethnicity classification","Commuting","843","3049","2427","1377","1290","22277","18774"
"Average distance per year by trip purpose","2007-2011","5-year rolling average","Mixed / Multiple ethnic groups","National Travel Survey broad ethnicity classification","Education / escort education","381","4619","4542","1377","1290","10066","9691"
"Average distance per year by trip purpose","2007-2011","5-year rolling average","Mixed / Multiple ethnic groups","National Travel Survey broad ethnicity classification","Leisure","2312","6373","5745","1377","1290","61078","54912"
"Average distance per year by trip purpose","2007-2011","5-year rolling average","Mixed / Multiple ethnic groups","National Travel Survey broad ethnicity classification","Other escort","467","2543","2406","1377","1290","12323","11389"
"Average distance per year by trip purpose","2007-2011","5-year rolling average","Mixed / Multiple ethnic groups","National Travel Survey broad ethnicity classification","Other including just walk","33","916","958","1377","1290","868","864"
"Average distance per year by trip purpose","2007-2011","5-year rolling average","Mixed / Multiple ethnic groups","National Travel Survey broad ethnicity classification","Personal business","412","2294","2094","1377","1290","10874","9209"
"Average distance per year by trip purpose","2007-2011","5-year rolling average","Mixed / Multiple ethnic groups","National Travel Survey broad ethnicity classification","Shopping","386","3134","2619","1377","1290","10192","8405"
"Average distance per year by trip purpose","2007-2011","5-year rolling average","Other ethnic group","National Travel Survey broad ethnicity classification","All Purposes","4617","16115","14016","1035","944","91662","79926"
"Average distance per year by trip purpose","2007-2011","5-year rolling average","Other ethnic group","National Travel Survey broad ethnicity classification","Business","401","545","484","1035","944","7954","7212"
"Average distance per year by trip purpose","2007-2011","5-year rolling average","Other ethnic group","National Travel Survey broad ethnicity classification","Commuting","978","2781","2233","1035","944","19411","15776"
"Average distance per year by trip purpose","2007-2011","5-year rolling average","Other ethnic group","National Travel Survey broad ethnicity classification","Education / escort education","446","2789","2613","1035","944","8863","7612"
"Average distance per year by trip purpose","2007-2011","5-year rolling average","Other ethnic group","National Travel Survey broad ethnicity classification","Leisure","1635","3470","3082","1035","944","32467","29273"
"Average distance per year by trip purpose","2007-2011","5-year rolling average","Other ethnic group","National Travel Survey broad ethnicity classification","Other escort","289","1187","1094","1035","944","5731","5124"
"Average distance per year by trip purpose","2007-2011","5-year rolling average","Other ethnic group","National Travel Survey broad ethnicity classification","Other including just walk","38","744","612","1035","944","761","632"
"Average distance per year by trip purpose","2007-2011","5-year rolling average","Other ethnic group","National Travel Survey broad ethnicity classification","Personal business","342","1657","1446","1035","944","6785","6112"
"Average distance per year by trip purpose","2007-2011","5-year rolling average","Other ethnic group","National Travel Survey broad ethnicity classification","Shopping","488","2940","2452","1035","944","9692","8184"
"Average distance per year by trip purpose","2007-2011","5-year rolling average","White","National Travel Survey broad ethnicity classification","All Purposes","7125","1394969","1334842","73370","73459","10025986","9586368"
"Average distance per year by trip purpose","2007-2011","5-year rolling average","White","National Travel Survey broad ethnicity classification","Business","642","44702","43131","73370","73459","903153","881523"
"Average distance per year by trip purpose","2007-2011","5-year rolling average","White","National Travel Survey broad ethnicity classification","Commuting","1365","215117","189950","73370","73459","1921340","1703984"
"Average distance per year by trip purpose","2007-2011","5-year rolling average","White","National Travel Survey broad ethnicity classification","Education / escort education","297","141662","141501","73370","73459","417383","403227"
"Average distance per year by trip purpose","2007-2011","5-year rolling average","White","National Travel Survey broad ethnicity classification","Leisure","2896","379005","374604","73370","73459","4075227","4054345"
"Average distance per year by trip purpose","2007-2011","5-year rolling average","White","National Travel Survey broad ethnicity classification","Other escort","509","131692","125820","73370","73459","716851","679601"
"Average distance per year by trip purpose","2007-2011","5-year rolling average","White","National Travel Survey broad ethnicity classification","Other including just walk","48","62553","64737","73370","73459","67052","67844"
"Average distance per year by trip purpose","2007-2011","5-year rolling average","White","National Travel Survey broad ethnicity classification","Personal business","494","140481","135706","73370","73459","695723","661874"
"Average distance per year by trip purpose","2007-2011","5-year rolling average","White","National Travel Survey broad ethnicity classification","Shopping","874","279757","259393","73370","73459","1229259","1133970"
"Average distance per year by trip purpose","2008-2012","5-year rolling average","All ethnic groups","National Travel Survey broad ethnicity classification","All Purposes","6725","1539324","1463504","83120","82612","10720976","10215023"
"Average distance per year by trip purpose","2008-2012","5-year rolling average","All ethnic groups","National Travel Survey broad ethnicity classification","Business","572","46978","45298","83120","82612","912371","893394"
"Average distance per year by trip purpose","2008-2012","5-year rolling average","All ethnic groups","National Travel Survey broad ethnicity classification","Commuting","1318","237604","208407","83120","82612","2100686","1860024"
"Average distance per year by trip purpose","2008-2012","5-year rolling average","All ethnic groups","National Travel Survey broad ethnicity classification","Education / escort education","320","174867","172352","83120","82612","509685","488149"
"Average distance per year by trip purpose","2008-2012","5-year rolling average","All ethnic groups","National Travel Survey broad ethnicity classification","Leisure","2676","404777","399460","83120","82612","4266476","4237268"
"Average distance per year by trip purpose","2008-2012","5-year rolling average","All ethnic groups","National Travel Survey broad ethnicity classification","Other escort","488","145650","137900","83120","82612","777708","732738"
"Average distance per year by trip purpose","2008-2012","5-year rolling average","All ethnic groups","National Travel Survey broad ethnicity classification","Other including just walk","44","67598","69741","83120","82612","70654","71729"
"Average distance per year by trip purpose","2008-2012","5-year rolling average","All ethnic groups","National Travel Survey broad ethnicity classification","Personal business","487","156829","150401","83120","82612","776165","734907"
"Average distance per year by trip purpose","2008-2012","5-year rolling average","All ethnic groups","National Travel Survey broad ethnicity classification","Shopping","820","305021","279945","83120","82612","1307231","1196814"
"Average distance per year by trip purpose","2008-2012","5-year rolling average","Asian / Asian British","National Travel Survey broad ethnicity classification","All Purposes","4580","85003","74523","5450","4980","478750","410344"
