"Title","Reading attainment for children aged 5 to 7 by ethnicity, gender and area"
"Location","England"
"Time period","2015/16"
"Data source","Key stage 1 statistics"
"Data source link","https://www.gov.uk/government/statistics/phonics-screening-check-and-key-stage-1-assessments-england-2016"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated",""

"","All","","Asian","","Black","","Chinese","","Mixed","","White",""
"Harrow","72","83","79","89","66","84","!","100","80","78","61","75"
"Hartlepool","66","80","!","!","100","!","!","!","!","!","66","80"
"Havering","72","82","74","92","76","91","!","!","75","88","71","81"
"Herefordshire, County of","71","80","!","!","!","!","!","!","!","!","71","80"
"Hertfordshire","75","83","75","86","74","84","!","!","78","85","74","83"
"Hillingdon","70","80","73","88","69","80","!","!","71","81","67","76"
"Hounslow","77","82","82","88","74","82","!","!","83","85","72","78"
"Isle of Wight","72","79","!","100","!","!","!","!","!","!","73","78"
"Isles of Scilly","!","!","!","!","!","!","!","!","!","!","!","!"
"Islington","73","77","67","78","69","73","!","!","80","83","75","80"
"Kensington and Chelsea","78","84","!","!","79","85","!","!","71","90","84","86"
"Kent","74","82","81","85","79","86","70","83","80","86","74","82"
"Kingston upon Hull, City of","68","76","82","75","67","67","!","!","78","82","67","76"
"Kingston upon Thames","72","79","79","77","63","75","!","!","76","74","70","81"
"Kirklees","67","76","66","75","61","82","!","!","63","79","68","77"
"Knowsley","63","74","83","100","100","!","!","100","65","80","62","73"
"Lambeth","74","82","75","82","73","82","!","!","78","86","75","81"
"Lancashire","69","78","71","74","57","88","!","!","68","77","69","79"
"Leeds","61","70","62","67","55","70","68","63","61","62","62","72"
"Leicester","63","71","70","76","64","76","!","!","60","76","56","65"
"Leicestershire","69","78","79","81","59","89","58","76","78","76","68","78"
"Lewisham","75","82","78","81","72","82","74","78","82","84","76","82"
"Lincolnshire","67","78","86","89","!","!","64","100","72","82","67","78"
"Liverpool","58","69","62","69","67","73","55","83","52","74","59","70"
"Luton","65","75","65","78","71","77","!","!","76","80","64","74"
"Manchester","66","74","64","73","68","80","78","87","73","78","68","73"
"Medway","72","79","86","75","82","91","!","!","78","82","71","78"
"Merton","71","78","76","78","71","83","!","!","66","74","71","77"
"Middlesbrough","63","72","59","80","81","86","!","!","60","68","65","71"
"Milton Keynes","72","79","75","84","76","82","!","!","74","85","70","78"
"Newcastle upon Tyne","70","77","67","80","69","77","71","100","77","86","71","77"
"Newham","75","83","79","87","77","85","!","!","84","89","66","73"
"Norfolk","69","80","77","88","76","77","84","82","74","79","69","80"
"North East Lincolnshire","68","77","!","100","!","!","!","!","74","80","67","77"
"North Lincolnshire","74","82","74","92","!","!","!","!","!","!","74","82"
"North Somerset","73","81","!","!","!","100","!","!","72","77","73","81"
"North Tyneside","73","80","74","88","!","!","!","!","78","86","73","80"
"North Yorkshire","68","77","70","90","!","!","!","!","69","75","68","77"
"Northamptonshire","69","77","74","82","65","80","!","!","68","78","69","77"
"Northumberland","74","84","!","!","!","!","100","50","77","76","73","84"
"Nottingham","62","71","69","76","68","81","!","!","63","74","60","68"
"Nottinghamshire","66","77","64","76","55","82","67","76","72","75","67","78"
"Oldham","62","71","59","71","49","61","!","!","71","77","66","74"
"Oxfordshire","70","78","65","74","76","77","!","!","72","80","71","79"
"Peterborough","63","74","63","75","65","90","!","!","68","78","63","74"
"Plymouth","66","76","!","!","!","!","!","!","72","74","66","76"
"Poole","73","83","77","81","!","!","100","!","78","86","72","83"
"Portsmouth","67","79","64","78","72","73","100","100","63","80","68","80"
"Reading","70","79","69","84","74","80","100","!","72","75","69","79"
"Redbridge","73","82","79","87","70","74","!","!","74","84","66","79"
"Redcar and Cleveland","71","83","!","!","!","!","!","!","!","!","72","83"
"Richmond upon Thames","76","83","77","80","71","76","!","100","79","85","76","84"
"Rochdale","66","76","66","75","68","67","!","!","77","76","65","77"
"Rotherham","65","76","69","80","62","70","!","!","63","80","65","76"
"Rutland","78","82","100","100","!","!","!","!","!","!","78","83"
"Salford","70","79","70","83","64","82","!","100","71","79","72","80"
"Sandwell","63","73","68","79","68","77","!","!","63","76","62","70"
"Sefton","66","75","73","75","!","!","100","!","58","81","67","75"
"Sheffield","67","76","67","78","75","75","!","!","66","78","67","76"
"Shropshire","67","80","!","!","!","!","!","!","69","89","67","79"
"Slough","72","79","78","87","68","85","!","!","75","80","66","68"
"Solihull","75","82","80","82","68","84","!","!","77","82","75","83"
"Somerset","70","79","71","90","!","!","!","!","69","82","71","79"
"South Gloucestershire","74","81","73","84","77","76","!","!","69","85","74","81"
"South Tyneside","76","81","!","!","!","100","!","!","74","60","76","83"
"Southampton","70","81","74","86","78","74","!","!","75","83","69","80"
"Southend-on-Sea","71","82","73","88","74","79","!","!","62","83","72","82"
"Southwark","73","80","83","82","72","83","79","76","70","82","78","79"
"St. Helens","63","73","!","!","!","!","100","!","68","72","63","73"
"Staffordshire","72","82","78","82","50","88","!","!","77","83","72","82"
"Stockport","72","80","79","76","68","80","!","!","70","82","73","80"
"Stockton-on-Tees","70","82","74","88","!","!","100","100","62","72","71","82"
"Stoke-on-Trent","64","76","62","80","62","85","!","!","65","84","65","75"
"Suffolk","68","77","84","77","75","74","!","!","70","78","68","77"
"Sunderland","71","79","66","78","!","!","!","!","70","84","72","80"
"Surrey","75","83","78","86","79","86","!","!","76","87","74","82"
"Sutton","74","82","82","89","77","78","!","!","82","82","70","80"
"Swindon","65","77","70","81","64","86","!","!","64","87","65","76"
"Tameside","65","75","61","70","68","80","!","!","65","80","66","76"
"Telford and Wrekin","73","82","65","80","77","89","!","!","84","76","73","82"
"Thurrock","73","80","72","92","78","90","!","!","77","84","72","77"
"Torbay","68","78","!","!","!","!","!","!","64","86","68","78"
"Tower Hamlets","71","81","72","81","75","81","!","!","71","89","68","76"
"Trafford","75","83","71","85","83","88","69","85","74","79","76","83"
"Wakefield","66","78","59","75","68","75","!","!","70","84","66","79"
"Walsall","68","75","73","78","80","82","!","100","69","81","67","75"
"Waltham Forest","76","83","77","85","73","87","!","!","82","86","74","80"
"Wandsworth","78","84","77","87","70","80","!","!","76","80","83","86"
"Warrington","72","80","68","84","!","!","!","100","83","84","72","80"
"Warwickshire","72","81","78","87","61","81","!","100","73","82","71","81"
"West Berkshire","72","79","!","!","100","!","!","!","78","93","71","78"
"West Sussex","64","75","73","77","62","61","!","!","71","77","63","75"
"Westminster","75","79","77","81","82","79","100","!","78","88","78","83"
"Wigan","69","79","69","73","71","76","!","!","72","88","69","79"
"Wiltshire","70","77","74","84","69","90","!","!","78","80","70","77"
"Windsor and Maidenhead","77","83","70","86","!","100","!","!","76","80","79","84"
"Wirral","66","78","76","79","!","!","67","50","70","84","65","78"
"Wokingham","77","84","85","87","!","!","!","100","82","86","75","82"
"Wolverhampton","66","76","70","80","75","83","!","!","67","80","63","73"
"Worcestershire","69","77","63","71","79","50","!","!","64","84","69","77"
"York","71","78","64","83","!","100","!","!","64","81","72","78"
