"Measure","Time","Time_type","Ethnicity","Ethnicity_type","Court/Tribunal","Court/Tribunal type","Count","Percentage"
"Number of judges and judiciary members","01/04/18","Date","Black","ONS 5+1 2011","Court Judges","Lords Justices of Appeal","0","0"
"Number of judges and judiciary members","01/04/18","Date","Black","ONS 5+1 2011","Court Judges","High Court Judges","0","0"
"Number of judges and judiciary members","01/04/18","Date","Black","ONS 5+1 2011","Court Judges","Deputy High Court Judges","2","4.5"
"Number of judges and judiciary members","01/04/18","Date","Black","ONS 5+1 2011","Court Judges","Judge Advocates, Deputy Judge Advocates","0","-"
"Number of judges and judiciary members","01/04/18","Date","Black","ONS 5+1 2011","Court Judges","Masters, Registrars, Costs Judges","0","0"
"Number of judges and judiciary members","01/04/18","Date","Black","ONS 5+1 2011","Court Judges","Deputy Masters, Deputy Registrars, Deputy Costs Judges","0","0"
"Number of judges and judiciary members","01/04/18","Date","Black","ONS 5+1 2011","Court Judges","Circuit Judges","3","0.5"
"Number of judges and judiciary members","01/04/18","Date","Black","ONS 5+1 2011","Court Judges","Recorders","11","1.7"
"Number of judges and judiciary members","01/04/18","Date","Black","ONS 5+1 2011","Court Judges","District Judges (County Courts)","4","1.1"
"Number of judges and judiciary members","01/04/18","Date","Black","ONS 5+1 2011","Court Judges","Deputy District Judges (County Courts)","7","1.5"
"Number of judges and judiciary members","01/04/18","Date","Black","ONS 5+1 2011","Court Judges","District Judges (Magistrates' Courts)","0","0"
"Number of judges and judiciary members","01/04/18","Date","Black","ONS 5+1 2011","Court Judges","Deputy District Judges (Magistrates' Courts)","1","1.5"
"Number of judges and judiciary members","01/04/18","Date","Mixed","ONS 5+1 2011","Court Judges","Heads of Division","0","-"
"Number of judges and judiciary members","01/04/18","Date","Mixed","ONS 5+1 2011","Court Judges","Lords Justices of Appeal","0","0"
"Number of judges and judiciary members","01/04/18","Date","Mixed","ONS 5+1 2011","Court Judges","High Court Judges","0","0"
"Number of judges and judiciary members","01/04/18","Date","Mixed","ONS 5+1 2011","Court Judges","Deputy High Court Judges","1","2.3"
"Number of judges and judiciary members","01/04/18","Date","Mixed","ONS 5+1 2011","Court Judges","Judge Advocates, Deputy Judge Advocates","0","-"
"Number of judges and judiciary members","01/04/18","Date","Mixed","ONS 5+1 2011","Court Judges","Masters, Registrars, Costs Judges","0","0"
"Number of judges and judiciary members","01/04/18","Date","Mixed","ONS 5+1 2011","Court Judges","Deputy Masters, Deputy Registrars, Deputy Costs Judges","0","0"
"Number of judges and judiciary members","01/04/18","Date","Mixed","ONS 5+1 2011","Court Judges","Circuit Judges","5","0.8"
"Number of judges and judiciary members","01/04/18","Date","Mixed","ONS 5+1 2011","Court Judges","Recorders","17","2.6"
"Number of judges and judiciary members","01/04/18","Date","Mixed","ONS 5+1 2011","Court Judges","District Judges (County Courts)","6","1.6"
"Number of judges and judiciary members","01/04/18","Date","Mixed","ONS 5+1 2011","Court Judges","Deputy District Judges (County Courts)","9","1.9"
"Number of judges and judiciary members","01/04/18","Date","Mixed","ONS 5+1 2011","Court Judges","District Judges (Magistrates' Courts)","2","1.6"
"Number of judges and judiciary members","01/04/18","Date","Mixed","ONS 5+1 2011","Court Judges","Deputy District Judges (Magistrates' Courts)","1","1.5"
"Number of judges and judiciary members","01/04/18","Date","Other","ONS 5+1 2011","Court Judges","Heads of Division","0","-"
"Number of judges and judiciary members","01/04/18","Date","Other","ONS 5+1 2011","Court Judges","Lords Justices of Appeal","1","3.3"
"Number of judges and judiciary members","01/04/18","Date","Other","ONS 5+1 2011","Court Judges","High Court Judges","1","1.1"
"Number of judges and judiciary members","01/04/18","Date","Other","ONS 5+1 2011","Court Judges","Deputy High Court Judges","1","2.3"
"Number of judges and judiciary members","01/04/18","Date","Other","ONS 5+1 2011","Court Judges","Judge Advocates, Deputy Judge Advocates","0","-"
"Number of judges and judiciary members","01/04/18","Date","Other","ONS 5+1 2011","Court Judges","Masters, Registrars, Costs Judges","0","0"
"Number of judges and judiciary members","01/04/18","Date","Other","ONS 5+1 2011","Court Judges","Deputy Masters, Deputy Registrars, Deputy Costs Judges","0","0"
"Number of judges and judiciary members","01/04/18","Date","Other","ONS 5+1 2011","Court Judges","Circuit Judges","5","0.8"
"Number of judges and judiciary members","01/04/18","Date","Other","ONS 5+1 2011","Court Judges","Recorders","7","1.1"
"Number of judges and judiciary members","01/04/18","Date","Other","ONS 5+1 2011","Court Judges","District Judges (County Courts)","2","0.5"
"Number of judges and judiciary members","01/04/18","Date","Other","ONS 5+1 2011","Court Judges","Deputy District Judges (County Courts)","6","1.3"
"Number of judges and judiciary members","01/04/18","Date","Other","ONS 5+1 2011","Court Judges","District Judges (Magistrates' Courts)","0","0"
"Number of judges and judiciary members","01/04/18","Date","Other","ONS 5+1 2011","Court Judges","Deputy District Judges (Magistrates' Courts)","1","1.5"
"Number of judges and judiciary members","01/04/18","Date","Unknown","ONS 5+1 2011","Court Judges","Heads of Division","1","20"
"Number of judges and judiciary members","01/04/18","Date","Unknown","ONS 5+1 2011","Court Judges","Lords Justices of Appeal","8","21.1"
"Number of judges and judiciary members","01/04/18","Date","Unknown","ONS 5+1 2011","Court Judges","High Court Judges","7","7.4"
"Number of judges and judiciary members","01/04/18","Date","Unknown","ONS 5+1 2011","Court Judges","Deputy High Court Judges","29","39.7"
"Number of judges and judiciary members","01/04/18","Date","Unknown","ONS 5+1 2011","Court Judges","Judge Advocates, Deputy Judge Advocates","0","0"
"Number of judges and judiciary members","01/04/18","Date","Unknown","ONS 5+1 2011","Court Judges","Masters, Registrars, Costs Judges","6","23.1"
"Number of judges and judiciary members","01/04/18","Date","Unknown","ONS 5+1 2011","Court Judges","Deputy Masters, Deputy Registrars, Deputy Costs Judges","13","39.4"
"Number of judges and judiciary members","01/04/18","Date","Unknown","ONS 5+1 2011","Court Judges","Circuit Judges","65","9.8"
"Number of judges and judiciary members","01/04/18","Date","Unknown","ONS 5+1 2011","Court Judges","Recorders","171","20.6"
"Number of judges and judiciary members","01/04/18","Date","Unknown","ONS 5+1 2011","Court Judges","District Judges (County Courts)","24","6"
"Number of judges and judiciary members","01/04/18","Date","Unknown","ONS 5+1 2011","Court Judges","Deputy District Judges (County Courts)","103","17.7"
"Number of judges and judiciary members","01/04/18","Date","Unknown","ONS 5+1 2011","Court Judges","District Judges (Magistrates' Courts)","17","12.1"
"Number of judges and judiciary members","01/04/18","Date","Unknown","ONS 5+1 2011","Court Judges","Deputy District Judges (Magistrates' Courts)","25","27.2"
"Number of judges and judiciary members","01/04/18","Date","Other","ONS 5+1 2011","Court Judges","All","24","1"
"Number of judges and judiciary members","01/04/18","Date","Asian","ONS 5+1 2011","Court Judges","All","78","3.1"
"Number of judges and judiciary members","01/04/18","Date","Black","ONS 5+1 2011","Court Judges","All","28","1.1"
"Number of judges and judiciary members","01/04/18","Date","Mixed","ONS 5+1 2011","Court Judges","All","41","1.6"
"Number of judges and judiciary members","01/04/18","Date","Unknown","ONS 5+1 2011","Court Judges","All","469","15.7"
"Number of judges and judiciary members","01/04/18","Date","White","ONS 5+1 2011","Court Judges","All","2338","93.2"
"Number of judges and judiciary members","01/04/18","Date","White","ONS 5+1 2012","Tribunal Judges","Presidents, Chamber Presidents, Deputy and Vice Presidents","12","100"
"Number of judges and judiciary members","01/04/18","Date","White","ONS 5+1 2013","Tribunal Judges","Upper Tribunal Judge","46","85.2"
"Number of judges and judiciary members","01/04/18","Date","White","ONS 5+1 2014","Tribunal Judges","Deputy Upper Tribunal Judge","18","72"
"Number of judges and judiciary members","01/04/18","Date","White","ONS 5+1 2015","Tribunal Judges","Tribunal Judge","1029","88.9"
"Number of judges and judiciary members","01/04/18","Date","White","ONS 5+1 2016","Tribunal Judges","Regional, Deputy Regional Tribunal Judge","16","94.1"
"Number of judges and judiciary members","01/04/18","Date","White","ONS 5+1 2017","Tribunal Judges","Employment Judge","272","92.8"
"Number of judges and judiciary members","01/04/18","Date","White","ONS 5+1 2018","Tribunal Judges","Regional Employment Judge","11","91.7"
"Number of judges and judiciary members","01/04/18","Date","White","ONS 5+1 2018","Tribunal non-legal members","non-legal members","2331","83.3"
"Number of judges and judiciary members","01/04/18","Date","Asian","ONS 5+1 2012","Tribunal Judges","Presidents, Chamber Presidents, Deputy and Vice Presidents","0","0"
"Number of judges and judiciary members","01/04/18","Date","Asian","ONS 5+1 2013","Tribunal Judges","Upper Tribunal Judge","1","1.9"
"Number of judges and judiciary members","01/04/18","Date","Asian","ONS 5+1 2014","Tribunal Judges","Deputy Upper Tribunal Judge","3","12"
"Number of judges and judiciary members","01/04/18","Date","Asian","ONS 5+1 2015","Tribunal Judges","Tribunal Judge","63","5.4"
"Number of judges and judiciary members","01/04/18","Date","Asian","ONS 5+1 2016","Tribunal Judges","Regional, Deputy Regional Tribunal Judge","0","0"
"Number of judges and judiciary members","01/04/18","Date","Asian","ONS 5+1 2017","Tribunal Judges","Employment Judge","8","2.7"
"Number of judges and judiciary members","01/04/18","Date","Asian","ONS 5+1 2018","Tribunal Judges","Regional Employment Judge","0","0"
"Number of judges and judiciary members","01/04/18","Date","Asian","ONS 5+1 2018","Tribunal non-legal members","non-legal members","325","11.6"
"Number of judges and judiciary members","01/04/18","Date","Black","ONS 5+1 2012","Tribunal Judges","Presidents, Chamber Presidents, Deputy and Vice Presidents","0","0"
"Number of judges and judiciary members","01/04/18","Date","Black","ONS 5+1 2013","Tribunal Judges","Upper Tribunal Judge","1","1.9"
"Number of judges and judiciary members","01/04/18","Date","Black","ONS 5+1 2014","Tribunal Judges","Deputy Upper Tribunal Judge","1","4"
"Number of judges and judiciary members","01/04/18","Date","Black","ONS 5+1 2015","Tribunal Judges","Tribunal Judge","20","1.7"
"Number of judges and judiciary members","01/04/18","Date","Black","ONS 5+1 2016","Tribunal Judges","Regional, Deputy Regional Tribunal Judge","0","0"
"Number of judges and judiciary members","01/04/18","Date","Black","ONS 5+1 2017","Tribunal Judges","Employment Judge","8","2.7"
"Number of judges and judiciary members","01/04/18","Date","Black","ONS 5+1 2018","Tribunal Judges","Regional Employment Judge","1","8.3"
"Number of judges and judiciary members","01/04/18","Date","Black","ONS 5+1 2018","Tribunal non-legal members","non-legal members","61","2.2"
"Number of judges and judiciary members","01/04/18","Date","Mixed","ONS 5+1 2012","Tribunal Judges","Presidents, Chamber Presidents, Deputy and Vice Presidents","0","0"
"Number of judges and judiciary members","01/04/18","Date","Mixed","ONS 5+1 2013","Tribunal Judges","Upper Tribunal Judge","5","9.3"
"Number of judges and judiciary members","01/04/18","Date","Mixed","ONS 5+1 2014","Tribunal Judges","Deputy Upper Tribunal Judge","2","8"
"Number of judges and judiciary members","01/04/18","Date","Mixed","ONS 5+1 2015","Tribunal Judges","Tribunal Judge","17","1.5"
"Number of judges and judiciary members","01/04/18","Date","Mixed","ONS 5+1 2016","Tribunal Judges","Regional, Deputy Regional Tribunal Judge","1","5.9"
"Number of judges and judiciary members","01/04/18","Date","Mixed","ONS 5+1 2017","Tribunal Judges","Employment Judge","3","1"
"Number of judges and judiciary members","01/04/18","Date","Mixed","ONS 5+1 2018","Tribunal Judges","Regional Employment Judge","0","0"
"Number of judges and judiciary members","01/04/18","Date","Mixed","ONS 5+1 2018","Tribunal non-legal members","non-legal members","33","1.2"
"Number of judges and judiciary members","01/04/18","Date","Other","ONS 5+1 2012","Tribunal Judges","Presidents, Chamber Presidents, Deputy and Vice Presidents","0","0"
"Number of judges and judiciary members","01/04/18","Date","Other","ONS 5+1 2013","Tribunal Judges","Upper Tribunal Judge","1","1.9"
"Number of judges and judiciary members","01/04/18","Date","Other","ONS 5+1 2014","Tribunal Judges","Deputy Upper Tribunal Judge","1","4"
"Number of judges and judiciary members","01/04/18","Date","Other","ONS 5+1 2015","Tribunal Judges","Tribunal Judge","29","2.5"
"Number of judges and judiciary members","01/04/18","Date","Other","ONS 5+1 2016","Tribunal Judges","Regional, Deputy Regional Tribunal Judge","0","0"
"Number of judges and judiciary members","01/04/18","Date","Other","ONS 5+1 2017","Tribunal Judges","Employment Judge","2","0.7"
"Number of judges and judiciary members","01/04/18","Date","Other","ONS 5+1 2018","Tribunal Judges","Regional Employment Judge","0","0"
"Number of judges and judiciary members","01/04/18","Date","Other","ONS 5+1 2018","Tribunal non-legal members","non-legal members","48","1.7"
"Number of judges and judiciary members","01/04/18","Date","Unknown","ONS 5+1 2012","Tribunal Judges","Presidents, Chamber Presidents, Deputy and Vice Presidents","0","0"
"Number of judges and judiciary members","01/04/18","Date","Unknown","ONS 5+1 2013","Tribunal Judges","Upper Tribunal Judge","4","6.9"
"Number of judges and judiciary members","01/04/18","Date","Unknown","ONS 5+1 2014","Tribunal Judges","Deputy Upper Tribunal Judge","4","13.8"
"Number of judges and judiciary members","01/04/18","Date","Unknown","ONS 5+1 2015","Tribunal Judges","Tribunal Judge","97","7.7"
"Number of judges and judiciary members","01/04/18","Date","Unknown","ONS 5+1 2016","Tribunal Judges","Regional, Deputy Regional Tribunal Judge","10","37"
"Number of judges and judiciary members","01/04/18","Date","Unknown","ONS 5+1 2017","Tribunal Judges","Employment Judge","17","5.5"
"Number of judges and judiciary members","01/04/18","Date","Unknown","ONS 5+1 2018","Tribunal Judges","Regional Employment Judge","0","0"
"Number of judges and judiciary members","01/04/18","Date","Unknown","ONS 5+1 2018","Tribunal non-legal members","non-legal members","324","10.4"
"Number of judges and judiciary members","01/04/18","Date","Other","ONS 5+1 2011","Tribunal Judges","All","33","2.1"
"Number of judges and judiciary members","01/04/18","Date","Asian","ONS 5+1 2011","Tribunal Judges","All","75","4.8"
"Number of judges and judiciary members","01/04/18","Date","Black","ONS 5+1 2011","Tribunal Judges","All","31","2"
"Number of judges and judiciary members","01/04/18","Date","Mixed","ONS 5+1 2011","Tribunal Judges","All","28","1.8"
"Number of judges and judiciary members","01/04/18","Date","Unknown","ONS 5+1 2011","Tribunal Judges","All","132","7.8"
"Number of judges and judiciary members","01/04/18","Date","White","ONS 5+1 2011","Tribunal Judges","All","1404","89.4"
