"Title","Science attainment for children aged 6 to 7 by ethnicity, area and gender"
"Location","England"
"Time period","2016/17"
"Data source","Key stage 1 statistics"
"Data source link","https://www.gov.uk/government/statistics/phonics-screening-check-and-key-stage-1-assessments-england-2017"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated","28/09/17"

"","All","","Asian","","Black","","Chinese","","Mixed","","White",""
"Medway","79","86","72","96","85","89","!","!","85","88","78","85"
"Merton","85","87","83","89","84","89","!","!","89","84","87","87"
"Middlesbrough","73","79","69","77","!","!","!","!","57","77","75","79"
"Milton Keynes","80","88","81","92","79","89","!","100","83","90","80","86"
"Newcastle upon Tyne","78","83","74","78","83","87","83","!","75","85","79","84"
"Newham","80","86","83","86","79","87","100","!","80","89","76","84"
"Norfolk","82","86","85","85","79","85","!","!","75","88","82","86"
"North East Lincolnshire","82","82","!","!","!","!","!","!","!","!","81","82"
"North Lincolnshire","81","86","84","90","!","!","!","!","!","!","81","86"
"North Somerset","86","91","77","!","!","!","!","!","90","89","87","91"
"North Tyneside","80","88","72","77","!","!","100","!","82","!","81","88"
"North Yorkshire","81","85","81","81","!","!","!","!","76","88","82","86"
"Northamptonshire","79","85","72","89","75","80","!","100","81","84","80","85"
"Northumberland","84","88","!","100","N/A","!","!","!","!","!","85","88"
"Nottingham","73","80","75","83","76","81","100","!","76","87","71","79"
"Nottinghamshire","80","85","79","86","80","85","72","74","82","88","80","85"
"Oldham","73","79","70","74","63","74","!","!","83","82","77","83"
"Oxfordshire","83","87","74","80","79","86","!","!","83","88","83","88"
"Peterborough","74","81","73","81","73","78","!","!","70","92","75","81"
"Plymouth","79","83","!","!","!","!","!","!","80","87","79","83"
"Poole","83","88","73","100","!","!","!","!","82","70","83","88"
"Portsmouth","80","86","76","84","76","83","!","100","84","93","81","87"
"Reading","78","83","83","83","78","84","100","100","78","90","78","82"
"Redbridge","80","86","83","89","80","83","!","!","78","88","77","83"
"Redcar and Cleveland","80","88","!","!","!","N/A","N/A","N/A","!","!","80","88"
"Richmond upon Thames","90","92","90","96","86","83","!","!","91","91","92","92"
"Rochdale","75","81","71","81","81","80","!","!","72","81","77","82"
"Rotherham","77","83","74","84","76","81","!","!","84","82","77","84"
"Rutland","88","88","!","!","!","!","N/A","N/A","100","100","87","89"
"Salford","80","87","90","90","76","88","!","100","85","91","80","86"
"Sandwell","74","81","75","82","71","81","!","100","70","81","74","81"
"Sefton","81","86","!","!","!","100","!","100","83","78","81","86"
"Sheffield","78","83","75","81","74","81","!","!","81","82","80","84"
"Shropshire","82","88","!","!","!","!","!","!","!","!","82","88"
"Slough","77","86","82","88","!","!","!","!","77","82","72","84"
"Solihull","81","88","86","88","83","!","100","100","80","87","80","88"
"Somerset","84","89","79","85","!","!","!","!","84","86","85","89"
"South Gloucestershire","85","90","91","86","86","75","!","!","77","95","86","91"
"South Tyneside","77","83","84","!","!","!","!","!","75","82","77","83"
"Southampton","77","82","82","87","78","89","!","!","79","87","76","81"
"Southend-on-Sea","84","88","76","94","89","83","!","!","88","80","84","89"
"Southwark","80","87","73","88","79","88","!","!","81","89","84","87"
"St. Helens","74","82","!","!","!","!","64","100","70","79","74","82"
"Staffordshire","83","87","84","85","88","!","!","!","82","86","83","87"
"Stockport","82","88","74","81","!","!","64","!","82","91","83","89"
"Stockton-on-Tees","83","88","73","86","!","!","!","!","85","89","84","88"
"Stoke-on-Trent","75","81","76","82","76","86","!","!","76","90","75","81"
"Suffolk","80","84","77","90","72","81","!","!","77","83","80","84"
"Sunderland","80","86","73","83","!","!","!","100","84","78","80","86"
"Surrey","85","88","81","86","76","88","79","81","87","90","85","88"
"Sutton","83","86","87","90","84","78","!","!","85","82","82","87"
"Swindon","80","86","78","83","!","!","100","!","88","87","81","87"
"Tameside","76","84","68","84","75","75","!","!","74","85","78","85"
"Telford and Wrekin","80","86","76","86","76","72","!","!","77","93","81","87"
"Thurrock","77","82","89","85","78","92","!","!","82","89","75","80"
"Torbay","79","83","63","100","!","N/A","!","!","!","!","80","83"
"Tower Hamlets","79","84","79","84","81","85","100","!","79","82","78","84"
"Trafford","86","90","83","87","79","79","!","!","85","89","87","91"
"Wakefield","77","83","71","73","65","73","!","100","82","89","77","83"
"Walsall","73","81","75","83","83","85","!","!","71","88","73","80"
"Waltham Forest","82","89","84","90","81","89","!","!","87","92","83","89"
"Wandsworth","85","88","84","87","77","78","!","!","82","88","90","92"
"Warrington","86","88","89","86","!","100","!","!","94","82","86","89"
"Warwickshire","82","87","86","90","93","87","100","!","87","86","82","87"
"West Berkshire","84","89","91","89","!","!","!","!","77","94","85","89"
"West Sussex","78","81","72","77","68","66","!","100","82","81","79","82"
"Westminster","79","84","71","83","82","85","!","100","88","89","87","89"
"Wigan","80","85","71","!","67","!","!","!","84","82","81","85"
"Wiltshire","81","84","83","76","80","87","!","!","82","86","81","85"
"Windsor and Maidenhead","87","91","91","90","!","!","!","!","82","91","87","92"
"Wirral","79","84","63","81","!","!","!","!","75","84","79","84"
"Wokingham","89","93","91","88","68","73","100","100","79","94","90","94"
"Wolverhampton","76","83","81","87","77","87","!","!","78","80","75","83"
"Worcestershire","83","86","78","78","73","75","100","!","79","84","83","86"
"York","84","89","74","!","!","!","!","!","82","!","85","89"
