"ethnicity","Local authority","%"
"Mixed","Hackney","87"
"Mixed","Halton","80"
"Mixed","Hammersmith and Fulham","82"
"Mixed","Hampshire","91"
"Mixed","Haringey","89"
"Mixed","Harrow","89"
"Mixed","Hartlepool","!"
"Mixed","Havering","87"
"Mixed","Herefordshire, County of","87"
"Mixed","Hertfordshire","85"
"Mixed","Hillingdon","87"
"Mixed","Hounslow","90"
"Mixed","Isle of Wight","80"
"Mixed","Isles of Scilly","!"
"Mixed","Islington","81"
"Mixed","Kensington and Chelsea","87"
"Mixed","Kent","89"
"Mixed","Kingston upon Hull, City of","81"
"Mixed","Kingston upon Thames","86"
"Mixed","Kirklees","76"
"Mixed","Knowsley","67"
"Mixed","Lambeth","86"
"Mixed","Lancashire","81"
"Mixed","Leeds","74"
"Mixed","Leicester","81"
"Mixed","Leicestershire","84"
"Mixed","Lewisham","88"
"Mixed","Lincolnshire","85"
"Mixed","Liverpool","74"
"Mixed","Luton","81"
"Mixed","Manchester","79"
"Mixed","Medway","86"
"Mixed","Merton","87"
"Mixed","Middlesbrough","67"
"Mixed","Milton Keynes","86"
"Mixed","Newcastle upon Tyne","81"
"Mixed","Newham","84"
"Mixed","Norfolk","82"
"Mixed","North East Lincolnshire","86"
"Mixed","North Lincolnshire","88"
"Mixed","North Somerset","90"
"Mixed","North Tyneside","89"
"Mixed","North Yorkshire","81"
"Mixed","Northamptonshire","82"
"Mixed","Northumberland","87"
"Mixed","Nottingham","81"
"Mixed","Nottinghamshire","85"
"Mixed","Oldham","82"
"Mixed","Oxfordshire","85"
"Mixed","Peterborough","81"
"Mixed","Plymouth","83"
"Mixed","Poole","77"
"Mixed","Portsmouth","89"
"Mixed","Reading","84"
"Mixed","Redbridge","82"
"Mixed","Redcar and Cleveland","88"
"Mixed","Richmond upon Thames","91"
"Mixed","Rochdale","76"
"Mixed","Rotherham","83"
"Mixed","Rutland","100"
"Mixed","Salford","88"
"Mixed","Sandwell","76"
"Mixed","Sefton","81"
"Mixed","Sheffield","82"
"Mixed","Shropshire","91"
"Mixed","Slough","80"
"Mixed","Solihull","83"
"Mixed","Somerset","85"
"Mixed","South Gloucestershire","85"
"Mixed","South Tyneside","78"
"Mixed","Southampton","83"
"Mixed","Southend-on-Sea","84"
"Mixed","Southwark","85"
"Mixed","St. Helens","74"
"Mixed","Staffordshire","84"
"Mixed","Stockport","86"
"Mixed","Stockton-on-Tees","87"
"Mixed","Stoke-on-Trent","84"
"Mixed","Suffolk","80"
"Mixed","Sunderland","80"
"Mixed","Surrey","88"
"Mixed","Sutton","84"
"Mixed","Swindon","88"
"Mixed","Tameside","79"
"Mixed","Telford and Wrekin","85"
"Mixed","Thurrock","86"
"Mixed","Torbay","80"
"Mixed","Tower Hamlets","80"
"Mixed","Trafford","87"
"Mixed","Wakefield","86"
"Mixed","Walsall","79"
"Mixed","Waltham Forest","89"
"Mixed","Wandsworth","85"
"Mixed","Warrington","88"
"Mixed","Warwickshire","87"
"Mixed","West Berkshire","85"
"Mixed","West Sussex","81"
"Mixed","Westminster","89"
"Mixed","Wigan","83"
"Mixed","Wiltshire","84"
"Mixed","Windsor and Maidenhead","87"
"Mixed","Wirral","79"
"Mixed","Wokingham","86"
"Mixed","Wolverhampton","79"
"Mixed","Worcestershire","81"
