"Title","Mathematics attainments for children aged 5 to 7 by ethnicity, area and gender"
"Location","England"
"Time period","2015/16"
"Data source","Key stage 1 statistics https://www.gov.uk/government/statistics/phonics-screening-check-and-key-stage-1-assessments-england-2016"
"Source","https://www.ethnicityfactsandfigures.digitalbeta.org.uk"

"Region","Local Authority","LA Code","Ethnicity","Ethnicity type","Gender","Gender_type","Value","Value_girls"
"North West","Warrington","E06000007","All","ONS 5","Boys","All/Boys/Girls","75","77"
"West Midlands","Warwickshire","E10000031","All","ONS 5","Boys","All/Boys/Girls","73","75"
"South East","West Berkshire","E06000037","All","ONS 5","Boys","All/Boys/Girls","73","72"
"South East","West Sussex","E10000032","All","ONS 5","Boys","All/Boys/Girls","64","65"
"London","Westminster","E09000033","All","ONS 5","Boys","All/Boys/Girls","76","77"
"North West","Wigan","E08000010","All","ONS 5","Boys","All/Boys/Girls","72","75"
"South West","Wiltshire","E06000054","All","ONS 5","Boys","All/Boys/Girls","71","71"
"South East","Windsor and Maidenhead","E06000040","All","ONS 5","Boys","All/Boys/Girls","79","77"
"North West","Wirral","E08000015","All","ONS 5","Boys","All/Boys/Girls","67","73"
"South East","Wokingham","E06000041","All","ONS 5","Boys","All/Boys/Girls","78","80"
"West Midlands","Wolverhampton","E08000031","All","ONS 5","Boys","All/Boys/Girls","68","73"
"West Midlands","Worcestershire","E10000034","All","ONS 5","Boys","All/Boys/Girls","69","71"
"Yorkshire and The Humber","York","E06000014","All","ONS 5","Boys","All/Boys/Girls","72","71"
"London","Barking and Dagenham","E09000002","Asian","ONS 5","Boys","All/Boys/Girls","78","83"
"London","Barnet","E09000003","Asian","ONS 5","Boys","All/Boys/Girls","81","79"
"Yorkshire and The Humber","Barnsley","E08000016","Asian","ONS 5","Boys","All/Boys/Girls","!","!"
"South West","Bath and North East Somerset","E06000022","Asian","ONS 5","Boys","All/Boys/Girls","!","!"
"East","Bedford","E06000055","Asian","ONS 5","Boys","All/Boys/Girls","63","68"
"London","Bexley","E09000004","Asian","ONS 5","Boys","All/Boys/Girls","86","91"
"West Midlands","Birmingham","E08000025","Asian","ONS 5","Boys","All/Boys/Girls","68","69"
"North West","Blackburn with Darwen","E06000008","Asian","ONS 5","Boys","All/Boys/Girls","74","75"
"North West","Blackpool","E06000009","Asian","ONS 5","Boys","All/Boys/Girls","64","65"
"North West","Bolton","E08000001","Asian","ONS 5","Boys","All/Boys/Girls","75","76"
"South West","Bournemouth","E06000028","Asian","ONS 5","Boys","All/Boys/Girls","74","69"
"South East","Bracknell Forest","E06000036","Asian","ONS 5","Boys","All/Boys/Girls","85","90"
"Yorkshire and The Humber","Bradford","E08000032","Asian","ONS 5","Boys","All/Boys/Girls","71","73"
"London","Brent","E09000005","Asian","ONS 5","Boys","All/Boys/Girls","79","78"
"South East","Brighton and Hove","E06000043","Asian","ONS 5","Boys","All/Boys/Girls","81","61"
"South West","Bristol, City of","E06000023","Asian","ONS 5","Boys","All/Boys/Girls","65","63"
"London","Bromley","E09000006","Asian","ONS 5","Boys","All/Boys/Girls","85","89"
"South East","Buckinghamshire","E10000002","Asian","ONS 5","Boys","All/Boys/Girls","69","64"
"North West","Bury","E08000002","Asian","ONS 5","Boys","All/Boys/Girls","70","67"
"Yorkshire and The Humber","Calderdale","E08000033","Asian","ONS 5","Boys","All/Boys/Girls","51","54"
"East","Cambridgeshire","E10000003","Asian","ONS 5","Boys","All/Boys/Girls","70","70"
"London","Camden","E09000007","Asian","ONS 5","Boys","All/Boys/Girls","69","75"
"East","Central Bedfordshire","E06000056","Asian","ONS 5","Boys","All/Boys/Girls","71","93"
"North West","Cheshire East","E06000049","Asian","ONS 5","Boys","All/Boys/Girls","77","65"
"North West","Cheshire West and Chester","E06000050","Asian","ONS 5","Boys","All/Boys/Girls","60","90"
"London","City of London","E09000001","Asian","ONS 5","Boys","All/Boys/Girls","!","!"
"South West","Cornwall","E06000052","Asian","ONS 5","Boys","All/Boys/Girls","!","!"
"North East","County Durham","E06000047","Asian","ONS 5","Boys","All/Boys/Girls","!","!"
"West Midlands","Coventry","E08000026","Asian","ONS 5","Boys","All/Boys/Girls","76","78"
"London","Croydon","E09000008","Asian","ONS 5","Boys","All/Boys/Girls","81","88"
"North West","Cumbria","E10000006","Asian","ONS 5","Boys","All/Boys/Girls","84","78"
"North East","Darlington","E06000005","Asian","ONS 5","Boys","All/Boys/Girls","65","67"
"East Midlands","Derby","E06000015","Asian","ONS 5","Boys","All/Boys/Girls","65","70"
"East Midlands","Derbyshire","E10000007","Asian","ONS 5","Boys","All/Boys/Girls","85","75"
"South West","Devon","E10000008","Asian","ONS 5","Boys","All/Boys/Girls","71","81"
