"Title","Mathematics attainments for children aged 5 to 7 by ethnicity and area"
"Location","England"
"Time period","2015/16"
"Data source","Key stage 1 statistics https://www.gov.uk/government/statistics/phonics-screening-check-and-key-stage-1-assessments-england-2016"
"Source","https://www.ethnicityfactsandfigures.digitalbeta.org.uk"

"Region","Local Authority","LA Code","Ethnicity","Ethnicity type","Gender","Gender_type","Value"
"South East","West Berkshire","E06000037","Mixed","ONS 5","All","All/Boys/Girls","81"
"South East","West Sussex","E10000032","Mixed","ONS 5","All","All/Boys/Girls","65"
"South East","Windsor and Maidenhead","E06000040","Mixed","ONS 5","All","All/Boys/Girls","81"
"South East","Wokingham","E06000041","Mixed","ONS 5","All","All/Boys/Girls","81"
"South West","Bath and North East Somerset","E06000022","Mixed","ONS 5","All","All/Boys/Girls","74"
"South West","Bournemouth","E06000028","Mixed","ONS 5","All","All/Boys/Girls","74"
"South West","Bristol, City of","E06000023","Mixed","ONS 5","All","All/Boys/Girls","66"
"South West","Cornwall","E06000052","Mixed","ONS 5","All","All/Boys/Girls","77"
"South West","Devon","E10000008","Mixed","ONS 5","All","All/Boys/Girls","70"
"South West","Dorset","E10000009","Mixed","ONS 5","All","All/Boys/Girls","73"
"South West","Gloucestershire","E10000013","Mixed","ONS 5","All","All/Boys/Girls","70"
"South West","Isles of Scilly","E06000053","Mixed","ONS 5","All","All/Boys/Girls","!"
"South West","North Somerset","E06000024","Mixed","ONS 5","All","All/Boys/Girls","84"
"South West","Plymouth","E06000026","Mixed","ONS 5","All","All/Boys/Girls","66"
"South West","Poole","E06000029","Mixed","ONS 5","All","All/Boys/Girls","78"
"South West","Somerset","E10000027","Mixed","ONS 5","All","All/Boys/Girls","74"
"South West","South Gloucestershire","E06000025","Mixed","ONS 5","All","All/Boys/Girls","74"
"South West","Swindon","E06000030","Mixed","ONS 5","All","All/Boys/Girls","71"
"South West","Torbay","E06000027","Mixed","ONS 5","All","All/Boys/Girls","78"
"South West","Wiltshire","E06000054","Mixed","ONS 5","All","All/Boys/Girls","74"
"North East","County Durham","E06000047","Asian","ONS 5","All","All/Boys/Girls","82"
"North East","Darlington","E06000005","Asian","ONS 5","All","All/Boys/Girls","66"
"North East","Gateshead","E08000037","Asian","ONS 5","All","All/Boys/Girls","72"
"North East","Hartlepool","E06000001","Asian","ONS 5","All","All/Boys/Girls","71"
"North East","Middlesbrough","E06000002","Asian","ONS 5","All","All/Boys/Girls","65"
"North East","Newcastle upon Tyne","E08000021","Asian","ONS 5","All","All/Boys/Girls","74"
"North East","North Tyneside","E08000022","Asian","ONS 5","All","All/Boys/Girls","76"
"North East","Northumberland","E06000057","Asian","ONS 5","All","All/Boys/Girls","83"
"North East","Redcar and Cleveland","E06000003","Asian","ONS 5","All","All/Boys/Girls","53"
"North East","South Tyneside","E08000023","Asian","ONS 5","All","All/Boys/Girls","85"
"North East","Stockton-on-Tees","E06000004","Asian","ONS 5","All","All/Boys/Girls","77"
"North East","Sunderland","E08000024","Asian","ONS 5","All","All/Boys/Girls","74"
"North West","Blackburn with Darwen","E06000008","Asian","ONS 5","All","All/Boys/Girls","75"
"North West","Blackpool","E06000009","Asian","ONS 5","All","All/Boys/Girls","65"
