"Title"," EBacc entry by ethnicity, gender and area"
"Location","England"
"Time period","2015 to 2016"
"Data source","Revised GCSE and equivalent results in England: 2015 to 2016"
"Source","https://ethnicity-facts-and-figures.herokuapp.com"

"Measure","Time","Time Type","Ethnicity","Ethnicity Type","Geography","Geography type","ONS geography code","Gender","FSM","Value","Denominator","Lower confidence interval","Upper confidence interval","Notes","Boys-Value","Boys-Denominator","Girls-Value","Girls-Denominator"
"Percentage entering the English Baccalaureate","2016","Academic year","All","All pupils","Derby","Local Authority","E06000015","All pupils","All pupils","33","2787","NA","NA","","28","1410","38","1377"
"Percentage entering the English Baccalaureate","2016","Academic year","All","All pupils","Derbyshire","Local Authority","E10000007","All pupils","All pupils","31","7628","NA","NA","","26","3837","36","3791"
"Percentage entering the English Baccalaureate","2016","Academic year","All","All pupils","Leicester","Local Authority","E06000016","All pupils","All pupils","32","3409","NA","NA","","28","1775","37","1634"
"Percentage entering the English Baccalaureate","2016","Academic year","All","All pupils","Leicestershire","Local Authority","E10000018","All pupils","All pupils","32","7017","NA","NA","","27","3606","37","3411"
"Percentage entering the English Baccalaureate","2016","Academic year","All","All pupils","Lincolnshire","Local Authority","E10000019","All pupils","All pupils","44","7807","NA","NA","","39","3987","48","3820"
"Percentage entering the English Baccalaureate","2016","Academic year","All","All pupils","Northamptonshire","Local Authority","E10000021","All pupils","All pupils","41","7650","NA","NA","","36","3946","45","3704"
"Percentage entering the English Baccalaureate","2016","Academic year","All","All pupils","Nottingham","Local Authority","E06000018","All pupils","All pupils","32","2534","NA","NA","","26","1284","39","1250"
"Percentage entering the English Baccalaureate","2016","Academic year","All","All pupils","Nottinghamshire","Local Authority","E10000024","All pupils","All pupils","41","7883","NA","NA","","34","4059","48","3824"
"Percentage entering the English Baccalaureate","2016","Academic year","All","All pupils","Rutland","Local Authority","E06000017","All pupils","All pupils","33","489","NA","NA","","22","265","46","224"
"Percentage entering the English Baccalaureate","2016","Academic year","All","All pupils","Birmingham","Local Authority","E08000025","All pupils","All pupils","42","12035","NA","NA","","36","6122","49","5913"
"Percentage entering the English Baccalaureate","2016","Academic year","All","All pupils","Coventry","Local Authority","E08000026","All pupils","All pupils","40","3463","NA","NA","","33","1787","46","1676"
"Percentage entering the English Baccalaureate","2016","Academic year","All","All pupils","Dudley","Local Authority","E08000027","All pupils","All pupils","33","3591","NA","NA","","29","1879","38","1712"
"Percentage entering the English Baccalaureate","2016","Academic year","All","All pupils","Herefordshire, County of","Local Authority","E06000019","All pupils","All pupils","43","1732","NA","NA","","35","926","52","806"
"Percentage entering the English Baccalaureate","2016","Academic year","All","All pupils","Sandwell","Local Authority","E08000028","All pupils","All pupils","22","3499","NA","NA","","18","1851","27","1648"
"Percentage entering the English Baccalaureate","2016","Academic year","All","All pupils","Shropshire","Local Authority","E06000051","All pupils","All pupils","38","2986","NA","NA","","34","1532","43","1454"
"Percentage entering the English Baccalaureate","2016","Academic year","All","All pupils","Solihull","Local Authority","E08000029","All pupils","All pupils","45","2987","NA","NA","","38","1559","53","1428"
"Percentage entering the English Baccalaureate","2016","Academic year","All","All pupils","Staffordshire","Local Authority","E10000028","All pupils","All pupils","35","8758","NA","NA","","30","4469","40","4289"
"Percentage entering the English Baccalaureate","2016","Academic year","All","All pupils","Stoke-on-Trent","Local Authority","E06000021","All pupils","All pupils","28","2269","NA","NA","","23","1129","33","1140"
"Percentage entering the English Baccalaureate","2016","Academic year","All","All pupils","Telford and Wrekin","Local Authority","E06000020","All pupils","All pupils","46","2014","NA","NA","","41","1093","52","921"
