"Title","EBacc achievement by ethnicity and area "
"Location","England"
"Time period","2015 to 2016"
"Data source","Revised GCSE and equivalent results in England: 2015 to 2016"
"Source","https://ethnicity-facts-and-figures.herokuapp.com"

"Measure","Time","Time Type","Ethnicity","Ethnicity Type","Geography","Geography type","ONS geography code","Gender","FSM","Value","Denominator","Lower confidence interval","Upper confidence interval","Notes"
"Percentage achieving the English Baccalaureate","2016","Academic year","All","All pupils","Blackburn with Darwen","Local Authority","E06000008","All pupils","All pupils","25","1754","NA","NA",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All","All pupils","Blackpool","Local Authority","E06000009","All pupils","All pupils","9","1331","NA","NA",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All","All pupils","Bolton","Local Authority","E08000001","All pupils","All pupils","20","3240","NA","NA",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All","All pupils","Bury","Local Authority","E08000002","All pupils","All pupils","27","2060","NA","NA",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All","All pupils","Cheshire East","Local Authority","E06000049","All pupils","All pupils","27","3740","NA","NA",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All","All pupils","Cheshire West and Chester","Local Authority","E06000050","All pupils","All pupils","30","3443","NA","NA",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All","All pupils","Cumbria","Local Authority","E10000006","All pupils","All pupils","22","5134","NA","NA",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All","All pupils","Halton","Local Authority","E06000006","All pupils","All pupils","33","1373","NA","NA",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All","All pupils","Knowsley","Local Authority","E08000011","All pupils","All pupils","11","1147","NA","NA",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All","All pupils","Lancashire","Local Authority","E10000017","All pupils","All pupils","22","12106","NA","NA",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All","All pupils","Liverpool","Local Authority","E08000012","All pupils","All pupils","23","4611","NA","NA",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All","All pupils","Manchester","Local Authority","E08000003","All pupils","All pupils","19","4715","NA","NA",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All","All pupils","Oldham","Local Authority","E08000004","All pupils","All pupils","16","2920","NA","NA",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All","All pupils","Rochdale","Local Authority","E08000005","All pupils","All pupils","16","2315","NA","NA",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All","All pupils","Salford","Local Authority","E08000006","All pupils","All pupils","20","2084","NA","NA",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All","All pupils","Sefton","Local Authority","E08000014","All pupils","All pupils","25","3076","NA","NA",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All","All pupils","St. Helens","Local Authority","E08000013","All pupils","All pupils","20","1767","NA","NA",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All","All pupils","Stockport","Local Authority","E08000007","All pupils","All pupils","30","2816","NA","NA",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All","All pupils","Tameside","Local Authority","E08000008","All pupils","All pupils","19","2493","NA","NA",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All","All pupils","Trafford","Local Authority","E08000009","All pupils","All pupils","37","2758","NA","NA",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All","All pupils","Warrington","Local Authority","E06000007","All pupils","All pupils","24","2365","NA","NA",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All","All pupils","Wigan","Local Authority","E08000010","All pupils","All pupils","22","3407","NA","NA",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All","All pupils","Wirral","Local Authority","E08000015","All pupils","All pupils","35","3402","NA","NA",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All","All pupils","Barnsley","Local Authority","E08000016","All pupils","All pupils","18","2088","NA","NA",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All","All pupils","Bradford","Local Authority","E08000032","All pupils","All pupils","17","5859","NA","NA",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All","All pupils","Calderdale","Local Authority","E08000033","All pupils","All pupils","25","2524","NA","NA",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All","All pupils","Doncaster","Local Authority","E08000017","All pupils","All pupils","16","3026","NA","NA",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All","All pupils","East Riding of Yorkshire","Local Authority","E06000011","All pupils","All pupils","22","3346","NA","NA",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All","All pupils","Kingston upon Hull, City of","Local Authority","E06000010","All pupils","All pupils","20","2255","NA","NA",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All","All pupils","Kirklees","Local Authority","E08000034","All pupils","All pupils","22","4534","NA","NA",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All","All pupils","Leeds","Local Authority","E08000035","All pupils","All pupils","23","7483","NA","NA",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All","All pupils","North East Lincolnshire","Local Authority","E06000012","All pupils","All pupils","17","1596","NA","NA",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All","All pupils","North Lincolnshire","Local Authority","E06000013","All pupils","All pupils","19","1856","NA","NA",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All","All pupils","North Yorkshire","Local Authority","E10000023","All pupils","All pupils","29","6188","NA","NA",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All","All pupils","Rotherham","Local Authority","E08000018","All pupils","All pupils","20","3335","NA","NA",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All","All pupils","Sheffield","Local Authority","E08000019","All pupils","All pupils","22","5242","NA","NA",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All","All pupils","Wakefield","Local Authority","E08000036","All pupils","All pupils","20","3645","NA","NA",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All","All pupils","York","Local Authority","E06000014","All pupils","All pupils","35","1585","NA","NA",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All","All pupils","Derby","Local Authority","E06000015","All pupils","All pupils","20","2787","NA","NA",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All","All pupils","Derbyshire","Local Authority","E10000007","All pupils","All pupils","19","7628","NA","NA",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All","All pupils","Leicester","Local Authority","E06000016","All pupils","All pupils","19","3409","NA","NA",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All","All pupils","Leicestershire","Local Authority","E10000018","All pupils","All pupils","19","7017","NA","NA",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All","All pupils","Lincolnshire","Local Authority","E10000019","All pupils","All pupils","28","7807","NA","NA",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All","All pupils","Northamptonshire","Local Authority","E10000021","All pupils","All pupils","22","7650","NA","NA",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All","All pupils","Nottingham","Local Authority","E06000018","All pupils","All pupils","17","2534","NA","NA",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All","All pupils","Nottinghamshire","Local Authority","E10000024","All pupils","All pupils","25","7883","NA","NA",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All","All pupils","Rutland","Local Authority","E06000017","All pupils","All pupils","26","489","NA","NA",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All","All pupils","Birmingham","Local Authority","E08000025","All pupils","All pupils","25","12035","NA","NA",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All","All pupils","Coventry","Local Authority","E08000026","All pupils","All pupils","21","3463","NA","NA",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All","All pupils","Dudley","Local Authority","E08000027","All pupils","All pupils","17","3591","NA","NA",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All","All pupils","Herefordshire, County of","Local Authority","E06000019","All pupils","All pupils","23","1732","NA","NA",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All","All pupils","Sandwell","Local Authority","E08000028","All pupils","All pupils","13","3499","NA","NA",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All","All pupils","Shropshire","Local Authority","E06000051","All pupils","All pupils","24","2986","NA","NA",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All","All pupils","Solihull","Local Authority","E08000029","All pupils","All pupils","27","2987","NA","NA",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All","All pupils","Staffordshire","Local Authority","E10000028","All pupils","All pupils","20","8758","NA","NA",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All","All pupils","Stoke-on-Trent","Local Authority","E06000021","All pupils","All pupils","16","2269","NA","NA",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All","All pupils","Telford and Wrekin","Local Authority","E06000020","All pupils","All pupils","23","2014","NA","NA",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All","All pupils","Walsall","Local Authority","E08000030","All pupils","All pupils","21","3261","NA","NA",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All","All pupils","Warwickshire","Local Authority","E10000031","All pupils","All pupils","29","5585","NA","NA",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All","All pupils","Wolverhampton","Local Authority","E08000031","All pupils","All pupils","15","2470","NA","NA",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All","All pupils","Worcestershire","Local Authority","E10000034","All pupils","All pupils","25","5565","NA","NA",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All","All pupils","Bedford","Local Authority","E06000055","All pupils","All pupils","18","1862","NA","NA",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All","All pupils","Cambridgeshire","Local Authority","E10000003","All pupils","All pupils","27","5707","NA","NA",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All","All pupils","Central Bedfordshire","Local Authority","E06000056","All pupils","All pupils","20","2596","NA","NA",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All","All pupils","Essex","Local Authority","E10000012","All pupils","All pupils","23","14607","NA","NA",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All","All pupils","Hertfordshire","Local Authority","E10000015","All pupils","All pupils","33","12613","NA","NA",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All","All pupils","Luton","Local Authority","E06000032","All pupils","All pupils","18","2442","NA","NA",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All","All pupils","Norfolk","Local Authority","E10000020","All pupils","All pupils","21","8014","NA","NA",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All","All pupils","Peterborough","Local Authority","E06000031","All pupils","All pupils","22","2292","NA","NA",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All","All pupils","Southend-on-Sea","Local Authority","E06000033","All pupils","All pupils","34","2047","NA","NA",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All","All pupils","Suffolk","Local Authority","E10000029","All pupils","All pupils","18","7158","NA","NA",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All","All pupils","Thurrock","Local Authority","E06000034","All pupils","All pupils","25","1721","NA","NA",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All","All pupils","Camden","Local Authority","E09000007","All pupils","All pupils","28","1422","NA","NA",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All","All pupils","City of London","Local Authority","E09000001","All pupils","All pupils",".",".","NA","NA","Not applicable"
"Percentage achieving the English Baccalaureate","2016","Academic year","All","All pupils","Hackney","Local Authority","E09000012","All pupils","All pupils","33","2038","NA","NA",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All","All pupils","Hammersmith and Fulham","Local Authority","E09000013","All pupils","All pupils","41","1350","NA","NA",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All","All pupils","Haringey","Local Authority","E09000014","All pupils","All pupils","28","2231","NA","NA",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All","All pupils","Islington","Local Authority","E09000019","All pupils","All pupils","27","1397","NA","NA",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All","All pupils","Kensington and Chelsea","Local Authority","E09000020","All pupils","All pupils","38","740","NA","NA",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All","All pupils","Lambeth","Local Authority","E09000022","All pupils","All pupils","25","1887","NA","NA",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All","All pupils","Lewisham","Local Authority","E09000023","All pupils","All pupils","23","2334","NA","NA",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All","All pupils","Newham","Local Authority","E09000025","All pupils","All pupils","31","3489","NA","NA",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All","All pupils","Southwark","Local Authority","E09000028","All pupils","All pupils","36","2386","NA","NA",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All","All pupils","Tower Hamlets","Local Authority","E09000030","All pupils","All pupils","28","2570","NA","NA",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All","All pupils","Wandsworth","Local Authority","E09000032","All pupils","All pupils","34","1660","NA","NA",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All","All pupils","Westminster","Local Authority","E09000033","All pupils","All pupils","34","1566","NA","NA",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All","All pupils","Barking and Dagenham","Local Authority","E09000002","All pupils","All pupils","22","2201","NA","NA",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All","All pupils","Barnet","Local Authority","E09000003","All pupils","All pupils","44","3647","NA","NA",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All","All pupils","Bexley","Local Authority","E09000004","All pupils","All pupils","29","3192","NA","NA",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All","All pupils","Brent","Local Authority","E09000005","All pupils","All pupils","32","3035","NA","NA",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All","All pupils","Bromley","Local Authority","E09000006","All pupils","All pupils","36","3305","NA","NA",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All","All pupils","Croydon","Local Authority","E09000008","All pupils","All pupils","24","3844","NA","NA",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All","All pupils","Ealing","Local Authority","E09000009","All pupils","All pupils","35","2781","NA","NA",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All","All pupils","Enfield","Local Authority","E09000010","All pupils","All pupils","31","3579","NA","NA",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All","All pupils","Greenwich","Local Authority","E09000011","All pupils","All pupils","27","2204","NA","NA",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All","All pupils","Harrow","Local Authority","E09000015","All pupils","All pupils","33","2127","NA","NA",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All","All pupils","Havering","Local Authority","E09000016","All pupils","All pupils","28","2917","NA","NA",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All","All pupils","Hillingdon","Local Authority","E09000017","All pupils","All pupils","26","3136","NA","NA",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All","All pupils","Hounslow","Local Authority","E09000018","All pupils","All pupils","37","2667","NA","NA",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All","All pupils","Kingston upon Thames","Local Authority","E09000021","All pupils","All pupils","49","1515","NA","NA",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All","All pupils","Merton","Local Authority","E09000024","All pupils","All pupils","30","1440","NA","NA",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All","All pupils","Redbridge","Local Authority","E09000026","All pupils","All pupils","34","3363","NA","NA",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All","All pupils","Richmond upon Thames","Local Authority","E09000027","All pupils","All pupils","42","1367","NA","NA",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All","All pupils","Sutton","Local Authority","E09000029","All pupils","All pupils","46","2667","NA","NA",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All","All pupils","Waltham Forest","Local Authority","E09000031","All pupils","All pupils","24","2539","NA","NA",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All","All pupils","Bracknell Forest","Local Authority","E06000036","All pupils","All pupils","22","1076","NA","NA",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All","All pupils","Brighton and Hove","Local Authority","E06000043","All pupils","All pupils","25","2139","NA","NA",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All","All pupils","Buckinghamshire","Local Authority","E10000002","All pupils","All pupils","37","5622","NA","NA",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All","All pupils","East Sussex","Local Authority","E10000011","All pupils","All pupils","22","4930","NA","NA",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All","All pupils","Hampshire","Local Authority","E10000014","All pupils","All pupils","26","13101","NA","NA",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All","All pupils","Isle of Wight","Local Authority","E06000046","All pupils","All pupils","13","1305","NA","NA",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All","All pupils","Kent","Local Authority","E10000016","All pupils","All pupils","30","15727","NA","NA",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All","All pupils","Medway","Local Authority","E06000035","All pupils","All pupils","27","2967","NA","NA",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All","All pupils","Milton Keynes","Local Authority","E06000042","All pupils","All pupils","21","2800","NA","NA",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All","All pupils","Oxfordshire","Local Authority","E10000025","All pupils","All pupils","25","5975","NA","NA",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All","All pupils","Portsmouth","Local Authority","E06000044","All pupils","All pupils","19","1729","NA","NA",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All","All pupils","Reading","Local Authority","E06000038","All pupils","All pupils","30","1169","NA","NA",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All","All pupils","Slough","Local Authority","E06000039","All pupils","All pupils","29","1632","NA","NA",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All","All pupils","Southampton","Local Authority","E06000045","All pupils","All pupils","21","1952","NA","NA",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All","All pupils","Surrey","Local Authority","E10000030","All pupils","All pupils","31","10399","NA","NA",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All","All pupils","West Berkshire","Local Authority","E06000037","All pupils","All pupils","30","1906","NA","NA",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All","All pupils","West Sussex","Local Authority","E10000032","All pupils","All pupils","26","8118","NA","NA",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All","All pupils","Windsor and Maidenhead","Local Authority","E06000040","All pupils","All pupils","32","1470","NA","NA",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All","All pupils","Wokingham","Local Authority","E06000041","All pupils","All pupils","34","1601","NA","NA",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All","All pupils","Bath and North East Somerset","Local Authority","E06000022","All pupils","All pupils","33","2022","NA","NA",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All","All pupils","Bournemouth","Local Authority","E06000028","All pupils","All pupils","28","1617","NA","NA",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All","All pupils","Bristol, City of","Local Authority","E06000023","All pupils","All pupils","18","3138","NA","NA",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All","All pupils","Cornwall","Local Authority","E06000052","All pupils","All pupils","19","5432","NA","NA",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All","All pupils","Devon","Local Authority","E10000008","All pupils","All pupils","23","6971","NA","NA",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All","All pupils","Dorset","Local Authority","E10000009","All pupils","All pupils","24","4153","NA","NA",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All","All pupils","Gloucestershire","Local Authority","E10000013","All pupils","All pupils","27","6385","NA","NA",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All","All pupils","Isles of Scilly","Local Authority","E06000053","All pupils","All pupils","x","23","NA","NA","Suppressed"
"Percentage achieving the English Baccalaureate","2016","Academic year","All","All pupils","North Somerset","Local Authority","E06000024","All pupils","All pupils","20","2176","NA","NA",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All","All pupils","Plymouth","Local Authority","E06000026","All pupils","All pupils","21","2640","NA","NA",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All","All pupils","Poole","Local Authority","E06000029","All pupils","All pupils","x","1438","NA","NA","Suppressed"
"Percentage achieving the English Baccalaureate","2016","Academic year","All","All pupils","Somerset","Local Authority","E10000027","All pupils","All pupils","20","5137","NA","NA",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All","All pupils","South Gloucestershire","Local Authority","E06000025","All pupils","All pupils","18","2770","NA","NA",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All","All pupils","Swindon","Local Authority","E06000030","All pupils","All pupils","17","2109","NA","NA",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All","All pupils","Torbay","Local Authority","E06000027","All pupils","All pupils","26","1511","NA","NA",""
"Percentage achieving the English Baccalaureate","2016","Academic year","All","All pupils","Wiltshire","Local Authority","E06000054","All pupils","All pupils","26","4899","NA","NA",""
"Percentage achieving the English Baccalaureate","2016","Academic year","White","5+1","County Durham","Local Authority","E06000047","All pupils","All pupils","25","4846","NA","NA",""
"Percentage achieving the English Baccalaureate","2016","Academic year","White","5+1","Darlington","Local Authority","E06000005","All pupils","All pupils","24","1086","NA","NA",""
"Percentage achieving the English Baccalaureate","2016","Academic year","White","5+1","Gateshead","Local Authority","E08000037","All pupils","All pupils","25","1810","NA","NA",""
"Percentage achieving the English Baccalaureate","2016","Academic year","White","5+1","Hartlepool","Local Authority","E06000001","All pupils","All pupils","14","1036","NA","NA",""
"Percentage achieving the English Baccalaureate","2016","Academic year","White","5+1","Middlesbrough","Local Authority","E06000002","All pupils","All pupils","10","1164","NA","NA",""
"Percentage achieving the English Baccalaureate","2016","Academic year","White","5+1","Newcastle upon Tyne","Local Authority","E08000021","All pupils","All pupils","23","1913","NA","NA",""
"Percentage achieving the English Baccalaureate","2016","Academic year","White","5+1","North Tyneside","Local Authority","E08000022","All pupils","All pupils","25","1833","NA","NA",""
"Percentage achieving the English Baccalaureate","2016","Academic year","White","5+1","Northumberland","Local Authority","E06000057","All pupils","All pupils","19","3100","NA","NA",""
"Percentage achieving the English Baccalaureate","2016","Academic year","White","5+1","Redcar and Cleveland","Local Authority","E06000003","All pupils","All pupils","19","1567","NA","NA",""
"Percentage achieving the English Baccalaureate","2016","Academic year","White","5+1","South Tyneside","Local Authority","E08000023","All pupils","All pupils","20","1421","NA","NA",""
"Percentage achieving the English Baccalaureate","2016","Academic year","White","5+1","Stockton-on-Tees","Local Authority","E06000004","All pupils","All pupils","26","1842","NA","NA",""
"Percentage achieving the English Baccalaureate","2016","Academic year","White","5+1","Sunderland","Local Authority","E08000024","All pupils","All pupils","21","2677","NA","NA",""
"Percentage achieving the English Baccalaureate","2016","Academic year","White","5+1","Blackburn with Darwen","Local Authority","E06000008","All pupils","All pupils","16","922","NA","NA",""
"Percentage achieving the English Baccalaureate","2016","Academic year","White","5+1","Blackpool","Local Authority","E06000009","All pupils","All pupils","9","1270","NA","NA",""
"Percentage achieving the English Baccalaureate","2016","Academic year","White","5+1","Bolton","Local Authority","E08000001","All pupils","All pupils","16","2354","NA","NA",""
"Percentage achieving the English Baccalaureate","2016","Academic year","White","5+1","Bury","Local Authority","E08000002","All pupils","All pupils","26","1636","NA","NA",""
"Percentage achieving the English Baccalaureate","2016","Academic year","White","5+1","Cheshire East","Local Authority","E06000049","All pupils","All pupils","27","3509","NA","NA",""
"Percentage achieving the English Baccalaureate","2016","Academic year","White","5+1","Cheshire West and Chester","Local Authority","E06000050","All pupils","All pupils","30","3283","NA","NA",""
"Percentage achieving the English Baccalaureate","2016","Academic year","White","5+1","Cumbria","Local Authority","E10000006","All pupils","All pupils","22","4987","NA","NA",""
"Percentage achieving the English Baccalaureate","2016","Academic year","White","5+1","Halton","Local Authority","E06000006","All pupils","All pupils","32","1335","NA","NA",""
"Percentage achieving the English Baccalaureate","2016","Academic year","White","5+1","Knowsley","Local Authority","E08000011","All pupils","All pupils","10","1103","NA","NA",""
"Percentage achieving the English Baccalaureate","2016","Academic year","White","5+1","Lancashire","Local Authority","E10000017","All pupils","All pupils","22","10512","NA","NA",""
"Percentage achieving the English Baccalaureate","2016","Academic year","White","5+1","Liverpool","Local Authority","E08000012","All pupils","All pupils","23","3919","NA","NA",""
"Percentage achieving the English Baccalaureate","2016","Academic year","White","5+1","Manchester","Local Authority","E08000003","All pupils","All pupils","17","2312","NA","NA",""
"Percentage achieving the English Baccalaureate","2016","Academic year","White","5+1","Oldham","Local Authority","E08000004","All pupils","All pupils","18","1901","NA","NA",""
"Percentage achieving the English Baccalaureate","2016","Academic year","White","5+1","Rochdale","Local Authority","E08000005","All pupils","All pupils","14","1601","NA","NA",""
"Percentage achieving the English Baccalaureate","2016","Academic year","White","5+1","Salford","Local Authority","E08000006","All pupils","All pupils","19","1832","NA","NA",""
"Percentage achieving the English Baccalaureate","2016","Academic year","White","5+1","Sefton","Local Authority","E08000014","All pupils","All pupils","25","2896","NA","NA",""
"Percentage achieving the English Baccalaureate","2016","Academic year","White","5+1","St. Helens","Local Authority","E08000013","All pupils","All pupils","20","1675","NA","NA",""
"Percentage achieving the English Baccalaureate","2016","Academic year","White","5+1","Stockport","Local Authority","E08000007","All pupils","All pupils","30","2463","NA","NA",""
"Percentage achieving the English Baccalaureate","2016","Academic year","White","5+1","Tameside","Local Authority","E08000008","All pupils","All pupils","18","2078","NA","NA",""
"Percentage achieving the English Baccalaureate","2016","Academic year","White","5+1","Trafford","Local Authority","E08000009","All pupils","All pupils","36","2118","NA","NA",""
"Percentage achieving the English Baccalaureate","2016","Academic year","White","5+1","Warrington","Local Authority","E06000007","All pupils","All pupils","24","2216","NA","NA",""
