"Title","GCSE-level exam results (‘Attainment 8’) by ethnicity and type of school"
"Location","England"
"Time period","2015/16"
"Data source","Revised GCSE and equivalent results in England: 2015 to 2016"
"Source","https://ethnicity-facts-and-figures.herokuapp.com"

"Measure","Time","Time Type","Ethnicity","Ethnicity Type","Geography","Geography type","ONS geography code","Gender","School Type","Value","Denominator","Lower confidence interval","Upper confidence interval","Notes"
"Average Attainment 8 score per pupil","2016","Academic year","Chinese","5+1","England","Country","E92000001","All pupils","Academies and free schools","64","1416","NA","NA",""
"Average Attainment 8 score per pupil","2016","Academic year","White","5+1","England","Country","E92000001","All pupils","Sponsored academies","45","64925","NA","NA",""
"Average Attainment 8 score per pupil","2016","Academic year","Mixed","5+1","England","Country","E92000001","All pupils","Sponsored academies","47","3759","NA","NA",""
"Average Attainment 8 score per pupil","2016","Academic year","Asian","5+1","England","Country","E92000001","All pupils","Sponsored academies","49","7419","NA","NA",""
"Average Attainment 8 score per pupil","2016","Academic year","Black","5+1","England","Country","E92000001","All pupils","Sponsored academies","48","6173","NA","NA",""
"Average Attainment 8 score per pupil","2016","Academic year","Chinese","5+1","England","Country","E92000001","All pupils","Sponsored academies","61","277","NA","NA",""
"Average Attainment 8 score per pupil","2016","Academic year","White","5+1","England","Country","E92000001","All pupils","Converter academies","53","200260","NA","NA",""
"Average Attainment 8 score per pupil","2016","Academic year","Mixed","5+1","England","Country","E92000001","All pupils","Converter academies","54","10292","NA","NA",""
"Average Attainment 8 score per pupil","2016","Academic year","Asian","5+1","England","Country","E92000001","All pupils","Converter academies","56","20958","NA","NA",""
"Average Attainment 8 score per pupil","2016","Academic year","Black","5+1","England","Country","E92000001","All pupils","Converter academies","51","9482","NA","NA",""
"Average Attainment 8 score per pupil","2016","Academic year","Chinese","5+1","England","Country","E92000001","All pupils","Converter academies","65","1127","NA","NA",""
"Average Attainment 8 score per pupil","2016","Academic year","White","5+1","England","Country","E92000001","All pupils","Free schools","50","1187","NA","NA",""
"Average Attainment 8 score per pupil","2016","Academic year","Mixed","5+1","England","Country","E92000001","All pupils","Free schools","53","79","NA","NA",""
"Average Attainment 8 score per pupil","2016","Academic year","Asian","5+1","England","Country","E92000001","All pupils","Free schools","55","411","NA","NA",""
"Average Attainment 8 score per pupil","2016","Academic year","Black","5+1","England","Country","E92000001","All pupils","Free schools","49","60","NA","NA",""
"Average Attainment 8 score per pupil","2016","Academic year","Chinese","5+1","England","Country","E92000001","All pupils","Free schools","60","8","NA","NA",""
"Average Attainment 8 score per pupil","2016","Academic year","White","5+1","England","Country","E92000001","All pupils","University technical colleges","44","1412","NA","NA",""
"Average Attainment 8 score per pupil","2016","Academic year","Mixed","5+1","England","Country","E92000001","All pupils","University technical colleges","45","108","NA","NA",""
"Average Attainment 8 score per pupil","2016","Academic year","Asian","5+1","England","Country","E92000001","All pupils","University technical colleges","41","125","NA","NA",""
"Average Attainment 8 score per pupil","2016","Academic year","Black","5+1","England","Country","E92000001","All pupils","University technical colleges","41","130","NA","NA",""
"Average Attainment 8 score per pupil","2016","Academic year","Chinese","5+1","England","Country","E92000001","All pupils","University technical colleges","x","x","NA","NA","Suppressed"
"Average Attainment 8 score per pupil","2016","Academic year","White","5+1","England","Country","E92000001","All pupils","Studio schools","37","927","NA","NA",""
"Average Attainment 8 score per pupil","2016","Academic year","Mixed","5+1","England","Country","E92000001","All pupils","Studio schools","38","50","NA","NA",""
"Average Attainment 8 score per pupil","2016","Academic year","Asian","5+1","England","Country","E92000001","All pupils","Studio schools","41","70","NA","NA",""
"Average Attainment 8 score per pupil","2016","Academic year","Black","5+1","England","Country","E92000001","All pupils","Studio schools","35","29","NA","NA",""
"Average Attainment 8 score per pupil","2016","Academic year","Chinese","5+1","England","Country","E92000001","All pupils","Studio schools","x","x","NA","NA","Suppressed"
"Average Attainment 8 score per pupil","2016","Academic year","White","5+1","England","Country","E92000001","All pupils","Further education colleges with provision for 14- to 16-year-olds",".",".","NA","NA","Not applicable"
"Average Attainment 8 score per pupil","2016","Academic year","Mixed","5+1","England","Country","E92000001","All pupils","Further education colleges with provision for 14- to 16-year-olds",".",".","NA","NA","Not applicable"
"Average Attainment 8 score per pupil","2016","Academic year","Asian","5+1","England","Country","E92000001","All pupils","Further education colleges with provision for 14- to 16-year-olds",".",".","NA","NA","Not applicable"
"Average Attainment 8 score per pupil","2016","Academic year","Black","5+1","England","Country","E92000001","All pupils","Further education colleges with provision for 14- to 16-year-olds",".",".","NA","NA","Not applicable"
"Average Attainment 8 score per pupil","2016","Academic year","Chinese","5+1","England","Country","E92000001","All pupils","Further education colleges with provision for 14- to 16-year-olds",".",".","NA","NA","Not applicable"
"Average Attainment 8 score per pupil","2016","Academic year","White","5+1","England","Country","E92000001","All pupils","State-funded special schools","4","8235","NA","NA",""
"Average Attainment 8 score per pupil","2016","Academic year","Mixed","5+1","England","Country","E92000001","All pupils","State-funded special schools","5","403","NA","NA",""
"Average Attainment 8 score per pupil","2016","Academic year","Asian","5+1","England","Country","E92000001","All pupils","State-funded special schools","2","703","NA","NA",""
"Average Attainment 8 score per pupil","2016","Academic year","Black","5+1","England","Country","E92000001","All pupils","State-funded special schools","2","517","NA","NA",""
"Average Attainment 8 score per pupil","2016","Academic year","Chinese","5+1","England","Country","E92000001","All pupils","State-funded special schools","2","18","NA","NA",""
"Average Attainment 8 score per pupil","2016","Academic year","White","5+1","England","Country","E92000001","All pupils","All state-funded schools","50","422763","NA","NA",""
"Average Attainment 8 score per pupil","2016","Academic year","Mixed","5+1","England","Country","E92000001","All pupils","All state-funded schools","51","22868","NA","NA",""
"Average Attainment 8 score per pupil","2016","Academic year","Asian","5+1","England","Country","E92000001","All pupils","All state-funded schools","53","51218","NA","NA",""
"Average Attainment 8 score per pupil","2016","Academic year","Black","5+1","England","Country","E92000001","All pupils","All state-funded schools","49","27924","NA","NA",""
"Average Attainment 8 score per pupil","2016","Academic year","Chinese","5+1","England","Country","E92000001","All pupils","All state-funded schools","62","2026","NA","NA",""
"Average Attainment 8 score per pupil","2016","Academic year","All","5+1","England","Country","E92000001","All pupils","All state-funded mainstream schools","51","530580","NA","NA",""
"Average Attainment 8 score per pupil","2016","Academic year","All","5+1","England","Country","E92000001","All pupils","Local authority maintained mainstream schools","50","191701","NA","NA",""
"Average Attainment 8 score per pupil","2016","Academic year","All","5+1","England","Country","E92000001","All pupils","Academies and free schools","51","337452","NA","NA",""
"Average Attainment 8 score per pupil","2016","Academic year","All","5+1","England","Country","E92000001","All pupils","Sponsored academies","46","85080","NA","NA",""
"Average Attainment 8 score per pupil","2016","Academic year","All","5+1","England","Country","E92000001","All pupils","Converter academies","53","247551","NA","NA",""
"Average Attainment 8 score per pupil","2016","Academic year","All","5+1","England","Country","E92000001","All pupils","Free schools","51","1838","NA","NA",""
"Average Attainment 8 score per pupil","2016","Academic year","All","5+1","England","Country","E92000001","All pupils","University technical colleges","43","1864","NA","NA",""
"Average Attainment 8 score per pupil","2016","Academic year","All","5+1","England","Country","E92000001","All pupils","Studio schools","37","1119","NA","NA",""
"Average Attainment 8 score per pupil","2016","Academic year","All","5+1","England","Country","E92000001","All pupils","Further education colleges with provision for 14- to 16-year-olds","18","885","NA","NA",""
"Average Attainment 8 score per pupil","2016","Academic year","All","5+1","England","Country","E92000001","All pupils","State-funded special schools","4","10109","NA","NA",""
"Average Attainment 8 score per pupil","2016","Academic year","All","5+1","England","Country","E92000001","All pupils","All state-funded schools","50","540689","NA","NA",""
