"Title","GCSE-level exam results (‘Attainment 8’) by ethnicity and gender"
"Location","England"
"Time period","2015/16"
"Data source","Revised GCSE and equivalent results in England: 2015 to 2016"
"Source","https://ethnicity-facts-and-figures.herokuapp.com"

"Measure","Time","Time Type","Ethnicity","Ethnicity Type","Geography","Geography type","ONS geography code","Gender","FSM","Value","Denominator","Lower confidence interval","Upper confidence interval","Notes"
"Average Attainment 8 score per pupil","2016","Academic year","Mixed - Any other ","18+1 (Minor)","England","Country","E92000001","Girls","All pupils","54","3907","NA","NA",""
"Average Attainment 8 score per pupil","2016","Academic year","Asian","18+1 (Major)","England","Country","E92000001","Girls","All pupils","55","24659","NA","NA",""
"Average Attainment 8 score per pupil","2016","Academic year","Asian - Indian","18+1 (Minor)","England","Country","E92000001","Girls","All pupils","59","6725","NA","NA",""
"Average Attainment 8 score per pupil","2016","Academic year","Asian - Pakistani","18+1 (Minor)","England","Country","E92000001","Girls","All pupils","51","9875","NA","NA",""
"Average Attainment 8 score per pupil","2016","Academic year","Asian - Bangladeshi","18+1 (Minor)","England","Country","E92000001","Girls","All pupils","54","4080","NA","NA",""
"Average Attainment 8 score per pupil","2016","Academic year","Asian - Any other","18+1 (Minor)","England","Country","E92000001","Girls","All pupils","58","3979","NA","NA",""
"Average Attainment 8 score per pupil","2016","Academic year","Black","18+1 (Major)","England","Country","E92000001","Girls","All pupils","52","14013","NA","NA",""
"Average Attainment 8 score per pupil","2016","Academic year","Black - Caribbean","18+1 (Minor)","England","Country","E92000001","Girls","All pupils","49","3668","NA","NA",""
"Average Attainment 8 score per pupil","2016","Academic year","Black - African","18+1 (Minor)","England","Country","E92000001","Girls","All pupils","53","8680","NA","NA",""
"Average Attainment 8 score per pupil","2016","Academic year","Black - Any other ","18+1 (Minor)","England","Country","E92000001","Girls","All pupils","51","1665","NA","NA",""
"Average Attainment 8 score per pupil","2016","Academic year","Chinese","18+1 (Major)","England","Country","E92000001","Girls","All pupils","65","993","NA","NA",""
"Average Attainment 8 score per pupil","2016","Academic year","Other - Any other","18+1 (Minor)","England","Country","E92000001","Girls","All pupils","53","3877","NA","NA",""
"Average Attainment 8 score per pupil","2016","Academic year","unclassified","18+1 (Minor)","England","Country","E92000001","Girls","All pupils","47","2799","NA","NA",""
"Average Attainment 8 score per pupil","2016","Academic year","All - England","All pupils","England","Country","E92000001","Girls","All pupils","52","265083","NA","NA",""
