"Title","Apprenticeship starts by ethnicity"
"Location","England"
"Time period","2002/03 to 2015/15"
"Data source","Number of apprenticeship starts, achievements, and participation"
"Source","https://ethnicity-facts-and-figures.herokuapp.com"

"Measure","Time","Time_type","Ethnicity","Ethnicity_type","Geography","Geography_type","Gender","Gender_type","Age Bracket","Age Bracket Type","Value"," Denominator "
"All England apprenticeship starts","2005/06","Academic Year","Not known/not provided","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","1340"," 1,340 "
"All England apprenticeship starts","2005/06","Academic Year","All England ","All England","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","175000"," 175,000 "
"All England apprenticeship starts","2006/07","Academic Year","Asian","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","4680"," 4,680 "
"All England apprenticeship starts","2006/07","Academic Year","Black","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","2430"," 2,430 "
"All England apprenticeship starts","2006/07","Academic Year","Mixed","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","2660"," 2,660 "
"All England apprenticeship starts","2006/07","Academic Year","White","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","172470"," 172,470 "
"All England apprenticeship starts","2006/07","Academic Year","Other Ethnic group","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","750"," 750 "
"All England apprenticeship starts","2006/07","Academic Year","Not known/not provided","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","1440"," 1,440 "
"All England apprenticeship starts","2006/07","Academic Year","All England ","All England","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","184400"," 184,400 "
"All England apprenticeship starts","2007/08","Academic Year","Asian","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","6500"," 6,500 "
"All England apprenticeship starts","2007/08","Academic Year","Black","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","3600"," 3,600 "
"All England apprenticeship starts","2007/08","Academic Year","Mixed","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","3150"," 3,150 "
"All England apprenticeship starts","2007/08","Academic Year","White","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","208230"," 208,230 "
"All England apprenticeship starts","2007/08","Academic Year","Other Ethnic group","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","1000"," 1,000 "
"All England apprenticeship starts","2007/08","Academic Year","Not known/not provided","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","2290"," 2,290 "
"All England apprenticeship starts","2007/08","Academic Year","All England ","All England","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","224800"," 224,800 "
"All England apprenticeship starts","2008/09","Academic Year","Asian","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","9450"," 9,450 "
"All England apprenticeship starts","2008/09","Academic Year","Black","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","5110"," 5,110 "
"All England apprenticeship starts","2008/09","Academic Year","Mixed","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","3840"," 3,840 "
"All England apprenticeship starts","2008/09","Academic Year","White","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","217890"," 217,890 "
"All England apprenticeship starts","2008/09","Academic Year","Other Ethnic group","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","1220"," 1,220 "
"All England apprenticeship starts","2008/09","Academic Year","Not known/not provided","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","2450"," 2,450 "
"All England apprenticeship starts","2008/09","Academic Year","All England ","All England","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","239900"," 239,900 "
"All England apprenticeship starts","2009/10","Academic Year","White","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","254780"," 254,780 "
"All England apprenticeship starts","2009/10","Academic Year","Other Ethnic group","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","1430"," 1,430 "
"All England apprenticeship starts","2009/10","Academic Year","Mixed","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","5020"," 5,020 "
"All England apprenticeship starts","2009/10","Academic Year","Black","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","6390"," 6,390 "
"All England apprenticeship starts","2009/10","Academic Year","Asian","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","9390"," 9,390 "
"All England apprenticeship starts","2009/10","Academic Year","Not known/not provided","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","2660"," 2,660 "
"All England apprenticeship starts","2009/10","Academic Year","All England ","All England","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","279700"," 279,700 "
"All England apprenticeship starts","2010/11","Academic Year","White","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","407050"," 407,050 "
"All England apprenticeship starts","2010/11","Academic Year","Other Ethnic group","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","3440"," 3,440 "
"All England apprenticeship starts","2010/11","Academic Year","Mixed","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","8290"," 8,290 "
"All England apprenticeship starts","2010/11","Academic Year","Black","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","14610"," 14,610 "
"All England apprenticeship starts","2010/11","Academic Year","Asian","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","19270"," 19,270 "
"All England apprenticeship starts","2010/11","Academic Year","Not known/not provided","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","4550"," 4,550 "
"All England apprenticeship starts","2010/11","Academic Year","All England ","All England","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","457200"," 457,200 "
"All England apprenticeship starts","2011/12","Academic Year","White","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","464960"," 464,960 "
"All England apprenticeship starts","2011/12","Academic Year","Other Ethnic group","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","3430"," 3,430 "
"All England apprenticeship starts","2011/12","Academic Year","Mixed","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","9850"," 9,850 "
"All England apprenticeship starts","2011/12","Academic Year","Black","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","17350"," 17,350 "
"All England apprenticeship starts","2011/12","Academic Year","Asian","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","20720"," 20,720 "
"All England apprenticeship starts","2011/12","Academic Year","Not known/not provided","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","4270"," 4,270 "
"All England apprenticeship starts","2011/12","Academic Year","All England ","All England","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","520600"," 520,600 "
"All England apprenticeship starts","2012/13","Academic Year","White","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","455440"," 455,440 "
"All England apprenticeship starts","2012/13","Academic Year","Other Ethnic group","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","3380"," 3,380 "
"All England apprenticeship starts","2012/13","Academic Year","Mixed","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","10110"," 10,110 "
"All England apprenticeship starts","2012/13","Academic Year","Black","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","16590"," 16,590 "
"All England apprenticeship starts","2012/13","Academic Year","Asian","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","19690"," 19,690 "
"All England apprenticeship starts","2012/13","Academic Year","Not known/not provided","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","5010"," 5,010 "
"All England apprenticeship starts","2012/13","Academic Year","All England ","All England","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","510200"," 510,200 "
"All England apprenticeship starts","2013/14","Academic Year","White","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","391480"," 391,480 "
"All England apprenticeship starts","2013/14","Academic Year","Other Ethnic group","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","3110"," 3,110 "
"All England apprenticeship starts","2013/14","Academic Year","Mixed","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","9470"," 9,470 "
"All England apprenticeship starts","2013/14","Academic Year","Black","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","13650"," 13,650 "
"All England apprenticeship starts","2013/14","Academic Year","Asian","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","18600"," 18,600 "
"All England apprenticeship starts","2013/14","Academic Year","Not known/not provided","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","4110"," 4,110 "
"All England apprenticeship starts","2013/14","Academic Year","All England ","All England","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","440400"," 440,400 "
"All England apprenticeship starts","2014/15","Academic Year","White","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","442340"," 442,340 "
"All England apprenticeship starts","2014/15","Academic Year","Other Ethnic group","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","3500"," 3,500 "
"All England apprenticeship starts","2014/15","Academic Year","Mixed","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","10930"," 10,930 "
"All England apprenticeship starts","2014/15","Academic Year","Black","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","17250"," 17,250 "
"All England apprenticeship starts","2014/15","Academic Year","Asian","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","21510"," 21,510 "
"All England apprenticeship starts","2014/15","Academic Year","Not known/not provided","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","4380"," 4,380 "
"All England apprenticeship starts","2014/15","Academic Year","All England ","All England","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","499900"," 499,900 "
"All England apprenticeship starts","2015/16","Academic Year","White","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","448830"," 448,830 "
"All England apprenticeship starts","2015/16","Academic Year","Other Ethnic group","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","3500"," 3,500 "
"All England apprenticeship starts","2015/16","Academic Year","Mixed","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","11100"," 11,100 "
"All England apprenticeship starts","2015/16","Academic Year","Black","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","17500"," 17,500 "
"All England apprenticeship starts","2015/16","Academic Year","Asian","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","21380"," 21,380 "
"All England apprenticeship starts","2015/16","Academic Year","Not known/not provided","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","7060"," 7,060 "
"All England apprenticeship starts","2015/16","Academic Year","All England ","All England","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","509400"," 509,400 "
