"Title","Government-funded learners in further education by ethnicity"
"Location","England"
"Time period","2002/03 - 2015/16"
"Data source","Further education and skills "
"Source","https://ethnicity-facts-and-figures.herokuapp.com"

"Measure","Time","Time_type","Ethnicity","Ethnicity_type","Geography","Geography_type","Gender","Gender_type","Age Bracket","Age Bracket Type","Value"
"Adult education students","2006/07","Academic Year","White","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","3382000"
"Adult education students","2007/08","Academic Year","Asian","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","318370"
"Adult education students","2007/08","Academic Year","Black","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","246680"
"Adult education students","2007/08","Academic Year","Mixed","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","83390"
"Adult education students","2007/08","Academic Year","Unknown ethnicity","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","133570"
"Adult education students","2007/08","Academic Year","Other Ethnic group","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","82010"
"Adult education students","2007/08","Academic Year","White","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","3496730"
"Adult education students","2008/09","Academic Year","Asian","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","373890"
"Adult education students","2008/09","Academic Year","Black","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","274370"
"Adult education students","2008/09","Academic Year","Mixed","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","93630"
"Adult education students","2008/09","Academic Year","Unknown ethnicity","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","131650"
"Adult education students","2008/09","Academic Year","Other Ethnic group","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","89640"
"Adult education students","2008/09","Academic Year","White","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","3873920"
"Adult education students","2009/10","Academic Year","Asian","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","359290"
"Adult education students","2009/10","Academic Year","Black","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","266330"
"Adult education students","2009/10","Academic Year","Mixed","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","95980"
"Adult education students","2009/10","Academic Year","Unknown ethnicity","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","107140"
"Adult education students","2009/10","Academic Year","Other Ethnic group","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","90010"
"Adult education students","2009/10","Academic Year","White","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","3716760"
"Adult education students","2010/11","Academic Year","Asian","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","349980"
"Adult education students","2010/11","Academic Year","Black","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","258100"
"Adult education students","2010/11","Academic Year","Mixed","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","95430"
"Adult education students","2010/11","Academic Year","Unknown ethnicity","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","87070"
"Adult education students","2010/11","Academic Year","Other Ethnic group","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","81280"
"Adult education students","2010/11","Academic Year","White","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","3393000"
"Adult education students","2011/12","Academic Year","Asian","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","346860"
"Adult education students","2011/12","Academic Year","Black","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","267800"
"Adult education students","2011/12","Academic Year","Mixed","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","103840"
"Adult education students","2011/12","Academic Year","Unknown ethnicity","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","77840"
"Adult education students","2011/12","Academic Year","Other Ethnic group","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","78230"
"Adult education students","2011/12","Academic Year","White","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","3342040"
"Adult education students","2012/13","Academic Year","Asian","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","340210"
"Adult education students","2012/13","Academic Year","Black","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","272870"
"Adult education students","2012/13","Academic Year","Mixed","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","111700"
"Adult education students","2012/13","Academic Year","Unknown ethnicity","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","94920"
"Adult education students","2012/13","Academic Year","Other Ethnic group","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","80140"
"Adult education students","2012/13","Academic Year","White","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","3420430"
"Adult education students","2013/14","Academic Year","Asian","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","306900"
"Adult education students","2013/14","Academic Year","Black","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","242300"
"Adult education students","2013/14","Academic Year","Mixed","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","106660"
