"Title","Travel to school"
"Location","England"
"Time period","2002/06 to 2011/15 (5-year rolling average)"
"Data source","Department for Transport"
"Data source link","https://www.gov.uk/government/collections/national-travel-survey-statistics"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated","2018-03-01"
"Measure","Time","Time_Type","Ethnicity","Ethnicity_Type","Value","Denominator","Unweighted_Sample_Trips","Numerator","Unweighted_Sample_Trip_Time_mins","Weighted_Sample_Individuals_aged_5-16","Unweighted_Sample_Individuals_aged_5-16"
"Average trip time to school in minutes of children aged 5-16","2004-2008","5-year rolling average","Asian ","National Travel Survey broad ethnicity classification","17.4","5432","5232","94632","90516","806","805"
"Average trip time to school in minutes of children aged 5-16","2004-2008","5-year rolling average","Black ","National Travel Survey broad ethnicity classification","26","2820","2877","73282","74147","434","448"
"Average trip time to school in minutes of children aged 5-16","2004-2008","5-year rolling average","Mixed ","National Travel Survey broad ethnicity classification","20.2","2700","2741","54581","54704","395","403"
"Average trip time to school in minutes of children aged 5-16","2004-2008","5-year rolling average","Other ","National Travel Survey broad ethnicity classification","22.3","1186","1191","26471","26628","171","174"
"Average trip time to school in minutes of children aged 5-16","2004-2008","5-year rolling average","White","National Travel Survey broad ethnicity classification","18.5","68276","69884","1265982","1288472","10765","11202"
"Average trip time to school in minutes of children aged 5-16","2005-2009","5-year rolling average","All ethnic groups","National Travel Survey broad ethnicity classification","19","79337","80747","1507134","1526221","12523","12932"
"Average trip time to school in minutes of children aged 5-16","2005-2009","5-year rolling average","Asian ","National Travel Survey broad ethnicity classification","17.3","5972","5849","103235","100659","878","883"
"Average trip time to school in minutes of children aged 5-16","2005-2009","5-year rolling average","Black ","National Travel Survey broad ethnicity classification","26.6","2666","2751","70905","73006","404","421"
"Average trip time to school in minutes of children aged 5-16","2005-2009","5-year rolling average","Mixed ","National Travel Survey broad ethnicity classification","19.7","2761","2849","54307","55821","406","418"
"Average trip time to school in minutes of children aged 5-16","2005-2009","5-year rolling average","Other ","National Travel Survey broad ethnicity classification","19.9","1186","1200","23592","23430","169","173"
"Average trip time to school in minutes of children aged 5-16","2005-2009","5-year rolling average","White","National Travel Survey broad ethnicity classification","18.8","66698","68043","1254044","1272304","10655","11026"
"Average trip time to school in minutes of children aged 5-16","2006-2010","5-year rolling average","All ethnic groups","National Travel Survey broad ethnicity classification","19.2","77231","78997","1485935","1513181","12247","12756"
"Average trip time to school in minutes of children aged 5-16","2006-2010","5-year rolling average","Asian ","National Travel Survey broad ethnicity classification","17.7","6209","6189","109763","109028","898","921"
"Average trip time to school in minutes of children aged 5-16","2006-2010","5-year rolling average","Black ","National Travel Survey broad ethnicity classification","25.6","2847","3071","72847","79087","447","479"
"Average trip time to school in minutes of children aged 5-16","2006-2010","5-year rolling average","Mixed ","National Travel Survey broad ethnicity classification","20.2","2712","2789","54666","56408","417","433"
"Average trip time to school in minutes of children aged 5-16","2006-2010","5-year rolling average","Other ","National Travel Survey broad ethnicity classification","21","1049","1086","22052","22171","162","172"
"Average trip time to school in minutes of children aged 5-16","2006-2010","5-year rolling average","White","National Travel Survey broad ethnicity classification","19","64338","65797","1224930","1245197","10311","10739"
"Average trip time to school in minutes of children aged 5-16","2007-2011","5-year rolling average","All ethnic groups","National Travel Survey broad ethnicity classification","19.2","74574","76195","1435298","1462146","11933","12479"
"Average trip time to school in minutes of children aged 5-16","2007-2011","5-year rolling average","Asian ","National Travel Survey broad ethnicity classification","18.1","5967","5966","107747","107266","892","922"
"Average trip time to school in minutes of children aged 5-16","2007-2011","5-year rolling average","Black ","National Travel Survey broad ethnicity classification","24.8","2921","3202","72532","80175","464","505"
"Average trip time to school in minutes of children aged 5-16","2007-2011","5-year rolling average","Mixed ","National Travel Survey broad ethnicity classification","20.4","2547","2571","52020","52551","407","419"
"Average trip time to school in minutes of children aged 5-16","2007-2011","5-year rolling average","Other ","National Travel Survey broad ethnicity classification","23.5","962","1007","22584","22902","159","172"
"Average trip time to school in minutes of children aged 5-16","2007-2011","5-year rolling average","White","National Travel Survey broad ethnicity classification","19","62122","63402","1178837","1197897","9999","10449"
"Average trip time to school in minutes of children aged 5-16","2008-2012","5-year rolling average","All ethnic groups","National Travel Survey broad ethnicity classification","19.2","74023","74769","1421712","1430165","11837","12242"
"Average trip time to school in minutes of children aged 5-16","2008-2012","5-year rolling average","Asian ","National Travel Survey broad ethnicity classification","18.2","6427","6357","116922","113789","942","958"
"Average trip time to school in minutes of children aged 5-16","2008-2012","5-year rolling average","Black ","National Travel Survey broad ethnicity classification","25.3","3048","3358","77056","84587","464","509"
"Average trip time to school in minutes of children aged 5-16","2008-2012","5-year rolling average","Mixed ","National Travel Survey broad ethnicity classification","20.5","2418","2404","49628","49143","407","412"
"Average trip time to school in minutes of children aged 5-16","2008-2012","5-year rolling average","Other ","National Travel Survey broad ethnicity classification","23.1","1031","1075","23825","24312","173","188"
"Average trip time to school in minutes of children aged 5-16","2008-2012","5-year rolling average","White","National Travel Survey broad ethnicity classification","18.9","61044","61528","1152703","1156979","9842","10167"
"Average trip time to school in minutes of children aged 5-16","2009-2013","5-year rolling average","All ethnic groups","National Travel Survey broad ethnicity classification","19.3","73269","74016","1416970","1420045","11732","12114"
"Average trip time to school in minutes of children aged 5-16","2009-2013","5-year rolling average","Asian ","National Travel Survey broad ethnicity classification","18.4","6444","6435","118676","116064","952","966"
"Average trip time to school in minutes of children aged 5-16","2009-2013","5-year rolling average","Black ","National Travel Survey broad ethnicity classification","25.6","3379","3693","86343","93366","494","540"
"Average trip time to school in minutes of children aged 5-16","2009-2013","5-year rolling average","Mixed ","National Travel Survey broad ethnicity classification","21.8","2493","2473","54288","53408","416","419"
"Average trip time to school in minutes of children aged 5-16","2009-2013","5-year rolling average","Other ","National Travel Survey broad ethnicity classification","23","899","940","20657","20794","150","164"
"Average trip time to school in minutes of children aged 5-16","2009-2013","5-year rolling average","White","National Travel Survey broad ethnicity classification","18.9","60002","60431","1135434","1135064","9714","10019"
"Average trip time to school in minutes of children aged 5-16","2010-2014","5-year rolling average","All ethnic groups","National Travel Survey broad ethnicity classification","19.3","73016","73629","1408475","1411298","11600","11999"
"Average trip time to school in minutes of children aged 5-16","2010-2014","5-year rolling average","Asian ","National Travel Survey broad ethnicity classification","18.7","6133","6099","114381","112184","926","940"
"Average trip time to school in minutes of children aged 5-16","2010-2014","5-year rolling average","Black ","National Travel Survey broad ethnicity classification","24.8","3667","4008","90835","98543","525","582"
"Average trip time to school in minutes of children aged 5-16","2010-2014","5-year rolling average","Mixed ","National Travel Survey broad ethnicity classification","21.6","2216","2188","47927","47078","393","399"
"Average trip time to school in minutes of children aged 5-16","2010-2014","5-year rolling average","Other ","National Travel Survey broad ethnicity classification","22.2","908","938","20146","20715","150","166"
"Average trip time to school in minutes of children aged 5-16","2010-2014","5-year rolling average","White","National Travel Survey broad ethnicity classification","18.9","60036","60348","1133605","1131439","9599","9906"
"Average trip time to school in minutes of children aged 5-16","2011-2015","5-year rolling average","All ethnic groups","National Travel Survey broad ethnicity classification","19.2","72571","72436","1393416","1381247","11476","11761"
"Average trip time to school in minutes of children aged 5-16","2011-2015","5-year rolling average","Asian ","National Travel Survey broad ethnicity classification","18.6","6102","6023","113281","110861","946","957"
"Average trip time to school in minutes of children aged 5-16","2011-2015","5-year rolling average","Black ","National Travel Survey broad ethnicity classification","24.1","3536","3808","85351","91437","513","569"
"Average trip time to school in minutes of children aged 5-16","2011-2015","5-year rolling average","Mixed ","National Travel Survey broad ethnicity classification","21.5","2343","2317","50479","48478","396","402"
"Average trip time to school in minutes of children aged 5-16","2011-2015","5-year rolling average","Other ","National Travel Survey broad ethnicity classification","23.4","963","998","22520","23914","148","163"
"Average trip time to school in minutes of children aged 5-16","2011-2015","5-year rolling average","White","National Travel Survey broad ethnicity classification","18.8","59584","59238","1120554","1105037","9467","9663"
