"Title"," EBacc entry by ethnicity, gender and area"
"Location","England"
"Time period","2015/16"
"Data source","Key stage 4 statistics"
"Data source link","https://www.gov.uk/government/statistics/revised-gcse-and-equivalent-results-in-england-2015-to-2016"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated","19 January 2017 (revised)"

"","All","","","Asian","","","Black","","","Chinese","","","Mixed","","","White","",""
"Hartlepool","36","31","42","64","!","!","!","!","!","!","!","N/A","50","!","!","36","30","41"
"Havering","49","46","51","62","57","67","56","50","62","55","!","!","50","51","50","47","45","49"
"Herefordshire, County of","43","35","52","!","!","!","!","!","!","!","!","!","52","56","44","43","35","52"
"Hertfordshire","46","42","50","56","56","55","51","44","57","75","80","70","46","41","52","45","40","49"
"Hillingdon","42","37","48","58","52","64","42","36","48","42","!","!","41","38","44","35","30","39"
"Hounslow","57","54","60","68","64","72","54","52","55","!","!","!","65","64","66","55","54","56"
"Isle of Wight","28","23","35","25","!","!","N/A","N/A","N/A","!","!","!","44","33","67","28","22","34"
"Isles of Scilly","!","!","!","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","!","!","!"
"Islington","45","42","48","49","41","58","47","47","48","!","!","!","37","36","39","40","38","43"
"Kensington and Chelsea","52","51","55","62","67","59","43","41","47","!","N/A","!","54","53","55","55","53","57"
"Kent","43","38","49","63","60","66","54","46","61","67","73","61","55","53","57","42","36","48"
"Kingston upon Hull, City of","40","40","41","65","!","!","44","50","39","!","N/A","!","41","32","56","42","40","43"
"Kingston upon Thames","61","60","61","75","75","74","45","42","50","70","!","!","64","66","64","56","54","57"
"Kirklees","36","30","43","39","32","46","26","14","37","60","!","!","30","23","37","36","30","42"
"Knowsley","24","20","28","!","!","!","!","!","!","!","N/A","!","!","!","!","23","19","28"
"Lambeth","51","44","57","60","53","68","51","43","59","67","!","!","45","43","49","50","45","56"
"Lancashire","33","29","38","36","29","43","32","38","24","41","25","56","34","25","42","33","29","38"
"Leeds","41","35","47","43","36","51","37","33","41","50","50","50","41","40","42","41","35","47"
"Leicester","32","28","37","43","36","49","31","26","36","!","N/A","!","29","26","31","19","16","22"
"Leicestershire","32","27","37","51","42","61","21","15","29","55","!","!","36","28","45","30","25","34"
"Lewisham","42","35","51","57","53","62","38","30","47","57","57","57","47","39","56","42","35","51"
"Lincolnshire","44","39","48","!","!","!","44","33","56","76","79","71","55","!","!","43","38","48"
"Liverpool","40","35","45","61","62","59","42","37","48","64","64","65","27","23","30","40","35","46"
"Luton","33","35","31","43","49","38","35","38","33","!","!","!","25","22","28","24","25","24"
"Manchester","36","28","44","44","30","59","32","24","42","51","29","79","30","25","34","33","28","38"
"Medway","37","35","39","58","57","60","44","30","54","73","!","!","39","29","46","35","34","36"
"Merton","42","37","48","49","42","56","31","26","37","!","!","!","40","36","44","44","38","51"
"Middlesbrough","20","15","25","22","16","26","27","!","!","N/A","N/A","N/A","25","18","29","20","15","25"
"Milton Keynes","44","39","49","55","47","64","54","47","62","47","!","!","46","48","44","41","36","47"
"Newcastle upon Tyne","36","31","41","45","39","51","35","18","51","69","!","!","52","42","62","34","30","39"
"Newham","52","48","55","59","54","63","48","44","53","46","!","!","50","47","53","36","34","38"
"Norfolk","36","30","42","51","39","61","43","33","58","48","50","46","35","28","43","35","30","42"
"North East Lincolnshire","35","29","41","!","!","!","!","!","!","!","N/A","!","32","28","39","35","30","41"
"North Lincolnshire","33","28","38","37","19","51","36","!","!","100","100","N/A","37","!","!","33","28","37"
"North Somerset","32","27","36","41","28","57","20","!","!","!","!","!","47","41","53","31","27","35"
"North Tyneside","38","33","43","45","33","50","73","!","!","67","!","!","51","53","50","37","32","42"
"North Yorkshire","41","35","48","44","33","59","44","40","50","62","!","!","43","40","46","41","35","48"
"Northamptonshire","41","36","45","49","45","53","45","34","56","70","70","70","39","30","49","40","36","44"
"Northumberland","32","27","38","50","44","59","!","!","!","!","!","!","33","43","27","32","26","38"
"Nottingham","32","26","39","42","36","48","31","23","39","!","!","100","37","30","45","28","22","34"
"Nottinghamshire","41","34","48","56","52","61","55","49","61","68","62","75","40","28","52","40","33","47"
"Oldham","25","20","30","22","16","28","15","14","16","43","!","!","18","24","14","27","22","32"
"Oxfordshire","38","30","46","43","33","55","32","22","45","42","29","58","38","33","44","38","30","46"
"Peterborough","38","31","45","43","34","52","51","43","61","63","!","!","42","33","52","36","29","43"
"Plymouth","40","32","48","72","75","69","50","!","!","62","!","!","49","39","56","39","31","47"
"Poole","!","!","!","61","53","75","!","!","!","!","!","!","40","46","35","39","!","!"
"Portsmouth","38","37","39","46","51","43","46","53","38","!","!","100","43","48","38","37","35","38"
"Reading","37","35","40","44","37","49","23","18","28","!","!","!","24","26","22","37","37","38"
"Redbridge","43","38","48","51","45","59","32","25","38","70","!","!","38","31","44","35","32","39"
"Redcar and Cleveland","29","23","36","43","!","!","!","!","!","!","N/A","!","45","!","!","29","23","35"
"Richmond upon Thames","57","50","63","56","46","66","48","42","54","67","!","!","64","60","68","57","50","63"
"Rochdale","26","21","32","37","25","48","37","32","41","!","!","N/A","34","33","34","22","18","26"
"Rotherham","31","24","38","21","10","31","50","35","67","!","!","100","38","33","44","32","25","38"
"Rutland","33","22","46","!","!","!","!","!","!","N/A","N/A","N/A","56","!","!","32","22","45"
"Salford","46","40","51","55","43","71","47","49","46","!","!","!","46","44","49","45","39","51"
"Sandwell","22","18","27","30","23","38","21","16","26","!","!","!","21","13","32","19","16","22"
"Sefton","43","35","50","52","50","56","60","63","57","!","!","!","37","32","41","43","35","52"
"Sheffield","39","33","46","39","30","50","38","32","44","61","57","64","40","35","45","39","34","45"
"Shropshire","38","34","43","!","!","!","!","!","!","50","!","!","40","42","36","38","34","43"
"Slough","42","39","45","46","43","48","27","24","31","!","!","!","37","40","33","39","34","43"
"Solihull","45","38","53","54","42","68","44","29","58","50","!","!","39","36","43","45","38","51"
"Somerset","36","30","41","44","28","60","29","!","!","55","!","!","38","28","46","36","30","41"
"South Gloucestershire","33","30","36","40","31","56","26","17","43","!","!","!","28","24","34","33","31","35"
"South Tyneside","35","27","42","49","39","58","!","!","!","N/A","N/A","N/A","35","!","!","34","27","41"
"Southampton","40","35","46","56","51","61","43","52","36","!","100","!","36","23","47","38","33","44"
"Southend-on-Sea","42","38","46","70","65","79","62","59","66","68","67","70","44","39","49","37","33","42"
"Southwark","58","51","65","66","56","74","58","48","67","74","!","!","56","51","62","55","51","59"
"St. Helens","37","32","41","50","!","!","!","!","!","!","!","!","!","!","!","37","32","43"
"Staffordshire","35","30","40","35","32","40","32","21","39","50","57","46","34","23","43","35","30","40"
"Stockport","46","42","51","57","47","68","38","29","57","50","!","!","48","41","57","46","42","49"
"Stockton-on-Tees","40","34","48","43","28","58","!","38","!","!","!","!","44","38","56","40","34","46"
"Stoke-on-Trent","28","23","33","33","26","40","38","31","46","56","!","!","22","19","24","27","23","31"
"Suffolk","30","27","34","46","43","49","25","12","36","!","!","!","33","33","33","30","26","34"
"Sunderland","37","26","48","57","32","71","63","!","!","100","N/A","100","56","25","80","36","26","47"
"Surrey","46","40","52","52","46","58","49","41","60","75","72","79","48","43","53","45","40","51"
"Sutton","56","50","62","82","77","87","64","59","68","81","!","!","62","57","67","44","39","51"
"Swindon","33","29","37","48","43","53","36","38","33","40","!","!","30","28","32","31","27","35"
"Tameside","31","25","37","35","25","45","29","24","33","42","!","!","28","34","21","31","25","36"
"Telford and Wrekin","46","41","52","50","46","56","39","33","47","67","!","!","47","42","53","46","41","52"
"Thurrock","42","37","46","55","40","69","51","47","54","56","!","!","51","47","55","40","36","44"
"Torbay","32","31","33","50","!","!","!","!","!","!","!","!","43","50","36","!","32","!"
"Tower Hamlets","46","45","47","53","52","54","44","41","46","50","!","!","28","30","26","29","28","31"
"Trafford","47","42","51","46","37","56","36","28","44","71","!","!","50","44","56","46","43","50"
"Wakefield","33","26","40","40","26","52","21","!","!","!","!","!","34","26","41","33","27","40"
"Walsall","36","32","40","45","44","48","37","27","50","100","!","!","34","29","39","33","29","37"
"Waltham Forest","39","29","50","46","30","63","32","22","41","32","!","!","37","32","42","39","31","47"
"Wandsworth","58","50","68","70","64","78","53","41","66","79","!","!","55","44","68","56","49","64"
"Warrington","38","34","41","53","53","53","43","!","!","50","!","!","34","20","53","37","34","41"
"Warwickshire","42","37","48","54","45","62","32","14","45","63","40","100","46","47","45","41","36","47"
"West Berkshire","48","44","52","54","48","62","32","39","25","67","!","!","47","39","52","49","45","52"
"West Sussex","41","35","47","51","41","62","34","28","41","50","!","!","47","39","54","41","35","46"
"Westminster","49","37","59","45","39","53","44","32","58","61","!","!","49","36","60","56","39","68"
"Wigan","34","27","40","30","25","40","69","!","!","!","!","!","36","26","44","33","27","40"
"Wiltshire","42","38","45","43","46","39","40","27","56","!","!","100","52","53","52","41","37","45"
"Windsor and Maidenhead","44","37","52","47","28","66","35","!","!","63","!","!","52","56","47","43","37","50"
"Wirral","50","47","52","67","78","61","!","!","!","79","!","!","52","47","57","49","46","52"
"Wokingham","53","45","63","57","51","70","47","41","53","!","!","100","48","37","65","53","45","62"
"Wolverhampton","26","18","33","40","30","50","20","19","20","!","!","!","20","11","28","22","15","29"
"Worcestershire","39","35","43","27","15","39","20","!","!","!","!","!","40","36","46","40","36","44"
"York","56","52","61","73","!","!","67","!","!","67","!","!","67","53","81","56","52","60"
