"Measure","Measure name","year","level","country_code","country_name","school_type","characteristic_desc","characteristic_1","Ethnicity","characteristic_2","headcount","num_excl","Value"
"Fixed period exclusion","Fixed period exclusion","201516","National","E92000001","England","Total","Ethnicity","Ethnicity_Any_Other_Ethnic_Group","Other - Any other","Total","119415","3645","3.05"
"Fixed period exclusion","Fixed period exclusion","201516","National","E92000001","England","Total","Ethnicity","Ethnicity_Any_other_Mixed_background","Mixed - Any other","Total","130410","6380","4.89"
"Fixed period exclusion","Fixed period exclusion","201516","National","E92000001","England","Total","Ethnicity","Ethnicity_Any_other_white_background","White - Any other","Total","387405","11335","2.93"
"Fixed period exclusion","Fixed period exclusion","201516","National","E92000001","England","Total","Ethnicity","Ethnicity_Asian_Total","Asian","Total","726265","13905","1.91"
"Fixed period exclusion","Fixed period exclusion","201516","National","E92000001","England","Total","Ethnicity","Ethnicity_Bangladeshi","Asian - Bangladeshi","Total","116880","2390","2.05"
"Fixed period exclusion","Fixed period exclusion","201516","National","E92000001","England","Total","Ethnicity","Ethnicity_Black_African","Black - African","Total","253440","11210","4.42"
"Fixed period exclusion","Fixed period exclusion","201516","National","E92000001","England","Total","Ethnicity","Ethnicity_Black_Caribbean","Black - Caribbean","Total","85255","8595","10.08"
"Fixed period exclusion","Fixed period exclusion","201516","National","E92000001","England","Total","Ethnicity","Ethnicity_Black_Total","Black","Total","388520","22900","5.89"
"Fixed period exclusion","Fixed period exclusion","201516","National","E92000001","England","Total","Ethnicity","Ethnicity_Chinese","Chinese","Total","28905","160","0.56"
"Fixed period exclusion","Fixed period exclusion","201516","National","E92000001","England","Total","Ethnicity","Ethnicity_Gypsy_Roma","White - Gypsy/Roma","Total","20345","4505","22.15"
"Fixed period exclusion","Fixed period exclusion","201516","National","E92000001","England","Total","Ethnicity","Ethnicity_Indian","Asian- Indian","Total","196290","1760","0.9"
"Fixed period exclusion","Fixed period exclusion","201516","National","E92000001","England","Total","Ethnicity","Ethnicity_Irish","Irish","Total","21060","935","4.43"
"Fixed period exclusion","Fixed period exclusion","201516","National","E92000001","England","Total","Ethnicity","Ethnicity_Minority_Ethnic_Groups","All ethnic minorities","Total","2059410","79935","3.88"
"Fixed period exclusion","Fixed period exclusion","201516","National","E92000001","England","Total","Ethnicity","Ethnicity_missing_unknown","Unknown","Total","68365","4520","6.61"
"Fixed period exclusion","Fixed period exclusion","201516","National","E92000001","England","Total","Ethnicity","Ethnicity_Mixed_Total","Mixed","Total","362575","21665","5.98"
"Fixed period exclusion","Fixed period exclusion","201516","National","E92000001","England","Total","Ethnicity","Ethnicity_Pakistani","Asian - Pakistani","Total","292745","8065","2.75"
"Fixed period exclusion","Fixed period exclusion","201516","National","E92000001","England","Total","Ethnicity","Ethnicity_Traveller_of_Irish_heritage","White - Traveller of Irish Heritage","Total","4915","885","18.03"
"Fixed period exclusion","Fixed period exclusion","201516","National","E92000001","England","Total","Ethnicity","Ethnicity_White_and_Asian","Mixed - White and Asian","Total","84035","2730","3.25"
"Fixed period exclusion","Fixed period exclusion","201516","National","E92000001","England","Total","Ethnicity","Ethnicity_White_and_Black_African","Mixed - White and Black African","Total","47375","2590","5.46"
"Fixed period exclusion","Fixed period exclusion","201516","National","E92000001","England","Total","Ethnicity","Ethnicity_White_and_Black_Caribbean","Mixed - White and Black Caribbean","Total","100755","9965","9.89"
"Fixed period exclusion","Fixed period exclusion","201516","National","E92000001","England","Total","Ethnicity","Ethnicity_White_British","White British","Total","4811695","251875","5.23"
"Fixed period exclusion","Fixed period exclusion","201516","National","E92000001","England","Total","Ethnicity","Ethnicity_White_Total","White","Total","5245420","269535","5.14"
"Fixed period exclusion","Fixed period exclusion","201516","National","E92000001","England","Primary","Ethnicity","Ethnicity_Any_other_Asian_background","Asian - Any other","Total","65175","185","0.28"
"Fixed period exclusion","Fixed period exclusion","201516","National","E92000001","England","Primary","Ethnicity","Ethnicity_Any_other_black_background","Black - Any other","Total","27620","515","1.87"
"Fixed period exclusion","Fixed period exclusion","201516","National","E92000001","England","Primary","Ethnicity","Ethnicity_Any_Other_Ethnic_Group","Other - Any other","Total","66530","445","0.67"
"Fixed period exclusion","Fixed period exclusion","201516","National","E92000001","England","Primary","Ethnicity","Ethnicity_Any_other_Mixed_background","Mixed - Any other","Total","75675","1215","1.6"
"Fixed period exclusion","Fixed period exclusion","201516","National","E92000001","England","Primary","Ethnicity","Ethnicity_Any_other_white_background","White - Any other","Total","231340","1550","0.67"
"Fixed period exclusion","Fixed period exclusion","201516","National","E92000001","England","Primary","Ethnicity","Ethnicity_Asian_Total","Asian","Total","388370","1115","0.29"
"Fixed period exclusion","Fixed period exclusion","201516","National","E92000001","England","Primary","Ethnicity","Ethnicity_Bangladeshi","Asian - Bangladeshi","Total","60785","125","0.21"
"Fixed period exclusion","Fixed period exclusion","201516","National","E92000001","England","Primary","Ethnicity","Ethnicity_Black_African","Black - African","Total","139615","1675","1.2"
"Fixed period exclusion","Fixed period exclusion","201516","National","E92000001","England","Primary","Ethnicity","Ethnicity_Black_Caribbean","Black - Caribbean","Total","40940","1505","3.68"
"Fixed period exclusion","Fixed period exclusion","201516","National","E92000001","England","Primary","Ethnicity","Ethnicity_Black_Total","Black","Total","208175","3695","1.78"
"Fixed period exclusion","Fixed period exclusion","201516","National","E92000001","England","Primary","Ethnicity","Ethnicity_Chinese","Chinese","Total","15830","40","0.26"
"Fixed period exclusion","Fixed period exclusion","201516","National","E92000001","England","Primary","Ethnicity","Ethnicity_Gypsy_Roma","White - Gypsy/Roma","Total","13130","640","4.88"
"Fixed period exclusion","Fixed period exclusion","201516","National","E92000001","England","Primary","Ethnicity","Ethnicity_Indian","Asian- Indian","Total","103825","110","0.11"
"Fixed period exclusion","Fixed period exclusion","201516","National","E92000001","England","Primary","Ethnicity","Ethnicity_Irish","Irish","Total","10035","105","1.06"
"Fixed period exclusion","Fixed period exclusion","201516","National","E92000001","England","Primary","Ethnicity","Ethnicity_Minority_Ethnic_Groups","All ethnic minorities","Total","1146100","11910","1.04"
"Fixed period exclusion","Fixed period exclusion","201516","National","E92000001","England","Primary","Ethnicity","Ethnicity_missing_unknown","Unknown","Total","26480","380","1.44"
"Fixed period exclusion","Fixed period exclusion","201516","National","E92000001","England","Primary","Ethnicity","Ethnicity_Mixed_Total","Mixed","Total","209030","4115","1.97"
"Fixed period exclusion","Fixed period exclusion","201516","National","E92000001","England","Primary","Ethnicity","Ethnicity_Pakistani","Asian - Pakistani","Total","158585","695","0.44"
"Fixed period exclusion","Fixed period exclusion","201516","National","E92000001","England","Primary","Ethnicity","Ethnicity_Traveller_of_Irish_heritage","White - Traveller of Irish Heritage","Total","3660","205","5.66"
"Fixed period exclusion","Fixed period exclusion","201516","National","E92000001","England","Primary","Ethnicity","Ethnicity_White_and_Asian","Mixed - White and Asian","Total","48880","480","0.98"
"Fixed period exclusion","Fixed period exclusion","201516","National","E92000001","England","Primary","Ethnicity","Ethnicity_White_and_Black_African","Mixed - White and Black African","Total","28715","550","1.91"
"Fixed period exclusion","Fixed period exclusion","201516","National","E92000001","England","Primary","Ethnicity","Ethnicity_White_and_Black_Caribbean","Mixed - White and Black Caribbean","Total","55765","1870","3.36"
"Fixed period exclusion","Fixed period exclusion","201516","National","E92000001","England","Primary","Ethnicity","Ethnicity_White_British","White British","Total","2483505","40455","1.63"
"Fixed period exclusion","Fixed period exclusion","201516","National","E92000001","England","Primary","Ethnicity","Ethnicity_White_Total","White","Total","2741665","42955","1.57"
"Fixed period exclusion","Fixed period exclusion","201516","National","E92000001","England","Secondary","Ethnicity","Ethnicity_Any_other_Asian_background","Asian - Any other","Total","53570","1470","2.74"
"Fixed period exclusion","Fixed period exclusion","201516","National","E92000001","England","Secondary","Ethnicity","Ethnicity_Any_other_black_background","Black - Any other","Total","21130","2445","11.56"
"Fixed period exclusion","Fixed period exclusion","201516","National","E92000001","England","Secondary","Ethnicity","Ethnicity_Any_Other_Ethnic_Group","Other - Any other","Total","51400","3120","6.07"
"Fixed period exclusion","Fixed period exclusion","201516","National","E92000001","England","Secondary","Ethnicity","Ethnicity_Any_other_Mixed_background","Mixed - Any other","Total","52695","4755","9.02"
"Fixed period exclusion","Fixed period exclusion","201516","National","E92000001","England","Secondary","Ethnicity","Ethnicity_Any_other_white_background","White - Any other","Total","152720","9670","6.33"
"Fixed period exclusion","Fixed period exclusion","201516","National","E92000001","England","Secondary","Ethnicity","Ethnicity_Asian_Total","Asian","Total","328425","12585","3.83"
"Fixed period exclusion","Fixed period exclusion","201516","National","E92000001","England","Secondary","Ethnicity","Ethnicity_Bangladeshi","Asian - Bangladeshi","Total","54550","2240","4.11"
"Fixed period exclusion","Fixed period exclusion","201516","National","E92000001","England","Secondary","Ethnicity","Ethnicity_Black_African","Black - African","Total","109750","9320","8.49"
"Fixed period exclusion","Fixed period exclusion","201516","National","E92000001","England","Secondary","Ethnicity","Ethnicity_Black_Caribbean","Black - Caribbean","Total","42765","6590","15.42"
"Fixed period exclusion","Fixed period exclusion","201516","National","E92000001","England","Secondary","Ethnicity","Ethnicity_Black_Total","Black","Total","173645","18355","10.57"
"Fixed period exclusion","Fixed period exclusion","201516","National","E92000001","England","Secondary","Ethnicity","Ethnicity_Chinese","Chinese","Total","12765","120","0.93"
"Fixed period exclusion","Fixed period exclusion","201516","National","E92000001","England","Secondary","Ethnicity","Ethnicity_Gypsy_Roma","White - Gypsy/Roma","Total","6890","3795","55.07"
"Fixed period exclusion","Fixed period exclusion","201516","National","E92000001","England","Secondary","Ethnicity","Ethnicity_Indian","Asian- Indian","Total","90720","1615","1.78"
"Fixed period exclusion","Fixed period exclusion","201516","National","E92000001","England","Secondary","Ethnicity","Ethnicity_Irish","Irish","Total","10755","780","7.24"
"Fixed period exclusion","Fixed period exclusion","201516","National","E92000001","England","Secondary","Ethnicity","Ethnicity_Minority_Ethnic_Groups","All ethnic minorities","Total","885965","65535","7.4"
"Fixed period exclusion","Fixed period exclusion","201516","National","E92000001","England","Secondary","Ethnicity","Ethnicity_missing_unknown","Unknown","Total","40410","4000","9.9"
"Fixed period exclusion","Fixed period exclusion","201516","National","E92000001","England","Secondary","Ethnicity","Ethnicity_Mixed_Total","Mixed","Total","148220","16480","11.12"
"Fixed period exclusion","Fixed period exclusion","201516","National","E92000001","England","Secondary","Ethnicity","Ethnicity_Pakistani","Asian - Pakistani","Total","129585","7260","5.6"
"Fixed period exclusion","Fixed period exclusion","201516","National","E92000001","England","Secondary","Ethnicity","Ethnicity_Traveller_of_Irish_heritage","White - Traveller of Irish Heritage","Total","1145","635","55.59"
"Fixed period exclusion","Fixed period exclusion","201516","National","E92000001","England","Secondary","Ethnicity","Ethnicity_White_and_Asian","Mixed - White and Asian","Total","34220","2185","6.38"
"Fixed period exclusion","Fixed period exclusion","201516","National","E92000001","England","Secondary","Ethnicity","Ethnicity_White_and_Black_African","Mixed - White and Black African","Total","17995","1920","10.66"
"Fixed period exclusion","Fixed period exclusion","201516","National","E92000001","England","Secondary","Ethnicity","Ethnicity_White_and_Black_Caribbean","Mixed - White and Black Caribbean","Total","43305","7625","17.6"
"Fixed period exclusion","Fixed period exclusion","201516","National","E92000001","England","Secondary","Ethnicity","Ethnicity_White_British","White British","Total","2255295","200560","8.89"
"Fixed period exclusion","Fixed period exclusion","201516","National","E92000001","England","Secondary","Ethnicity","Ethnicity_White_Total","White","Total","2426805","215440","8.88"
"Fixed period exclusion","Fixed period exclusion","201516","National","E92000001","England","Special","Ethnicity","Ethnicity_Any_other_Asian_background","Asian - Any other","Total","1605","40","2.55"
"Fixed period exclusion","Fixed period exclusion","201516","National","E92000001","England","Special","Ethnicity","Ethnicity_Any_other_black_background","Black - Any other","Total","1070","130","12.32"
"Fixed period exclusion","Fixed period exclusion","201516","National","E92000001","England","Special","Ethnicity","Ethnicity_Any_Other_Ethnic_Group","Other - Any other","Total","1485","85","5.66"
"Fixed period exclusion","Fixed period exclusion","201516","National","E92000001","England","Special","Ethnicity","Ethnicity_Any_other_Mixed_background","Mixed - Any other","Total","2040","410","20.21"
"Fixed period exclusion","Fixed period exclusion","201516","National","E92000001","England","Special","Ethnicity","Ethnicity_Any_other_white_background","White - Any other","Total","3340","115","3.5"
"Fixed period exclusion","Fixed period exclusion","201516","National","E92000001","England","Special","Ethnicity","Ethnicity_Asian_Total","Asian","Total","9470","205","2.17"
"Fixed period exclusion","Fixed period exclusion","201516","National","E92000001","England","Special","Ethnicity","Ethnicity_Bangladeshi","Asian - Bangladeshi","Total","1545","25","1.62"
