"","Asian","Black","Chinese","Mixed","White","Other"
"Plymouth","0.00","!","0.00","0.00","0.05","0.00"
"Poole","0.00","0.00","0.00","0.00","0.14","0.00"
"Portsmouth","!","0.00","0.00","!","0.06","0.00"
"Reading","!","!","0.00","0.16","0.17","0.00"
"Redbridge","0.04","0.20","0.00","0.16","0.09","0.00"
"Redcar and Cleveland","0.00","0.00","0.00","0.00","!","0.00"
"Richmond upon Thames","!","0.00","0.00","!","0.05","!"
"Rochdale","0.11","!","0.00","0.00","0.25","0.00"
"Rotherham","0.14","0.00","0.00","0.40","0.13","0.00"
"Rutland","0.00","!","0.00","0.00","0.14","0.00"
"Salford","0.00","!","0.00","0.32","0.23","!"
"Sandwell","0.05","0.23","0.00","0.24","0.20","0.00"
"Sefton","0.00","0.00","0.00","!","0.08","0.00"
"Sheffield","0.14","!","0.00","0.26","0.17","!"
"Shropshire","0.00","0.00","0.00","0.39","0.10","0.00"
"Slough","!","0.00","0.00","0.00","0.04","0.00"
"Solihull","0.00","!","0.00","0.55","0.21","0.00"
"Somerset","!","0.00","0.00","0.28","0.10","!"
"South Gloucestershire","0.00","!","0.00","0.31","0.14","0.00"
"South Tyneside","!","0.00","0.00","0.00","0.12","!"
"Southampton","0.00","!","0.00","!","0.10","0.00"
"Southend-on-Sea","0.00","!","0.00","0.00","0.03","0.00"
"Southwark","!","0.08","0.00","!","0.06","0.00"
"St. Helens","0.00","0.00","0.00","0.00","!","0.00"
"Staffordshire","0.13","0.45","0.00","0.19","0.14","0.00"
"Stockport","0.13","!","0.00","!","0.11","0.00"
"Stockton-on-Tees","!","0.00","0.00","!","0.06","0.00"
"Stoke-on-Trent","0.11","0.00","0.00","0.22","0.14","0.00"
"Suffolk","!","!","0.00","0.09","0.08","0.00"
"Sunderland","0.00","0.00","0.00","0.00","0.10","0.00"
"Surrey","0.00","0.00","0.00","!","0.05","0.00"
"Sutton","0.00","!","0.00","0.10","0.09","0.00"
"Swindon","!","0.00","0.00","0.21","0.08","!"
"Tameside","0.09","!","0.00","0.41","0.28","0.00"
"Telford and Wrekin","!","0.00","0.00","!","0.05","0.00"
"Thurrock","!","0.00","0.00","!","0.13","0.00"
"Torbay","0.00","0.00","0.00","!","0.15","0.00"
"Tower Hamlets","!","0.10","0.00","!","!","!"
"Trafford","!","0.34","0.00","0.37","0.13","0.00"
"Wakefield","0.00","0.00","0.00","!","0.15","0.00"
"Walsall","0.05","!","0.00","0.17","0.24","0.00"
"Waltham Forest","0.04","0.08","0.00","0.08","!","!"
"Wandsworth","0.00","0.19","0.00","0.18","0.05","0.00"
"Warrington","0.00","0.00","0.00","!","0.03","0.00"
"Warwickshire","!","!","0.00","0.10","0.08","0.00"
"West Berkshire","0.00","0.00","0.00","0.00","0.07","0.00"
"West Sussex","!","!","0.00","0.17","0.08","0.00"
"Westminster","0.00","0.18","0.00","!","!","!"
"Wigan","0.00","0.00","0.00","0.00","0.00","0.00"
"Wiltshire","0.00","0.00","0.00","!","0.01","0.00"
"Windsor and Maidenhead","!","!","0.00","!","0.09","0.00"
"Wirral","0.00","0.00","0.00","0.28","0.13","0.00"
"Wokingham","0.11","!","0.00","!","0.15","0.00"
"Wolverhampton","0.08","0.44","0.00","0.16","0.15","!"
"Worcestershire","0.00","!","0.00","0.18","0.11","!"
"York","0.00","0.00","0.00","0.00","!","0.00"
