"Title","Fear of crime by ethnicity "
"Location","England and Wales"
"Time period","2013/14 to 2015/16"
"Data source","Crime Survey for England and Wales https://www.ons.gov.uk/peoplepopulationandcommunity/crimeandjustice/datasets/crimeinenglandandwalesannualtrendanddemographictables"
"Source","https://www.ethnicityfactsandfigures.digitalbeta.org.uk"

"Measure","Time","Time_type","Ethnicity","Ethnicity_type","Value","Unweighted base"
"Proportion of adults that fear crime","2015/16","Financial year","Any other white background","ONS 18+1","21","1,599"
"Proportion of adults that fear crime","2015/16","Financial year","Mixed","ONS 5+1","21","359"
"Proportion of adults that fear crime","2015/16","Financial year","Mixed white and black caribbean","ONS 18+1","18","133"
"Proportion of adults that fear crime","2015/16","Financial year","Mixed white and black african","ONS 18+1","?","43"
"Proportion of adults that fear crime","2015/16","Financial year","Mixed white and asian","ONS 18+1","21","93"
"Proportion of adults that fear crime","2015/16","Financial year","Any other Mixed/Multiple ethnic background","ONS 18+1","26","90"
"Proportion of adults that fear crime","2015/16","Financial year","Asian","ONS 5+1","27","1,712"
"Proportion of adults that fear crime","2015/16","Financial year","Indian","ONS 18+1","27","694"
"Proportion of adults that fear crime","2015/16","Financial year","Pakistani","ONS 18+1","30","400"
"Proportion of adults that fear crime","2015/16","Financial year","Bangladeshi","ONS 18+1","31","130"
"Proportion of adults that fear crime","2015/16","Financial year","Chinese","ONS 18+1","16","166"
"Proportion of adults that fear crime","2015/16","Financial year","Any other asian","ONS 18+1","26","322"
"Proportion of adults that fear crime","2015/16","Financial year","Black","ONS 5+1","26","854"
"Proportion of adults that fear crime","2015/16","Financial year","Black african","ONS 18+1","25","504"
"Proportion of adults that fear crime","2015/16","Financial year","Black caribbean","ONS 18+1","28","292"
"Proportion of adults that fear crime","2015/16","Financial year","Any other black background","ONS 18+1","28","58"
"Proportion of adults that fear crime","2015/16","Financial year","Other","ONS 5+1","27","235"
"Proportion of adults that fear crime","2015/16","Financial year","Arab","ONS 18+1","30","84"
"Proportion of adults that fear crime","2015/16","Financial year","Any other ethnic group","ONS 18+1","25","151"
