"Standard Ethnicity","Local authority","All","Boys","Girls"
"Mixed","West Sussex","26","20","32"
"Mixed","Westminster","34","18","49"
"Mixed","Wigan","26","15","33"
"Mixed","Wiltshire","34","36","32"
"Mixed","Windsor and Maidenhead","34","38","31"
"Mixed","Wirral","44","35","51"
"Mixed","Wokingham","26","19","35"
"Mixed","Wolverhampton","9","3","15"
"Mixed","Worcestershire","26","22","32"
"Mixed","York","42","!","!"
"White","England","24","19","29"
"White","Barking and Dagenham","19","16","22"
"White","Barnet","42","35","48"
"White","Barnsley","18","14","21"
"White","Bath and North East Somerset","34","31","37"
"White","Bedford","19","13","24"
"White","Bexley","24","20","28"
"White","Birmingham","24","19","30"
"White","Blackburn with Darwen","16","12","19"
"White","Blackpool","9","7","11"
"White","Bolton","16","13","20"
"White","Bournemouth","27","22","31"
"White","Bracknell Forest","22","17","28"
"White","Bradford","18","13","23"
"White","Brent","28","20","36"
"White","Brighton and Hove","25","21","29"
"White","Bristol, City of","18","13","23"
"White","Bromley","36","27","44"
"White","Buckinghamshire","37","33","40"
"White","Bury","26","22","31"
"White","Calderdale","26","22","30"
"White","Cambridgeshire","26","21","32"
"White","Camden","34","26","39"
"White","Central Bedfordshire","19","14","24"
"White","Cheshire East","27","19","34"
"White","Cheshire West and Chester","30","25","35"
"White","City of London","N/A","N/A","N/A"
"White","Cornwall","19","14","24"
"White","County Durham","25","19","30"
"White","Coventry","18","13","23"
"White","Croydon","26","16","34"
"White","Cumbria","22","16","28"
"White","Darlington","24","20","28"
"White","Derby","19","14","24"
"White","Derbyshire","19","14","24"
"White","Devon","23","19","28"
"White","Doncaster","16","11","20"
"White","Dorset","24","19","29"
"White","Dudley","17","14","21"
"White","Ealing","42","36","50"
"White","East Riding of Yorkshire","21","15","27"
"White","East Sussex","21","18","25"
"White","Enfield","30","27","33"
"White","Essex","22","17","27"
"White","Gateshead","25","20","29"
"White","Gloucestershire","26","22","30"
"White","Greenwich","22","18","27"
"White","Hackney","37","33","40"
"White","Halton","32","28","36"
"White","Hammersmith and Fulham","51","48","53"
"White","Hampshire","26","21","31"
"White","Haringey","32","27","37"
"White","Harrow","30","24","35"
"White","Hartlepool","14","8","20"
"White","Havering","27","24","30"
"White","Herefordshire, County of","23","17","31"
"White","Hertfordshire","32","26","38"
"White","Hillingdon","21","17","25"
"White","Hounslow","37","35","39"
"White","Isle of Wight","13","8","19"
"White","Isles of Scilly","!","!","!"
"White","Islington","25","22","28"
"White","Kensington and Chelsea","43","42","45"
"White","Kent","28","23","33"
"White","Kingston upon Hull, City of","20","19","22"
"White","Kingston upon Thames","42","37","46"
"White","Kirklees","22","17","28"
"White","Knowsley","10","7","13"
"White","Lambeth","29","25","33"
"White","Lancashire","22","17","27"
"White","Leeds","24","18","29"
"White","Leicester","9","8","11"
"White","Leicestershire","18","13","22"
"White","Lewisham","25","20","31"
"White","Lincolnshire","27","23","32"
"White","Liverpool","23","19","27"
"White","Luton","14","13","14"
"White","Manchester","17","13","20"
"White","Medway","25","23","26"
"White","Merton","31","25","37"
"White","Middlesbrough","10","7","13"
"White","Milton Keynes","19","13","26"
"White","Newcastle upon Tyne","23","19","27"
"White","Newham","23","19","26"
"White","Norfolk","21","15","26"
"White","North East Lincolnshire","17","13","22"
"White","North Lincolnshire","18","14","22"
"White","North Somerset","20","14","25"
"White","North Tyneside","25","21","29"
"White","North Yorkshire","29","23","35"
"White","Northamptonshire","22","17","27"
"White","Northumberland","19","14","24"
"White","Nottingham","14","9","19"
"White","Nottinghamshire","25","20","30"
"White","Oldham","18","13","23"
"White","Oxfordshire","25","18","32"
"White","Peterborough","20","15","25"
"White","Plymouth","20","13","28"
"White","Poole","25","!","!"
"White","Portsmouth","17","14","21"
"White","Reading","28","28","28"
"White","Redbridge","28","24","33"
"White","Redcar and Cleveland","19","15","24"
"White","Richmond upon Thames","43","36","49"
"White","Rochdale","14","10","17"
"White","Rotherham","20","14","26"
"White","Rutland","26","17","37"
"White","Salford","19","15","23"
"White","Sandwell","11","8","14"
"White","Sefton","25","18","33"
"White","Sheffield","23","18","27"
"White","Shropshire","24","20","29"
"White","Slough","24","19","30"
"White","Solihull","27","21","34"
"White","Somerset","20","14","25"
"White","South Gloucestershire","18","15","21"
"White","South Tyneside","20","14","26"
"White","Southampton","19","13","24"
"White","Southend-on-Sea","29","27","32"
"White","Southwark","37","36","38"
"White","St. Helens","20","16","25"
"White","Staffordshire","20","15","25"
"White","Stockport","30","26","35"
"White","Stockton-on-Tees","26","20","32"
"White","Stoke-on-Trent","15","12","18"
"White","Suffolk","18","14","22"
"White","Sunderland","21","14","28"
"White","Surrey","30","24","37"
"White","Sutton","35","28","42"
"White","Swindon","16","12","20"
"White","Tameside","18","13","24"
"White","Telford and Wrekin","22","17","28"
"White","Thurrock","23","19","27"
"White","Torbay","!","26","!"
"White","Tower Hamlets","21","21","21"
"White","Trafford","36","31","41"
"White","Wakefield","20","14","26"
"White","Walsall","18","14","21"
"White","Waltham Forest","26","17","34"
"White","Wandsworth","38","32","44"
"White","Warrington","24","20","27"
"White","Warwickshire","28","23","34"
"White","West Berkshire","30","23","37"
"White","West Sussex","26","21","31"
"White","Westminster","41","23","53"
"White","Wigan","22","17","28"
"White","Wiltshire","26","22","29"
"White","Windsor and Maidenhead","32","24","39"
"White","Wirral","34","30","37"
"White","Wokingham","35","26","45"
"White","Wolverhampton","12","7","18"
"White","Worcestershire","25","21","29"
"White","York","35","29","41"
