"Title","EBacc achievement by ethnicity and area "
"Location","England"
"Time period","2015/16"
"Data source","Key stage 4 statistics"
"Data source link","https://www.gov.uk/government/statistics/revised-gcse-and-equivalent-results-in-england-2015-to-2016"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated","19 January 2017 (revised)"

"Standard Ethnicity","Local authority","%","Pupils"
"Chinese","Thurrock","33","9"
"Chinese","Torbay","63","8"
"Chinese","Tower Hamlets","40","10"
"Chinese","Trafford","59","49"
"Chinese","Wakefield","!","6"
"Chinese","Walsall","100","3"
"Chinese","Waltham Forest","14","22"
"Chinese","Wandsworth","71","14"
"Chinese","Warrington","!","6"
"Chinese","Warwickshire","63","16"
"Chinese","West Berkshire","50","12"
"Chinese","West Sussex","42","12"
"Chinese","Westminster","50","18"
"Chinese","Wigan","!","3"
"Chinese","Wiltshire","!","6"
"Chinese","Windsor and Maidenhead","63","8"
"Chinese","Wirral","64","14"
"Chinese","Wokingham","60","10"
"Chinese","Wolverhampton","!","3"
"Chinese","Worcestershire","!","8"
"Chinese","York","56","9"
"Mixed","All - England","27","22,753"
"Mixed","Barking and Dagenham","15","141"
"Mixed","Barnet","45","363"
"Mixed","Barnsley","29","35"
"Mixed","Bath and North East Somerset","28","74"
"Mixed","Bedford","16","143"
"Mixed","Bexley","29","161"
"Mixed","Birmingham","25","834"
"Mixed","Blackburn with Darwen","23","61"
"Mixed","Blackpool","!","24"
"Mixed","Bolton","16","88"
"Mixed","Bournemouth","37","73"
"Mixed","Bracknell Forest","27","49"
"Mixed","Bradford","16","218"
"Mixed","Brent","25","158"
"Mixed","Brighton and Hove","28","181"
"Mixed","Bristol, City of","19","209"
"Mixed","Bromley","39","229"
"Mixed","Buckinghamshire","35","312"
"Mixed","Bury","28","101"
"Mixed","Calderdale","17","93"
"Mixed","Cambridgeshire","33","194"
"Mixed","Camden","25","142"
"Mixed","Central Bedfordshire","26","103"
"Mixed","Cheshire East","27","93"
"Mixed","Cheshire West and Chester","32","72"
"Mixed","City of London","N/A","N/A"
"Mixed","Cornwall","22","99"
"Mixed","County Durham","36","42"
"Mixed","Coventry","16","181"
"Mixed","Croydon","24","424"
"Mixed","Cumbria","38","53"
"Mixed","Darlington","!","15"
"Mixed","Derby","17","166"
"Mixed","Derbyshire","16","161"
"Mixed","Devon","26","95"
"Mixed","Doncaster","20","61"
"Mixed","Dorset","23","80"
"Mixed","Dudley","16","183"
"Mixed","Ealing","39","195"
"Mixed","East Riding of Yorkshire","15","46"
"Mixed","East Sussex","22","166"
"Mixed","Enfield","30","324"
"Mixed","Essex","30","541"
"Mixed","Gateshead","40","20"
"Mixed","Gloucestershire","28","195"
"Mixed","Greenwich","32","208"
"Mixed","Hackney","34","193"
"Mixed","Halton","56","25"
"Mixed","Hammersmith and Fulham","39","133"
