"Title","EBacc achievement by ethnicity and area "
"Location","England"
"Time period","2015/16"
"Data source","Key stage 4 statistics"
"Data source link","https://www.gov.uk/government/statistics/revised-gcse-and-equivalent-results-in-england-2015-to-2016"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated","19 January 2017 (revised)"

"","All","","Asian","","Black","","Chinese","","Mixed","","White",""
"Lambeth","25","1,887","28","79","23","945","60","15","22","228","29","491"
"Lancashire","22","12,106","24","1,147","21","38","38","32","23","277","22","10,512"
"Leeds","23","7,483","22","849","18","440","32","28","22","335","24","5,700"
"Leicester","19","3,409","27","1,631","16","345","!","3","19","210","9","1,149"
"Leicestershire","19","7,017","33","505","14","43","46","22","21","246","18","6,108"
"Lewisham","23","2,334","30","129","17","1,041","49","37","27","286","25","698"
"Lincolnshire","28","7,807","!","76","29","34","64","33","40","134","27","7,464"
"Liverpool","23","4,611","41","132","20","137","53","45","17","203","23","3,919"
"Luton","18","2,442","24","967","13","294","!","4","14","192","14","937"
"Manchester","19","4,715","28","974","16","741","35","43","16","344","17","2,312"
"Medway","27","2,967","46","157","35","116","73","11","31","125","25","2,508"
"Merton","30","1,440","35","222","22","299","!","6","30","155","31","734"
"Middlesbrough","11","1,464","17","172","!","15","N/A","0","17","53","10","1,164"
"Milton Keynes","21","2,800","35","204","21","338","33","15","25","187","19","1,994"
"Newcastle upon Tyne","24","2,393","33","249","23","80","46","13","32","65","23","1,913"
"Newham","31","3,489","38","1,601","26","917","27","11","23","199","23","582"
"Norfolk","21","8,014","40","88","28","68","28","25","19","178","21","7,551"
"North East Lincolnshire","17","1,596","!","10","!","!","!","!","24","38","17","1,486"
"North Lincolnshire","19","1,856","36","62","27","11","100","4","16","19","18","1,751"
"North Somerset","20","2,176","25","32","!","15","!","6","36","66","20","2,043"
"North Tyneside","26","1,945","37","38","46","11","67","9","40","35","25","1,833"
"North Yorkshire","29","6,188","37","93","28","18","62","13","32","124","29","5,886"
"Northamptonshire","22","7,650","34","326","22","282","55","20","22","327","22","6,612"
"Northumberland","19","3,198","38","42","!","!","!","6","17","36","19","3,100"
"Nottingham","17","2,534","25","438","14","248","!","8","19","231","14","1,528"
"Nottinghamshire","25","7,883","41","180","32","78","60","25","26","255","25","7,243"
"Oldham","16","2,920","14","822","6","47","43","7","10","90","18","1,901"
"Oxfordshire","25","5,975","24","317","18","126","31","26","22","288","25","5,136"
"Peterborough","22","2,292","25","367","29","73","50","8","28","105","20","1,698"
"Plymouth","21","2,640","56","25","!","18","31","13","33","43","20","2,489"
"Poole","!","1,438","58","31","!","4","!","5","32","47","25","1,338"
"Portsmouth","19","1,729","31","95","21","33","!","7","24","54","17","1,515"
"Reading","30","1,169","41","221","13","90","!","21","18","98","28","711"
"Redbridge","34","3,363","40","1,623","23","494","70","20","29","230","28","903"
"Redcar and Cleveland","19","1,620","29","21","!","3","!","!","40","20","19","1,567"
"Richmond upon Thames","42","1,367","43","96","25","48","67","12","44","135","43","1,025"
"Rochdale","16","2,315","21","551","29","63","!","!","24","83","14","1,601"
"Rotherham","20","3,335","15","231","26","38","!","8","19","58","20","2,980"
"Rutland","26","489","!","4","!","3","N/A","0","44","9","26","472"
"Salford","20","2,084","37","38","23","78","50","6","25","80","19","1,832"
"Sandwell","13","3,499","19","934","12","257","!","5","11","223","11","1,986"
"Sefton","25","3,076","48","23","33","15","50","8","22","60","25","2,896"
"Sheffield","22","5,242","19","501","18","260","44","18","19","265","23","4,001"
"Shropshire","24","2,986","!","19","43","7","50","8","25","53","24","2,857"
"Slough","29","1,632","35","798","16","148","!","5","24","112","24","497"
"Solihull","27","2,987","35","278","25","72","30","10","22","181","27","2,375"
"Somerset","20","5,137","34","50","21","14","27","11","24","100","20","4,933"
"South Gloucestershire","18","2,770","27","67","!","43","!","6","17","109","18","2,530"
"South Tyneside","21","1,535","33","57","!","8","N/A","0","24","17","20","1,421"
"Southampton","21","1,952","36","176","32","56","56","9","14","95","19","1,593"
"Southend-on-Sea","34","2,047","62","135","54","125","64","22","37","91","29","1,649"
"Southwark","36","2,386","45","124","34","1,094","59","34","35","255","37","685"
"St. Helens","20","1,767","43","14","!","8","!","4","!","15","20","1,675"
"Staffordshire","20","8,758","22","254","32","37","40","20","23","189","20","8,176"
"Stockport","30","2,816","34","168","33","21","31","16","30","105","30","2,463"
"Stockton-on-Tees","26","1,994","29","106","!","!","!","!","32","25","26","1,842"
"Stoke-on-Trent","16","2,269","19","301","15","48","44","9","7","69","15","1,801"
"Suffolk","18","7,158","34","102","11","53","!","4","20","305","18","6,440"
"Sunderland","21","2,828","36","90","38","16","100","3","26","27","21","2,677"
"Surrey","31","10,399","36","602","26","180","64","44","36","473","30","8,958"
"Sutton","46","2,667","75","524","49","212","73","41","50","201","35","1,623"
"Swindon","17","2,109","27","195","19","42","40","10","20","60","16","1,756"
"Tameside","19","2,493","25","253","17","35","33","12","16","74","18","2,078"
"Telford and Wrekin","23","2,014","30","117","22","36","44","9","30","70","22","1,769"
"Thurrock","25","1,721","45","65","33","164","33","9","43","61","23","1,385"
"Torbay","26","1,511","42","12","!","7","63","8","35","40","!","1,335"
"Tower Hamlets","28","2,570","31","1,685","25","307","40","10","17","129","21","316"
"Trafford","37","2,758","39","327","24","75","59","49","36","132","36","2,118"
"Wakefield","20","3,645","27","116","11","38","!","6","20","64","20","3,407"
"Walsall","21","3,261","32","628","25","139","100","3","19","155","18","2,306"
"Waltham Forest","24","2,539","29","635","15","598","14","22","24","227","26","969"
"Wandsworth","34","1,660","40","333","24","458","71","14","34","188","38","571"
"Warrington","24","2,365","35","49","!","14","!","6","23","35","24","2,216"
"Warwickshire","29","5,585","39","263","16","50","63","16","31","187","28","5,003"
"West Berkshire","30","1,906","44","50","16","25","50","12","33","75","30","1,704"
"West Sussex","26","8,118","35","330","17","120","42","12","26","258","26","7,316"
"Westminster","34","1,566","33","199","25","333","50","18","34","130","41","483"
"Wigan","22","3,407","20","30","56","16","!","3","26","66","22","3,271"
"Wiltshire","26","4,899","23","70","18","38","!","6","34","115","26","4,582"
"Windsor and Maidenhead","32","1,470","33","191","24","29","63","8","34","99","32","1,119"
"Wirral","35","3,402","59","64","50","8","64","14","44","69","34","3,222"
"Wokingham","34","1,601","30","166","21","75","60","10","26","89","35","1,231"
"Wolverhampton","15","2,470","28","530","9","221","!","3","9","223","12","1,457"
"Worcestershire","25","5,565","18","142","!","20","!","8","26","169","25","5,183"
"York","35","1,585","64","11","!","9","56","9","42","33","35","1,511"
