"Title","Civil Service pay"
"Location","UK"
"Time period","2018"
"Data source","Cabinet Office"
"Data source link","https://www.ons.gov.uk/releases/civilservicestatistics2018"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated","2018-10-05"
"Measure","Ethnicity","Ethnicity_type","Time","Time_type","Grade","Geography","Geography_type","Value","Value_type","Headcount","Note"
"Median gross annual salary of civil servants (in pounds)","All","Asian, Black, Chinese, Mixed, White, Other","2016","Year","Grades 6 & 7","UK","UK","54,500","£","39,500",""
"Median gross annual salary of civil servants (in pounds)","Asian","Asian, Black, Chinese, Mixed, White, Other","2016","Year","Grades 6 & 7","UK","UK","54,500","£","1,160",""
"Median gross annual salary of civil servants (in pounds)","All","Asian, Black, Chinese, Mixed, White, Other","2016","Year","Senior Civil Service","UK","UK","81,000","£","4,950",""
"Median gross annual salary of civil servants (in pounds)","All","Asian, Black, Chinese, Mixed, White, Other","2016","Year","Unknown grade","UK","UK","29,900","£","12,810",""
"Median gross annual salary of civil servants (in pounds)","Asian","Asian, Black, Chinese, Mixed, White, Other","2016","Year","Administrative officers and assistants","UK","UK","20,100","£","7,520",""
"Median gross annual salary of civil servants (in pounds)","Asian","Asian, Black, Chinese, Mixed, White, Other","2016","Year","Executive officer","UK","UK","26,400","£","5,840",""
"Median gross annual salary of civil servants (in pounds)","Black","Asian, Black, Chinese, Mixed, White, Other","2016","Year","Grades 6 & 7","UK","UK","55,300","£","500",""
"Median gross annual salary of civil servants (in pounds)","Chinese","Asian, Black, Chinese, Mixed, White, Other","2016","Year","Grades 6 & 7","UK","UK","53,700","£","100",""
"Median gross annual salary of civil servants (in pounds)","Asian","Asian, Black, Chinese, Mixed, White, Other","2016","Year","Senior Civil Service","UK","UK","88,500","£","130",""
"Median gross annual salary of civil servants (in pounds)","Asian","Asian, Black, Chinese, Mixed, White, Other","2016","Year","Unknown grade","UK","UK","27,400","£","260",""
"Median gross annual salary of civil servants (in pounds)","Black","Asian, Black, Chinese, Mixed, White, Other","2016","Year","Administrative officers and assistants","UK","UK","22,200","£","3,790",""
"Median gross annual salary of civil servants (in pounds)","Black","Asian, Black, Chinese, Mixed, White, Other","2016","Year","Executive officer","UK","UK","26,800","£","3,310",""
"Median gross annual salary of civil servants (in pounds)","Mixed","Asian, Black, Chinese, Mixed, White, Other","2016","Year","Grades 6 & 7","UK","UK","55,000","£","530",""
"Median gross annual salary of civil servants (in pounds)","White","Asian, Black, Chinese, Mixed, White, Other","2016","Year","Grades 6 & 7","UK","UK","54,500","£","28,200",""
"Median gross annual salary of civil servants (in pounds)","Black","Asian, Black, Chinese, Mixed, White, Other","2016","Year","Senior Civil Service","UK","UK","88,700","£","50",""
"Median gross annual salary of civil servants (in pounds)","Black","Asian, Black, Chinese, Mixed, White, Other","2016","Year","Unknown grade","UK","UK","26,600","£","270",""
"Median gross annual salary of civil servants (in pounds)","Chinese","Asian, Black, Chinese, Mixed, White, Other","2016","Year","Administrative officers and assistants","UK","UK","19,600","£","270",""
"Median gross annual salary of civil servants (in pounds)","Chinese","Asian, Black, Chinese, Mixed, White, Other","2016","Year","Executive officer","UK","UK","26,100","£","230",""
"Median gross annual salary of civil servants (in pounds)","Other","Asian, Black, Chinese, Mixed, White, Other","2016","Year","Grades 6 & 7","UK","UK","55,400","£","220",""
"Median gross annual salary of civil servants (in pounds)","Unknown","Asian, Black, Chinese, Mixed, White, Other","2016","Year","Grades 6 & 7","UK","UK","54,600","£","8,790",""
"Median gross annual salary of civil servants (in pounds)","Chinese","Asian, Black, Chinese, Mixed, White, Other","2016","Year","Senior Civil Service","UK","UK","90,600","£","10",""
"Median gross annual salary of civil servants (in pounds)","Chinese","Asian, Black, Chinese, Mixed, White, Other","2016","Year","Unknown grade","UK","UK","31,700","£","10",""
"Median gross annual salary of civil servants (in pounds)","Mixed","Asian, Black, Chinese, Mixed, White, Other","2016","Year","Administrative officers and assistants","UK","UK","19,900","£","1,430",""
"Median gross annual salary of civil servants (in pounds)","Mixed","Asian, Black, Chinese, Mixed, White, Other","2016","Year","Executive officer","UK","UK","25,500","£","1,190",""
"Median gross annual salary of civil servants (in pounds)","All","Asian, Black, Chinese, Mixed, White, Other","2016","Year","Senior and higher executive officer","UK","UK","33,800","£","97,640",""
"Median gross annual salary of civil servants (in pounds)","Asian","Asian, Black, Chinese, Mixed, White, Other","2016","Year","Senior and higher executive officer","UK","UK","33,900","£","3,770",""
"Median gross annual salary of civil servants (in pounds)","Mixed","Asian, Black, Chinese, Mixed, White, Other","2016","Year","Senior Civil Service","UK","UK","76,600","£","50",""
"Median gross annual salary of civil servants (in pounds)","Mixed","Asian, Black, Chinese, Mixed, White, Other","2016","Year","Unknown grade","UK","UK","31,700","£","110",""
"Median gross annual salary of civil servants (in pounds)","White","Asian, Black, Chinese, Mixed, White, Other","2016","Year","Administrative officers and assistants","UK","UK","19,500","£","102,940",""
"Median gross annual salary of civil servants (in pounds)","White","Asian, Black, Chinese, Mixed, White, Other","2016","Year","Executive officer","UK","UK","25,200","£","75,340",""
"Median gross annual salary of civil servants (in pounds)","Black","Asian, Black, Chinese, Mixed, White, Other","2016","Year","Senior and higher executive officer","UK","UK","34,400","£","2,050",""
"Median gross annual salary of civil servants (in pounds)","Chinese","Asian, Black, Chinese, Mixed, White, Other","2016","Year","Senior and higher executive officer","UK","UK","35,300","£","250",""
"Median gross annual salary of civil servants (in pounds)","White","Asian, Black, Chinese, Mixed, White, Other","2016","Year","Senior Civil Service","UK","UK","80,600","£","3,530",""
"Median gross annual salary of civil servants (in pounds)","White","Asian, Black, Chinese, Mixed, White, Other","2016","Year","Unknown grade","UK","UK","29,000","£","4,600",""
"Median gross annual salary of civil servants (in pounds)","Other","Asian, Black, Chinese, Mixed, White, Other","2016","Year","Administrative officers and assistants","UK","UK","20,600","£","590",""
"Median gross annual salary of civil servants (in pounds)","Other","Asian, Black, Chinese, Mixed, White, Other","2016","Year","Executive officer","UK","UK","26,000","£","450",""
"Median gross annual salary of civil servants (in pounds)","Mixed","Asian, Black, Chinese, Mixed, White, Other","2016","Year","Senior and higher executive officer","UK","UK","34,300","£","1,150",""
"Median gross annual salary of civil servants (in pounds)","White","Asian, Black, Chinese, Mixed, White, Other","2016","Year","Senior and higher executive officer","UK","UK","33,700","£","69,530",""
