"","All","","Asian","","Black","","Chinese","","Mixed","","White",""
"Lancashire","45.7","12,078","46.8","1,238","39.7","29","64.4","32","47.2","273","45.4","10,415"
"Liverpool","44.2","4,467","53.9","131","43.7","158","60.7","48","46.3","192","43.5","3,768"
"Manchester","43.4","4,574","48.4","1,056","43.2","741","55.4","37","42.8","328","40.5","2,120"
"Oldham","43.6","2,918","44.3","869","43.2","45","59.7","8","41.7","115","43.4","1,802"
"Rochdale","42.5","2,238","44.0","563","40.8","83","58.5","3","38.5","77","42.3","1,493"
"Salford","41.7","2,057","!","!","!","97","!","!","44.6","94","41.2","1,775"
"Sefton","44.9","3,013","54.2","26","41.5","17","58.4","9","45.8","43","45.5","2,833"
"St. Helens","43.8","1,693","!","!","!","!","58.5","5","47.1","34","44.4","1,566"
"Stockport","48.2","2,649","51.1","173","47.1","41","53.8","16","48.1","105","47.9","2,276"
"Tameside","44.8","2,407","48.9","283","41.2","37","64.8","5","45.7","68","44.2","1,995"
"Trafford","55.6","2,715","60.4","327","53.7","80","69.9","44","54.9","157","54.8","2,042"
"Warrington","47.0","2,277","55.6","42","40.4","5","51.6","9","47.5","44","47.0","2,126"
"Wigan","46.2","3,337","48.8","34","48.3","25","61.7","9","49.0","55","46.1","3,172"
"Wirral","48.1","3,349","61.1","62","50.4","12","60.0","22","54.4","68","47.7","3,158"
"Barnsley","44.0","2,110","!","!","49.3","9","!","!","48.5","30","43.9","2,051"
"Bradford","42.4","5,786","43.0","2,598","43.7","79","57.2","10","40.3","226","42.0","2,743"
"Calderdale","48.2","2,475","49.1","359","46.4","26","67.8","7","45.7","69","48.1","1,997"
"Doncaster","43.6","2,996","51.0","86","50.7","41","68.1","11","43.0","69","43.2","2,757"
"East Riding of Yorkshire","47.2","3,370","!","12","53.1","8","!","4","49.8","53","47.0","3,236"
"Kingston upon Hull, City of","42.6","2,253","56.0","43","49.2","32","67.7","5","45.5","41","42.5","2,018"
"Kirklees","45.3","4,383","45.0","1,233","40.9","92","67.1","8","39.3","221","46.0","2,794"
"Leeds","45.1","7,427","43.9","921","45.0","417","61.3","39","43.9","362","46.1","5,420"
"North East Lincolnshire","43.8","1,592","!","!","!","!","!","!","47.5","21","44.1","1,431"
"North Lincolnshire","44.8","1,749","48.9","66","!","!","!","!","52.4","29","44.5","1,630"
"North Yorkshire","49.6","5,904","58.5","94","49.4","16","55.0","12","51.8","99","49.4","5,632"
"Rotherham","45.0","3,028","44.7","213","49.1","43","44.7","5","47.8","65","44.9","2,672"
"Sheffield","44.6","5,090","46.9","501","42.9","210","57.1","16","41.7","272","44.6","3,879"
"Wakefield","45.5","3,402","49.3","89","41.2","41","59.1","8","45.1","61","45.4","3,161"
"York","49.3","1,608","57.0","30","51.6","8","55.5","7","49.4","37","49.0","1,512"
"Derby","42.6","2,741","46.6","479","!","87","!","7","39.1","170","42.0","1,944"
"Derbyshire","45.6","7,249","44.0","54","!","!","!","!","48.7","133","45.5","6,965"
"Leicester","42.8","3,310","47.3","1,526","41.0","357","!","!","!","!","38.1","1,139"
"Leicestershire","45.7","6,867","54.9","497","43.9","55","61.8","24","44.2","236","44.9","5,987"
"Lincolnshire","46.4","7,549","61.4","93","45.4","43","62.8","21","50.7","165","46.0","7,160"
"Northamptonshire","44.7","7,287","50.5","304","45.4","303","67.8","18","44.5","349","44.3","6,228"
"Nottingham","40.3","2,505","46.4","436","40.6","277","57.0","6","39.1","249","38.5","1,453"
"Nottinghamshire","47.8","7,511","55.7","166","45.5","112","64.7","24","49.2","277","47.6","6,821"
"Rutland","52.2","473","62.1","4","!","!","!","!","!","!","52.1","458"
"Birmingham","46.1","12,127","47.2","4,710","43.5","1,453","61.6","55","45.9","923","45.6","4,326"
"Coventry","42.8","3,374","48.6","635","43.8","305","69.9","9","39.7","171","41.2","2,198"
"Dudley","43.7","3,484","43.2","318","43.2","90","61.4","7","43.5","190","43.9","2,820"
"Herefordshire, County of","45.7","1,718","62.1","7","38.3","4","!","!","!","!","45.4","1,655"
"Sandwell","42.4","3,564","44.8","993","40.2","309","!","!","!","!","41.6","1,901"
"Shropshire","46.4","2,777","49.6","34","55.7","5","62.0","6","46.9","45","46.3","2,647"
"Solihull","47.1","2,917","52.6","331","45.9","63","68.1","10","45.3","163","46.8","2,217"
"Staffordshire","44.9","8,414","47.1","265","41.5","40","59.0","15","43.3","186","44.8","7,861"
"Stoke-on-Trent","43.3","2,198","44.9","322","46.0","36","59.8","8","42.9","84","43.0","1,706"
"Telford and Wrekin","46.4","1,835","48.6","100","47.3","43","64.0","10","47.6","74","46.0","1,596"
"Walsall","43.2","3,169","47.6","649","43.6","132","73.0","3","42.2","159","41.9","2,191"
"Warwickshire","49.0","5,489","56.9","278","46.3","43","70.6","11","50.3","180","48.5","4,875"
"Wolverhampton","45.0","2,505","52.1","601","44.5","244","46.9","11","40.0","246","43.0","1,362"
"Worcestershire","46.4","5,348","48.0","176","39.9","29","64.0","11","45.7","152","46.4","4,937"
"Bedford","45.9","1,827","45.4","266","42.1","88","71.9","5","40.4","144","46.8","1,294"
"Cambridgeshire","47.7","5,635","50.7","169","40.0","54","63.1","32","50.1","207","47.6","5,032"
"Central Bedfordshire","45.5","2,591","53.7","54","39.7","53","60.7","7","43.0","105","45.5","2,347"
"Essex","46.7","14,378","61.2","348","50.3","398","65.4","57","48.7","556","46.0","12,778"
"Hertfordshire","49.7","12,734","55.6","851","46.6","468","66.4","68","50.5","736","49.2","10,391"
"Luton","43.5","2,433","46.5","1,040","42.3","267","65.4","4","39.6","150","41.4","780"
"Norfolk","45.0","7,864","54.3","72","44.3","72","61.8","32","48.5","167","44.8","7,418"
"Peterborough","42.1","2,237","44.1","388","43.6","73","62.9","8","41.0","115","41.6","1,608"
"Southend-on-Sea","50.4","2,103","59.9","127","60.4","128","66.1","22","53.1","87","48.7","1,715"
"Suffolk","44.7","6,718","52.4","93","38.0","50","63.0","7","43.6","251","44.7","6,201"
"Thurrock","44.4","1,633","53.7","49","48.9","180","70.9","10","45.9","83","43.2","1,276"
"Camden","48.3","1,513","46.4","277","44.9","318","70.9","7","49.3","191","49.7","577"
"City of London","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Hackney","49.4","2,002","50.1","270","46.9","750","70.1","9","48.2","153","52.2","648"
"Hammersmith and Fulham","50.9","1,313","52.4","102","43.1","341","70.6","4","46.2","137","56.6","578"
"Haringey","46.5","2,127","49.0","139","42.1","581","59.8","7","47.0","211","48.6","1,024"
"Islington","45.6","1,377","49.2","163","43.6","387","57.2","5","44.8","155","44.7","525"
"Kensington and Chelsea","55.0","739","55.4","18","50.1","126","68.3","5","54.5","112","56.9","302"
"Lambeth","44.3","1,949","48.8","76","41.9","990","62.4","23","43.0","244","47.6","504"
"Lewisham","44.2","2,247","44.2","132","42.3","952","58.4","34","45.8","285","45.2","675"
"Newham","48.4","3,523","52.4","1,618","45.3","863","63.9","14","44.6","213","43.2","597"
"Southwark","50.5","2,328","54.2","142","48.6","1,056","57.3","22","48.8","264","52.2","656"
"Tower Hamlets","47.2","2,623","49.9","1,769","46.7","306","51.0","6","44.5","113","40.7","300"
"Wandsworth","49.5","1,695","49.4","353","45.0","464","65.7","12","51.3","191","52.9","556"
"Westminster","52.6","1,535","54.7","186","49.6","351","63.5","18","53.4","158","56.2","385"
"Barking and Dagenham","46.7","2,185","53.0","428","47.4","601","48.0","3","45.6","124","43.3","970"
"Barnet","54.7","3,528","64.3","539","47.6","478","69.1","55","54.9","343","53.9","1,728"
"Bexley","49.0","3,141","60.4","203","54.9","567","60.6","48","50.6","185","45.8","2,086"
"Brent","49.0","2,908","51.9","894","42.4","698","66.1","4","45.8","195","46.7","507"
"Bromley","49.8","3,258","60.8","182","51.1","296","69.2","43","51.4","303","50.3","2,231"
"Croydon","45.0","3,579","51.5","462","43.0","1,031","64.5","10","47.2","503","45.6","1,338"
"Ealing","48.7","2,722","50.9","808","44.0","543","47.9","4","48.7","231","50.0","736"
"Enfield","46.2","3,487","56.5","277","44.2","854","67.6","9","47.7","315","45.2","1,747"
"Greenwich","45.9","2,166","50.5","188","46.2","637","59.3","19","45.7","216","44.6","1,008"
"Harrow","49.7","2,049","54.1","898","41.8","329","68.5","6","49.0","147","47.6","540"
"Havering","47.5","2,794","52.4","106","50.8","340","66.8","7","48.2","132","46.5","2,141"
"Hillingdon","47.1","3,075","53.1","659","43.9","350","35.4","4","48.6","324","44.4","1,482"
"Hounslow","48.0","2,641","54.2","746","46.4","353","71.3","7","48.3","184","47.9","958"
"Kingston upon Thames","55.5","1,517","62.0","333","45.5","40","79.6","22","54.9","128","53.0","915"
"Merton","50.2","1,420","52.7","230","46.8","280","56.6","7","51.7","177","50.5","672"
"Redbridge","51.2","3,458","55.3","1,792","44.8","463","59.7","22","48.8","243","46.9","856"
"Richmond upon Thames","52.7","1,374","51.8","90","39.2","61","62.3","8","54.0","147","53.4","1,018"
"Sutton","56.2","2,759","68.7","551","53.5","226","76.4","45","58.7","228","51.4","1,644"
"Waltham Forest","45.5","2,486","47.9","681","42.0","567","51.1","19","44.2","235","46.0","883"
"Bracknell Forest","46.3","1,119","51.1","52","!","!","!","!","42.9","46","46.2","989"
"Brighton and Hove","46.8","2,197","49.2","60","45.5","43","69.7","6","46.3","164","46.6","1,847"
"Buckinghamshire","52.9","5,599","53.7","979","47.9","171","69.9","27","52.7","305","52.8","4,016"
"East Sussex","45.3","4,812","52.5","82","39.3","39","54.9","16","46.8","184","45.1","4,395"
"Hampshire","47.0","12,740","52.3","332","44.1","89","57.3","36","48.2","363","46.8","11,749"
"Isle of Wight","40.1","1,251","54.5","5","!","!","!","!","45.7","30","39.9","1,196"
"Kent","46.3","15,407","57.6","566","52.7","345","68.1","65","51.1","615","45.4","13,538"
"Medway","45.7","2,910","57.0","134","51.5","159","63.4","10","48.4","139","44.4","2,415"
"Milton Keynes","44.9","2,841","49.5","248","44.6","352","63.2","15","44.3","167","44.3","1,985"
"Oxfordshire","47.6","5,945","46.3","310","45.2","114","60.3","28","46.2","320","47.7","5,077"
"Portsmouth","42.3","1,627","56.2","82","48.0","43","69.7","5","46.8","49","41.0","1,412"
"Reading","49.6","1,134","56.5","222","41.7","105","80.8","16","46.6","105","48.9","642"
"Slough","52.2","1,648","55.3","839","!","!","!","!","50.1","122","47.7","456"
"Southampton","44.2","1,845","50.9","191","43.0","42","68.6","5","47.3","99","43.1","1,489"
"Surrey","50.0","10,067","54.0","592","48.5","197","67.1","45","51.8","467","49.5","8,621"
"West Berkshire","47.4","1,790","53.5","46","40.4","29","69.9","6","47.9","76","48.0","1,587"
"West Sussex","46.8","7,782","49.5","329","39.6","97","53.0","18","48.8","252","46.7","7,007"
"Windsor and Maidenhead","49.4","1,547","49.3","212","49.4","27","43.4","9","45.2","91","49.9","1,159"
"Wokingham","51.7","1,642","53.8","182","46.1","59","69.2","7","49.7","89","51.7","1,270"
"Bath and North East Somerset","47.5","2,001","56.3","33","37.0","22","55.8","5","44.5","72","47.7","1,838"
"Bournemouth","48.0","1,611","55.7","35","44.7","19","59.1","11","48.6","75","47.7","1,428"
"Bristol, City of","44.0","3,236","46.8","229","39.4","326","52.2","12","44.8","244","44.3","2,376"
"Cornwall","45.7","5,133","45.4","21","!","!","!","!","48.2","98","45.7","4,928"
"Devon","46.5","6,704","55.8","32","25.2","5","51.8","21","51.5","96","46.4","6,265"
"Dorset","45.2","3,988","49.1","30","44.3","3","55.0","11","46.7","77","45.1","3,792"
"Gloucestershire","48.4","6,165","56.0","162","40.7","77","60.7","17","48.4","215","48.3","5,633"
"Isles of Scilly","45.0","19","N/A","0","N/A","0","!","!","!","!","44.8","18"
"North Somerset","46.0","2,086","54.9","21","45.5","12","46.3","5","50.8","41","45.8","1,996"
"Plymouth","44.5","2,515","52.6","22","40.9","18","64.4","5","44.6","40","44.3","2,371"
"Poole","51.5","1,341","60.2","31","49.0","12","62.4","4","55.8","49","51.2","1,222"
"Somerset","45.7","4,837","56.3","45","39.8","18","72.7","9","47.8","90","45.6","4,648"
"South Gloucestershire","43.7","2,586","49.3","72","45.2","36","62.7","5","42.8","107","43.6","2,337"
"Swindon","42.9","2,038","43.4","201","48.7","39","59.8","5","44.8","79","42.6","1,667"
"Torbay","49.3","1,316","!","13","!","!","!","!","!","!","49.7","1,186"
"Wiltshire","46.6","4,732","60.4","68","44.0","32","60.2","17","52.9","113","46.7","4,225"
