"","All","","","Asian","","","Black","","","Chinese","","","Mixed","","","White","",""
"Halton","44.9","41.6","48.0","59.8","!","!","!","!","!","!","N/A","!","48.0","51.4","46.5","44.8","41.3","48.1"
"Knowsley","37.6","35.6","39.8","38.4","!","!","!","!","N/A","!","!","!","40.5","39.8","41.6","37.5","35.5","39.7"
"Lancashire","45.7","42.9","48.6","46.8","44.9","48.8","39.7","32.8","45.2","64.4","62.9","66.2","47.2","45.4","49.0","45.4","42.5","48.5"
"Liverpool","44.2","41.7","46.6","53.9","56.3","51.5","43.7","39.7","47.4","60.7","62.2","59.3","46.3","43.6","48.3","43.5","40.9","46.1"
"Manchester","43.4","40.1","46.7","48.4","45.2","51.5","43.2","40.1","46.4","55.4","53.9","57.5","42.8","38.5","46.6","40.5","37.0","44.1"
"Oldham","43.6","40.8","46.5","44.3","40.8","48.2","43.2","39.6","47.3","59.7","51.9","67.5","41.7","40.3","43.2","43.4","40.9","46.0"
"Rochdale","42.5","40.2","45.1","44.0","!","!","40.8","!","!","58.5","!","!","38.5","!","!","42.3","39.9","44.8"
"Salford","41.7","38.0","45.3","!","!","!","!","!","!","!","N/A","!","44.6","41.9","47.1","41.2","37.7","44.7"
"Sefton","44.9","43.0","46.8","54.2","51.3","57.0","41.5","39.8","42.9","58.4","53.3","62.6","45.8","40.9","50.0","45.5","43.4","47.8"
"St. Helens","43.8","41.7","45.8","!","!","!","!","!","!","58.5","!","!","47.1","42.4","51.8","44.4","42.2","46.5"
"Stockport","48.2","46.0","50.5","51.1","50.3","52.1","47.1","45.3","48.1","53.8","50.4","68.8","48.1","46.4","49.7","47.9","45.4","50.4"
"Tameside","44.8","42.7","46.9","48.9","46.9","50.9","41.2","!","!","64.8","!","!","45.7","42.7","48.1","44.2","42.1","46.3"
"Trafford","55.6","52.9","58.3","60.4","57.1","64.4","53.7","53.8","53.6","69.9","66.2","74.3","54.9","52.9","57.5","54.8","52.1","57.5"
"Warrington","47.0","44.3","49.9","55.6","49.9","60.8","40.4","!","!","51.6","!","!","47.5","37.7","55.0","47.0","44.4","49.7"
"Wigan","46.2","43.3","49.2","48.8","48.6","49.4","48.3","42.9","59.6","61.7","57.6","69.8","49.0","47.1","50.8","46.1","43.1","49.2"
"Wirral","48.1","45.5","50.8","61.1","59.7","61.9","50.4","48.8","55.3","60.0","54.0","70.4","54.4","51.4","57.5","47.7","45.1","50.3"
"Barnsley","44.0","41.7","46.4","!","!","!","49.3","44.0","53.6","!","!","!","48.5","47.1","49.5","43.9","41.7","46.3"
"Bradford","42.4","39.8","44.9","43.0","40.3","45.8","43.7","43.7","43.7","57.2","47.0","61.6","40.3","36.2","43.8","42.0","39.8","44.2"
"Calderdale","48.2","46.2","50.4","49.1","45.8","53.2","46.4","!","!","67.8","!","!","45.7","44.9","46.5","48.1","46.3","50.0"
"Doncaster","43.6","41.6","45.7","51.0","48.9","53.2","50.7","43.5","57.6","68.1","73.2","63.8","43.0","40.4","45.9","43.2","41.2","45.1"
"East Riding of Yorkshire","47.2","45.0","49.4","!","!","!","53.1","!","!","!","!","!","49.8","45.5","51.9","47.0","44.9","49.2"
"Kingston upon Hull, City of","42.6","40.4","45.1","56.0","!","!","49.2","!","!","67.7","!","!","45.5","41.3","50.8","42.5","40.2","45.2"
"Kirklees","45.3","42.5","48.3","45.0","41.9","48.2","40.9","41.3","40.6","67.1","62.7","69.8","39.3","35.9","42.6","46.0","43.2","48.9"
"Leeds","45.1","43.1","47.2","43.9","41.8","46.3","45.0","42.9","46.9","61.3","58.4","65.9","43.9","41.8","46.3","46.1","44.2","48.1"
"North East Lincolnshire","43.8","42.0","45.7","!","38.4","!","!","55.2","!","!","N/A","!","47.5","52.9","45.9","44.1","42.1","46.2"
"North Lincolnshire","44.8","41.8","47.8","48.9","42.1","55.3","!","!","!","!","!","!","52.4","47.2","57.3","44.5","41.7","47.3"
"North Yorkshire","49.6","46.7","52.6","58.5","57.1","60.1","49.4","!","!","55.0","!","!","51.8","47.3","56.0","49.4","46.5","52.4"
"Rotherham","45.0","42.6","47.4","44.7","43.9","45.4","49.1","!","!","44.7","!","!","47.8","45.4","50.2","44.9","42.6","47.3"
"Sheffield","44.6","42.6","46.8","46.9","45.4","48.4","42.9","40.6","45.6","57.1","60.5","53.7","41.7","39.1","44.4","44.6","42.5","46.9"
"Wakefield","45.5","43.3","47.6","49.3","48.5","50.1","41.2","34.9","46.6","59.1","59.3","58.9","45.1","42.7","47.4","45.4","43.3","47.5"
"York","49.3","46.4","52.4","57.0","56.5","58.1","51.6","44.6","58.5","55.5","39.3","67.7","49.4","47.2","53.6","49.0","46.0","52.2"
"Derby","42.6","40.2","45.3","46.6","44.9","48.8","!","32.4","!","!","49.0","!","39.1","35.5","42.7","42.0","39.5","44.8"
"Derbyshire","45.6","43.1","48.2","44.0","!","!","!","!","!","!","!","!","48.7","48.3","49.0","45.5","43.0","48.1"
"Leicester","42.8","40.0","46.0","47.3","44.6","50.4","41.0","36.8","45.4","!","!","!","!","!","!","38.1","35.1","41.4"
"Leicestershire","45.7","43.2","48.3","54.9","51.5","58.5","43.9","40.5","49.4","61.8","58.2","64.4","44.2","41.8","47.1","44.9","42.5","47.4"
"Lincolnshire","46.4","44.0","48.8","61.4","60.0","62.6","45.4","!","!","62.8","!","!","50.7","44.5","57.8","46.0","43.8","48.4"
"Northamptonshire","44.7","42.7","46.8","50.5","50.8","50.0","45.4","42.0","48.8","67.8","67.9","67.7","44.5","40.8","48.1","44.3","42.3","46.3"
"Nottingham","40.3","37.8","42.8","46.4","45.5","47.1","40.6","36.8","44.7","57.0","51.6","62.3","39.1","36.7","41.4","38.5","36.2","41.1"
"Nottinghamshire","47.8","45.2","50.5","55.7","51.9","59.5","45.5","41.4","49.8","64.7","55.9","71.0","49.2","44.8","53.5","47.6","45.1","50.1"
"Rutland","52.2","51.5","52.9","62.1","!","!","!","!","!","!","!","!","!","!","!","52.1","51.4","52.9"
"Birmingham","46.1","43.4","48.7","47.2","!","!","43.5","40.7","46.3","61.6","!","!","45.9","42.6","49.3","45.6","42.6","48.4"
"Coventry","42.8","39.7","45.9","48.6","45.2","51.9","43.8","41.2","46.3","69.9","69.2","70.4","39.7","36.1","43.4","41.2","38.1","44.3"
"Dudley","43.7","41.8","45.9","43.2","41.3","45.2","43.2","38.9","47.3","61.4","49.5","77.3","43.5","41.3","46.3","43.9","42.1","45.9"
"Herefordshire, County of","45.7","43.1","48.2","62.1","!","!","38.3","!","!","!","!","!","!","!","!","45.4","42.8","48.0"
"Sandwell","42.4","40.5","44.3","44.8","42.5","47.5","40.2","37.8","42.5","!","!","!","!","!","!","41.6","40.0","43.1"
"Shropshire","46.4","43.8","49.1","49.6","!","!","55.7","!","!","62.0","!","!","46.9","!","!","46.3","43.8","48.9"
"Solihull","47.1","44.6","49.6","52.6","50.0","55.0","45.9","42.5","48.4","68.1","64.7","71.6","45.3","42.7","47.9","46.8","44.4","49.2"
"Staffordshire","44.9","41.9","47.9","47.1","44.1","50.1","41.5","39.0","43.4","59.0","62.6","55.8","43.3","40.2","46.9","44.8","41.9","47.9"
"Stoke-on-Trent","43.3","39.6","46.8","44.9","41.3","48.2","46.0","41.8","50.3","59.8","54.5","63.0","42.9","39.8","45.6","43.0","39.5","46.4"
"Telford and Wrekin","46.4","44.5","48.6","48.6","!","!","47.3","50.3","44.2","64.0","!","!","47.6","45.0","50.2","46.0","43.8","48.4"
"Walsall","43.2","41.0","45.3","47.6","45.3","50.4","43.6","40.2","47.3","73.0","!","!","42.2","!","!","41.9","39.8","43.9"
"Warwickshire","49.0","46.5","51.5","56.9","55.0","59.4","46.3","49.2","44.3","70.6","64.2","74.2","50.3","49.9","50.7","48.5","45.8","51.3"
"Wolverhampton","45.0","39.9","49.8","52.1","47.4","56.3","44.5","39.7","49.9","46.9","38.2","54.2","40.0","36.2","43.9","43.0","37.5","48.2"
"Worcestershire","46.4","43.8","49.1","48.0","45.3","50.6","39.9","40.0","39.8","64.0","65.5","62.1","45.7","43.8","47.4","46.4","43.7","49.1"
"Bedford","45.9","42.9","48.9","45.4","42.1","48.9","42.1","!","!","71.9","!","!","40.4","37.7","43.4","46.8","43.9","49.5"
"Cambridgeshire","47.7","44.9","50.6","50.7","48.7","52.8","40.0","37.5","44.9","63.1","61.6","66.0","50.1","48.4","52.1","47.6","44.7","50.6"
"Central Bedfordshire","45.5","42.5","48.9","53.7","49.3","58.3","39.7","31.0","55.3","60.7","67.5","55.6","43.0","42.6","43.5","45.5","42.5","48.9"
"Essex","46.7","43.9","49.4","61.2","59.3","63.8","50.3","45.9","53.9","65.4","63.3","67.9","48.7","47.2","50.1","46.0","43.1","48.8"
"Hertfordshire","49.7","46.7","52.8","55.6","52.0","59.2","46.6","42.8","50.3","66.4","64.3","70.9","50.5","46.1","54.5","49.2","46.4","52.1"
"Luton","43.5","41.1","45.9","46.5","43.9","49.2","42.3","!","!","65.4","!","!","39.6","39.0","40.4","41.4","39.2","43.6"
"Norfolk","45.0","42.5","47.5","54.3","50.6","58.0","44.3","39.5","49.6","61.8","58.0","64.8","48.5","46.2","51.0","44.8","42.4","47.3"
"Peterborough","42.1","39.9","44.5","44.1","42.4","46.0","43.6","43.4","43.8","62.9","66.2","60.9","41.0","36.5","45.3","41.6","39.1","44.1"
"Southend-on-Sea","50.4","48.7","52.2","59.9","59.6","60.2","60.4","59.3","61.5","66.1","62.5","73.7","53.1","50.2","55.8","48.7","46.9","50.6"
"Suffolk","44.7","42.2","47.2","52.4","49.1","55.4","38.0","!","!","63.0","!","!","43.6","40.1","47.8","44.7","42.4","47.0"
"Thurrock","44.4","41.9","46.9","53.7","53.1","54.3","48.9","46.0","51.9","70.9","54.0","78.1","45.9","44.6","47.4","43.2","40.7","45.7"
"Camden","48.3","44.3","51.2","46.4","44.6","48.3","44.9","37.6","49.0","70.9","!","!","49.3","!","!","49.7","46.2","52.2"
"City of London","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Hackney","49.4","46.2","52.1","50.1","46.9","52.9","46.9","43.2","50.0","70.1","64.0","77.8","48.2","46.6","49.2","52.2","48.9","55.1"
"Hammersmith and Fulham","50.9","47.2","54.8","52.4","49.4","56.1","43.1","41.4","45.2","70.6","!","!","46.2","!","!","56.6","53.7","59.0"
"Haringey","46.5","44.6","48.6","49.0","47.7","50.1","42.1","38.2","46.1","59.8","!","!","47.0","!","!","48.6","47.7","49.7"
"Islington","45.6","43.8","47.5","49.2","47.4","50.8","43.6","40.0","47.1","57.2","!","!","44.8","!","!","44.7","43.6","46.0"
"Kensington and Chelsea","55.0","55.5","54.2","55.4","48.8","62.0","50.1","49.7","50.6","68.3","!","!","54.5","!","!","56.9","58.6","53.9"
"Lambeth","44.3","40.9","48.0","48.8","45.4","55.0","41.9","37.0","46.3","62.4","60.9","65.9","43.0","39.5","47.3","47.6","45.3","50.8"
"Lewisham","44.2","41.5","47.2","44.2","41.4","47.2","42.3","39.1","45.7","58.4","56.5","61.8","45.8","43.9","48.1","45.2","42.1","48.8"
"Newham","48.4","46.1","50.7","52.4","50.7","54.2","45.3","42.6","48.0","63.9","63.9","63.7","44.6","41.5","47.8","43.2","39.8","46.5"
"Southwark","50.5","49.0","51.8","54.2","52.6","55.7","48.6","46.4","50.7","57.3","55.2","59.9","48.8","47.6","49.8","52.2","52.3","52.2"
"Tower Hamlets","47.2","44.1","50.3","49.9","46.6","53.2","46.7","43.1","50.1","51.0","39.5","62.5","44.5","39.0","49.8","40.7","38.9","42.6"
"Wandsworth","49.5","48.2","51.1","49.4","50.1","48.5","45.0","42.5","47.9","65.7","75.1","58.9","51.3","50.2","52.4","52.9","51.1","55.4"
"Westminster","52.6","47.7","57.0","54.7","53.0","57.2","49.6","45.1","54.1","63.5","61.2","64.6","53.4","46.9","58.8","56.2","46.3","62.0"
"Barking and Dagenham","46.7","43.5","50.1","53.0","50.3","55.9","47.4","42.7","52.3","48.0","!","!","45.6","!","!","43.3","40.9","46.1"
"Barnet","54.7","52.3","57.2","64.3","65.3","63.1","47.6","44.1","50.8","69.1","69.0","69.3","54.9","51.1","58.8","53.9","50.8","57.2"
"Bexley","49.0","46.5","51.5","60.4","56.2","63.9","54.9","51.5","57.9","60.6","57.0","66.6","50.6","49.4","51.4","45.8","43.8","48.0"
"Brent","49.0","46.8","51.1","51.9","49.8","54.1","42.4","39.5","45.1","66.1","!","!","45.8","!","!","46.7","43.7","49.5"
"Bromley","49.8","46.9","52.5","60.8","59.9","61.6","51.1","47.6","54.1","69.2","74.0","64.6","51.4","47.3","54.6","50.3","47.6","52.8"
"Croydon","45.0","41.3","48.5","51.5","48.0","55.3","43.0","39.3","46.6","64.5","67.1","61.9","47.2","44.8","49.1","45.6","41.7","49.0"
"Ealing","48.7","46.1","51.5","50.9","48.6","53.4","44.0","40.4","47.6","47.9","!","!","48.7","!","!","50.0","47.5","52.7"
"Enfield","46.2","44.1","48.6","56.5","54.9","58.4","44.2","41.3","47.2","67.6","75.1","58.2","47.7","47.6","47.7","45.2","43.0","47.7"
"Greenwich","45.9","43.3","48.8","50.5","47.9","53.1","46.2","44.0","48.5","59.3","57.8","60.0","45.7","44.2","47.3","44.6","41.7","48.0"
"Harrow","49.7","46.8","52.6","54.1","51.7","56.8","41.8","38.5","44.9","68.5","N/A","68.5","49.0","48.5","49.6","47.6","43.2","51.7"
"Havering","47.5","45.6","49.5","52.4","49.0","54.7","50.8","48.2","53.5","66.8","!","!","48.2","!","!","46.5","44.9","48.3"
"Hillingdon","47.1","44.2","50.4","53.1","50.7","56.0","43.9","40.7","47.7","35.4","!","!","48.6","!","!","44.4","41.1","48.0"
"Hounslow","48.0","45.6","50.7","54.2","51.3","57.6","46.4","44.0","48.9","71.3","69.8","73.3","48.3","45.2","52.0","47.9","46.8","49.0"
"Kingston upon Thames","55.5","53.3","57.6","62.0","59.2","64.4","45.5","44.0","47.0","79.6","78.8","80.4","54.9","56.6","53.7","53.0","50.9","54.9"
"Merton","50.2","47.5","53.0","52.7","53.4","51.8","46.8","42.5","50.7","56.6","54.4","59.5","51.7","47.1","56.2","50.5","47.7","53.4"
"Redbridge","51.2","48.2","54.4","55.3","52.6","58.2","44.8","40.4","49.1","59.7","58.6","62.2","48.8","46.3","51.9","46.9","44.1","50.0"
"Richmond upon Thames","52.7","49.3","56.2","51.8","48.8","55.1","39.2","36.7","42.2","62.3","53.0","67.9","54.0","50.5","57.9","53.4","50.0","56.6"
"Sutton","56.2","54.6","57.8","68.7","68.5","68.9","53.5","47.6","59.9","76.4","75.2","77.7","58.7","57.5","59.8","51.4","49.9","53.0"
"Waltham Forest","45.5","43.0","47.9","47.9","46.8","49.0","42.0","39.2","44.7","51.1","40.7","65.3","44.2","42.6","46.2","46.0","42.6","49.4"
"Bracknell Forest","46.3","44.2","48.5","51.1","!","!","!","44.9","!","!","!","!","42.9","39.7","45.4","46.2","44.0","48.4"
"Brighton and Hove","46.8","43.9","50.0","49.2","44.1","55.4","45.5","40.3","51.5","69.7","67.3","72.0","46.3","43.7","48.7","46.6","43.8","49.8"
"Buckinghamshire","52.9","50.0","56.1","53.7","49.9","57.6","47.9","47.3","48.7","69.9","67.5","73.0","52.7","49.1","56.6","52.8","49.9","55.8"
"East Sussex","45.3","42.7","48.1","52.5","47.4","56.7","39.3","37.8","42.1","54.9","48.9","60.9","46.8","41.0","53.0","45.1","42.8","47.7"
"Hampshire","47.0","44.2","50.0","52.3","48.6","57.0","44.1","39.6","49.0","57.3","55.3","59.1","48.2","45.5","50.9","46.8","44.0","49.8"
"Isle of Wight","40.1","37.7","43.0","54.5","!","!","!","!","!","!","!","!","45.7","47.1","44.2","39.9","37.4","42.8"
"Kent","46.3","43.7","49.0","57.6","56.6","58.7","52.7","48.4","56.8","68.1","68.3","68.0","51.1","46.8","55.3","45.4","42.9","48.0"
"Medway","45.7","44.0","47.4","57.0","55.5","58.3","51.5","!","!","63.4","!","!","48.4","44.5","52.8","44.4","42.8","46.1"
"Milton Keynes","44.9","42.6","47.5","49.5","48.1","50.8","44.6","42.0","47.3","63.2","63.4","63.0","44.3","42.7","46.5","44.3","41.7","47.0"
"Oxfordshire","47.6","44.8","50.4","46.3","44.3","48.2","45.2","43.3","47.9","60.3","54.8","65.1","46.2","43.3","49.7","47.7","44.9","50.5"
"Portsmouth","42.3","39.2","45.9","56.2","52.8","59.2","48.0","!","!","69.7","!","!","46.8","43.3","50.4","41.0","38.0","44.4"
"Reading","49.6","47.8","51.5","56.5","53.4","58.9","41.7","37.0","44.9","80.8","79.5","82.5","46.6","42.0","51.2","48.9","48.2","49.8"
"Slough","52.2","49.0","55.4","55.3","52.8","58.1","!","!","!","!","!","!","50.1","49.4","50.7","47.7","42.7","52.6"
"Southampton","44.2","41.5","46.8","50.9","47.3","54.5","43.0","!","!","68.6","!","!","47.3","43.4","50.5","43.1","40.7","45.4"
"Surrey","50.0","47.4","52.7","54.0","50.5","57.8","48.5","44.9","52.3","67.1","64.7","69.1","51.8","50.1","53.7","49.5","47.1","52.1"
"West Berkshire","47.4","44.5","50.5","53.5","!","!","40.4","!","!","69.9","!","!","47.9","40.8","54.0","48.0","45.2","51.1"
"West Sussex","46.8","43.9","49.9","49.5","46.2","52.9","39.6","35.4","44.9","53.0","57.0","50.4","48.8","46.1","52.2","46.7","43.8","49.8"
"Windsor and Maidenhead","49.4","47.1","51.5","49.3","45.1","53.2","49.4","44.1","53.0","43.4","34.0","51.0","45.2","43.8","45.9","49.9","47.9","51.7"
"Wokingham","51.7","48.8","54.8","53.8","51.2","57.2","46.1","!","!","69.2","!","!","49.7","49.7","49.7","51.7","48.6","54.9"
"Bath and North East Somerset","47.5","43.3","51.8","56.3","53.4","59.4","37.0","!","!","55.8","!","!","44.5","39.4","47.4","47.7","43.5","52.0"
"Bournemouth","48.0","45.7","50.5","55.7","54.0","57.8","44.7","42.5","46.3","59.1","72.3","43.4","48.6","49.3","47.4","47.7","45.2","50.4"
"Bristol, City of","44.0","40.7","47.4","46.8","44.3","49.4","39.4","39.2","39.7","52.2","48.9","56.7","44.8","40.3","48.3","44.3","40.5","48.2"
"Cornwall","45.7","43.3","48.3","45.4","54.2","39.9","!","!","!","!","!","!","48.2","43.8","51.8","45.7","43.3","48.3"
"Devon","46.5","43.8","49.4","55.8","50.0","59.8","25.2","!","!","51.8","!","!","51.5","49.1","53.7","46.4","43.7","49.3"
"Dorset","45.2","42.5","48.0","49.1","48.2","49.6","44.3","N/A","44.3","55.0","56.2","53.9","46.7","42.5","51.7","45.1","42.4","48.0"
"Gloucestershire","48.4","45.8","51.2","56.0","55.6","56.5","40.7","36.9","43.3","60.7","66.8","57.4","48.4","45.4","51.3","48.3","45.6","51.2"
"Isles of Scilly","45.0","37.7","51.5","N/A","N/A","N/A","N/A","N/A","N/A","!","!","!","!","!","!","44.8","36.4","51.5"
"North Somerset","46.0","43.3","48.7","54.9","51.7","62.9","45.5","!","!","46.3","!","!","50.8","50.0","51.9","45.8","43.1","48.5"
"Plymouth","44.5","42.0","47.0","52.6","51.0","54.0","40.9","!","!","64.4","!","!","44.6","37.3","51.9","44.3","42.0","46.7"
"Poole","51.5","48.7","54.5","60.2","53.4","68.5","49.0","!","!","62.4","!","!","55.8","54.0","57.4","51.2","48.5","54.0"
"Somerset","45.7","43.0","48.5","56.3","52.3","60.5","39.8","33.8","47.3","72.7","73.1","72.0","47.8","45.1","51.5","45.6","42.9","48.3"
"South Gloucestershire","43.7","41.1","46.6","49.3","47.3","52.3","45.2","!","!","62.7","!","!","42.8","39.0","46.6","43.6","40.8","46.5"
"Swindon","42.9","39.8","46.1","43.4","40.3","46.4","48.7","!","!","59.8","!","!","44.8","40.9","48.0","42.6","39.6","45.7"
"Torbay","49.3","47.0","51.8","!","!","!","!","N/A","!","!","!","!","!","!","!","49.7","47.5","52.0"
"Wiltshire","46.6","44.0","49.4","60.4","53.0","65.8","44.0","46.4","41.2","60.2","56.2","67.4","52.9","51.7","54.3","46.7","44.2","49.2"
"All - England","46.4","43.8","49.1","50.2","47.8","52.7","45.0","41.7","48.3","63.0","61.0","65.1","47.1","44.4","49.9","46.0","43.4","48.7"
