"Title","Average length of custodial sentences"
"Location","England and Wales"
"Time period","2009 to 2016"
"Data source","Ministry of Justice"
"Data source link","https://www.gov.uk/government/collections/criminal-justice-statistics"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated","2018-03-02"
"Measure","Time","Time_type","Ethnicity","Ethnicity_type","Court type","Age group","Age group_type","Sex","Sex_type","Value"," Numerator "," Denominator "
"Average Custodial Sentence length (months per person)","2012","Year","Black","ONS 5+1 2001","All","All","Juveniles/Young adults/Adults/All","All","Male/Female/Not known/All","23","164,595","7,036"
"Average Custodial Sentence length (months per person)","2013","Year","Black","ONS 5+1 2001","All","All","Juveniles/Young adults/Adults/All","All","Male/Female/Not known/All","24","153,379","6,322"
"Average Custodial Sentence length (months per person)","2014","Year","Black","ONS 5+1 2001","All","All","Juveniles/Young adults/Adults/All","All","Male/Female/Not known/All","25","150,603","6,094"
"Average Custodial Sentence length (months per person)","2015","Year","Black","ONS 5+1 2001","All","All","Juveniles/Young adults/Adults/All","All","Male/Female/Not known/All","25","149,953","5,958"
"Average Custodial Sentence length (months per person)","2016","Year","Black","ONS 5+1 2001","All","All","Juveniles/Young adults/Adults/All","All","Male/Female/Not known/All","24","148,024","6,173"
"Average Custodial Sentence length (months per person)","2009","Year","Asian","ONS 5+1 2001","All","All","Juveniles/Young adults/Adults/All","All","Male/Female/Not known/All","19","75,853","3,895"
"Average Custodial Sentence length (months per person)","2010","Year","Asian","ONS 5+1 2001","All","All","Juveniles/Young adults/Adults/All","All","Male/Female/Not known/All","20","90,031","4,531"
"Average Custodial Sentence length (months per person)","2011","Year","Asian","ONS 5+1 2001","All","All","Juveniles/Young adults/Adults/All","All","Male/Female/Not known/All","22","105,703","4,811"
"Average Custodial Sentence length (months per person)","2012","Year","Asian","ONS 5+1 2001","All","All","Juveniles/Young adults/Adults/All","All","Male/Female/Not known/All","22","97,887","4,369"
"Average Custodial Sentence length (months per person)","2013","Year","Asian","ONS 5+1 2001","All","All","Juveniles/Young adults/Adults/All","All","Male/Female/Not known/All","23","92,423","4,047"
"Average Custodial Sentence length (months per person)","2014","Year","Asian","ONS 5+1 2001","All","All","Juveniles/Young adults/Adults/All","All","Male/Female/Not known/All","25","97,340","3,908"
"Average Custodial Sentence length (months per person)","2015","Year","Asian","ONS 5+1 2001","All","All","Juveniles/Young adults/Adults/All","All","Male/Female/Not known/All","25","98,726","3,964"
"Average Custodial Sentence length (months per person)","2016","Year","Asian","ONS 5+1 2001","All","All","Juveniles/Young adults/Adults/All","All","Male/Female/Not known/All","25","99,870","4,021"
"Average Custodial Sentence length (months per person)","2009","Year","Mixed","ONS 5+1 2001","All","All","Juveniles/Young adults/Adults/All","All","Male/Female/Not known/All","16","29,477","1,832"
"Average Custodial Sentence length (months per person)","2010","Year","Mixed","ONS 5+1 2001","All","All","Juveniles/Young adults/Adults/All","All","Male/Female/Not known/All","17","37,353","2,159"
"Average Custodial Sentence length (months per person)","2011","Year","Mixed","ONS 5+1 2001","All","All","Juveniles/Young adults/Adults/All","All","Male/Female/Not known/All","18","44,895","2,519"
"Average Custodial Sentence length (months per person)","2012","Year","Mixed","ONS 5+1 2001","All","All","Juveniles/Young adults/Adults/All","All","Male/Female/Not known/All","20","44,882","2,277"
"Average Custodial Sentence length (months per person)","2013","Year","Mixed","ONS 5+1 2001","All","All","Juveniles/Young adults/Adults/All","All","Male/Female/Not known/All","19","42,438","2,186"
"Average Custodial Sentence length (months per person)","2014","Year","Mixed","ONS 5+1 2001","All","All","Juveniles/Young adults/Adults/All","All","Male/Female/Not known/All","20","39,454","1,990"
"Average Custodial Sentence length (months per person)","2015","Year","Mixed","ONS 5+1 2001","All","All","Juveniles/Young adults/Adults/All","All","Male/Female/Not known/All","20","39,483","1,979"
"Average Custodial Sentence length (months per person)","2016","Year","Mixed","ONS 5+1 2001","All","All","Juveniles/Young adults/Adults/All","All","Male/Female/Not known/All","21","39,384","1,906"
"Average Custodial Sentence length (months per person)","2009","Year","Chinese and other","ONS 5+1 2001","All","All","Juveniles/Young adults/Adults/All","All","Male/Female/Not known/All","17","24,936","1,491"
"Average Custodial Sentence length (months per person)","2010","Year","Chinese and other","ONS 5+1 2001","All","All","Juveniles/Young adults/Adults/All","All","Male/Female/Not known/All","17","27,319","1,642"
"Average Custodial Sentence length (months per person)","2011","Year","Chinese and other","ONS 5+1 2001","All","All","Juveniles/Young adults/Adults/All","All","Male/Female/Not known/All","17","25,557","1,504"
"Average Custodial Sentence length (months per person)","2012","Year","Chinese and other","ONS 5+1 2001","All","All","Juveniles/Young adults/Adults/All","All","Male/Female/Not known/All","17","23,663","1,376"
"Average Custodial Sentence length (months per person)","2013","Year","Chinese and other","ONS 5+1 2001","All","All","Juveniles/Young adults/Adults/All","All","Male/Female/Not known/All","19","23,955","1,287"
"Average Custodial Sentence length (months per person)","2014","Year","Chinese and other","ONS 5+1 2001","All","All","Juveniles/Young adults/Adults/All","All","Male/Female/Not known/All","19","19,905","1,038"
"Average Custodial Sentence length (months per person)","2015","Year","Chinese and other","ONS 5+1 2001","All","All","Juveniles/Young adults/Adults/All","All","Male/Female/Not known/All","21","21,699","1,014"
"Average Custodial Sentence length (months per person)","2016","Year","Chinese and other","ONS 5+1 2001","All","All","Juveniles/Young adults/Adults/All","All","Male/Female/Not known/All","23","19,054","823"
