"Title","Maths attainment for children aged 10 to 11 by ethnicity and area"
"Location","England"
"Time period","2016/17"
"Data source","Key stage 2 statistics"
"Data source link","https://www.gov.uk/government/statistics/national-curriculum-assessments-key-stage-2-2017-revised"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated","14/12/2017"

"Standard Ethnicity","Local authority","%"
"Black","Buckinghamshire","71"
"Black","Bury","71"
"Black","Calderdale","57"
"Black","Cambridgeshire","66"
"Black","Camden","82"
"Black","Central Bedfordshire","72"
"Black","Cheshire East","64"
"Black","Cheshire West and Chester","63"
"Black","City of London","!"
"Black","Cornwall","!"
"Black","County Durham","70"
"Black","Coventry","72"
"Black","Croydon","71"
"Black","Cumbria","!"
"Black","Darlington","!"
"Black","Derby","68"
"Black","Derbyshire","84"
"Black","Devon","64"
"Black","Doncaster","61"
"Black","Dorset","!"
"Black","Dudley","68"
"Black","Ealing","76"
"Black","East Riding of Yorkshire","!"
"Black","East Sussex","58"
"Black","Enfield","73"
"Black","Essex","79"
"Black","Gateshead","71"
"Black","Gloucestershire","68"
"Black","Greenwich","82"
"Black","Hackney","78"
"Black","Halton","!"
"Black","Hammersmith and Fulham","85"
"Black","Hampshire","81"
"Black","Haringey","73"
"Black","Harrow","73"
"Black","Hartlepool","!"
"Black","Havering","85"
"Black","Herefordshire, County of","!"
"Black","Hertfordshire","74"
"Black","Hillingdon","74"
"Black","Hounslow","76"
"Black","Isle of Wight","!"
"Black","Isles of Scilly","N/A"
"Black","Islington","76"
"Black","Kensington and Chelsea","84"
"Black","Kent","82"
"Black","Kingston upon Hull, City of","74"
"Black","Kingston upon Thames","74"
"Black","Kirklees","61"
"Black","Knowsley","!"
"Black","Lambeth","81"
"Black","Lancashire","71"
"Black","Leeds","66"
"Black","Leicester","79"
"Black","Leicestershire","73"
"Black","Lewisham","70"
"Black","Lincolnshire","79"
"Black","Liverpool","73"
"Black","Luton","70"
"Black","Manchester","76"
"Black","Medway","82"
"Black","Merton","75"
"Black","Middlesbrough","67"
"Black","Milton Keynes","75"
"Black","Newcastle upon Tyne","78"
"Black","Newham","83"
"Black","Norfolk","50"
"Black","North East Lincolnshire","!"
"Black","North Lincolnshire","46"
"Black","North Somerset","58"
"Black","North Tyneside","86"
"Black","North Yorkshire","62"
"Black","Northamptonshire","67"
"Black","Northumberland","!"
"Black","Nottingham","75"
"Black","Nottinghamshire","63"
"Black","Oldham","82"
"Black","Oxfordshire","67"
"Black","Peterborough","72"
"Black","Plymouth","63"
"Black","Poole","!"
"Black","Portsmouth","77"
"Black","Reading","71"
"Black","Redbridge","69"
"Black","Redcar and Cleveland","N/A"
"Black","Richmond upon Thames","71"
"Black","Rochdale","66"
"Black","Rotherham","74"
"Black","Rutland","!"
"Black","Salford","74"
"Black","Sandwell","68"
"Black","Sefton","!"
"Black","Sheffield","74"
"Black","Shropshire","50"
"Black","Slough","75"
"Black","Solihull","77"
"Black","Somerset","67"
"Black","South Gloucestershire","63"
"Black","South Tyneside","79"
"Black","Southampton","82"
"Black","Southend-on-Sea","85"
"Black","Southwark","75"
"Black","St. Helens","!"
"Black","Staffordshire","73"
"Black","Stockport","79"
"Black","Stockton-on-Tees","81"
"Black","Stoke-on-Trent","70"
"Black","Suffolk","72"
"Black","Sunderland","!"
"Black","Surrey","76"
"Black","Sutton","84"
"Black","Swindon","75"
"Black","Tameside","57"
"Black","Telford and Wrekin","78"
"Black","Thurrock","84"
"Black","Torbay","!"
"Black","Tower Hamlets","79"
"Black","Trafford","75"
"Black","Wakefield","71"
"Black","Walsall","72"
"Black","Waltham Forest","77"
"Black","Wandsworth","74"
"Black","Warrington","!"
"Black","Warwickshire","65"
"Black","West Berkshire","77"
"Black","West Sussex","59"
"Black","Westminster","80"
"Black","Wigan","74"
"Black","Wiltshire","49"
"Black","Windsor and Maidenhead","67"
"Black","Wirral","!"
"Black","Wokingham","86"
"Black","Wolverhampton","78"
"Black","Worcestershire","81"
"Black","York","67"
"Chinese","Barking and Dagenham","!"
"Chinese","Barnet","!"
"Chinese","Barnsley","N/A"
"Chinese","Bath and North East Somerset","!"
"Chinese","Bedford","!"
"Chinese","Bexley","100"
"Chinese","Birmingham","92"
"Chinese","Blackburn with Darwen","!"
"Chinese","Blackpool","!"
"Chinese","Bolton","!"
"Chinese","Bournemouth","100"
"Chinese","Bracknell Forest","!"
"Chinese","Bradford","!"
"Chinese","Brent","100"
"Chinese","Brighton and Hove","85"
"Chinese","Bristol, City of","!"
"Chinese","Bromley","91"
"Chinese","Buckinghamshire","100"
"Chinese","Bury","100"
"Chinese","Calderdale","!"
"Chinese","Cambridgeshire","!"
"Chinese","Camden","100"
"Chinese","Central Bedfordshire","100"
"Chinese","Cheshire East","100"
"Chinese","Cheshire West and Chester","!"
"Chinese","City of London","N/A"
"Chinese","Cornwall","!"
"Chinese","County Durham","100"
"Chinese","Coventry","100"
"Chinese","Croydon","88"
"Chinese","Cumbria","!"
"Chinese","Darlington","100"
"Chinese","Derby","!"
"Chinese","Derbyshire","82"
"Chinese","Devon","70"
"Chinese","Doncaster","!"
"Chinese","Dorset","!"
"Chinese","Dudley","!"
"Chinese","Ealing","100"
"Chinese","East Riding of Yorkshire","!"
"Chinese","East Sussex","100"
"Chinese","Enfield","100"
"Chinese","Essex","87"
"Chinese","Gateshead","100"
"Chinese","Gloucestershire","!"
"Chinese","Greenwich","!"
"Chinese","Hackney","!"
"Chinese","Halton","!"
"Chinese","Hammersmith and Fulham","!"
"Chinese","Hampshire","90"
"Chinese","Haringey","88"
"Chinese","Harrow","100"
"Chinese","Hartlepool","100"
"Chinese","Havering","82"
"Chinese","Herefordshire, County of","!"
"Chinese","Hertfordshire","!"
"Chinese","Hillingdon","!"
"Chinese","Hounslow","100"
"Chinese","Isle of Wight","!"
"Chinese","Isles of Scilly","N/A"
"Chinese","Islington","100"
"Chinese","Kensington and Chelsea","100"
"Chinese","Kent","!"
"Chinese","Kingston upon Hull, City of","!"
"Chinese","Kingston upon Thames","100"
"Chinese","Kirklees","!"
"Chinese","Knowsley","N/A"
"Chinese","Lambeth","100"
"Chinese","Lancashire","!"
