"Measure","Year","Ethnicity","Ethnicity_type","Type of offence","Type of sentence","Numerator","Denominator","Value ","Value_Type","","","","","","",""
"Sentences","2017","Black","ONS 2001 5+1","All","All","18142","174979","10.4%","%","","","","","","",""
"Sentences","2017","Mixed","ONS 2001 5+1","All","All","5270","174979","3.0%","%","","","","","","",""
"Sentences","2017","Other inc Chinese","ONS 2001 5+1","All","All","2220","174979","1.3%","%","","","","","","",""
"Sentences","2017","White","ONS 2001 5+1","All","All","138834","174979","79.3%","%","","","","","","",""
"Sentences","2017","Asian","ONS 2001 5+1","Criminal damage and arson","Community sentence","7","59","11.9%","%","","","","","","",""
"Sentences","2017","Asian","ONS 2001 5+1","Criminal damage and arson","Compensation","1","59","1.7%","%","","","","","","",""
"Sentences","2017","Asian","ONS 2001 5+1","Criminal damage and arson","Conditional discharge","3","59","5.1%","%","","","","","","",""
"Sentences","2017","Asian","ONS 2001 5+1","Criminal damage and arson","Fine","6","59","10.2%","%","","","","","","",""
"Sentences","2017","Asian","ONS 2001 5+1","Criminal damage and arson","Immediate custody","25","59","42.4%","%","","","","","","",""
"Sentences","2017","Asian","ONS 2001 5+1","Criminal damage and arson","Otherwise dealt with","6","59","10.2%","%","","","","","","",""
"Sentences","2017","Asian","ONS 2001 5+1","Criminal damage and arson","Suspended sentence","11","59","18.6%","%","","","","","","",""
"Sentences","2017","Asian","ONS 2001 5+1","Drug offences","Absolute discharge","11","2913","0.4%","%","","","","","","",""
"Sentences","2017","Asian","ONS 2001 5+1","Drug offences","Community sentence","361","2913","12.4%","%","","","","","","",""
"Sentences","2017","Asian","ONS 2001 5+1","Drug offences","Conditional discharge","300","2913","10.3%","%","","","","","","",""
"Sentences","2017","Asian","ONS 2001 5+1","Drug offences","Fine","1072","2913","36.8%","%","","","","","","",""
"Sentences","2017","Asian","ONS 2001 5+1","Drug offences","Immediate custody","790","2913","27.1%","%","","","","","","",""
"Sentences","2017","Asian","ONS 2001 5+1","Drug offences","Otherwise dealt with","92","2913","3.2%","%","","","","","","",""
"Sentences","2017","Asian","ONS 2001 5+1","Drug offences","Suspended sentence","287","2913","9.9%","%","","","","","","",""
"Sentences","2017","Asian","ONS 2001 5+1","Fraud Offences","Community sentence","79","394","20.1%","%","","","","","","",""
"Sentences","2017","Asian","ONS 2001 5+1","Fraud Offences","Compensation","2","394","0.5%","%","","","","","","",""
"Sentences","2017","Asian","ONS 2001 5+1","Fraud Offences","Conditional discharge","16","394","4.1%","%","","","","","","",""
"Sentences","2017","Asian","ONS 2001 5+1","Fraud Offences","Fine","35","394","8.9%","%","","","","","","",""
"Sentences","2017","Asian","ONS 2001 5+1","Fraud Offences","Immediate custody","163","394","41.4%","%","","","","","","",""
"Sentences","2017","Asian","ONS 2001 5+1","Fraud Offences","Otherwise dealt with","3","394","0.8%","%","","","","","","",""
"Sentences","2017","Asian","ONS 2001 5+1","Fraud Offences","Suspended sentence","96","394","24.4%","%","","","","","","",""
"Sentences","2017","Asian","ONS 2001 5+1","Miscellaneous crimes against society","Absolute discharge","2","1480","0.1%","%","","","","","","",""
"Sentences","2017","Asian","ONS 2001 5+1","Miscellaneous crimes against society","Community sentence","174","1480","11.8%","%","","","","","","",""
"Sentences","2017","Asian","ONS 2001 5+1","Miscellaneous crimes against society","Conditional discharge","35","1480","2.4%","%","","","","","","",""
"Sentences","2017","Asian","ONS 2001 5+1","Miscellaneous crimes against society","Fine","236","1480","15.9%","%","","","","","","",""
"Sentences","2017","Asian","ONS 2001 5+1","Miscellaneous crimes against society","Immediate custody","582","1480","39.3%","%","","","","","","",""
"Sentences","2017","Asian","ONS 2001 5+1","Miscellaneous crimes against society","Otherwise dealt with","62","1480","4.2%","%","","","","","","",""
"Sentences","2017","Asian","ONS 2001 5+1","Miscellaneous crimes against society","Suspended sentence","389","1480","26.3%","%","","","","","","",""
"Sentences","2017","Asian","ONS 2001 5+1","Possession of weapons","Absolute discharge","1","743","0.1%","%","","","","","","",""
"Sentences","2017","Asian","ONS 2001 5+1","Possession of weapons","Community sentence","234","743","31.5%","%","","","","","","",""
"Sentences","2017","Asian","ONS 2001 5+1","Possession of weapons","Conditional discharge","18","743","2.4%","%","","","","","","",""
"Sentences","2017","Asian","ONS 2001 5+1","Possession of weapons","Fine","28","743","3.8%","%","","","","","","",""
"Sentences","2017","Asian","ONS 2001 5+1","Possession of weapons","Immediate custody","262","743","35.3%","%","","","","","","",""
"Sentences","2017","Asian","ONS 2001 5+1","Possession of weapons","Otherwise dealt with","11","743","1.5%","%","","","","","","",""
"Sentences","2017","Asian","ONS 2001 5+1","Possession of weapons","Suspended sentence","189","743","25.4%","%","","","","","","",""
"Sentences","2017","Asian","ONS 2001 5+1","Public order offences","Absolute discharge","2","753","0.3%","%","","","","","","",""
"Sentences","2017","Asian","ONS 2001 5+1","Public order offences","Community sentence","190","753","25.2%","%","","","","","","",""
"Sentences","2017","Asian","ONS 2001 5+1","Public order offences","Compensation","2","753","0.3%","%","","","","","","",""
"Sentences","2017","Asian","ONS 2001 5+1","Public order offences","Conditional discharge","48","753","6.4%","%","","","","","","",""
"Sentences","2017","Asian","ONS 2001 5+1","Public order offences","Fine","143","753","19.0%","%","","","","","","",""
"Sentences","2017","Asian","ONS 2001 5+1","Public order offences","Immediate custody","211","753","28.0%","%","","","","","","",""
"Sentences","2017","Asian","ONS 2001 5+1","Public order offences","Otherwise dealt with","16","753","2.1%","%","","","","","","",""
"Sentences","2017","Asian","ONS 2001 5+1","Public order offences","Suspended sentence","141","753","18.7%","%","","","","","","",""
"Sentences","2017","Asian","ONS 2001 5+1","Robbery","Community sentence","64","230","27.8%","%","","","","","","",""
"Sentences","2017","Asian","ONS 2001 5+1","Robbery","Immediate custody","147","230","63.9%","%","","","","","","",""
"Sentences","2017","Asian","ONS 2001 5+1","Robbery","Otherwise dealt with","2","230","0.9%","%","","","","","","",""
"Sentences","2017","Asian","ONS 2001 5+1","Robbery","Suspended sentence","17","230","7.4%","%","","","","","","",""
"Sentences","2017","Asian","ONS 2001 5+1","Sexual offences","Absolute discharge","2","433","0.5%","%","","","","","","",""
"Sentences","2017","Asian","ONS 2001 5+1","Sexual offences","Community sentence","85","433","19.6%","%","","","","","","",""
"Sentences","2017","Asian","ONS 2001 5+1","Sexual offences","Compensation","1","433","0.2%","%","","","","","","",""
"Sentences","2017","Asian","ONS 2001 5+1","Sexual offences","Conditional discharge","5","433","1.2%","%","","","","","","",""
"Sentences","2017","Asian","ONS 2001 5+1","Sexual offences","Fine","6","433","1.4%","%","","","","","","",""
"Sentences","2017","Asian","ONS 2001 5+1","Sexual offences","Immediate custody","232","433","53.6%","%","","","","","","",""
"Sentences","2017","Asian","ONS 2001 5+1","Sexual offences","Otherwise dealt with","17","433","3.9%","%","","","","","","",""
"Sentences","2017","Asian","ONS 2001 5+1","Sexual offences","Suspended sentence","85","433","19.6%","%","","","","","","",""
"Sentences","2017","Asian","ONS 2001 5+1","Theft Offences","Absolute discharge","7","2143","0.3%","%","","","","","","",""
"Sentences","2017","Asian","ONS 2001 5+1","Theft Offences","Community sentence","508","2143","23.7%","%","","","","","","",""
"Sentences","2017","Asian","ONS 2001 5+1","Theft Offences","Compensation","14","2143","0.7%","%","","","","","","",""
"Sentences","2017","Asian","ONS 2001 5+1","Theft Offences","Conditional discharge","251","2143","11.7%","%","","","","","","",""
"Sentences","2017","Asian","ONS 2001 5+1","Theft Offences","Fine","313","2143","14.6%","%","","","","","","",""
"Sentences","2017","Asian","ONS 2001 5+1","Theft Offences","Immediate custody","717","2143","33.5%","%","","","","","","",""
"Sentences","2017","Asian","ONS 2001 5+1","Theft Offences","Otherwise dealt with","45","2143","2.1%","%","","","","","","",""
"Sentences","2017","Asian","ONS 2001 5+1","Theft Offences","Suspended sentence","288","2143","13.4%","%","","","","","","",""
"Sentences","2017","Asian","ONS 2001 5+1","Violence against the person","Absolute discharge","2","1365","0.1%","%","","","","","","",""
"Sentences","2017","Asian","ONS 2001 5+1","Violence against the person","Community sentence","238","1365","17.4%","%","","","","","","",""
"Sentences","2017","Asian","ONS 2001 5+1","Violence against the person","Compensation","2","1365","0.1%","%","","","","","","",""
"Sentences","2017","Asian","ONS 2001 5+1","Violence against the person","Conditional discharge","44","1365","3.2%","%","","","","","","",""
"Sentences","2017","Asian","ONS 2001 5+1","Violence against the person","Fine","84","1365","6.2%","%","","","","","","",""
"Sentences","2017","Asian","ONS 2001 5+1","Violence against the person","Immediate custody","629","1365","46.1%","%","","","","","","",""
"Sentences","2017","Asian","ONS 2001 5+1","Violence against the person","Otherwise dealt with","39","1365","2.9%","%","","","","","","",""
"Sentences","2017","Asian","ONS 2001 5+1","Violence against the person","Suspended sentence","327","1365","24.0%","%","","","","","","",""
"Sentences","2017","Black","ONS 2001 5+1","Criminal damage and arson","Community sentence","14","76","18.4%","%","","","","","","",""
"Sentences","2017","Black","ONS 2001 5+1","Criminal damage and arson","Compensation","4","76","5.3%","%","","","","","","",""
"Sentences","2017","Black","ONS 2001 5+1","Criminal damage and arson","Conditional discharge","9","76","11.8%","%","","","","","","",""
"Sentences","2017","Black","ONS 2001 5+1","Criminal damage and arson","Fine","7","76","9.2%","%","","","","","","",""
"Sentences","2017","Black","ONS 2001 5+1","Criminal damage and arson","Immediate custody","23","76","30.3%","%","","","","","","",""
"Sentences","2017","Black","ONS 2001 5+1","Criminal damage and arson","Otherwise dealt with","7","76","9.2%","%","","","","","","",""
"Sentences","2017","Black","ONS 2001 5+1","Criminal damage and arson","Suspended sentence","12","76","15.8%","%","","","","","","",""
"Sentences","2017","Black","ONS 2001 5+1","Drug offences","Absolute discharge","22","6084","0.4%","%","","","","","","",""
"Sentences","2017","Black","ONS 2001 5+1","Drug offences","Community sentence","833","6084","13.7%","%","","","","","","",""
"Sentences","2017","Black","ONS 2001 5+1","Drug offences","Conditional discharge","747","6084","12.3%","%","","","","","","",""
"Sentences","2017","Black","ONS 2001 5+1","Drug offences","Fine","2374","6084","39.0%","%","","","","","","",""
"Sentences","2017","Black","ONS 2001 5+1","Drug offences","Immediate custody","1393","6084","22.9%","%","","","","","","",""
"Sentences","2017","Black","ONS 2001 5+1","Drug offences","Otherwise dealt with","174","6084","2.9%","%","","","","","","",""
"Sentences","2017","Black","ONS 2001 5+1","Drug offences","Suspended sentence","541","6084","8.9%","%","","","","","","",""
"Sentences","2017","Black","ONS 2001 5+1","Fraud Offences","Community sentence","148","570","26.0%","%","","","","","","",""
"Sentences","2017","Black","ONS 2001 5+1","Fraud Offences","Conditional discharge","36","570","6.3%","%","","","","","","",""
"Sentences","2017","Black","ONS 2001 5+1","Fraud Offences","Fine","50","570","8.8%","%","","","","","","",""
"Sentences","2017","Black","ONS 2001 5+1","Fraud Offences","Immediate custody","184","570","32.3%","%","","","","","","",""
"Sentences","2017","Black","ONS 2001 5+1","Fraud Offences","Otherwise dealt with","6","570","1.1%","%","","","","","","",""
"Sentences","2017","Black","ONS 2001 5+1","Fraud Offences","Suspended sentence","146","570","25.6%","%","","","","","","",""
"Sentences","2017","Black","ONS 2001 5+1","Miscellaneous crimes against society","Absolute discharge","10","1761","0.6%","%","","","","","","",""
"Sentences","2017","Black","ONS 2001 5+1","Miscellaneous crimes against society","Community sentence","240","1761","13.6%","%","","","","","","",""
"Sentences","2017","Black","ONS 2001 5+1","Miscellaneous crimes against society","Compensation","1","1761","0.1%","%","","","","","","",""
"Sentences","2017","Black","ONS 2001 5+1","Miscellaneous crimes against society","Conditional discharge","73","1761","4.1%","%","","","","","","",""
"Sentences","2017","Black","ONS 2001 5+1","Miscellaneous crimes against society","Fine","338","1761","19.2%","%","","","","","","",""
"Sentences","2017","Black","ONS 2001 5+1","Miscellaneous crimes against society","Immediate custody","615","1761","34.9%","%","","","","","","",""
"Sentences","2017","Black","ONS 2001 5+1","Miscellaneous crimes against society","Otherwise dealt with","102","1761","5.8%","%","","","","","","",""
"Sentences","2017","Black","ONS 2001 5+1","Miscellaneous crimes against society","Suspended sentence","382","1761","21.7%","%","","","","","","",""
"Sentences","2017","Black","ONS 2001 5+1","Possession of weapons","Absolute discharge","4","2050","0.2%","%","","","","","","",""
"Sentences","2017","Black","ONS 2001 5+1","Possession of weapons","Community sentence","638","2050","31.1%","%","","","","","","",""
"Sentences","2017","Black","ONS 2001 5+1","Possession of weapons","Conditional discharge","34","2050","1.7%","%","","","","","","",""
"Sentences","2017","Black","ONS 2001 5+1","Possession of weapons","Fine","61","2050","3.0%","%","","","","","","",""
"Sentences","2017","Black","ONS 2001 5+1","Possession of weapons","Immediate custody","776","2050","37.9%","%","","","","","","",""
"Sentences","2017","Black","ONS 2001 5+1","Possession of weapons","Otherwise dealt with","31","2050","1.5%","%","","","","","","",""
"Sentences","2017","Black","ONS 2001 5+1","Possession of weapons","Suspended sentence","506","2050","24.7%","%","","","","","","",""
"Sentences","2017","Black","ONS 2001 5+1","Public order offences","Absolute discharge","6","1222","0.5%","%","","","","","","",""
"Sentences","2017","Black","ONS 2001 5+1","Public order offences","Community sentence","320","1222","26.2%","%","","","","","","",""
"Sentences","2017","Black","ONS 2001 5+1","Public order offences","Conditional discharge","61","1222","5.0%","%","","","","","","",""
"Sentences","2017","Black","ONS 2001 5+1","Public order offences","Fine","273","1222","22.3%","%","","","","","","",""
"Sentences","2017","Black","ONS 2001 5+1","Public order offences","Immediate custody","336","1222","27.5%","%","","","","","","",""
"Sentences","2017","Black","ONS 2001 5+1","Public order offences","Otherwise dealt with","43","1222","3.5%","%","","","","","","",""
"Sentences","2017","Black","ONS 2001 5+1","Public order offences","Suspended sentence","183","1222","15.0%","%","","","","","","",""
"Sentences","2017","Black","ONS 2001 5+1","Robbery","Community sentence","224","589","38.0%","%","","","","","","",""
"Sentences","2017","Black","ONS 2001 5+1","Robbery","Conditional discharge","1","589","0.2%","%","","","","","","",""
"Sentences","2017","Black","ONS 2001 5+1","Robbery","Immediate custody","321","589","54.5%","%","","","","","","",""
"Sentences","2017","Black","ONS 2001 5+1","Robbery","Otherwise dealt with","14","589","2.4%","%","","","","","","",""
"Sentences","2017","Black","ONS 2001 5+1","Robbery","Suspended sentence","29","589","4.9%","%","","","","","","",""
"Sentences","2017","Black","ONS 2001 5+1","Sexual offences","Absolute discharge","2","437","0.5%","%","","","","","","",""
"Sentences","2017","Black","ONS 2001 5+1","Sexual offences","Community sentence","77","437","17.6%","%","","","","","","",""
"Sentences","2017","Black","ONS 2001 5+1","Sexual offences","Compensation","2","437","0.5%","%","","","","","","",""
"Sentences","2017","Black","ONS 2001 5+1","Sexual offences","Conditional discharge","10","437","2.3%","%","","","","","","",""
"Sentences","2017","Black","ONS 2001 5+1","Sexual offences","Fine","7","437","1.6%","%","","","","","","",""
"Sentences","2017","Black","ONS 2001 5+1","Sexual offences","Immediate custody","263","437","60.2%","%","","","","","","",""
"Sentences","2017","Black","ONS 2001 5+1","Sexual offences","Otherwise dealt with","19","437","4.3%","%","","","","","","",""
"Sentences","2017","Black","ONS 2001 5+1","Sexual offences","Suspended sentence","57","437","13.0%","%","","","","","","",""
"Sentences","2017","Black","ONS 2001 5+1","Theft Offences","Absolute discharge","5","3576","0.1%","%","","","","","","",""
"Sentences","2017","Black","ONS 2001 5+1","Theft Offences","Community sentence","795","3576","22.2%","%","","","","","","",""
"Sentences","2017","Black","ONS 2001 5+1","Theft Offences","Compensation","42","3576","1.2%","%","","","","","","",""
"Sentences","2017","Black","ONS 2001 5+1","Theft Offences","Conditional discharge","409","3576","11.4%","%","","","","","","",""
"Sentences","2017","Black","ONS 2001 5+1","Theft Offences","Fine","535","3576","15.0%","%","","","","","","",""
"Sentences","2017","Black","ONS 2001 5+1","Theft Offences","Immediate custody","1179","3576","33.0%","%","","","","","","",""
"Sentences","2017","Black","ONS 2001 5+1","Theft Offences","Otherwise dealt with","102","3576","2.9%","%","","","","","","",""
"Sentences","2017","Black","ONS 2001 5+1","Theft Offences","Suspended sentence","509","3576","14.2%","%","","","","","","",""
"Sentences","2017","Black","ONS 2001 5+1","Violence against the person","Absolute discharge","2","1777","0.1%","%","","","","","","",""
"Sentences","2017","Black","ONS 2001 5+1","Violence against the person","Community sentence","276","1777","15.5%","%","","","","","","",""
"Sentences","2017","Black","ONS 2001 5+1","Violence against the person","Compensation","3","1777","0.2%","%","","","","","","",""
"Sentences","2017","Black","ONS 2001 5+1","Violence against the person","Conditional discharge","55","1777","3.1%","%","","","","","","",""
"Sentences","2017","Black","ONS 2001 5+1","Violence against the person","Fine","89","1777","5.0%","%","","","","","","",""
"Sentences","2017","Black","ONS 2001 5+1","Violence against the person","Immediate custody","911","1777","51.3%","%","","","","","","",""
"Sentences","2017","Black","ONS 2001 5+1","Violence against the person","Otherwise dealt with","62","1777","3.5%","%","","","","","","",""
"Sentences","2017","Black","ONS 2001 5+1","Violence against the person","Suspended sentence","379","1777","21.3%","%","","","","","","",""
"Sentences","2017","Mixed","ONS 2001 5+1","Criminal damage and arson","Community sentence","8","29","27.6%","%","","","","","","",""
"Sentences","2017","Mixed","ONS 2001 5+1","Criminal damage and arson","Conditional discharge","1","29","3.4%","%","","","","","","",""
"Sentences","2017","Mixed","ONS 2001 5+1","Criminal damage and arson","Fine","4","29","13.8%","%","","","","","","",""
"Sentences","2017","Mixed","ONS 2001 5+1","Criminal damage and arson","Immediate custody","10","29","34.5%","%","","","","","","",""
"Sentences","2017","Mixed","ONS 2001 5+1","Criminal damage and arson","Otherwise dealt with","1","29","3.4%","%","","","","","","",""
"Sentences","2017","Mixed","ONS 2001 5+1","Criminal damage and arson","Suspended sentence","5","29","17.2%","%","","","","","","",""
"Sentences","2017","Mixed","ONS 2001 5+1","Drug offences","Absolute discharge","8","1407","0.6%","%","","","","","","",""
"Sentences","2017","Mixed","ONS 2001 5+1","Drug offences","Community sentence","236","1407","16.8%","%","","","","","","",""
"Sentences","2017","Mixed","ONS 2001 5+1","Drug offences","Conditional discharge","157","1407","11.2%","%","","","","","","",""
"Sentences","2017","Mixed","ONS 2001 5+1","Drug offences","Fine","504","1407","35.8%","%","","","","","","",""
"Sentences","2017","Mixed","ONS 2001 5+1","Drug offences","Immediate custody","304","1407","21.6%","%","","","","","","",""
"Sentences","2017","Mixed","ONS 2001 5+1","Drug offences","Otherwise dealt with","53","1407","3.8%","%","","","","","","",""
"Sentences","2017","Mixed","ONS 2001 5+1","Drug offences","Suspended sentence","145","1407","10.3%","%","","","","","","",""
"Sentences","2017","Mixed","ONS 2001 5+1","Fraud Offences","Community sentence","22","104","21.2%","%","","","","","","",""
"Sentences","2017","Mixed","ONS 2001 5+1","Fraud Offences","Conditional discharge","14","104","13.5%","%","","","","","","",""
"Sentences","2017","Mixed","ONS 2001 5+1","Fraud Offences","Fine","10","104","9.6%","%","","","","","","",""
"Sentences","2017","Mixed","ONS 2001 5+1","Fraud Offences","Immediate custody","29","104","27.9%","%","","","","","","",""
"Sentences","2017","Mixed","ONS 2001 5+1","Fraud Offences","Otherwise dealt with","1","104","1.0%","%","","","","","","",""
"Sentences","2017","Mixed","ONS 2001 5+1","Fraud Offences","Suspended sentence","28","104","26.9%","%","","","","","","",""
"Sentences","2017","Mixed","ONS 2001 5+1","Miscellaneous crimes against society","Absolute discharge","2","526","0.4%","%","","","","","","",""
"Sentences","2017","Mixed","ONS 2001 5+1","Miscellaneous crimes against society","Community sentence","74","526","14.1%","%","","","","","","",""
"Sentences","2017","Mixed","ONS 2001 5+1","Miscellaneous crimes against society","Compensation","3","526","0.6%","%","","","","","","",""
"Sentences","2017","Mixed","ONS 2001 5+1","Miscellaneous crimes against society","Conditional discharge","17","526","3.2%","%","","","","","","",""
"Sentences","2017","Mixed","ONS 2001 5+1","Miscellaneous crimes against society","Fine","104","526","19.8%","%","","","","","","",""
"Sentences","2017","Mixed","ONS 2001 5+1","Miscellaneous crimes against society","Immediate custody","186","526","35.4%","%","","","","","","",""
"Sentences","2017","Mixed","ONS 2001 5+1","Miscellaneous crimes against society","Otherwise dealt with","32","526","6.1%","%","","","","","","",""
"Sentences","2017","Mixed","ONS 2001 5+1","Miscellaneous crimes against society","Suspended sentence","108","526","20.5%","%","","","","","","",""
"Sentences","2017","Mixed","ONS 2001 5+1","Possession of weapons","Community sentence","182","471","38.6%","%","","","","","","",""
"Sentences","2017","Mixed","ONS 2001 5+1","Possession of weapons","Conditional discharge","8","471","1.7%","%","","","","","","",""
"Sentences","2017","Mixed","ONS 2001 5+1","Possession of weapons","Fine","9","471","1.9%","%","","","","","","",""
"Sentences","2017","Mixed","ONS 2001 5+1","Possession of weapons","Immediate custody","149","471","31.6%","%","","","","","","",""
"Sentences","2017","Mixed","ONS 2001 5+1","Possession of weapons","Otherwise dealt with","7","471","1.5%","%","","","","","","",""
"Sentences","2017","Mixed","ONS 2001 5+1","Possession of weapons","Suspended sentence","116","471","24.6%","%","","","","","","",""
"Sentences","2017","Mixed","ONS 2001 5+1","Public order offences","Community sentence","79","311","25.4%","%","","","","","","",""
"Sentences","2017","Mixed","ONS 2001 5+1","Public order offences","Compensation","1","311","0.3%","%","","","","","","",""
"Sentences","2017","Mixed","ONS 2001 5+1","Public order offences","Conditional discharge","18","311","5.8%","%","","","","","","",""
"Sentences","2017","Mixed","ONS 2001 5+1","Public order offences","Fine","59","311","19.0%","%","","","","","","",""
"Sentences","2017","Mixed","ONS 2001 5+1","Public order offences","Immediate custody","86","311","27.7%","%","","","","","","",""
"Sentences","2017","Mixed","ONS 2001 5+1","Public order offences","Otherwise dealt with","10","311","3.2%","%","","","","","","",""
"Sentences","2017","Mixed","ONS 2001 5+1","Public order offences","Suspended sentence","58","311","18.6%","%","","","","","","",""
"Sentences","2017","Mixed","ONS 2001 5+1","Robbery","Community sentence","66","186","35.5%","%","","","","","","",""
"Sentences","2017","Mixed","ONS 2001 5+1","Robbery","Conditional discharge","1","186","0.5%","%","","","","","","",""
"Sentences","2017","Mixed","ONS 2001 5+1","Robbery","Immediate custody","110","186","59.1%","%","","","","","","",""
"Sentences","2017","Mixed","ONS 2001 5+1","Robbery","Otherwise dealt with","2","186","1.1%","%","","","","","","",""
"Sentences","2017","Mixed","ONS 2001 5+1","Robbery","Suspended sentence","7","186","3.8%","%","","","","","","",""
"Sentences","2017","Mixed","ONS 2001 5+1","Sexual offences","Community sentence","21","94","22.3%","%","","","","","","",""
"Sentences","2017","Mixed","ONS 2001 5+1","Sexual offences","Conditional discharge","1","94","1.1%","%","","","","","","",""
"Sentences","2017","Mixed","ONS 2001 5+1","Sexual offences","Immediate custody","53","94","56.4%","%","","","","","","",""
"Sentences","2017","Mixed","ONS 2001 5+1","Sexual offences","Otherwise dealt with","5","94","5.3%","%","","","","","","",""
"Sentences","2017","Mixed","ONS 2001 5+1","Sexual offences","Suspended sentence","14","94","14.9%","%","","","","","","",""
"Sentences","2017","Mixed","ONS 2001 5+1","Theft Offences","Absolute discharge","1","1490","0.1%","%","","","","","","",""
"Sentences","2017","Mixed","ONS 2001 5+1","Theft Offences","Community sentence","347","1490","23.3%","%","","","","","","",""
"Sentences","2017","Mixed","ONS 2001 5+1","Theft Offences","Compensation","23","1490","1.5%","%","","","","","","",""
"Sentences","2017","Mixed","ONS 2001 5+1","Theft Offences","Conditional discharge","183","1490","12.3%","%","","","","","","",""
