"Title"," EBacc entry by ethnicity, gender and area"
"Location","England"
"Time period","2015/16"
"Data source","Key stage 4 statistics https://www.gov.uk/government/statistics/revised-gcse-and-equivalent-results-in-england-2015-to-2016"
"Source","https://www.ethnicityfactsandfigures.digitalbeta.org.uk"

"Measure","Time","Time Type","Ethnicity","Ethnicity Type","Geography","Geography type","ONS geography code","Gender","FSM","Value","Boys-Value","Girls-Value"
"Percentage entering the English Baccalaureate","2016","Academic year","All","DFE","Suffolk","Local Authority","E10000029","All pupils","All pupils","30","27","34"
"Percentage entering the English Baccalaureate","2016","Academic year","All","DFE","Thurrock","Local Authority","E06000034","All pupils","All pupils","42","37","46"
"Percentage entering the English Baccalaureate","2016","Academic year","All","DFE","Camden","Local Authority","E09000007","All pupils","All pupils","46","39","51"
"Percentage entering the English Baccalaureate","2016","Academic year","All","DFE","City of London","Local Authority","E09000001","All pupils","All pupils","N/A","N/A","N/A"
"Percentage entering the English Baccalaureate","2016","Academic year","All","DFE","Hackney","Local Authority","E09000012","All pupils","All pupils","53","48","56"
"Percentage entering the English Baccalaureate","2016","Academic year","All","DFE","Hammersmith and Fulham","Local Authority","E09000013","All pupils","All pupils","65","62","67"
"Percentage entering the English Baccalaureate","2016","Academic year","All","DFE","Haringey","Local Authority","E09000014","All pupils","All pupils","39","32","46"
"Percentage entering the English Baccalaureate","2016","Academic year","All","DFE","Islington","Local Authority","E09000019","All pupils","All pupils","45","42","48"
"Percentage entering the English Baccalaureate","2016","Academic year","All","DFE","Kensington and Chelsea","Local Authority","E09000020","All pupils","All pupils","52","51","55"
"Percentage entering the English Baccalaureate","2016","Academic year","All","DFE","Lambeth","Local Authority","E09000022","All pupils","All pupils","51","44","57"
"Percentage entering the English Baccalaureate","2016","Academic year","All","DFE","Lewisham","Local Authority","E09000023","All pupils","All pupils","42","35","51"
"Percentage entering the English Baccalaureate","2016","Academic year","All","DFE","Newham","Local Authority","E09000025","All pupils","All pupils","52","48","55"
"Percentage entering the English Baccalaureate","2016","Academic year","All","DFE","Southwark","Local Authority","E09000028","All pupils","All pupils","58","51","65"
"Percentage entering the English Baccalaureate","2016","Academic year","All","DFE","Tower Hamlets","Local Authority","E09000030","All pupils","All pupils","46","45","47"
"Percentage entering the English Baccalaureate","2016","Academic year","All","DFE","Wandsworth","Local Authority","E09000032","All pupils","All pupils","58","50","68"
"Percentage entering the English Baccalaureate","2016","Academic year","All","DFE","Westminster","Local Authority","E09000033","All pupils","All pupils","49","37","59"
"Percentage entering the English Baccalaureate","2016","Academic year","All","DFE","Barking and Dagenham","Local Authority","E09000002","All pupils","All pupils","35","28","42"
"Percentage entering the English Baccalaureate","2016","Academic year","All","DFE","Barnet","Local Authority","E09000003","All pupils","All pupils","60","57","63"
"Percentage entering the English Baccalaureate","2016","Academic year","All","DFE","Bexley","Local Authority","E09000004","All pupils","All pupils","44","38","49"
"Percentage entering the English Baccalaureate","2016","Academic year","All","DFE","Brent","Local Authority","E09000005","All pupils","All pupils","55","49","61"
"Percentage entering the English Baccalaureate","2016","Academic year","All","DFE","Bromley","Local Authority","E09000006","All pupils","All pupils","51","42","59"
"Percentage entering the English Baccalaureate","2016","Academic year","All","DFE","Croydon","Local Authority","E09000008","All pupils","All pupils","45","35","54"
"Percentage entering the English Baccalaureate","2016","Academic year","All","DFE","Ealing","Local Authority","E09000009","All pupils","All pupils","55","50","61"
"Percentage entering the English Baccalaureate","2016","Academic year","All","DFE","Enfield","Local Authority","E09000010","All pupils","All pupils","55","49","61"
"Percentage entering the English Baccalaureate","2016","Academic year","All","DFE","Greenwich","Local Authority","E09000011","All pupils","All pupils","47","43","52"
"Percentage entering the English Baccalaureate","2016","Academic year","All","DFE","Harrow","Local Authority","E09000015","All pupils","All pupils","54","45","63"
"Percentage entering the English Baccalaureate","2016","Academic year","All","DFE","Havering","Local Authority","E09000016","All pupils","All pupils","49","46","51"
"Percentage entering the English Baccalaureate","2016","Academic year","All","DFE","Hillingdon","Local Authority","E09000017","All pupils","All pupils","42","37","48"
"Percentage entering the English Baccalaureate","2016","Academic year","All","DFE","Hounslow","Local Authority","E09000018","All pupils","All pupils","57","54","60"
"Percentage entering the English Baccalaureate","2016","Academic year","All","DFE","Kingston upon Thames","Local Authority","E09000021","All pupils","All pupils","61","60","61"
