"Title","EBacc entry by ethnicity and area"
"Location","England"
"Time period","2015/16"
"Data source","Key stage 4 statistics https://www.gov.uk/government/statistics/revised-gcse-and-equivalent-results-in-england-2015-to-2016"
"Source","https://www.ethnicityfactsandfigures.digitalbeta.org.uk"

"Measure","Time","Time Type","Ethnicity","Ethnicity Type","Geography","Geography type","ONS geography code","Gender","FSM","Value"," Denominator "
"Percentage entering the English Baccalaureate","2016","Academic year","White","5+1","Bury","Local Authority","E08000002","All pupils","All pupils","48","1,636"
"Percentage entering the English Baccalaureate","2016","Academic year","White","5+1","Cheshire East","Local Authority","E06000049","All pupils","All pupils","39","3,509"
"Percentage entering the English Baccalaureate","2016","Academic year","White","5+1","Cheshire West and Chester","Local Authority","E06000050","All pupils","All pupils","47","3,283"
"Percentage entering the English Baccalaureate","2016","Academic year","White","5+1","Cumbria","Local Authority","E10000006","All pupils","All pupils","37","4,987"
"Percentage entering the English Baccalaureate","2016","Academic year","White","5+1","Halton","Local Authority","E06000006","All pupils","All pupils","57","1,335"
"Percentage entering the English Baccalaureate","2016","Academic year","White","5+1","Knowsley","Local Authority","E08000011","All pupils","All pupils","23","1,103"
"Percentage entering the English Baccalaureate","2016","Academic year","White","5+1","Lancashire","Local Authority","E10000017","All pupils","All pupils","33","10,512"
"Percentage entering the English Baccalaureate","2016","Academic year","White","5+1","Liverpool","Local Authority","E08000012","All pupils","All pupils","40","3,919"
"Percentage entering the English Baccalaureate","2016","Academic year","White","5+1","Manchester","Local Authority","E08000003","All pupils","All pupils","33","2,312"
"Percentage entering the English Baccalaureate","2016","Academic year","White","5+1","Oldham","Local Authority","E08000004","All pupils","All pupils","27","1,901"
"Percentage entering the English Baccalaureate","2016","Academic year","White","5+1","Rochdale","Local Authority","E08000005","All pupils","All pupils","22","1,601"
"Percentage entering the English Baccalaureate","2016","Academic year","White","5+1","Salford","Local Authority","E08000006","All pupils","All pupils","45","1,832"
"Percentage entering the English Baccalaureate","2016","Academic year","White","5+1","Sefton","Local Authority","E08000014","All pupils","All pupils","43","2,896"
"Percentage entering the English Baccalaureate","2016","Academic year","White","5+1","St. Helens","Local Authority","E08000013","All pupils","All pupils","37","1,675"
"Percentage entering the English Baccalaureate","2016","Academic year","White","5+1","Stockport","Local Authority","E08000007","All pupils","All pupils","46","2,463"
"Percentage entering the English Baccalaureate","2016","Academic year","White","5+1","Tameside","Local Authority","E08000008","All pupils","All pupils","31","2,078"
"Percentage entering the English Baccalaureate","2016","Academic year","White","5+1","Trafford","Local Authority","E08000009","All pupils","All pupils","46","2,118"
"Percentage entering the English Baccalaureate","2016","Academic year","White","5+1","Warrington","Local Authority","E06000007","All pupils","All pupils","37","2,216"
"Percentage entering the English Baccalaureate","2016","Academic year","White","5+1","Wigan","Local Authority","E08000010","All pupils","All pupils","33","3,271"
