"DATE","DURATION","REGION","ETHNICITY","NUMERATOR","DENOMINATOR","SAMP_SIZE","Value","Confidence Interval","Supress?"
"Jan08-Dec08","0-3 months","Yorkshire and The Humber","White","60500","139000","286","43.5","9.1",""
"Jan08-Dec08","0-3 months","Yorkshire and The Humber","Ethnic Minority","?","?","?","?","?","Supress"
"Jan09-Dec09","0-3 months","All","All","857800","2343300","4170","36.6","1.5",""
"Jan09-Dec09","0-3 months","All","White","722300","1937600","3642","37.3","2.5",""
"Jan09-Dec09","0-3 months","All","Ethnic Minority","135000","403300","526","33.5","6.4",""
"Jan09-Dec09","0-3 months","East Midlands","All","62200","166100","225","37.5","6.3",""
"Jan09-Dec09","0-3 months","East Midlands","White","55900","142100","199","39.3","10.7",""
"Jan09-Dec09","0-3 months","East Midlands","Ethnic Minority","?","?","?","?","?","Supress"
"Jan09-Dec09","0-3 months","East of England","All","70900","186400","252","38","6",""
"Jan09-Dec09","0-3 months","East of England","White","63300","162000","222","39","10.1",""
"Jan09-Dec09","0-3 months","East of England","Ethnic Minority","7700","24300","30","31.6","26.3",""
"Jan09-Dec09","0-3 months","London","All","141300","381300","423","37.1","4.6",""
"Jan09-Dec09","0-3 months","London","White","77100","196000","234","39.3","9.9",""
"Jan09-Dec09","0-3 months","London","Ethnic Minority","63700","183700","188","34.7","10.8",""
"Jan09-Dec09","0-3 months","North East","All","36100","117500","280","30.7","5.4",""
"Jan09-Dec09","0-3 months","North East","White","34300","111900","267","30.7","8.7",""
"Jan09-Dec09","0-3 months","North East","Ethnic Minority","?","?","?","?","?","Supress"
"Jan09-Dec09","0-3 months","North West","All","100100","290100","567","34.5","3.9",""
"Jan09-Dec09","0-3 months","North West","White","84300","250100","482","33.7","6.7",""
"Jan09-Dec09","0-3 months","North West","Ethnic Minority","15800","39900","85","39.5","16.4",""
"Jan09-Dec09","0-3 months","Scotland","All","63700","185700","510","34.3","4.1",""
"Jan09-Dec09","0-3 months","Scotland","White","61800","179400","501","34.4","6.6",""
"Jan09-Dec09","0-3 months","Scotland","Ethnic Minority","?","?","?","?","?","Supress"
"Jan09-Dec09","0-3 months","South East","All","113500","262300","444","43.3","4.6",""
"Jan09-Dec09","0-3 months","South East","White","103600","239100","389","43.3","7.8",""
"Jan09-Dec09","0-3 months","South East","Ethnic Minority","9700","23000","54","42.1","20.8",""
"Jan09-Dec09","0-3 months","South West","All","71700","164600","327","43.5","5.4",""
"Jan09-Dec09","0-3 months","South West","White","67000","155700","307","43","8.8",""
"Jan09-Dec09","0-3 months","South West","Ethnic Minority","?","?","?","?","?","Supress"
"Jan09-Dec09","0-3 months","Wales","All","43100","118100","437","36.5","4.5",""
"Jan09-Dec09","0-3 months","Wales","White","40900","111700","420","36.7","7.3",""
"Jan09-Dec09","0-3 months","Wales","Ethnic Minority","?","?","?","?","?","Supress"
"Jan09-Dec09","0-3 months","West Midlands","All","77800","253200","349","30.7","4.8",""
"Jan09-Dec09","0-3 months","West Midlands","White","65100","198900","299","32.8","8.4",""
"Jan09-Dec09","0-3 months","West Midlands","Ethnic Minority","12700","54100","50","23.4","18.5",""
"Jan09-Dec09","0-3 months","Yorkshire and The Humber","All","77500","218100","356","35.5","5",""
"Jan09-Dec09","0-3 months","Yorkshire and The Humber","White","68900","190700","322","36.1","8.3",""
"Jan09-Dec09","0-3 months","Yorkshire and The Humber","Ethnic Minority","8600","27400","34","31.2","24.6",""
"Jan10-Dec10","0-3 months","All","All","773600","2341200","3684","33","1.5",""
"Jan10-Dec10","0-3 months","All","White","644900","1928200","3191","33.4","2.6",""
"Jan10-Dec10","0-3 months","All","Ethnic Minority","128200","410600","491","31.2","6.5",""
"Jan10-Dec10","0-3 months","East Midlands","All","59900","168900","205","35.4","6.5",""
"Jan10-Dec10","0-3 months","East Midlands","White","51000","142500","168","35.8","11.5",""
"Jan10-Dec10","0-3 months","East Midlands","Ethnic Minority","8600","25700","36","33.4","24.3",""
"Jan10-Dec10","0-3 months","East of England","All","65500","194800","227","33.6","6.1",""
"Jan10-Dec10","0-3 months","East of England","White","57500","172600","199","33.3","10.3",""
"Jan10-Dec10","0-3 months","East of England","Ethnic Minority","?","?","?","?","?","Supress"
"Jan10-Dec10","0-3 months","London","All","120800","371900","374","32.5","4.7",""
"Jan10-Dec10","0-3 months","London","White","61500","179400","194","34.3","10.6",""
"Jan10-Dec10","0-3 months","London","Ethnic Minority","59300","191900","180","30.9","10.7",""
"Jan10-Dec10","0-3 months","North East","All","36100","120800","268","29.9","5.5",""
"Jan10-Dec10","0-3 months","North East","White","33700","114000","250","29.6","8.9",""
"Jan10-Dec10","0-3 months","North East","Ethnic Minority","?","?","?","?","?","Supress"
"Jan10-Dec10","0-3 months","North West","All","94500","274700","510","34.4","4.1",""
"Jan10-Dec10","0-3 months","North West","White","83400","241600","452","34.5","6.9",""
"Jan10-Dec10","0-3 months","North West","Ethnic Minority","11100","33000","58","33.7","19.2",""
"Jan10-Dec10","0-3 months","Scotland","All","69400","205500","513","33.7","4.1",""
"Jan10-Dec10","0-3 months","Scotland","White","66500","197100","500","33.7","6.5",""
"Jan10-Dec10","0-3 months","Scotland","Ethnic Minority","?","?","?","?","?","Supress"
"Jan10-Dec10","0-3 months","South East","All","95100","266600","363","35.7","4.9",""
"Jan10-Dec10","0-3 months","South East","White","83600","236800","311","35.3","8.4",""
"Jan10-Dec10","0-3 months","South East","Ethnic Minority","11500","29800","52","38.6","20.9",""
"Jan10-Dec10","0-3 months","South West","All","60200","158100","261","38.1","5.9",""
"Jan10-Dec10","0-3 months","South West","White","57800","150000","248","38.5","9.6",""
"Jan10-Dec10","0-3 months","South West","Ethnic Minority","?","?","?","?","?","Supress"
"Jan10-Dec10","0-3 months","Wales","All","36400","119300","360","30.5","4.8",""
"Jan10-Dec10","0-3 months","Wales","White","34500","113700","350","30.3","7.6",""
"Jan10-Dec10","0-3 months","Wales","Ethnic Minority","?","?","?","?","?","Supress"
"Jan10-Dec10","0-3 months","West Midlands","All","64300","236200","274","27.2","5.3",""
"Jan10-Dec10","0-3 months","West Midlands","White","52700","184300","226","28.6","9.3",""
"Jan10-Dec10","0-3 months","West Midlands","Ethnic Minority","11400","51500","47","22","18.7",""
"Jan10-Dec10","0-3 months","Yorkshire and The Humber","All","71500","224500","329","31.9","5",""
"Jan10-Dec10","0-3 months","Yorkshire and The Humber","White","62600","196200","293","31.9","8.4",""
"Jan10-Dec10","0-3 months","Yorkshire and The Humber","Ethnic Minority","8900","28000","36","31.8","24",""
"Jan11-Dec11","0-3 months","All","All","781800","2476600","3564","31.6","1.5",""
"Jan11-Dec11","0-3 months","East Midlands","All","57600","187000","188","30.8","6.6",""
"Jan11-Dec11","0-3 months","East of England","All","68400","201600","231","33.9","6.1",""
"Jan11-Dec11","0-3 months","London","All","129200","405900","396","31.8","4.6",""
"Jan11-Dec11","0-3 months","North East","All","29700","128400","229","23.1","5.5",""
"Jan11-Dec11","0-3 months","North West","All","93600","290500","484","32.2","4.2",""
"Jan11-Dec11","0-3 months","Scotland","All","75300","221300","488","34","4.2",""
"Jan11-Dec11","0-3 months","South East","All","88600","265300","352","33.4","4.9",""
"Jan11-Dec11","0-3 months","South West","All","54100","160100","239","33.8","6",""
"Jan11-Dec11","0-3 months","Wales","All","38400","120800","364","31.8","4.8",""
"Jan11-Dec11","0-3 months","West Midlands","All","71600","251500","283","28.5","5.3",""
"Jan11-Dec11","0-3 months","Yorkshire and The Humber","All","75300","244300","310","30.8","5.1",""
"Jan12-Dec12","0-3 months","All","All","744000","2454200","3396","30.3","1.5",""
"Jan12-Dec12","0-3 months","All","White","608500","1971400","2894","30.9","2.7",""
"Jan12-Dec12","0-3 months","All","Ethnic Minority","135200","482000","501","28.1","6.2",""
"Jan12-Dec12","0-3 months","East Midlands","All","57200","181100","188","31.6","6.6",""
"Jan12-Dec12","0-3 months","East Midlands","White","49500","152400","152","32.5","11.8",""
"Jan12-Dec12","0-3 months","East Midlands","Ethnic Minority","7700","28700","36","26.7","22.8",""
"Jan12-Dec12","0-3 months","East of England","All","58700","201400","183","29.2","6.6",""
"Jan12-Dec12","0-3 months","East of England","White","51300","177300","154","28.9","11.3",""
"Jan12-Dec12","0-3 months","East of England","Ethnic Minority","?","?","?","?","?","Supress"
"Jan12-Dec12","0-3 months","London","All","128000","403100","377","31.7","4.7",""
"Jan12-Dec12","0-3 months","London","White","67000","183300","197","36.6","10.6",""
"Jan12-Dec12","0-3 months","London","Ethnic Minority","61000","219500","180","27.8","10.3",""
"Jan12-Dec12","0-3 months","North East","All","36900","133100","266","27.8","5.4",""
"Jan12-Dec12","0-3 months","North East","White","34100","125800","242","27.1","8.8",""
"Jan12-Dec12","0-3 months","North East","Ethnic Minority","?","?","?","?","?","Supress"
"Jan12-Dec12","0-3 months","North West","All","80900","295500","404","27.4","4.3",""
"Jan12-Dec12","0-3 months","North West","White","70700","258300","355","27.4","7.3",""
"Jan12-Dec12","0-3 months","North West","Ethnic Minority","10100","37200","49","27.2","19.7",""
"Jan12-Dec12","0-3 months","Scotland","All","68600","214900","451","31.9","4.3",""
