"Title","Length of time spent in unemployment"
"Location","England, Wales and Scotland"
"Time period","2004 to 2016"
"Data source","Department for Work and Pensions"
"Data source link","https://www.ons.gov.uk/employmentandlabourmarket/peopleinwork/employmentandemployeetypes/qmis/annualpopulationsurveyapsqmi"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated","2018-10-09"
"DATE","DURATION","REGION","ETHNICITY","NUMERATOR","DENOMINATOR","SAMP_SIZE","Value","Confidence Interval","Suppress?"
"Jan13-Dec13","0-3 months","London","All","133346","390454","1180","34.2","2.7",""
"Jan13-Dec13","0-3 months","London","White","66440","174623","534","38","6.5",""
"Jan13-Dec13","0-3 months","London","Ethnic Minority","66906","215006","644","31.1","5.6",""
"Jan13-Dec13","0-3 months","North East","All","33565","124385","920","27","2.9",""
"Jan13-Dec13","0-3 months","North East","White","31731","118250","880","26.8","4.6",""
"Jan13-Dec13","0-3 months","North East","Ethnic Minority","1834","6135","40","?","?","Suppress"
"Jan13-Dec13","0-3 months","North West","All","79197","273676","1378","28.9","2.4",""
"Jan13-Dec13","0-3 months","North West","White","68829","239680","1208","28.7","4",""
"Jan13-Dec13","0-3 months","North West","Ethnic Minority","10368","33996","170","30.5","10.9",""
"Jan13-Dec13","0-3 months","Scotland","All","68973","209283","1363","33","2.5",""
"Jan13-Dec13","0-3 months","Scotland","White","63230","197371","1322","32","4",""
"Jan13-Dec13","0-3 months","Scotland","Ethnic Minority","5743","11912","41","?","?","Suppress"
"Jan13-Dec13","0-3 months","South East","All","94745","259006","1015","36.6","3",""
"Jan13-Dec13","0-3 months","South East","White","80787","221848","853","36.4","5.1",""
"Jan13-Dec13","0-3 months","South East","Ethnic Minority","13958","37158","162","37.6","11.8",""
"Jan13-Dec13","0-3 months","South West","All","51729","156473","633","33.1","3.7",""
"Jan13-Dec13","0-3 months","South West","White","47114","141640","574","33.3","6.1",""
"Jan13-Dec13","0-3 months","South West","Ethnic Minority","4615","14833","59","?","?","Suppress"
"Jan13-Dec13","0-3 months","Wales","All","39243","117191","1133","33.5","2.7",""
"Jan13-Dec13","0-3 months","Wales","White","34657","109936","1088","31.5","4.4",""
"Jan13-Dec13","0-3 months","Wales","Ethnic Minority","4586","7255","45","?","?","Suppress"
"Jan13-Dec13","0-3 months","West Midlands","All","61243","236736","906","25.9","2.9",""
"Jan13-Dec13","0-3 months","West Midlands","White","45866","163599","676","28","5.3",""
"Jan13-Dec13","0-3 months","West Midlands","Ethnic Minority","15098","72653","228","20.8","8.3",""
"Jan13-Dec13","0-3 months","Yorkshire and The Humber","All","71300","237390","1030","30","2.8",""
"Jan13-Dec13","0-3 months","Yorkshire and The Humber","White","59500","199033","910","29.9","4.7",""
"Jan13-Dec13","0-3 months","Yorkshire and The Humber","Ethnic Minority","11800","38357","120","30.8","13.1",""
"Jan14-Dec14","0-3 months","All","All","682331","1971441","9078","34.6","1",""
"Jan14-Dec14","0-3 months","All","White","558460","1569534","7571","35.6","1.7",""
"Jan14-Dec14","0-3 months","All","Ethnic Minority","122219","396831","1486","30.8","3.7",""
"Jan14-Dec14","0-3 months","East Midlands","All","43787","130880","444","33.5","4.4",""
"Jan14-Dec14","0-3 months","East Midlands","White","36846","110931","350","33.2","7.8",""
"Jan14-Dec14","0-3 months","East Midlands","Ethnic Minority","6941","19949","94","?","?","Suppress"
"Jan14-Dec14","0-3 months","East of England","All","62308","160491","523","38.8","4.2",""
"Jan14-Dec14","0-3 months","East of England","White","54164","138951","440","39","7.2",""
"Jan14-Dec14","0-3 months","East of England","Ethnic Minority","8144","21540","83","?","?","Suppress"
"Jan14-Dec14","0-3 months","London","All","101550","317582","958","32","3",""
"Jan14-Dec14","0-3 months","London","White","55184","150515","454","36.7","7",""
"Jan14-Dec14","0-3 months","London","Ethnic Minority","46366","165822","501","28","6.2",""
"Jan14-Dec14","0-3 months","North East","All","35793","107978","837","33.1","3.2",""
"Jan14-Dec14","0-3 months","North East","White","33886","102632","792","33","5.2",""
"Jan14-Dec14","0-3 months","North East","Ethnic Minority","1907","5207","44","?","?","Suppress"
"Jan14-Dec14","0-3 months","North West","All","81345","243985","1228","33.3","2.6",""
"Jan14-Dec14","0-3 months","North West","White","67615","206255","1028","32.8","4.5",""
"Jan14-Dec14","0-3 months","North West","Ethnic Minority","13730","37238","197","36.9","10.6",""
"Jan14-Dec14","0-3 months","Scotland","All","55715","169866","1107","32.8","2.8",""
"Jan14-Dec14","0-3 months","Scotland","White","51521","157443","1051","32.7","4.5",""
"Jan14-Dec14","0-3 months","Scotland","Ethnic Minority","3285","10924","47","?","?","Suppress"
"Jan14-Dec14","0-3 months","South East","All","90238","218324","925","41.3","3.2",""
"Jan14-Dec14","0-3 months","South East","White","77221","190761","771","40.5","5.5",""
"Jan14-Dec14","0-3 months","South East","Ethnic Minority","13017","27563","154","47.2","12.5",""
"Jan14-Dec14","0-3 months","South West","All","63168","139610","571","45.2","4.1",""
"Jan14-Dec14","0-3 months","South West","White","56195","122334","515","45.9","6.8",""
"Jan14-Dec14","0-3 months","South West","Ethnic Minority","6973","16977","55","?","?","Suppress"
"Jan14-Dec14","0-3 months","Wales","All","32603","100121","977","32.6","2.9",""
"Jan14-Dec14","0-3 months","Wales","White","30897","95635","945","32.3","4.7",""
"Jan14-Dec14","0-3 months","Wales","Ethnic Minority","1706","4486","32","?","?","Suppress"
"Jan14-Dec14","0-3 months","West Midlands","All","57319","186679","683","30.7","3.5",""
"Jan14-Dec14","0-3 months","West Midlands","White","43757","136059","516","32.2","6.4",""
"Jan14-Dec14","0-3 months","West Midlands","Ethnic Minority","13562","50183","166","27","10.7",""
"Jan14-Dec14","0-3 months","Yorkshire and The Humber","All","58505","195925","825","29.9","3.1",""
"Jan14-Dec14","0-3 months","Yorkshire and The Humber","White","51174","158018","709","32.4","5.4",""
"Jan14-Dec14","0-3 months","Yorkshire and The Humber","Ethnic Minority","6588","36942","113","17.8","11.1",""
"Jan15-Dec15","0-3 months","All","All","640268","1677296","7508","38.2","1.1",""
"Jan15-Dec15","0-3 months","All","White","510483","1311538","6217","38.9","1.9",""
"Jan15-Dec15","0-3 months","All","Ethnic Minority","129181","364501","1286","35.4","4.1",""
"Jan15-Dec15","0-3 months","East Midlands","All","40217","109694","358","36.7","5",""
"Jan15-Dec15","0-3 months","East Midlands","White","33267","90342","272","36.8","9.1",""
"Jan15-Dec15","0-3 months","East Midlands","Ethnic Minority","6950","19352","86","?","?","Suppress"
"Jan15-Dec15","0-3 months","East of England","All","49992","123584","407","40.5","4.8",""
"Jan15-Dec15","0-3 months","East of England","White","44326","109424","340","40.5","8.2",""
"Jan15-Dec15","0-3 months","East of England","Ethnic Minority","5666","14160","67","?","?","Suppress"
"Jan15-Dec15","0-3 months","London","All","106855","284142","820","37.6","3.3",""
"Jan15-Dec15","0-3 months","London","White","56787","129282","375","43.9","7.9",""
"Jan15-Dec15","0-3 months","London","Ethnic Minority","50068","154860","445","32.3","6.9",""
"Jan15-Dec15","0-3 months","North East","All","32729","98037","678","33.4","3.6",""
"Jan15-Dec15","0-3 months","North East","White","30288","92122","638","32.9","5.8",""
"Jan15-Dec15","0-3 months","North East","Ethnic Minority","2441","5915","40","?","?","Suppress"
"Jan15-Dec15","0-3 months","North West","All","66799","186162","943","35.9","3.1",""
"Jan15-Dec15","0-3 months","North West","White","54461","150414","773","36.2","5.4",""
"Jan15-Dec15","0-3 months","North West","Ethnic Minority","12258","35668","169","34.4","11.3",""
"Jan15-Dec15","0-3 months","Scotland","All","56109","158991","976","35.3","3",""
"Jan15-Dec15","0-3 months","Scotland","White","51298","148428","935","34.6","4.8",""
"Jan15-Dec15","0-3 months","Scotland","Ethnic Minority","4287","9386","37","?","?","Suppress"
"Jan15-Dec15","0-3 months","South East","All","93344","194351","752","48","3.6",""
"Jan15-Dec15","0-3 months","South East","White","78124","162545","614","48.1","6.2",""
"Jan15-Dec15","0-3 months","South East","Ethnic Minority","15220","31806","138","47.9","13.2",""
"Jan15-Dec15","0-3 months","South West","All","53151","109970","456","48.3","4.6",""
"Jan15-Dec15","0-3 months","South West","White","49914","99458","421","50.2","7.5",""
"Jan15-Dec15","0-3 months","South West","Ethnic Minority","3237","10512","35","?","?","Suppress"
"Jan15-Dec15","0-3 months","Wales","All","28742","88241","833","32.6","3.2",""
"Jan15-Dec15","0-3 months","Wales","White","27084","82681","798","32.8","5.1",""
"Jan15-Dec15","0-3 months","Wales","Ethnic Minority","1658","5560","35","?","?","Suppress"
"Jan15-Dec15","0-3 months","West Midlands","All","52449","161391","595","32.5","3.8",""
"Jan15-Dec15","0-3 months","West Midlands","White","36930","114812","457","32.2","6.8",""
"Jan15-Dec15","0-3 months","West Midlands","Ethnic Minority","15519","46579","138","33.3","12.4",""
"Jan15-Dec15","0-3 months","Yorkshire and The Humber","All","59881","162733","690","36.8","3.6",""
"Jan15-Dec15","0-3 months","Yorkshire and The Humber","White","48004","132030","594","36.4","6.1",""
"Jan15-Dec15","0-3 months","Yorkshire and The Humber","Ethnic Minority","11877","30703","96","?","?","Suppress"
"Jan16-Dec16","0-3 months","All","All","651296","1551565","6250","42","1.2",""
"Jan16-Dec16","0-3 months","All","White","526869","1214736","5152","43.4","2.1",""
"Jan16-Dec16","0-3 months","All","Ethnic Minority","123680","335591","1093","36.9","4.5",""
"Jan16-Dec16","0-3 months","East Midlands","All","43338","100611","299","43.1","5.6",""
"Jan16-Dec16","0-3 months","East Midlands","White","36599","87941","253","41.6","9.6",""
"Jan16-Dec16","0-3 months","East Midlands","Ethnic Minority","6739","12670","46","?","?","Suppress"
"Jan16-Dec16","0-3 months","East of England","All","54037","120560","378","44.8","5",""
"Jan16-Dec16","0-3 months","East of England","White","47041","104224","307","45.1","8.8",""
"Jan16-Dec16","0-3 months","East of England","Ethnic Minority","6996","16336","71","?","?","Suppress"
"Jan16-Dec16","0-3 months","London","All","114819","269707","713","42.6","3.6",""
"Jan16-Dec16","0-3 months","London","White","61526","117967","322","52.2","8.6",""
"Jan16-Dec16","0-3 months","London","Ethnic Minority","53293","151740","391","35.1","7.5",""
"Jan16-Dec16","0-3 months","North East","All","26100","84893","498","30.7","4.1",""
"Jan16-Dec16","0-3 months","North East","White","24597","78985","466","31.1","6.6",""
"Jan16-Dec16","0-3 months","North East","Ethnic Minority","1503","5772","31","?","?","Suppress"
"Jan16-Dec16","0-3 months","North West","All","78262","181029","828","43.2","3.4",""
"Jan16-Dec16","0-3 months","North West","White","65831","150517","693","43.7","5.8",""
"Jan16-Dec16","0-3 months","North West","Ethnic Minority","12431","30512","135","40.7","13.1",""
"Jan16-Dec16","0-3 months","Scotland","All","56738","131385","735","43.2","3.6",""
"Jan16-Dec16","0-3 months","Scotland","White","54301","123783","703","43.9","5.8",""
"Jan16-Dec16","0-3 months","Scotland","Ethnic Minority","2014","7179","31","?","?","Suppress"
"Jan16-Dec16","0-3 months","South East","All","85937","188448","660","45.6","3.8",""
"Jan16-Dec16","0-3 months","South East","White","70505","159799","534","44.1","6.7",""
"Jan16-Dec16","0-3 months","South East","Ethnic Minority","15432","28294","125","54.5","13.8",""
"Jan16-Dec16","0-3 months","South West","All","56789","113955","436","49.8","4.7",""
"Jan16-Dec16","0-3 months","South West","White","52858","104062","403","50.8","7.7",""
"Jan16-Dec16","0-3 months","South West","Ethnic Minority","3931","9893","33","?","?","Suppress"
"Jan16-Dec16","0-3 months","Wales","All","28465","68424","582","41.6","4",""
"Jan16-Dec16","0-3 months","Wales","White","26996","65910","568","41","6.4",""
"Jan16-Dec16","0-3 months","Wales","Ethnic Minority","1469","2514","14","?","?","Suppress"
"Jan16-Dec16","0-3 months","West Midlands","All","53862","153842","555","35","4",""
"Jan16-Dec16","0-3 months","West Midlands","White","38992","103331","402","37.7","7.5",""
"Jan16-Dec16","0-3 months","West Midlands","Ethnic Minority","14546","50187","151","29","11.4",""
"Jan16-Dec16","0-3 months","Yorkshire and The Humber","All","52949","138711","566","38.2","4",""
"Jan16-Dec16","0-3 months","Yorkshire and The Humber","White","47623","118217","501","40.3","6.8",""
"Jan16-Dec16","0-3 months","Yorkshire and The Humber","Ethnic Minority","5326","20494","65","?","?","Suppress"
"Jan04-Dec04","3-12 months","All","All","432249","1378994","3245","31.3","1.6",""
"Jan04-Dec04","3-12 months","All","White","346549","1133535","2845","30.6","2.7",""
"Jan04-Dec04","3-12 months","All","Ethnic Minority","85533","243305","399","35.2","7.4",""
"Jan04-Dec04","3-12 months","East Midlands","All","26978","91213","236","29.6","5.8",""
"Jan04-Dec04","3-12 months","East Midlands","White","23181","79189","210","29.3","9.7",""
"Jan04-Dec04","3-12 months","East Midlands","Ethnic Minority","3630","11773","25","?","?","Suppress"
"Jan04-Dec04","3-12 months","East of England","All","31861","103578","260","30.8","5.6",""
"Jan04-Dec04","3-12 months","East of England","White","27830","93633","229","29.7","9.4",""
"Jan04-Dec04","3-12 months","East of England","Ethnic Minority","4031","9945","31","?","?","Suppress"
"Jan04-Dec04","3-12 months","London","All","98907","273105","366","36.2","4.9",""
"Jan04-Dec04","3-12 months","London","White","52544","150475","202","34.9","10.4",""
"Jan04-Dec04","3-12 months","London","Ethnic Minority","46363","121787","164","38.1","11.7",""
"Jan04-Dec04","3-12 months","North East","All","20837","68997","258","30.2","5.6",""
"Jan04-Dec04","3-12 months","North East","White","20195","66182","250","30.5","9",""
"Jan04-Dec04","3-12 months","North East","Ethnic Minority","642","2815","8","?","?","Suppress"
"Jan04-Dec04","3-12 months","North West","All","49172","152899","393","32.2","4.6",""
"Jan04-Dec04","3-12 months","North West","White","42113","136458","348","30.9","7.7",""
"Jan04-Dec04","3-12 months","North West","Ethnic Minority","7059","16441","45","?","?","Suppress"
"Jan04-Dec04","3-12 months","Scotland","All","42717","137055","401","31.2","4.5",""
"Jan04-Dec04","3-12 months","Scotland","White","41365","132191","393","31.3","7.2",""
"Jan04-Dec04","3-12 months","Scotland","Ethnic Minority","1352","4717","8","?","?","Suppress"
"Jan04-Dec04","3-12 months","South East","All","46108","156733","372","29.4","4.6",""
"Jan04-Dec04","3-12 months","South East","White","41799","139704","337","29.9","7.7",""
"Jan04-Dec04","3-12 months","South East","Ethnic Minority","4309","16667","35","?","?","Suppress"
"Jan04-Dec04","3-12 months","South West","All","25284","85160","241","29.7","5.8",""
"Jan04-Dec04","3-12 months","South West","White","24218","81679","233","29.7","9.3",""
"Jan04-Dec04","3-12 months","South West","Ethnic Minority","1066","3354","8","?","?","Suppress"
"Jan04-Dec04","3-12 months","Wales","All","17591","65259","258","27","5.4",""
"Jan04-Dec04","3-12 months","Wales","White","16836","61563","251","27.3","8.7",""
"Jan04-Dec04","3-12 months","Wales","Ethnic Minority","755","3362","7","?","?","Suppress"
"Jan04-Dec04","3-12 months","West Midlands","All","41565","133853","272","31.1","5.5",""
"Jan04-Dec04","3-12 months","West Midlands","White","30380","98418","226","30.9","9.5",""
"Jan04-Dec04","3-12 months","West Midlands","Ethnic Minority","11185","35345","46","?","?","Suppress"
"Jan04-Dec04","3-12 months","Yorkshire and The Humber","All","31229","111142","188","28.1","6.4",""
"Jan04-Dec04","3-12 months","Yorkshire and The Humber","White","26088","94043","166","27.7","10.8",""
"Jan04-Dec04","3-12 months","Yorkshire and The Humber","Ethnic Minority","5141","17099","22","?","?","Suppress"
"Jan05-Dec05","3-12 months","All","All","462923","1442722","3339","32.1","1.6",""
"Jan05-Dec05","3-12 months","All","White","380030","1182474","2938","32.1","2.7",""
"Jan05-Dec05","3-12 months","All","Ethnic Minority","82453","258567","398","31.9","7.2",""
"Jan05-Dec05","3-12 months","East Midlands","All","35195","102682","278","34.3","5.6",""
"Jan05-Dec05","3-12 months","East Midlands","White","30259","88217","246","34.3","9.4",""
"Jan05-Dec05","3-12 months","East Midlands","Ethnic Minority","4936","14465","32","?","?","Suppress"
"Jan05-Dec05","3-12 months","East of England","All","34929","113651","285","30.7","5.4",""
"Jan05-Dec05","3-12 months","East of England","White","31366","101765","256","30.8","8.9",""
"Jan05-Dec05","3-12 months","East of England","Ethnic Minority","3563","11810","29","?","?","Suppress"
"Jan05-Dec05","3-12 months","London","All","89856","276312","306","32.5","5.2",""
"Jan05-Dec05","3-12 months","London","White","47758","141726","164","33.7","11.4",""
"Jan05-Dec05","3-12 months","London","Ethnic Minority","42098","134333","142","31.3","12.1",""
"Jan05-Dec05","3-12 months","North East","All","23085","68070","255","33.9","5.8",""
"Jan05-Dec05","3-12 months","North East","White","21956","65054","244","33.8","9.4",""
"Jan05-Dec05","3-12 months","North East","Ethnic Minority","1003","2890","10","?","?","Suppress"
"Jan05-Dec05","3-12 months","North West","All","55196","173269","431","31.9","4.4",""
"Jan05-Dec05","3-12 months","North West","White","49571","154778","393","32","7.3",""
"Jan05-Dec05","3-12 months","North West","Ethnic Minority","5625","18098","38","?","?","Suppress"
"Jan05-Dec05","3-12 months","Scotland","All","44119","137525","402","32.1","4.6",""
"Jan05-Dec05","3-12 months","Scotland","White","42644","133561","391","31.9","7.3",""
"Jan05-Dec05","3-12 months","Scotland","Ethnic Minority","1475","3902","11","?","?","Suppress"
"Jan05-Dec05","3-12 months","South East","All","48558","159982","391","30.4","4.6",""
"Jan05-Dec05","3-12 months","South East","White","42186","142363","339","29.6","7.7",""
"Jan05-Dec05","3-12 months","South East","Ethnic Minority","6058","17150","50","?","?","Suppress"
"Jan05-Dec05","3-12 months","South West","All","26298","87150","212","30.2","6.2",""
"Jan05-Dec05","3-12 months","South West","White","25875","84270","209","30.7","9.9",""
"Jan05-Dec05","3-12 months","South West","Ethnic Minority","423","2880","3","?","?","Suppress"
"Jan05-Dec05","3-12 months","Wales","All","23372","71638","297","32.6","5.3",""
"Jan05-Dec05","3-12 months","Wales","White","21093","66552","277","31.7","8.7",""
"Jan05-Dec05","3-12 months","Wales","Ethnic Minority","2279","5086","20","?","?","Suppress"
"Jan05-Dec05","3-12 months","West Midlands","All","42527","132892","267","32","5.6",""
"Jan05-Dec05","3-12 months","West Midlands","White","31931","98260","222","32.5","9.7",""
"Jan05-Dec05","3-12 months","West Midlands","Ethnic Minority","10596","34330","45","?","?","Suppress"
"Jan05-Dec05","3-12 months","Yorkshire and The Humber","All","39788","119551","215","33.3","6.3",""
"Jan05-Dec05","3-12 months","Yorkshire and The Humber","White","35391","105928","197","33.4","10.4",""
"Jan06-Dec06","3-12 months","Yorkshire and The Humber","Ethnic Minority","4397","13623","18","?","?","Suppress"
"Jan06-Dec06","3-12 months","All","White","441537","1292871","2553","34.2","2.9",""
"Jan06-Dec06","3-12 months","All","Ethnic Minority","111572","303853","463","36.7","6.9",""
"Jan06-Dec06","3-12 months","East Midlands","All","40947","116416","165","35.2","7.3",""
"Jan06-Dec06","3-12 months","East Midlands","White","36436","101660","141","35.8","12.5",""
"Jan06-Dec06","3-12 months","East Midlands","Ethnic Minority","4511","14756","24","?","?","Suppress"
"Jan06-Dec06","3-12 months","East of England","All","42226","131115","179","32.2","6.8",""
"Jan06-Dec06","3-12 months","East of England","White","37002","114297","148","32.4","11.9",""
"Jan06-Dec06","3-12 months","East of England","Ethnic Minority","5136","15935","30","?","?","Suppress"
"Jan06-Dec06","3-12 months","London","All","111622","298955","386","37.3","4.8",""
"Jan06-Dec06","3-12 months","London","White","49467","141274","175","35","11.2",""
"Jan06-Dec06","3-12 months","London","Ethnic Minority","62155","157282","211","39.5","10.4",""
"Jan06-Dec06","3-12 months","North East","All","31489","84161","261","37.4","5.9",""
"Jan06-Dec06","3-12 months","North East","White","29741","80144","245","37.1","9.6",""
"Jan06-Dec06","3-12 months","North East","Ethnic Minority","1478","3540","15","?","?","Suppress"
"Jan06-Dec06","3-12 months","North West","All","61713","178427","365","34.6","4.9",""
"Jan06-Dec06","3-12 months","North West","White","53739","156174","317","34.4","8.3",""
"Jan06-Dec06","3-12 months","North West","Ethnic Minority","7974","22253","48","?","?","Suppress"
"Jan06-Dec06","3-12 months","Scotland","All","45509","136648","421","33.3","4.5",""
"Jan06-Dec06","3-12 months","Scotland","White","44007","131455","413","33.5","7.2",""
"Jan06-Dec06","3-12 months","Scotland","Ethnic Minority","1502","5193","8","?","?","Suppress"
"Jan06-Dec06","3-12 months","South East","All","64517","195378","311","33","5.2",""
"Jan06-Dec06","3-12 months","South East","White","59165","179864","277","32.9","8.7",""
"Jan06-Dec06","3-12 months","South East","Ethnic Minority","5352","15514","34","?","?","Suppress"
"Jan06-Dec06","3-12 months","South West","All","32191","96536","149","33.3","7.6",""
"Jan06-Dec06","3-12 months","South West","White","31122","90806","144","34.3","12.3",""
"Jan06-Dec06","3-12 months","South West","Ethnic Minority","1069","5730","5","?","?","Suppress"
"Jan06-Dec06","3-12 months","Wales","All","23926","73102","305","32.7","5.3",""
"Jan06-Dec06","3-12 months","Wales","White","23096","69368","300","33.3","8.4",""
"Jan06-Dec06","3-12 months","Wales","Ethnic Minority","786","3690","4","?","?","Suppress"
"Jan06-Dec06","3-12 months","West Midlands","All","51815","146394","230","35.4","6.2",""
"Jan06-Dec06","3-12 months","West Midlands","White","37236","103814","172","35.9","11.3",""
"Jan06-Dec06","3-12 months","West Midlands","Ethnic Minority","14579","42580","58","?","?","Suppress"
"Jan06-Dec06","3-12 months","Yorkshire and The Humber","All","47556","141395","247","33.6","5.9",""
"Jan06-Dec06","3-12 months","Yorkshire and The Humber","White","40526","124015","221","32.7","9.8",""
"Jan06-Dec06","3-12 months","Yorkshire and The Humber","Ethnic Minority","7030","17380","26","?","?","Suppress"
"Jan07-Dec07","3-12 months","All","All","527703","1558666","2765","33.9","1.8",""
"Jan07-Dec07","3-12 months","All","White","421917","1258081","2335","33.5","3",""
"Jan07-Dec07","3-12 months","All","Ethnic Minority","105291","299148","428","35.2","7.1",""
"Jan07-Dec07","3-12 months","East Midlands","All","40168","112652","168","35.7","7.2",""
"Jan07-Dec07","3-12 months","East Midlands","White","34066","96574","134","35.3","12.8",""
"Jan07-Dec07","3-12 months","East Midlands","Ethnic Minority","6102","15941","34","?","?","Suppress"
"Jan07-Dec07","3-12 months","East of England","All","44727","124701","174","35.9","7.1",""
"Jan07-Dec07","3-12 months","East of England","White","38583","105922","144","36.4","12.4",""
"Jan07-Dec07","3-12 months","East of England","Ethnic Minority","6144","18779","30","?","?","Suppress"
"Jan07-Dec07","3-12 months","London","All","94354","272793","313","34.6","5.3",""
"Jan07-Dec07","3-12 months","London","White","41041","128085","141","32","12.2",""
"Jan07-Dec07","3-12 months","London","Ethnic Minority","53069","144464","171","36.7","11.4",""
"Jan07-Dec07","3-12 months","North East","All","27405","75769","214","36.2","6.4",""
"Jan07-Dec07","3-12 months","North East","White","26149","73140","202","35.8","10.4",""
"Jan07-Dec07","3-12 months","North East","Ethnic Minority","1256","2629","12","?","?","Suppress"
"Jan07-Dec07","3-12 months","North West","All","66295","189839","372","34.9","4.8",""
"Jan07-Dec07","3-12 months","North West","White","57457","162834","325","35.3","8.2",""
"Jan07-Dec07","3-12 months","North West","Ethnic Minority","8838","27005","47","?","?","Suppress"
"Jan07-Dec07","3-12 months","Scotland","All","43488","124588","383","34.9","4.8",""
"Jan07-Dec07","3-12 months","Scotland","White","42367","119974","375","35.3","7.6",""
"Jan07-Dec07","3-12 months","Scotland","Ethnic Minority","1121","4614","8","?","?","Suppress"
"Jan07-Dec07","3-12 months","South East","All","61533","182381","267","33.7","5.7",""
"Jan07-Dec07","3-12 months","South East","White","54152","162182","235","33.4","9.5",""
"Jan07-Dec07","3-12 months","South East","Ethnic Minority","7381","19517","32","?","?","Suppress"
"Jan07-Dec07","3-12 months","South West","All","29778","102301","145","29.1","7.4",""
"Jan07-Dec07","3-12 months","South West","White","28649","95897","139","29.9","12",""
"Jan07-Dec07","3-12 months","South West","Ethnic Minority","1129","6404","6","?","?","Suppress"
"Jan07-Dec07","3-12 months","Wales","All","24410","78994","282","30.9","5.4",""
"Jan07-Dec07","3-12 months","Wales","White","22833","74762","269","30.5","8.7",""
"Jan07-Dec07","3-12 months","Wales","Ethnic Minority","1577","4109","13","?","?","Suppress"
"Jan07-Dec07","3-12 months","West Midlands","All","52596","156054","228","33.7","6.1",""
"Jan07-Dec07","3-12 months","West Midlands","White","40498","119383","178","33.9","11",""
"Jan07-Dec07","3-12 months","West Midlands","Ethnic Minority","12098","36671","50","?","?","Suppress"
"Jan07-Dec07","3-12 months","Yorkshire and The Humber","All","42949","138594","219","31","6.1",""
"Jan07-Dec07","3-12 months","Yorkshire and The Humber","White","36122","119328","193","30.3","10.2",""
"Jan07-Dec07","3-12 months","Yorkshire and The Humber","Ethnic Minority","6576","19015","25","?","?","Suppress"
"Jan08-Dec08","3-12 months","All","All","583832","1738374","2993","33.6","1.7",""
"Jan08-Dec08","3-12 months","All","White","474781","1410446","2537","33.7","2.9",""
"Jan08-Dec08","3-12 months","All","Ethnic Minority","108631","327128","455","33.2","6.8",""
"Jan08-Dec08","3-12 months","East Midlands","All","46082","132900","177","34.7","7",""
"Jan08-Dec08","3-12 months","East Midlands","White","38934","112975","142","34.5","12.4",""
"Jan08-Dec08","3-12 months","East Midlands","Ethnic Minority","7148","19925","35","?","?","Suppress"
"Jan08-Dec08","3-12 months","East of England","All","46790","142659","185","32.8","6.8",""
"Jan08-Dec08","3-12 months","East of England","White","40200","125760","153","32","11.7",""
"Jan08-Dec08","3-12 months","East of England","Ethnic Minority","6590","16776","32","?","?","Suppress"
"Jan08-Dec08","3-12 months","London","All","92159","285533","319","32.3","5.1",""
"Jan08-Dec08","3-12 months","London","White","43405","130528","156","33.3","11.7",""
"Jan08-Dec08","3-12 months","London","Ethnic Minority","48754","154748","163","31.5","11.3",""
"Jan08-Dec08","3-12 months","North East","All","34425","92918","253","37","5.9",""
"Jan08-Dec08","3-12 months","North East","White","31943","88496","234","36.1","9.7",""
"Jan08-Dec08","3-12 months","North East","Ethnic Minority","2482","4422","19","?","?","Suppress"
"Jan08-Dec08","3-12 months","North West","All","70261","213353","400","32.9","4.6",""
"Jan08-Dec08","3-12 months","North West","White","60233","184896","343","32.6","7.8",""
"Jan08-Dec08","3-12 months","North West","Ethnic Minority","10028","28457","57","?","?","Suppress"
"Jan08-Dec08","3-12 months","Scotland","All","45124","130125","354","34.7","5",""
"Jan08-Dec08","3-12 months","Scotland","White","42715","125052","340","34.2","8",""
"Jan08-Dec08","3-12 months","Scotland","Ethnic Minority","2409","5073","14","?","?","Suppress"
"Jan08-Dec08","3-12 months","South East","All","66529","195892","264","34","5.7",""
"Jan08-Dec08","3-12 months","South East","White","58267","173470","224","33.6","9.8",""
"Jan08-Dec08","3-12 months","South East","Ethnic Minority","7842","22002","39","?","?","Suppress"
"Jan08-Dec08","3-12 months","South West","All","33372","109110","161","30.6","7.1",""
"Jan08-Dec08","3-12 months","South West","White","30969","102469","152","30.2","11.5",""
"Jan08-Dec08","3-12 months","South West","Ethnic Minority","2403","6641","9","?","?","Suppress"
"Jan08-Dec08","3-12 months","Wales","All","33036","90289","340","36.6","5.1",""
"Jan08-Dec08","3-12 months","Wales","White","32353","85879","333","37.7","8.2",""
"Jan08-Dec08","3-12 months","Wales","Ethnic Minority","683","4410","7","?","?","Suppress"
"Jan08-Dec08","3-12 months","West Midlands","All","61886","185632","271","33.3","5.6",""
"Jan08-Dec08","3-12 months","West Midlands","White","48266","141884","217","34","10",""
"Jan08-Dec08","3-12 months","West Midlands","Ethnic Minority","13620","43748","54","?","?","Suppress"
"Jan08-Dec08","3-12 months","Yorkshire and The Humber","All","54168","159963","269","33.9","5.7",""
"Jan08-Dec08","3-12 months","Yorkshire and The Humber","White","47496","139037","243","34.2","9.4",""
"Jan08-Dec08","3-12 months","Yorkshire and The Humber","Ethnic Minority","6672","20926","26","?","?","Suppress"
"Jan09-Dec09","3-12 months","All","All","912151","2343262","4579","38.9","1.4",""
