"Title","Writing attainment for children aged 7 to 11 by ethnicity and area"
"Location","England"
"Time period","2015/16"
"Data source","Key stage 2 statistics"
"Data source link","https://www.gov.uk/government/statistics/national-curriculum-assessments-key-stage-2-2016-revised"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated","01/09/2016 (provisional)"

"Ethnicity","Local authority","%"
"Chinese","County Durham","!"
"Chinese","Darlington","!"
"Chinese","Gateshead","!"
"Chinese","Hartlepool","!"
"Chinese","Middlesbrough","!"
"Chinese","Newcastle upon Tyne","73"
"Chinese","North Tyneside","100"
"Chinese","Northumberland","!"
"Chinese","Redcar and Cleveland","!"
"Chinese","South Tyneside","!"
"Chinese","Stockton-on-Tees","!"
"Chinese","Sunderland","!"
"Chinese","Blackburn with Darwen","!"
"Chinese","Blackpool","!"
"Chinese","Bolton","100"
"Chinese","Bury","!"
"Chinese","Cheshire East","67"
"Chinese","Cheshire West and Chester","!"
"Chinese","Cumbria","79"
"Chinese","Halton","!"
"Chinese","Knowsley","!"
"Chinese","Lancashire","88"
"Chinese","Liverpool","80"
"Chinese","Manchester","75"
"Chinese","Oldham","!"
"Chinese","Rochdale","!"
"Chinese","Salford","100"
"Chinese","Sefton","!"
"Chinese","St. Helens","57"
"Chinese","Stockport","!"
"Chinese","Tameside","57"
"Chinese","Trafford","85"
"Chinese","Warrington","100"
"Chinese","Wigan","100"
"Chinese","Wirral","!"
"Chinese","Barnsley","!"
"Chinese","Bradford","50"
"Chinese","Calderdale","!"
"Chinese","Doncaster","!"
"Chinese","East Riding of Yorkshire","!"
"Chinese","Kingston upon Hull, City of","!"
"Chinese","Kirklees","!"
"Chinese","Leeds","74"
"Chinese","North East Lincolnshire","!"
"Chinese","North Lincolnshire","100"
"Chinese","North Yorkshire","!"
"Chinese","Rotherham","57"
"Chinese","Sheffield","81"
"Chinese","Wakefield","79"
"Chinese","York","!"
"Chinese","Derby","!"
"Chinese","Derbyshire","!"
"Chinese","Leicester","!"
"Chinese","Leicestershire","83"
"Chinese","Lincolnshire","!"
"Chinese","Northamptonshire","!"
"Chinese","Nottingham","!"
"Chinese","Nottinghamshire","!"
"Chinese","Rutland","!"
"Chinese","Birmingham","83"
"Chinese","Coventry","!"
"Chinese","Dudley","!"
"Chinese","Herefordshire, County of","!"
"Chinese","Sandwell","100"
"Chinese","Shropshire","!"
"Chinese","Solihull","100"
"Chinese","Staffordshire","85"
"Chinese","Stoke-on-Trent","!"
"Chinese","Telford and Wrekin","!"
"Chinese","Walsall","100"
"Chinese","Warwickshire","81"
"Chinese","Wolverhampton","!"
"Chinese","Worcestershire","50"
"Chinese","Bedford","!"
"Chinese","Cambridgeshire","79"
"Chinese","Central Bedfordshire","80"
"Chinese","Essex","91"
"Chinese","Hertfordshire","92"
"Chinese","Luton","100"
"Chinese","Norfolk","84"
"Chinese","Peterborough","57"
"Chinese","Southend-on-Sea","73"
"Chinese","Suffolk","!"
"Chinese","Thurrock","!"
"Chinese","Camden","79"
"Chinese","City of London","!"
"Chinese","Hackney","100"
"Chinese","Hammersmith and Fulham","!"
"Chinese","Haringey","!"
"Chinese","Islington","!"
"Chinese","Kensington and Chelsea","!"
"Chinese","Lambeth","!"
"Chinese","Lewisham","88"
"Chinese","Newham","79"
"Chinese","Southwark","88"
"Chinese","Tower Hamlets","100"
"Chinese","Wandsworth","73"
"Chinese","Westminster","!"
"Chinese","Barking and Dagenham","!"
"Chinese","Barnet","86"
"Chinese","Bexley","!"
"Chinese","Brent","!"
"Chinese","Bromley","84"
"Chinese","Croydon","!"
"Chinese","Ealing","!"
"Chinese","Enfield","!"
"Chinese","Greenwich","!"
"Chinese","Harrow","!"
"Chinese","Havering","!"
"Chinese","Hillingdon","!"
"Chinese","Hounslow","100"
"Chinese","Kingston upon Thames","!"
"Chinese","Merton","100"
"Chinese","Redbridge","100"
"Chinese","Richmond upon Thames","100"
"Chinese","Sutton","100"
"Chinese","Waltham Forest","!"
"Chinese","Bracknell Forest","!"
"Chinese","Brighton and Hove","100"
"Chinese","Buckinghamshire","84"
"Chinese","East Sussex","65"
"Chinese","Hampshire","81"
"Chinese","Isle of Wight","!"
"Chinese","Kent","93"
"Chinese","Medway","!"
"Chinese","Milton Keynes","82"
"Chinese","Oxfordshire","85"
"Chinese","Portsmouth","!"
"Chinese","Reading","!"
"Chinese","Slough","!"
"Chinese","Southampton","75"
"Chinese","Surrey","88"
"Chinese","West Berkshire","!"
"Chinese","West Sussex","58"
"Chinese","Windsor and Maidenhead","!"
"Chinese","Wokingham","!"
"Chinese","Bath and North East Somerset","!"
"Chinese","Bournemouth","!"
"Chinese","Bristol, City of","75"
"Chinese","Cornwall","!"
"Chinese","Devon","56"
"Chinese","Dorset","100"
"Chinese","Gloucestershire","71"
"Chinese","Isles of Scilly","!"
"Chinese","North Somerset","!"
"Chinese","Plymouth","100"
"Chinese","Poole","!"
"Chinese","Somerset","!"
"Chinese","South Gloucestershire","!"
"Chinese","Swindon","!"
"Chinese","Torbay","!"
"Chinese","Wiltshire","!"
"Mixed","County Durham","82"
"Mixed","Darlington","86"
"Mixed","Gateshead","79"
"Mixed","Hartlepool","!"
"Mixed","Middlesbrough","76"
"Mixed","Newcastle upon Tyne","79"
"Mixed","North Tyneside","76"
"Mixed","Northumberland","75"
"Mixed","Redcar and Cleveland","!"
"Mixed","South Tyneside","!"
"Mixed","Stockton-on-Tees","88"
"Mixed","Sunderland","78"
"Mixed","Blackburn with Darwen","65"
"Mixed","Blackpool","88"
"Mixed","Bolton","76"
"Mixed","Bury","76"
"Mixed","Cheshire East","61"
"Mixed","Cheshire West and Chester","77"
"Mixed","Cumbria","71"
"Mixed","Halton","68"
"Mixed","Knowsley","81"
"Mixed","Lancashire","80"
"Mixed","Liverpool","56"
"Mixed","Manchester","71"
"Mixed","Oldham","68"
"Mixed","Rochdale","69"
"Mixed","Salford","81"
"Mixed","Sefton","91"
"Mixed","St. Helens","80"
"Mixed","Stockport","83"
"Mixed","Tameside","75"
"Mixed","Trafford","81"
"Mixed","Warrington","89"
"Mixed","Wigan","75"
"Mixed","Wirral","67"
"Mixed","Barnsley","77"
"Mixed","Bradford","75"
"Mixed","Calderdale","71"
"Mixed","Doncaster","75"
"Mixed","East Riding of Yorkshire","78"
"Mixed","Kingston upon Hull, City of","81"
"Mixed","Kirklees","70"
"Mixed","Leeds","70"
"Mixed","North East Lincolnshire","85"
"Mixed","North Lincolnshire","81"
"Mixed","North Yorkshire","88"
"Mixed","Rotherham","78"
"Mixed","Sheffield","72"
"Mixed","Wakefield","81"
"Mixed","York","86"
"Mixed","Derby","79"
"Mixed","Derbyshire","76"
"Mixed","Leicester","75"
"Mixed","Leicestershire","72"
"Mixed","Lincolnshire","71"
"Mixed","Northamptonshire","73"
"Mixed","Nottingham","72"
"Mixed","Nottinghamshire","79"
"Mixed","Rutland","!"
"Mixed","Birmingham","70"
"Mixed","Coventry","74"
"Mixed","Dudley","72"
"Mixed","Herefordshire, County of","77"
"Mixed","Sandwell","73"
"Mixed","Shropshire","76"
"Mixed","Solihull","76"
"Mixed","Staffordshire","71"
"Mixed","Stoke-on-Trent","66"
"Mixed","Telford and Wrekin","71"
"Mixed","Walsall","79"
