"Title","Writing attainments for children aged 7 to 11 (key stage 2)"
"Time period","2015/16"
"Location","England"
"Source","Key stage 2 statistics"
"Department","Department for Education"
"Last update","12 January 2017 (revised)"
"
"
Measure,Year,Year_type,Region,Local Authority,LA Code,Ethnicity,Ethnicity type,Gender,Gender_type,Value,Value_type,Denominator
Percentage of pupils reaching the expected standard in writing by ethnicity ,2015 to 2016,Academic year,England,All,E92000001,All,All,All,All/Boys/Girls,74,%,"585,577"
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,South West,Swindon,E06000030,White,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,59,%,"2,042"
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,South West,Torbay,E06000027,White,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,67,%,"1,307"
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,South West,Wiltshire,E06000054,White,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,74,%,"4,586"
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,North East,County Durham,E06000047,Mixed,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,82,%,65
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,North East,Darlington,E06000005,Mixed,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,86,%,21
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,North East,Gateshead,E08000037,Mixed,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,79,%,33
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,North East,Hartlepool,E06000001,Mixed,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,!,%,11
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,North East,Middlesbrough,E06000002,Mixed,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,76,%,67
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,North East,Newcastle upon Tyne,E08000021,Mixed,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,79,%,84
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,North East,North Tyneside,E08000022,Mixed,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,76,%,42
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,North East,Northumberland,E06000057,Mixed,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,75,%,59
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,North East,Redcar and Cleveland,E06000003,Mixed,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,!,%,28
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,North East,South Tyneside,E08000023,Mixed,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,!,%,30
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,North East,Stockton-on-Tees,E06000004,Mixed,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,88,%,58
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,North East,Sunderland,E08000024,Mixed,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,78,%,32
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,North West,Blackburn with Darwen,E06000008,Mixed,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,65,%,60
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,North West,Blackpool,E06000009,Mixed,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,88,%,43
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,North West,Bolton,E08000001,Mixed,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,76,%,125
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,North West,Bury,E08000002,Mixed,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,76,%,85
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,North West,Cheshire East,E06000049,Mixed,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,61,%,134
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,North West,Cheshire West and Chester,E06000050,Mixed,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,77,%,78
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,North West,Cumbria,E10000006,Mixed,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,71,%,59
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,North West,Halton,E06000006,Mixed,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,68,%,41
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,North West,Knowsley,E08000011,Mixed,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,81,%,27
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,North West,Lancashire,E10000017,Mixed,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,80,%,367
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,North West,Liverpool,E08000012,Mixed,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,56,%,216
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,North West,Manchester,E08000003,Mixed,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,71,%,446
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,North West,Oldham,E08000004,Mixed,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,68,%,132
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,North West,Rochdale,E08000005,Mixed,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,69,%,103
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,North West,Salford,E08000006,Mixed,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,81,%,146
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,North West,Sefton,E08000014,Mixed,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,91,%,57
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,North West,St. Helens,E08000013,Mixed,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,80,%,35
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,North West,Stockport,E08000007,Mixed,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,83,%,142
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,North West,Tameside,E08000008,Mixed,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,75,%,100
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,North West,Trafford,E08000009,Mixed,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,81,%,170
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,North West,Warrington,E06000007,Mixed,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,89,%,75
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,North West,Wigan,E08000010,Mixed,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,75,%,71
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,North West,Wirral,E08000015,Mixed,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,67,%,85
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,Yorkshire and The Humber,Barnsley,E08000016,Mixed,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,77,%,61
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,Yorkshire and The Humber,Bradford,E08000032,Mixed,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,75,%,349
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,Yorkshire and The Humber,Calderdale,E08000033,Mixed,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,71,%,102
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,Yorkshire and The Humber,Doncaster,E08000017,Mixed,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,75,%,91
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,Yorkshire and The Humber,East Riding of Yorkshire,E06000011,Mixed,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,78,%,69
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,Yorkshire and The Humber,"Kingston upon Hull, City of",E06000010,Mixed,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,81,%,107
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,Yorkshire and The Humber,Kirklees,E08000034,Mixed,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,70,%,310
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,Yorkshire and The Humber,Leeds,E08000035,Mixed,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,70,%,463
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,Yorkshire and The Humber,North East Lincolnshire,E06000012,Mixed,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,85,%,41
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,Yorkshire and The Humber,North Lincolnshire,E06000013,Mixed,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,81,%,42
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,Yorkshire and The Humber,North Yorkshire,E10000023,Mixed,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,88,%,130
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,Yorkshire and The Humber,Rotherham,E08000018,Mixed,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,78,%,95
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,Yorkshire and The Humber,Sheffield,E08000019,Mixed,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,72,%,415
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,Yorkshire and The Humber,Wakefield,E08000036,Mixed,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,81,%,121
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,Yorkshire and The Humber,York,E06000014,Mixed,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,86,%,37
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,East Midlands,Derby,E06000015,Mixed,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,79,%,210
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,East Midlands,Derbyshire,E10000007,Mixed,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,76,%,190
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,East Midlands,Leicester,E06000016,Mixed,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,75,%,279
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,East Midlands,Leicestershire,E10000018,Mixed,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,72,%,294
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,East Midlands,Lincolnshire,E10000019,Mixed,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,71,%,180
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,East Midlands,Northamptonshire,E10000021,Mixed,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,73,%,413
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,East Midlands,Nottingham,E06000018,Mixed,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,72,%,366
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,East Midlands,Nottinghamshire,E10000024,Mixed,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,79,%,332
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,East Midlands,Rutland,E06000017,Mixed,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,!,%,12
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,West Midlands,Birmingham,E08000025,Mixed,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,70,%,"1,069"
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,West Midlands,Coventry,E08000026,Mixed,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,74,%,258
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,West Midlands,Dudley,E08000027,Mixed,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,72,%,172
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,West Midlands,"Herefordshire, County of",E06000019,Mixed,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,77,%,53
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,West Midlands,Sandwell,E08000028,Mixed,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,73,%,319
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,West Midlands,Shropshire,E06000051,Mixed,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,76,%,74
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,West Midlands,Solihull,E08000029,Mixed,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,76,%,169
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,West Midlands,Staffordshire,E10000028,Mixed,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,71,%,290
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,West Midlands,Stoke-on-Trent,E06000021,Mixed,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,66,%,140
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,West Midlands,Telford and Wrekin,E06000020,Mixed,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,71,%,100
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,West Midlands,Walsall,E08000030,Mixed,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,79,%,185
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,West Midlands,Warwickshire,E10000031,Mixed,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,78,%,271
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,West Midlands,Wolverhampton,E08000031,Mixed,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,74,%,309
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,West Midlands,Worcestershire,E10000034,Mixed,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,73,%,158
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,East,Bedford,E06000055,Mixed,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,65,%,171
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,East,Cambridgeshire,E10000003,Mixed,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,77,%,312
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,East,Central Bedfordshire,E06000056,Mixed,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,81,%,166
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,East,Essex,E10000012,Mixed,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,78,%,711
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,East,Hertfordshire,E10000015,Mixed,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,79,%,833
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,East,Luton,E06000032,Mixed,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,67,%,243
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,East,Norfolk,E10000020,Mixed,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,81,%,236
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,East,Peterborough,E06000031,Mixed,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,76,%,144
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,East,Southend-on-Sea,E06000033,Mixed,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,88,%,127
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,East,Suffolk,E10000029,Mixed,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,75,%,370
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,East,Thurrock,E06000034,Mixed,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,70,%,115
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,London,Camden,E09000007,Mixed,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,77,%,136
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,London,City of London,E09000001,Mixed,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,!,%,!
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,London,Hackney,E09000012,Mixed,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,86,%,228
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,London,Hammersmith and Fulham,E09000013,Mixed,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,73,%,154
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,London,Haringey,E09000014,Mixed,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,88,%,276
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,London,Islington,E09000019,Mixed,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,82,%,269
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,London,Kensington and Chelsea,E09000020,Mixed,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,79,%,192
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,London,Lambeth,E09000022,Mixed,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,81,%,337
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,London,Lewisham,E09000023,Mixed,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,78,%,445
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,London,Newham,E09000025,Mixed,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,83,%,272
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,London,Southwark,E09000028,Mixed,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,76,%,311
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,London,Tower Hamlets,E09000030,Mixed,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,82,%,159
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,London,Wandsworth,E09000032,Mixed,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,79,%,282
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,London,Westminster,E09000033,Mixed,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,82,%,155
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,London,Barking and Dagenham,E09000002,Mixed,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,75,%,244
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,London,Barnet,E09000003,Mixed,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,73,%,392
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,London,Bexley,E09000004,Mixed,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,85,%,182
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,London,Brent,E09000005,Mixed,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,78,%,243
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,London,Bromley,E09000006,Mixed,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,83,%,310
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,London,Croydon,E09000008,Mixed,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,80,%,554
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,London,Ealing,E09000009,Mixed,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,73,%,351
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,London,Enfield,E09000010,Mixed,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,80,%,424
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,London,Greenwich,E09000011,Mixed,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,84,%,256
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,London,Harrow,E09000015,Mixed,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,75,%,222
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,London,Havering,E09000016,Mixed,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,85,%,182
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,London,Hillingdon,E09000017,Mixed,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,76,%,360
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,London,Hounslow,E09000018,Mixed,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,76,%,225
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,London,Kingston upon Thames,E09000021,Mixed,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,78,%,170
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,London,Merton,E09000024,Mixed,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,64,%,175
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,London,Redbridge,E09000026,Mixed,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,78,%,279
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,London,Richmond upon Thames,E09000027,Mixed,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,83,%,193
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,London,Sutton,E09000029,Mixed,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,83,%,162
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,London,Waltham Forest,E09000031,Mixed,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,81,%,300
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,South East,Bracknell Forest,E06000036,Mixed,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,86,%,74
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,South East,Brighton and Hove,E06000043,Mixed,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,77,%,219
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,South East,Buckinghamshire,E10000002,Mixed,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,71,%,341
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,South East,East Sussex,E10000011,Mixed,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,81,%,225
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,South East,Hampshire,E10000014,Mixed,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,81,%,481
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,South East,Isle of Wight,E06000046,Mixed,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,71,%,35
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,South East,Kent,E10000016,Mixed,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,85,%,769
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,South East,Medway,E06000035,Mixed,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,76,%,219
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,South East,Milton Keynes,E06000042,Mixed,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,78,%,212
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,South East,Oxfordshire,E10000025,Mixed,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,70,%,377
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,South East,Portsmouth,E06000044,Mixed,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,75,%,96
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,South East,Reading,E06000038,Mixed,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,73,%,172
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,South East,Slough,E06000039,Mixed,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,82,%,163
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,South East,Southampton,E06000045,Mixed,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,78,%,146
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,South East,Surrey,E10000030,Mixed,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,79,%,644
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,South East,West Berkshire,E06000037,Mixed,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,73,%,85
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,South East,West Sussex,E10000032,Mixed,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,70,%,353
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,South East,Windsor and Maidenhead,E06000040,Mixed,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,78,%,108
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,South East,Wokingham,E06000041,Mixed,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,68,%,125
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,South West,Bath and North East Somerset,E06000022,Mixed,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,71,%,89
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,South West,Bournemouth,E06000028,Mixed,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,77,%,84
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,South West,"Bristol, City of",E06000023,Mixed,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,71,%,377
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,South West,Cornwall,E06000052,Mixed,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,70,%,132
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,South West,Devon,E10000008,Mixed,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,78,%,181
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,South West,Dorset,E10000009,Mixed,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,66,%,122
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,South West,Gloucestershire,E10000013,Mixed,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,77,%,306
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,South West,Isles of Scilly,E06000053,Mixed,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,!,%,0
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,South West,North Somerset,E06000024,Mixed,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,81,%,64
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,South West,Plymouth,E06000026,Mixed,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,82,%,84
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,South West,Poole,E06000029,Mixed,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,76,%,45
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,South West,Somerset,E10000027,Mixed,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,84,%,129
