"Title","Reading attainments for children aged 7 to 11 by ethnicity and area"
"Location","England"
"Time period","2015/16"
"Data source","Key stage 2 statistics https://www.gov.uk/government/statistics/national-curriculum-assessments-key-stage-2-2016-revised"
"Source","https://www.ethnicityfactsandfigures.digitalbeta.org.uk"

"Measure","Year","Year_type","Region","Local Authority","LA Code","Ethnicity","Ethnicity type","Gender","Gender_type","Value","Value_type","Denominator"
"% of pupils reaching the expected standard in reading","2015 to 2016","Academic year","Yorkshire and The Humber","North Yorkshire","E10000023","All","DFE","All","All/Boys/Girls","65","%","5,878"
"% of pupils reaching the expected standard in reading","2015 to 2016","Academic year","Yorkshire and The Humber","Rotherham","E08000018","All","DFE","All","All/Boys/Girls","64","%","3,059"
"% of pupils reaching the expected standard in reading","2015 to 2016","Academic year","Yorkshire and The Humber","Sheffield","E08000019","All","DFE","All","All/Boys/Girls","62","%","5,827"
"% of pupils reaching the expected standard in reading","2015 to 2016","Academic year","Yorkshire and The Humber","Wakefield","E08000036","All","DFE","All","All/Boys/Girls","61","%","3,604"
"% of pupils reaching the expected standard in reading","2015 to 2016","Academic year","Yorkshire and The Humber","York","E06000014","All","DFE","All","All/Boys/Girls","66","%","1,821"
"% of pupils reaching the expected standard in reading","2015 to 2016","Academic year","East Midlands","Derby","E06000015","All","DFE","All","All/Boys/Girls","61","%","2,916"
"% of pupils reaching the expected standard in reading","2015 to 2016","Academic year","East Midlands","Derbyshire","E10000007","All","DFE","All","All/Boys/Girls","66","%","8,074"
"% of pupils reaching the expected standard in reading","2015 to 2016","Academic year","East Midlands","Leicester","E06000016","All","DFE","All","All/Boys/Girls","59","%","3,969"
"% of pupils reaching the expected standard in reading","2015 to 2016","Academic year","East Midlands","Leicestershire","E10000018","All","DFE","All","All/Boys/Girls","65","%","7,158"
"% of pupils reaching the expected standard in reading","2015 to 2016","Academic year","East Midlands","Lincolnshire","E10000019","All","DFE","All","All/Boys/Girls","64","%","7,349"
"% of pupils reaching the expected standard in reading","2015 to 2016","Academic year","East Midlands","Northamptonshire","E10000021","All","DFE","All","All/Boys/Girls","63","%","8,423"
"% of pupils reaching the expected standard in reading","2015 to 2016","Academic year","East Midlands","Nottingham","E06000018","All","DFE","All","All/Boys/Girls","61","%","3,108"
"% of pupils reaching the expected standard in reading","2015 to 2016","Academic year","East Midlands","Nottinghamshire","E10000024","All","DFE","All","All/Boys/Girls","65","%","8,412"
"% of pupils reaching the expected standard in reading","2015 to 2016","Academic year","East Midlands","Rutland","E06000017","All","DFE","All","All/Boys/Girls","71","%","375"
"% of pupils reaching the expected standard in reading","2015 to 2016","Academic year","West Midlands","Birmingham","E08000025","All","DFE","All","All/Boys/Girls","59","%","14,581"
"% of pupils reaching the expected standard in reading","2015 to 2016","Academic year","West Midlands","Coventry","E08000026","All","DFE","All","All/Boys/Girls","61","%","3,793"
"% of pupils reaching the expected standard in reading","2015 to 2016","Academic year","West Midlands","Dudley","E08000027","All","DFE","All","All/Boys/Girls","62","%","3,678"
"% of pupils reaching the expected standard in reading","2015 to 2016","Academic year","West Midlands","Herefordshire, County of","E06000019","All","DFE","All","All/Boys/Girls","68","%","1,775"
"% of pupils reaching the expected standard in reading","2015 to 2016","Academic year","West Midlands","Sandwell","E08000028","All","DFE","All","All/Boys/Girls","61","%","4,079"
"% of pupils reaching the expected standard in reading","2015 to 2016","Academic year","West Midlands","Shropshire","E06000051","All","DFE","All","All/Boys/Girls","68","%","2,931"
"% of pupils reaching the expected standard in reading","2015 to 2016","Academic year","West Midlands","Solihull","E08000029","All","DFE","All","All/Boys/Girls","70","%","2,547"
"% of pupils reaching the expected standard in reading","2015 to 2016","Academic year","West Midlands","Staffordshire","E10000028","All","DFE","All","All/Boys/Girls","67","%","9,028"
"% of pupils reaching the expected standard in reading","2015 to 2016","Academic year","West Midlands","Stoke-on-Trent","E06000021","All","DFE","All","All/Boys/Girls","59","%","2,898"
"% of pupils reaching the expected standard in reading","2015 to 2016","Academic year","West Midlands","Telford and Wrekin","E06000020","All","DFE","All","All/Boys/Girls","70","%","2,079"
"% of pupils reaching the expected standard in reading","2015 to 2016","Academic year","West Midlands","Walsall","E08000030","All","DFE","All","All/Boys/Girls","61","%","3,413"
"% of pupils reaching the expected standard in reading","2015 to 2016","Academic year","West Midlands","Warwickshire","E10000031","All","DFE","All","All/Boys/Girls","69","%","5,807"
"% of pupils reaching the expected standard in reading","2015 to 2016","Academic year","West Midlands","Wolverhampton","E08000031","All","DFE","All","All/Boys/Girls","65","%","2,883"
"% of pupils reaching the expected standard in reading","2015 to 2016","Academic year","West Midlands","Worcestershire","E10000034","All","DFE","All","All/Boys/Girls","64","%","5,944"
"% of pupils reaching the expected standard in reading","2015 to 2016","Academic year","East","Bedford","E06000055","All","DFE","All","All/Boys/Girls","59","%","1,933"
"% of pupils reaching the expected standard in reading","2015 to 2016","Academic year","East","Cambridgeshire","E10000003","All","DFE","All","All/Boys/Girls","66","%","6,342"
"% of pupils reaching the expected standard in reading","2015 to 2016","Academic year","East","Central Bedfordshire","E06000056","All","DFE","All","All/Boys/Girls","65","%","3,075"
"% of pupils reaching the expected standard in reading","2015 to 2016","Academic year","East","Essex","E10000012","All","DFE","All","All/Boys/Girls","67","%","15,218"
"% of pupils reaching the expected standard in reading","2015 to 2016","Academic year","East","Hertfordshire","E10000015","All","DFE","All","All/Boys/Girls","72","%","12,706"
"% of pupils reaching the expected standard in reading","2015 to 2016","Academic year","East","Luton","E06000032","All","DFE","All","All/Boys/Girls","56","%","2,947"
"% of pupils reaching the expected standard in reading","2015 to 2016","Academic year","East","Norfolk","E10000020","All","DFE","All","All/Boys/Girls","64","%","8,299"
"% of pupils reaching the expected standard in reading","2015 to 2016","Academic year","East","Peterborough","E06000031","All","DFE","All","All/Boys/Girls","55","%","2,494"
"% of pupils reaching the expected standard in reading","2015 to 2016","Academic year","East","Southend-on-Sea","E06000033","All","DFE","All","All/Boys/Girls","67","%","1,902"
"% of pupils reaching the expected standard in reading","2015 to 2016","Academic year","East","Suffolk","E10000029","All","DFE","All","All/Boys/Girls","63","%","7,483"
"% of pupils reaching the expected standard in reading","2015 to 2016","Academic year","East","Thurrock","E06000034","All","DFE","All","All/Boys/Girls","63","%","2,142"
"% of pupils reaching the expected standard in reading","2015 to 2016","Academic year","London","Camden","E09000007","All","DFE","All","All/Boys/Girls","72","%","1,509"
"% of pupils reaching the expected standard in reading","2015 to 2016","Academic year","London","City of London","E09000001","All","DFE","All","All/Boys/Girls","!","%","28"
"% of pupils reaching the expected standard in reading","2015 to 2016","Academic year","London","Hackney","E09000012","All","DFE","All","All/Boys/Girls","71","%","2,429"
"% of pupils reaching the expected standard in reading","2015 to 2016","Academic year","London","Hammersmith and Fulham","E09000013","All","DFE","All","All/Boys/Girls","74","%","1,270"
"% of pupils reaching the expected standard in reading","2015 to 2016","Academic year","London","Haringey","E09000014","All","DFE","All","All/Boys/Girls","64","%","2,852"
"% of pupils reaching the expected standard in reading","2015 to 2016","Academic year","London","Islington","E09000019","All","DFE","All","All/Boys/Girls","68","%","1,761"
"% of pupils reaching the expected standard in reading","2015 to 2016","Academic year","London","Kensington and Chelsea","E09000020","All","DFE","All","All/Boys/Girls","79","%","913"
"% of pupils reaching the expected standard in reading","2015 to 2016","Academic year","London","Lambeth","E09000022","All","DFE","All","All/Boys/Girls","73","%","2,771"
"% of pupils reaching the expected standard in reading","2015 to 2016","Academic year","London","Lewisham","E09000023","All","DFE","All","All/Boys/Girls","67","%","3,185"
"% of pupils reaching the expected standard in reading","2015 to 2016","Academic year","London","Newham","E09000025","All","DFE","All","All/Boys/Girls","69","%","4,396"
"% of pupils reaching the expected standard in reading","2015 to 2016","Academic year","London","Southwark","E09000028","All","DFE","All","All/Boys/Girls","67","%","3,064"
"% of pupils reaching the expected standard in reading","2015 to 2016","Academic year","London","Tower Hamlets","E09000030","All","DFE","All","All/Boys/Girls","72","%","3,009"
"% of pupils reaching the expected standard in reading","2015 to 2016","Academic year","London","Wandsworth","E09000032","All","DFE","All","All/Boys/Girls","70","%","2,198"
"% of pupils reaching the expected standard in reading","2015 to 2016","Academic year","London","Westminster","E09000033","All","DFE","All","All/Boys/Girls","66","%","1,420"
"% of pupils reaching the expected standard in reading","2015 to 2016","Academic year","London","Barking and Dagenham","E09000002","All","DFE","All","All/Boys/Girls","65","%","3,046"
"% of pupils reaching the expected standard in reading","2015 to 2016","Academic year","London","Barnet","E09000003","All","DFE","All","All/Boys/Girls","73","%","3,730"
"% of pupils reaching the expected standard in reading","2015 to 2016","Academic year","London","Bexley","E09000004","All","DFE","All","All/Boys/Girls","70","%","2,972"
"% of pupils reaching the expected standard in reading","2015 to 2016","Academic year","London","Brent","E09000005","All","DFE","All","All/Boys/Girls","64","%","3,434"
"% of pupils reaching the expected standard in reading","2015 to 2016","Academic year","London","Bromley","E09000006","All","DFE","All","All/Boys/Girls","79","%","3,402"
"% of pupils reaching the expected standard in reading","2015 to 2016","Academic year","London","Croydon","E09000008","All","DFE","All","All/Boys/Girls","66","%","4,161"
"% of pupils reaching the expected standard in reading","2015 to 2016","Academic year","London","Ealing","E09000009","All","DFE","All","All/Boys/Girls","65","%","3,849"
"% of pupils reaching the expected standard in reading","2015 to 2016","Academic year","London","Enfield","E09000010","All","DFE","All","All/Boys/Girls","61","%","4,092"
"% of pupils reaching the expected standard in reading","2015 to 2016","Academic year","London","Greenwich","E09000011","All","DFE","All","All/Boys/Girls","73","%","2,931"
"% of pupils reaching the expected standard in reading","2015 to 2016","Academic year","London","Harrow","E09000015","All","DFE","All","All/Boys/Girls","72","%","2,668"
"% of pupils reaching the expected standard in reading","2015 to 2016","Academic year","London","Havering","E09000016","All","DFE","All","All/Boys/Girls","73","%","2,856"
"% of pupils reaching the expected standard in reading","2015 to 2016","Academic year","London","Hillingdon","E09000017","All","DFE","All","All/Boys/Girls","70","%","3,472"
"% of pupils reaching the expected standard in reading","2015 to 2016","Academic year","London","Hounslow","E09000018","All","DFE","All","All/Boys/Girls","67","%","2,677"
"% of pupils reaching the expected standard in reading","2015 to 2016","Academic year","London","Kingston upon Thames","E09000021","All","DFE","All","All/Boys/Girls","75","%","1,708"
"% of pupils reaching the expected standard in reading","2015 to 2016","Academic year","London","Merton","E09000024","All","DFE","All","All/Boys/Girls","70","%","2,013"
"% of pupils reaching the expected standard in reading","2015 to 2016","Academic year","London","Redbridge","E09000026","All","DFE","All","All/Boys/Girls","68","%","3,669"
"% of pupils reaching the expected standard in reading","2015 to 2016","Academic year","London","Richmond upon Thames","E09000027","All","DFE","All","All/Boys/Girls","81","%","1,989"
"% of pupils reaching the expected standard in reading","2015 to 2016","Academic year","London","Sutton","E09000029","All","DFE","All","All/Boys/Girls","74","%","2,005"
"% of pupils reaching the expected standard in reading","2015 to 2016","Academic year","London","Waltham Forest","E09000031","All","DFE","All","All/Boys/Girls","65","%","2,989"
"% of pupils reaching the expected standard in reading","2015 to 2016","Academic year","South East","Bracknell Forest","E06000036","All","DFE","All","All/Boys/Girls","65","%","1,311"
"% of pupils reaching the expected standard in reading","2015 to 2016","Academic year","South East","Brighton and Hove","E06000043","All","DFE","All","All/Boys/Girls","75","%","2,396"
"% of pupils reaching the expected standard in reading","2015 to 2016","Academic year","South East","Buckinghamshire","E10000002","All","DFE","All","All/Boys/Girls","73","%","5,702"
"% of pupils reaching the expected standard in reading","2015 to 2016","Academic year","South East","East Sussex","E10000011","All","DFE","All","All/Boys/Girls","66","%","5,034"
"% of pupils reaching the expected standard in reading","2015 to 2016","Academic year","South East","Hampshire","E10000014","All","DFE","All","All/Boys/Girls","71","%","14,045"
"% of pupils reaching the expected standard in reading","2015 to 2016","Academic year","South East","Isle of Wight","E06000046","All","DFE","All","All/Boys/Girls","64","%","1,327"
"% of pupils reaching the expected standard in reading","2015 to 2016","Academic year","South East","Kent","E10000016","All","DFE","All","All/Boys/Girls","70","%","16,077"
"% of pupils reaching the expected standard in reading","2015 to 2016","Academic year","South East","Medway","E06000035","All","DFE","All","All/Boys/Girls","62","%","3,088"
"% of pupils reaching the expected standard in reading","2015 to 2016","Academic year","South East","Milton Keynes","E06000042","All","DFE","All","All/Boys/Girls","69","%","3,228"
"% of pupils reaching the expected standard in reading","2015 to 2016","Academic year","South East","Oxfordshire","E10000025","All","DFE","All","All/Boys/Girls","68","%","6,694"
"% of pupils reaching the expected standard in reading","2015 to 2016","Academic year","South East","Portsmouth","E06000044","All","DFE","All","All/Boys/Girls","62","%","2,007"
"% of pupils reaching the expected standard in reading","2015 to 2016","Academic year","South East","Reading","E06000038","All","DFE","All","All/Boys/Girls","67","%","1,478"
"% of pupils reaching the expected standard in reading","2015 to 2016","Academic year","South East","Slough","E06000039","All","DFE","All","All/Boys/Girls","64","%","1,958"
"% of pupils reaching the expected standard in reading","2015 to 2016","Academic year","South East","Southampton","E06000045","All","DFE","All","All/Boys/Girls","66","%","2,304"
"% of pupils reaching the expected standard in reading","2015 to 2016","Academic year","South East","Surrey","E10000030","All","DFE","All","All/Boys/Girls","73","%","11,123"
"% of pupils reaching the expected standard in reading","2015 to 2016","Academic year","South East","West Berkshire","E06000037","All","DFE","All","All/Boys/Girls","70","%","1,675"
"% of pupils reaching the expected standard in reading","2015 to 2016","Academic year","South East","West Sussex","E10000032","All","DFE","All","All/Boys/Girls","65","%","8,239"
"% of pupils reaching the expected standard in reading","2015 to 2016","Academic year","South East","Windsor and Maidenhead","E06000040","All","DFE","All","All/Boys/Girls","72","%","1,340"
"% of pupils reaching the expected standard in reading","2015 to 2016","Academic year","South East","Wokingham","E06000041","All","DFE","All","All/Boys/Girls","76","%","1,868"
"% of pupils reaching the expected standard in reading","2015 to 2016","Academic year","South West","Bath and North East Somerset","E06000022","All","DFE","All","All/Boys/Girls","71","%","1,715"
"% of pupils reaching the expected standard in reading","2015 to 2016","Academic year","South West","Bournemouth","E06000028","All","DFE","All","All/Boys/Girls","65","%","1,554"
"% of pupils reaching the expected standard in reading","2015 to 2016","Academic year","South West","Bristol, City of","E06000023","All","DFE","All","All/Boys/Girls","67","%","4,267"
"% of pupils reaching the expected standard in reading","2015 to 2016","Academic year","South West","Cornwall","E06000052","All","DFE","All","All/Boys/Girls","66","%","5,531"
"% of pupils reaching the expected standard in reading","2015 to 2016","Academic year","South West","Devon","E10000008","All","DFE","All","All/Boys/Girls","71","%","7,472"
"% of pupils reaching the expected standard in reading","2015 to 2016","Academic year","South West","Dorset","E10000009","All","DFE","All","All/Boys/Girls","67","%","4,053"
"% of pupils reaching the expected standard in reading","2015 to 2016","Academic year","South West","Gloucestershire","E10000013","All","DFE","All","All/Boys/Girls","70","%","6,107"
"% of pupils reaching the expected standard in reading","2015 to 2016","Academic year","South West","Isles of Scilly","E06000053","All","DFE","All","All/Boys/Girls","65","%","20"
"% of pupils reaching the expected standard in reading","2015 to 2016","Academic year","South West","North Somerset","E06000024","All","DFE","All","All/Boys/Girls","71","%","2,150"
"% of pupils reaching the expected standard in reading","2015 to 2016","Academic year","South West","Plymouth","E06000026","All","DFE","All","All/Boys/Girls","67","%","2,667"
"% of pupils reaching the expected standard in reading","2015 to 2016","Academic year","South West","Poole","E06000029","All","DFE","All","All/Boys/Girls","67","%","1,320"
"% of pupils reaching the expected standard in reading","2015 to 2016","Academic year","South West","Somerset","E10000027","All","DFE","All","All/Boys/Girls","67","%","5,481"
"% of pupils reaching the expected standard in reading","2015 to 2016","Academic year","South West","South Gloucestershire","E06000025","All","DFE","All","All/Boys/Girls","69","%","3,086"
"% of pupils reaching the expected standard in reading","2015 to 2016","Academic year","South West","Swindon","E06000030","All","DFE","All","All/Boys/Girls","67","%","2,536"
"% of pupils reaching the expected standard in reading","2015 to 2016","Academic year","South West","Torbay","E06000027","All","DFE","All","All/Boys/Girls","68","%","1,388"
"% of pupils reaching the expected standard in reading","2015 to 2016","Academic year","South West","Wiltshire","E06000054","All","DFE","All","All/Boys/Girls","68","%","4,934"
"% of pupils reaching the expected standard in reading","2015 to 2016","Academic year","North East","County Durham","E06000047","Asian","DFE","All","All/Boys/Girls","80","%","40"
"% of pupils reaching the expected standard in reading","2015 to 2016","Academic year","North East","Darlington","E06000005","Asian","DFE","All","All/Boys/Girls","73","%","33"
"% of pupils reaching the expected standard in reading","2015 to 2016","Academic year","North East","Gateshead","E08000037","Asian","DFE","All","All/Boys/Girls","65","%","26"
"% of pupils reaching the expected standard in reading","2015 to 2016","Academic year","North East","Hartlepool","E06000001","Asian","DFE","All","All/Boys/Girls","62","%","26"
"% of pupils reaching the expected standard in reading","2015 to 2016","Academic year","North East","Middlesbrough","E06000002","Asian","DFE","All","All/Boys/Girls","56","%","192"
"% of pupils reaching the expected standard in reading","2015 to 2016","Academic year","North East","Newcastle upon Tyne","E08000021","Asian","DFE","All","All/Boys/Girls","65","%","336"
"% of pupils reaching the expected standard in reading","2015 to 2016","Academic year","North East","North Tyneside","E08000022","Asian","DFE","All","All/Boys/Girls","64","%","45"
"% of pupils reaching the expected standard in reading","2015 to 2016","Academic year","North East","Northumberland","E06000057","Asian","DFE","All","All/Boys/Girls","61","%","36"
"% of pupils reaching the expected standard in reading","2015 to 2016","Academic year","North East","Redcar and Cleveland","E06000003","Asian","DFE","All","All/Boys/Girls","72","%","18"
"% of pupils reaching the expected standard in reading","2015 to 2016","Academic year","North East","South Tyneside","E08000023","Asian","DFE","All","All/Boys/Girls","71","%","56"
"% of pupils reaching the expected standard in reading","2015 to 2016","Academic year","North East","Stockton-on-Tees","E06000004","Asian","DFE","All","All/Boys/Girls","57","%","115"
"% of pupils reaching the expected standard in reading","2015 to 2016","Academic year","North East","Sunderland","E08000024","Asian","DFE","All","All/Boys/Girls","63","%","107"
"% of pupils reaching the expected standard in reading","2015 to 2016","Academic year","North West","Blackburn with Darwen","E06000008","Asian","DFE","All","All/Boys/Girls","60","%","895"
"% of pupils reaching the expected standard in reading","2015 to 2016","Academic year","North West","Blackpool","E06000009","Asian","DFE","All","All/Boys/Girls","73","%","30"
"% of pupils reaching the expected standard in reading","2015 to 2016","Academic year","North West","Bolton","E08000001","Asian","DFE","All","All/Boys/Girls","66","%","793"
"% of pupils reaching the expected standard in reading","2015 to 2016","Academic year","North West","Bury","E08000002","Asian","DFE","All","All/Boys/Girls","56","%","296"
"% of pupils reaching the expected standard in reading","2015 to 2016","Academic year","North West","Cheshire East","E06000049","Asian","DFE","All","All/Boys/Girls","81","%","54"
"% of pupils reaching the expected standard in reading","2015 to 2016","Academic year","North West","Cheshire West and Chester","E06000050","Asian","DFE","All","All/Boys/Girls","59","%","37"
"% of pupils reaching the expected standard in reading","2015 to 2016","Academic year","North West","Cumbria","E10000006","Asian","DFE","All","All/Boys/Girls","76","%","41"
"% of pupils reaching the expected standard in reading","2015 to 2016","Academic year","North West","Halton","E06000006","Asian","DFE","All","All/Boys/Girls","!","%","!"
"% of pupils reaching the expected standard in reading","2015 to 2016","Academic year","North West","Knowsley","E08000011","Asian","DFE","All","All/Boys/Girls","74","%","35"
"% of pupils reaching the expected standard in reading","2015 to 2016","Academic year","North West","Lancashire","E10000017","Asian","DFE","All","All/Boys/Girls","57","%","1,493"
"% of pupils reaching the expected standard in reading","2015 to 2016","Academic year","North West","Liverpool","E08000012","Asian","DFE","All","All/Boys/Girls","64","%","168"
"% of pupils reaching the expected standard in reading","2015 to 2016","Academic year","North West","Manchester","E08000003","Asian","DFE","All","All/Boys/Girls","59","%","1,296"
"% of pupils reaching the expected standard in reading","2015 to 2016","Academic year","North West","Oldham","E08000004","Asian","DFE","All","All/Boys/Girls","50","%","1,095"
"% of pupils reaching the expected standard in reading","2015 to 2016","Academic year","North West","Rochdale","E08000005","Asian","DFE","All","All/Boys/Girls","55","%","692"
"% of pupils reaching the expected standard in reading","2015 to 2016","Academic year","North West","Salford","E08000006","Asian","DFE","All","All/Boys/Girls","73","%","78"
"% of pupils reaching the expected standard in reading","2015 to 2016","Academic year","North West","Sefton","E08000014","Asian","DFE","All","All/Boys/Girls","65","%","37"
"% of pupils reaching the expected standard in reading","2015 to 2016","Academic year","North West","St. Helens","E08000013","Asian","DFE","All","All/Boys/Girls","50","%","20"
"% of pupils reaching the expected standard in reading","2015 to 2016","Academic year","North West","Stockport","E08000007","Asian","DFE","All","All/Boys/Girls","62","%","195"
"% of pupils reaching the expected standard in reading","2015 to 2016","Academic year","North West","Tameside","E08000008","Asian","DFE","All","All/Boys/Girls","63","%","290"
"% of pupils reaching the expected standard in reading","2015 to 2016","Academic year","North West","Trafford","E08000009","Asian","DFE","All","All/Boys/Girls","73","%","372"
"% of pupils reaching the expected standard in reading","2015 to 2016","Academic year","North West","Warrington","E06000007","Asian","DFE","All","All/Boys/Girls","72","%","68"
