"Title","Mathematics attainments for children aged 6 to 7 (key stage 1)"
"Location","England"
"Time period","2016/17"
"Data source","Department for Education"
"Data source link","https://www.gov.uk/government/statistics/phonics-screening-check-and-key-stage-1-assessments-england-2017"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated","2018-05-04"
"Measure","Ethnicity","Ethnicity_Type","Time","Time_Type","Region","Local_Authority","Local_Authority_Code","Gender","Value","Value_Type","Denominator"
"Percentage of pupils reaching the key stage 1 expected standard in Mathematics","All","ONS 2001 5+1","2016/2017","Academic year","London","Tower Hamlets","E09000030","All","77","%","3447"
"Percentage of pupils reaching the key stage 1 expected standard in Mathematics","All","ONS 2001 5+1","2015/2016","Academic year","London","Hammersmith and Fulham","E09000013","All","77","%","1494"
"Percentage of pupils reaching the key stage 1 expected standard in Mathematics","All","ONS 2001 5+1","2016/2017","Academic year","London","Waltham Forest","E09000031","All","81","%","3613"
"Percentage of pupils reaching the key stage 1 expected standard in Mathematics","All","ONS 2001 5+1","2016/2017","Academic year","London","Harrow","E09000015","All","78","%","3238"
"Percentage of pupils reaching the key stage 1 expected standard in Mathematics","All","ONS 2001 5+1","2016/2017","Academic year","London","Wandsworth","E09000032","All","81","%","2864"
"Percentage of pupils reaching the key stage 1 expected standard in Mathematics","All","ONS 2001 5+1","2015/2016","Academic year","London","Sutton","E09000029","All","76","%","2521"
"Percentage of pupils reaching the key stage 1 expected standard in Mathematics","All","ONS 2001 5+1","2015/2016","Academic year","London","Bromley","E09000006","All","79","%","3838"
"Percentage of pupils reaching the key stage 1 expected standard in Mathematics","All","ONS 2001 5+1","2015/2016","Academic year","London","Lambeth","E09000022","All","76","%","3195"
"Percentage of pupils reaching the key stage 1 expected standard in Mathematics","All","ONS 2001 5+1","2015/2016","Academic year","London","Kingston upon Thames","E09000021","All","75","%","2004"
"Percentage of pupils reaching the key stage 1 expected standard in Mathematics","All","ONS 2001 5+1","2016/2017","Academic year","London","Brent","E09000005","All","75","%","3936"
"Percentage of pupils reaching the key stage 1 expected standard in Mathematics","All","ONS 2001 5+1","2016/2017","Academic year","London","Redbridge","E09000026","All","79","%","4226"
"Percentage of pupils reaching the key stage 1 expected standard in Mathematics","All","ONS 2001 5+1","2016/2017","Academic year","London","Southwark","E09000028","All","78","%","3414"
"Percentage of pupils reaching the key stage 1 expected standard in Mathematics","All","ONS 2001 5+1","2015/2016","Academic year","London","Havering","E09000016","All","77","%","3159"
"Percentage of pupils reaching the key stage 1 expected standard in Mathematics","All","ONS 2001 5+1","2015/2016","Academic year","London","Lewisham","E09000023","All","78","%","3665"
"Percentage of pupils reaching the key stage 1 expected standard in Mathematics","All","ONS 2001 5+1","2016/2017","Academic year","London","Kingston upon Thames","E09000021","All","80","%","1957"
"Percentage of pupils reaching the key stage 1 expected standard in Mathematics","All","ONS 2001 5+1","2015/2016","Academic year","London","Islington","E09000019","All","73","%","2033"
"Percentage of pupils reaching the key stage 1 expected standard in Mathematics","All","ONS 2001 5+1","2016/2017","Academic year","London","Barnet","E09000003","All","77","%","4343"
"Percentage of pupils reaching the key stage 1 expected standard in Mathematics","All","ONS 2001 5+1","2016/2017","Academic year","London","Lambeth","E09000022","All","79","%","3177"
"Percentage of pupils reaching the key stage 1 expected standard in Mathematics","All","ONS 2001 5+1","2015/2016","Academic year","London","Enfield","E09000010","All","72","%","4638"
"Percentage of pupils reaching the key stage 1 expected standard in Mathematics","All","ONS 2001 5+1","2016/2017","Academic year","London","Merton","E09000024","All","78","%","2529"
"Percentage of pupils reaching the key stage 1 expected standard in Mathematics","All","ONS 2001 5+1","2016/2017","Academic year","London","Richmond upon Thames","E09000027","All","82","%","2533"
"Percentage of pupils reaching the key stage 1 expected standard in Mathematics","All","ONS 2001 5+1","2015/2016","Academic year","London","City of London","E09000001","All","!","%","!"
"Percentage of pupils reaching the key stage 1 expected standard in Mathematics","All","ONS 2001 5+1","2016/2017","Academic year","London","Hounslow","E09000018","All","81","%","3433"
"Percentage of pupils reaching the key stage 1 expected standard in Mathematics","All","ONS 2001 5+1","2015/2016","Academic year","London","Ealing","E09000009","All","72","%","4537"
"Percentage of pupils reaching the key stage 1 expected standard in Mathematics","All","ONS 2001 5+1","2015/2016","Academic year","London","Croydon","E09000008","All","74","%","4753"
"Percentage of pupils reaching the key stage 1 expected standard in Mathematics","All","ONS 2001 5+1","2016/2017","Academic year","London","Sutton","E09000029","All","79","%","2543"
"Percentage of pupils reaching the key stage 1 expected standard in Mathematics","All","ONS 2001 5+1","2015/2016","Academic year","London","Kensington and Chelsea","E09000020","All","80","%","986"
"Percentage of pupils reaching the key stage 1 expected standard in Mathematics","All","ONS 2001 5+1","2016/2017","Academic year","London","Barking and Dagenham","E09000002","All","77","%","3690"
"Percentage of pupils reaching the key stage 1 expected standard in Mathematics","All","ONS 2001 5+1","2015/2016","Academic year","London","Merton","E09000024","All","73","%","2489"
"Percentage of pupils reaching the key stage 1 expected standard in Mathematics","All","ONS 2001 5+1","2015/2016","Academic year","London","Tower Hamlets","E09000030","All","75","%","3351"
"Percentage of pupils reaching the key stage 1 expected standard in Mathematics","All","ONS 2001 5+1","2015/2016","Academic year","London","Westminster","E09000033","All","77","%","1563"
"Percentage of pupils reaching the key stage 1 expected standard in Mathematics","All","ONS 2001 5+1","2016/2017","Academic year","London","Croydon","E09000008","All","76","%","4865"
"Percentage of pupils reaching the key stage 1 expected standard in Mathematics","All","ONS 2001 5+1","2016/2017","Academic year","London","Islington","E09000019","All","77","%","2094"
"Percentage of pupils reaching the key stage 1 expected standard in Mathematics","All","ONS 2001 5+1","2016/2017","Academic year","London","Haringey","E09000014","All","79","%","3186"
"Percentage of pupils reaching the key stage 1 expected standard in Mathematics","All","ONS 2001 5+1","2016/2017","Academic year","London","Greenwich","E09000011","All","81","%","3597"
"Percentage of pupils reaching the key stage 1 expected standard in Mathematics","All","ONS 2001 5+1","2015/2016","Academic year","London","Newham","E09000025","All","79","%","4844"
"Percentage of pupils reaching the key stage 1 expected standard in Mathematics","All","ONS 2001 5+1","2016/2017","Academic year","London","Havering","E09000016","All","77","%","3071"
"Percentage of pupils reaching the key stage 1 expected standard in Mathematics","All","ONS 2001 5+1","2016/2017","Academic year","London","Ealing","E09000009","All","75","%","4608"
"Percentage of pupils reaching the key stage 1 expected standard in Mathematics","All","ONS 2001 5+1","2015/2016","Academic year","London","Waltham Forest","E09000031","All","80","%","3633"
"Percentage of pupils reaching the key stage 1 expected standard in Mathematics","All","ONS 2001 5+1","2016/2017","Academic year","London","Bexley","E09000004","All","82","%","3314"
"Percentage of pupils reaching the key stage 1 expected standard in Mathematics","All","ONS 2001 5+1","2016/2017","Academic year","London","Kensington and Chelsea","E09000020","All","82","%","1008"
"Percentage of pupils reaching the key stage 1 expected standard in Mathematics","All","ONS 2001 5+1","2016/2017","Academic year","London","Newham","E09000025","All","80","%","4916"
"Percentage of pupils reaching the key stage 1 expected standard in Mathematics","All","ONS 2001 5+1","2015/2016","Academic year","London","Haringey","E09000014","All","78","%","3138"
"Percentage of pupils reaching the key stage 1 expected standard in Mathematics","All","ONS 2001 5+1","2015/2016","Academic year","London","Hounslow","E09000018","All","79","%","3359"
"Percentage of pupils reaching the key stage 1 expected standard in Mathematics","All","ONS 2001 5+1","2016/2017","Academic year","London","Enfield","E09000010","All","74","%","4722"
"Percentage of pupils reaching the key stage 1 expected standard in Mathematics","All","ONS 2001 5+1","2016/2017","Academic year","London","Bromley","E09000006","All","80","%","4053"
"Percentage of pupils reaching the key stage 1 expected standard in Mathematics","All","ONS 2001 5+1","2016/2017","Academic year","London","Westminster","E09000033","All","78","%","1525"
"Percentage of pupils reaching the key stage 1 expected standard in Mathematics","All","ONS 2001 5+1","2016/2017","Academic year","London","Camden","E09000007","All","75","%","1628"
"Percentage of pupils reaching the key stage 1 expected standard in Mathematics","All","ONS 2001 5+1","2015/2016","Academic year","London","Richmond upon Thames","E09000027","All","79","%","2442"
"Percentage of pupils reaching the key stage 1 expected standard in Mathematics","All","ONS 2001 5+1","2015/2016","Academic year","London","Bexley","E09000004","All","80","%","3145"
"Percentage of pupils reaching the key stage 1 expected standard in Mathematics","All","ONS 2001 5+1","2015/2016","Academic year","London","Harrow","E09000015","All","77","%","3074"
"Percentage of pupils reaching the key stage 1 expected standard in Mathematics","All","ONS 2001 5+1","2016/2017","Academic year","London","City of London","E09000001","All","!","%","*"
"Percentage of pupils reaching the key stage 1 expected standard in Mathematics","All","ONS 2001 5+1","2015/2016","Academic year","London","Hillingdon","E09000017","All","75","%","4178"
"Percentage of pupils reaching the key stage 1 expected standard in Mathematics","All","ONS 2001 5+1","2016/2017","Academic year","London","Hillingdon","E09000017","All","78","%","4066"
"Percentage of pupils reaching the key stage 1 expected standard in Mathematics","All","ONS 2001 5+1","2015/2016","Academic year","London","Barnet","E09000003","All","74","%","4275"
"Percentage of pupils reaching the key stage 1 expected standard in Mathematics","All","ONS 2001 5+1","2015/2016","Academic year","London","Hackney","E09000012","All","82","%","2698"
"Percentage of pupils reaching the key stage 1 expected standard in Mathematics","All","ONS 2001 5+1","2016/2017","Academic year","London","Hammersmith and Fulham","E09000013","All","79","%","1472"
"Percentage of pupils reaching the key stage 1 expected standard in Mathematics","All","ONS 2001 5+1","2015/2016","Academic year","London","Brent","E09000005","All","74","%","3844"
"Percentage of pupils reaching the key stage 1 expected standard in Mathematics","All","ONS 2001 5+1","2015/2016","Academic year","North East","Stockton-on-Tees","E06000004","All","76","%","2397"
"Percentage of pupils reaching the key stage 1 expected standard in Mathematics","All","ONS 2001 5+1","2016/2017","Academic year","North East","Darlington","E06000005","All","76","%","1333"
"Percentage of pupils reaching the key stage 1 expected standard in Mathematics","All","ONS 2001 5+1","2016/2017","Academic year","North East","Gateshead","E08000037","All","76","%","2175"
"Percentage of pupils reaching the key stage 1 expected standard in Mathematics","All","ONS 2001 5+1","2016/2017","Academic year","North East","Newcastle upon Tyne","E08000021","All","75","%","3204"
"Percentage of pupils reaching the key stage 1 expected standard in Mathematics","All","ONS 2001 5+1","2015/2016","Academic year","North East","North Tyneside","E08000022","All","75","%","2345"
"Percentage of pupils reaching the key stage 1 expected standard in Mathematics","All","ONS 2001 5+1","2016/2017","Academic year","North East","Redcar and Cleveland","E06000003","All","78","%","1641"
"Percentage of pupils reaching the key stage 1 expected standard in Mathematics","All","ONS 2001 5+1","2016/2017","Academic year","North East","Hartlepool","E06000001","All","75","%","1171"
"Percentage of pupils reaching the key stage 1 expected standard in Mathematics","All","ONS 2001 5+1","2016/2017","Academic year","North East","Sunderland","E08000024","All","78","%","3175"
