"Title","Mathematics attainment for children aged 5 to 7 by ethnicity and area"
"Location","England"
"Time period","2015/16"
"Data source","Key stage 1 statistics"
"Data source link","https://www.gov.uk/government/statistics/phonics-screening-check-and-key-stage-1-assessments-england-2016"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated",""

"Ethnicity","Local authority",""
"Black","Barking and Dagenham","78"
"Black","Barnet","68"
"Black","Bexley","86"
"Black","Brent","72"
"Black","Bromley","81"
"Black","Croydon","69"
"Black","Ealing","62"
"Black","Enfield","68"
"Black","Greenwich","84"
"Black","Harrow","67"
"Black","Havering","74"
"Black","Hillingdon","73"
"Black","Hounslow","72"
"Black","Kingston upon Thames","55"
"Black","Merton","70"
"Black","Redbridge","67"
"Black","Richmond upon Thames","79"
"Black","Sutton","68"
"Black","Waltham Forest","77"
"Black","Bracknell Forest","61"
"Black","Brighton and Hove","67"
"Black","Buckinghamshire","71"
"Black","East Sussex","72"
"Black","Hampshire","71"
"Black","Isle of Wight","!"
"Black","Kent","81"
"Black","Medway","85"
"Black","Milton Keynes","70"
"Black","Oxfordshire","68"
"Black","Portsmouth","69"
"Black","Reading","72"
"Black","Slough","72"
"Black","Southampton","67"
"Black","Surrey","76"
"Black","West Berkshire","85"
"Black","West Sussex","53"
"Black","Windsor and Maidenhead","67"
"Black","Wokingham","74"
"Black","Bath and North East Somerset","60"
"Black","Bournemouth","79"
"Black","Bristol, City of","60"
"Black","Cornwall","!"
"Black","Devon","50"
"Black","Dorset","70"
"Black","Gloucestershire","65"
"Black","Isles of Scilly","!"
"Black","North Somerset","!"
"Black","Plymouth","62"
"Black","Poole","54"
"Black","Somerset","36"
"Black","South Gloucestershire","75"
"Black","Swindon","68"
"Black","Torbay","!"
"Black","Wiltshire","69"
"Chinese","County Durham","!"
"Chinese","Darlington","100"
"Chinese","Gateshead","75"
"Chinese","Hartlepool","!"
"Chinese","Middlesbrough","!"
"Chinese","Newcastle upon Tyne","91"
"Chinese","North Tyneside","80"
"Chinese","Northumberland","!"
