"Title","Mathematics attainment for children aged 6 to 7 by ethnicity, area and gender"
"Location","England"
"Time period","2016/17"
"Data source","Key stage 1 statistics"
"Data source link","https://www.gov.uk/government/statistics/phonics-screening-check-and-key-stage-1-assessments-england-2017"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated","28/09/17"

"","All","","Asian","","Black","","Chinese","","Mixed","","White",""
"Enfield","73","74","82","86","70","76","100","!","72","78","74","71"
"Essex","75","77","89","84","78","77","!","!","76","81","75","77"
"Gateshead","75","77","79","!","!","!","100","!","81","84","75","77"
"Gloucestershire","73","75","75","80","71","66","100","!","73","78","73","75"
"Greenwich","79","84","88","89","79","86","!","100","81","87","78","80"
"Hackney","80","83","84","81","74","80","71","100","80","89","83","85"
"Halton","64","66","!","!","N/A","N/A","!","N/A","63","!","65","66"
"Hammersmith and Fulham","76","83","!","!","69","81","!","!","75","83","82","86"
"Hampshire","78","80","86","82","73","79","80","!","82","86","78","80"
"Haringey","77","81","84","84","71","79","!","!","82","82","78","82"
"Harrow","77","80","84","87","57","66","100","100","80","84","73","74"
"Hartlepool","72","77","69","80","!","!","!","!","!","!","72","77"
"Havering","77","77","79","81","75","80","!","!","78","83","77","76"
"Herefordshire, County of","75","79","!","!","!","!","!","N/A","71","90","76","78"
"Hertfordshire","76","79","81","85","67","77","93","100","75","79","76","78"
"Hillingdon","77","79","82","86","70","75","!","!","80","79","74","77"
"Hounslow","79","84","82","89","70","77","100","!","84","82","79","84"
"Isle of Wight","66","71","!","!","!","!","!","!","52","78","66","71"
"Isles of Scilly","!","!","!","!","!","!","!","!","!","!","!","!"
"Islington","76","78","73","84","72","75","100","100","73","79","80","78"
"Kensington and Chelsea","84","80","75","57","81","73","100","N/A","84","78","87","85"
"Kent","77","80","80","87","82","87","100","!","76","85","76","80"
"Kingston upon Hull, City of","70","74","71","75","52","50","!","!","69","79","71","74"
"Kingston upon Thames","80","80","83","85","76","68","100","!","71","78","80","80"
"Kirklees","70","72","67","70","56","69","!","!","68","69","72","73"
"Knowsley","69","72","67","100","!","!","!","!","57","67","70","72"
"Lambeth","77","81","82","88","73","78","!","!","77","82","81","83"
"Lancashire","74","77","69","77","65","50","100","77","75","72","75","77"
"Leeds","67","69","67","71","60","61","!","!","64","67","68","70"
"Leicester","71","73","79","78","68","70","56","!","73","76","65","68"
"Leicestershire","74","75","80","83","54","83","100","100","70","75","74","75"
"Lewisham","77","78","75","84","74","73","!","81","75","79","81","82"
"Lincolnshire","72","74","92","90","79","67","80","100","73","74","72","74"
"Liverpool","65","68","59","67","59","65","85","94","66","68","66","68"
"Luton","70","73","70","73","68","75","!","!","66","79","71","71"
"Manchester","69","74","69","73","71","78","90","91","72","74","69","75"
"Medway","76","81","75","95","84","87","!","!","82","84","75","80"
"Merton","78","79","80","85","74","78","!","!","78","75","78","77"
"Middlesbrough","69","70","65","75","!","!","!","!","59","68","72","69"
"Milton Keynes","75","78","82","90","71","76","!","100","75","80","74","75"
"Newcastle upon Tyne","74","76","69","75","74","80","83","!","78","77","75","76"
"Newham","78","81","80","83","76","80","100","!","80","84","76","80"
"Norfolk","73","73","80","75","55","62","!","!","65","70","73","73"
"North East Lincolnshire","74","73","!","!","!","!","!","!","88","77","73","73"
"North Lincolnshire","76","79","86","90","!","!","!","!","!","!","75","79"
"North Somerset","76","79","!","!","!","!","!","!","78","81","76","79"
"North Tyneside","76","81","60","73","!","!","100","!","79","88","77","81"
"North Yorkshire","74","75","81","77","!","80","!","!","70","79","74","74"
"Northamptonshire","74","76","73","83","67","74","!","!","75","77","74","76"
"Northumberland","78","79","!","100","N/A","!","!","!","81","84","79","79"
"Nottingham","69","72","71","76","71","72","100","!","71","73","68","72"
"Nottinghamshire","72","75","73","75","71","70","80","79","75","80","72","75"
"Oldham","68","71","66","66","61","64","!","!","79","79","70","74"
"Oxfordshire","74","75","72","70","75","74","100","!","72","73","75","76"
"Peterborough","68","72","65","72","68","72","!","100","70","77","70","72"
"Plymouth","70","74","74","84","57","!","!","!","70","77","71","74"
"Poole","80","81","77","100","!","!","!","!","72","70","80","80"
"Portsmouth","71","76","72","75","68","74","!","100","80","83","70","77"
"Reading","75","76","80","81","66","74","100","100","73","79","74","73"
"Redbridge","76","81","81","86","73","72","!","!","70","79","74","77"
"Redcar and Cleveland","76","81","!","!","!","N/A","N/A","N/A","!","!","76","81"
"Richmond upon Thames","83","80","85","84","75","61","!","86","84","76","84","81"
"Rochdale","70","74","69","74","68","73","!","!","72","83","71","73"
"Rotherham","73","76","77","74","76","78","!","!","73","73","73","77"
"Rutland","82","75","!","!","!","!","N/A","N/A","!","!","82","76"
"Salford","74","76","86","84","73","78","!","100","79","83","73","76"
"Sandwell","69","74","72","78","67","75","!","100","68","74","68","72"
"Sefton","73","76","76","!","!","!","!","100","71","70","73","76"
"Sheffield","75","77","73","74","73","76","!","!","76","75","75","77"
"Shropshire","71","73","!","!","!","!","!","!","77","77","71","73"
"Slough","75","80","80","85","!","!","!","!","75","69","71","76"
"Solihull","77","77","81","82","72","!","!","!","75","76","76","77"
"Somerset","74","79","79","78","!","!","!","!","72","85","75","79"
"South Gloucestershire","78","82","85","80","76","59","100","!","70","86","78","83"
"South Tyneside","76","80","84","!","!","!","!","!","75","76","76","79"
"Southampton","74","77","81","80","69","80","!","!","68","80","73","76"
"Southend-on-Sea","75","79","73","91","77","77","100","!","83","71","74","80"
"Southwark","76","79","73","81","73","79","77","82","78","82","81","80"
"St. Helens","70","73","!","!","!","!","!","100","75","84","70","73"
"Staffordshire","77","79","79","80","68","83","100","!","81","77","77","79"
"Stockport","74","78","72","76","73","75","!","!","70","85","74","78"
"Stockton-on-Tees","76","79","75","79","!","!","!","!","68","82","76","79"
"Stoke-on-Trent","69","73","74","78","64","65","!","!","65","78","69","73"
"Suffolk","73","74","77","86","72","65","!","!","71","74","73","74"
"Sunderland","76","80","73","76","!","!","!","!","80","72","76","80"
"Surrey","77","78","79","82","68","77","82","77","79","81","77","78"
"Sutton","78","79","86","89","80","73","!","!","79","74","76","78"
"Swindon","76","78","76","78","83","76","100","!","76","79","76","79"
"Tameside","70","74","70","74","72","68","!","!","61","75","70","74"
"Telford and Wrekin","74","80","76","85","68","80","!","!","75","87","74","80"
"Thurrock","75","79","84","78","76","92","100","100","77","85","74","76"
"Torbay","76","75","!","!","!","N/A","!","!","77","84","76","74"
"Tower Hamlets","76","79","77","80","72","76","100","!","77","74","75","76"
"Trafford","78","80","79","77","69","69","!","!","75","82","79","82"
"Wakefield","71","74","77","72","52","61","!","!","82","79","71","74"
"Walsall","71","75","76","80","74","76","!","100","67","80","70","73"
"Waltham Forest","79","82","85","83","74","81","!","100","81","81","79","84"
"Wandsworth","80","82","83","84","70","72","!","!","81","80","85","85"
"Warrington","79","78","84","86","!","!","!","!","94","74","79","78"
"Warwickshire","75","77","79","84","81","67","100","100","78","77","75","77"
"West Berkshire","74","75","88","91","!","!","!","!","74","78","74","74"
"West Sussex","70","71","67","70","63","61","!","100","73","67","70","71"
"Westminster","76","80","73","73","74","83","!","100","75","82","81","83"
"Wigan","75","76","77","88","67","!","!","100","87","76","74","76"
"Wiltshire","72","73","80","69","64","72","!","!","67","69","72","74"
"Windsor and Maidenhead","78","81","81","78","!","!","!","!","75","83","77","81"
"Wirral","72","72","60","81","!","!","!","!","70","82","72","72"
"Wokingham","82","80","88","87","64","73","100","100","72","77","83","80"
"Wolverhampton","73","76","77","78","73","80","!","100","76","74","72","75"
"Worcestershire","76","76","71","68","53","!","100","!","72","71","77","76"
"York","75","78","78","75","!","!","!","!","72","85","75","78"
