"Title","Reading attainment for children aged 5 to 7 by ethnicity, gender and area"
"Location","England"
"Time period","2015/16"
"Data source","Key stage 1 statistics https://www.gov.uk/government/statistics/phonics-screening-check-and-key-stage-1-assessments-england-2016"
"Source","https://www.ethnicityfactsandfigures.digitalbeta.org.uk"

"Region","Local Authority","LA Code","Ethnicity","Gender","Gender_type","Value","Value_girls"
"South West","Devon","E10000008","All","Boys","All/Boys/Girls","67","78"
"Yorkshire and The Humber","Doncaster","E08000017","White","Boys","All/Boys/Girls","66","75"
"Yorkshire and The Humber","Doncaster","E08000017","Mixed","Boys","All/Boys/Girls","65","81"
"Yorkshire and The Humber","Doncaster","E08000017","Asian","Boys","All/Boys/Girls","64","73"
"Yorkshire and The Humber","Doncaster","E08000017","Black","Boys","All/Boys/Girls","65","79"
"Yorkshire and The Humber","Doncaster","E08000017","Chinese","Boys","All/Boys/Girls","69","50"
"Yorkshire and The Humber","Doncaster","E08000017","All","Boys","All/Boys/Girls","65","75"
"South West","Dorset","E10000009","White","Boys","All/Boys/Girls","68","77"
"South West","Dorset","E10000009","Mixed","Boys","All/Boys/Girls","68","88"
"South West","Dorset","E10000009","Asian","Boys","All/Boys/Girls","70","80"
"South West","Dorset","E10000009","Black","Boys","All/Boys/Girls","100","50"
"South West","Dorset","E10000009","Chinese","Boys","All/Boys/Girls","!","!"
"South West","Dorset","E10000009","All","Boys","All/Boys/Girls","68","77"
"West Midlands","Dudley","E08000027","White","Boys","All/Boys/Girls","68","80"
"West Midlands","Dudley","E08000027","Mixed","Boys","All/Boys/Girls","76","88"
"West Midlands","Dudley","E08000027","Asian","Boys","All/Boys/Girls","70","79"
"West Midlands","Dudley","E08000027","Black","Boys","All/Boys/Girls","77","92"
"West Midlands","Dudley","E08000027","Chinese","Boys","All/Boys/Girls","!","100"
"West Midlands","Dudley","E08000027","All","Boys","All/Boys/Girls","69","80"
"London","Ealing","E09000009","White","Boys","All/Boys/Girls","71","78"
"London","Ealing","E09000009","Mixed","Boys","All/Boys/Girls","73","83"
"London","Ealing","E09000009","Asian","Boys","All/Boys/Girls","67","77"
"London","Ealing","E09000009","Black","Boys","All/Boys/Girls","64","71"
"London","Ealing","E09000009","Chinese","Boys","All/Boys/Girls","100","100"
"London","Ealing","E09000009","All","Boys","All/Boys/Girls","68","75"
"Yorkshire and The Humber","East Riding of Yorkshire","E06000011","White","Boys","All/Boys/Girls","70","81"
"Yorkshire and The Humber","East Riding of Yorkshire","E06000011","Mixed","Boys","All/Boys/Girls","80","86"
"Yorkshire and The Humber","East Riding of Yorkshire","E06000011","Asian","Boys","All/Boys/Girls","!","!"
"Yorkshire and The Humber","East Riding of Yorkshire","E06000011","Black","Boys","All/Boys/Girls","!","!"
"Yorkshire and The Humber","East Riding of Yorkshire","E06000011","Chinese","Boys","All/Boys/Girls","!","!"
"Yorkshire and The Humber","East Riding of Yorkshire","E06000011","All","Boys","All/Boys/Girls","70","81"
