"Title","Civil Service workforce"
"Location","UK"
"Time period","2018"
"Data source","Cabinet Office"
"Data source link","https://www.ons.gov.uk/releases/civilservicestatistics2018"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated","2018-10-02"
"Year","Ethnicity","Grade/Rank/Area/Gender/Age","%","Number ","","","","","","","",""
"2015","Mixed","UK","1.3","4,410","","","","","","","",""
"2015","Mixed","North East","0.6","140","","","","","","","",""
"2015","Mixed","North West","1","400","","","","","","","",""
"2015","Mixed","Yorkshire and The Humber","1","270","","","","","","","",""
"2015","Mixed","East Midlands","1.3","200","","","","","","","",""
"2015","Mixed","West Midlands","1.4","310","","","","","","","",""
"2015","Mixed","East","1.4","250","","","","","","","",""
"2015","Mixed","London","2.8","1,670","","","","","","","",""
"2015","Mixed","South East","1.1","380","","","","","","","",""
"2015","Mixed","South West","1","340","","","","","","","",""
"2015","Mixed","Wales","0.8","190","","","","","","","",""
"2015","Mixed","Scotland","0.5","170","","","","","","","",""
"2015","Mixed","Northern Ireland","0.3","10","","","","","","","",""
"2015","Mixed","Unknown","N/A","10","","","","","","","",""
"2015","Other","UK","0.6","2,040","","","","","","","",""
"2015","Other","North East","0.3","60","","","","","","","",""
"2015","Other","North West","0.3","130","","","","","","","",""
"2015","Other","Yorkshire and The Humber","0.4","110","","","","","","","",""
"2015","Other","East Midlands","0.4","70","","","","","","","",""
"2015","Other","West Midlands","0.4","90","","","","","","","",""
"2015","Other","East","0.5","100","","","","","","","",""
"2015","Other","London","1.6","950","","","","","","","",""
"2015","Other","South East","0.5","160","","","","","","","",""
"2015","Other","South West","0.4","140","","","","","","","",""
"2015","Other","Wales","0.4","90","","","","","","","",""
"2015","Other","Scotland","0.3","100","","","","","","","",""
"2015","Other","Northern Ireland","!","!","","","","","","","",""
"2015","Other","Unknown","N/A","!","","","","","","","",""
"2015","White","UK","89.4","305,550","","","","","","","",""
"2015","White","North East","97.9","22,350","","","","","","","",""
"2015","White","North West","94.8","39,120","","","","","","","",""
"2015","White","Yorkshire and The Humber","92.5","24,550","","","","","","","",""
"2015","White","East Midlands","88.6","13,880","","","","","","","",""
"2015","White","West Midlands","84.1","19,160","","","","","","","",""
"2015","White","East","91.2","16,870","","","","","","","",""
"2015","White","London","66.8","39,390","","","","","","","",""
"2015","White","South East","93.7","31,450","","","","","","","",""
"2015","White","South West","96.7","34,150","","","","","","","",""
"2015","White","Wales","97.6","24,390","","","","","","","",""
"2015","White","Scotland","98.1","33,940","","","","","","","",""
"2015","White","Northern Ireland","99.3","3,080","","","","","","","",""
"2015","White","Unknown","N/A","440","","","","","","","",""
"2016","Asian","UK","5.8","18,690","","","","","","","",""
"2016","Asian","North East","0.9","200","","","","","","","",""
"2016","Asian","North West","3.2","1,270","","","","","","","",""
