"Title","Permanent exclusions by ethnicity and local authority"
"Location","England"
"Time period","2016/17"
"Data source","Permanent and fixed-period exclusions in England: 2016 to 2017"
"Data source link","https://www.gov.uk/government/statistics/permanent-and-fixed-period-exclusions-in-england-2016-to-2017"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated","19/07/2018"

"","Asian","Black","Chinese","Mixed","White","Other"
"East Riding of Yorkshire","0.00","0.00","0.00","0.00","0.07","0.00"
"East Sussex","0.00","0.00","0.00","0.10","0.11","0.00"
"Enfield","0.00","0.20","0.00","0.10","0.04","!"
"Essex","0.00","!","0.00","0.07","0.05","0.00"
"Gateshead","!","0.00","0.00","0.00","0.27","0.00"
"Gloucestershire","!","0.66","0.00","0.49","0.13","0.00"
"Greenwich","0.00","0.03","0.00","0.09","0.02","0.00"
"Hackney","!","0.20","0.00","0.11","0.09","!"
"Halton","0.00","0.00","0.00","!","0.22","0.00"
"Hammersmith and Fulham","0.00","0.10","0.00","0.12","0.07","!"
"Hampshire","0.00","!","0.00","0.00","0.04","0.00"
"Haringey","!","0.11","0.00","0.14","0.05","0.20"
"Harrow","!","0.41","0.00","0.10","0.12","!"
"Hartlepool","0.00","0.00","0.00","0.00","0.12","0.00"
"Havering","0.16","0.22","0.00","!","0.09","!"
"Herefordshire","0.00","0.00","0.00","0.00","0.08","0.00"
"Hertfordshire","0.03","0.12","0.00","0.09","0.06","0.23"
"Hillingdon","0.02","0.20","0.00","0.07","0.16","!"
"Hounslow","0.02","0.14","0.00","0.20","0.15","0.07"
"Isle of Wight","0.00","0.00","0.00","0.00","0.04","0.00"
"Isles Of Scilly","N/A","N/A","N/A","0.00","0.00","N/A"
"Islington","0.00","0.19","0.00","0.13","0.15","!"
"Kensington and Chelsea","!","0.27","0.00","!","0.14","0.19"
"Kent","!","0.05","0.00","0.05","0.02","0.00"
"Kingston upon Hull City of","0.00","0.00","0.00","0.00","0.15","0.00"
"Kingston upon Thames","!","0.00","0.00","0.20","0.05","0.00"
"Kirklees","!","0.00","0.00","0.09","0.05","!"
"Knowsley","0.00","0.00","0.00","0.00","0.05","0.00"
"Lambeth","!","0.11","0.00","0.08","0.05","!"
"Lancashire","0.11","0.00","0.00","0.33","0.22","!"
"Leeds","0.00","!","0.00","!","0.01","0.00"
"Leicester","0.01","0.00","0.00","!","0.05","0.00"
"Leicestershire","!","0.00","0.00","0.07","0.03","0.00"
"Lewisham","0.00","0.22","0.00","0.13","0.09","0.00"
"Lincolnshire","0.00","0.00","0.00","0.18","0.11","0.00"
"Liverpool","!","0.22","0.00","0.32","0.23","0.12"
"Luton","0.05","0.17","0.00","0.29","0.21","!"
"Manchester","0.02","0.13","0.00","0.11","0.19","0.10"
"Medway","0.00","!","0.00","0.15","0.15","0.00"
"Merton","!","0.09","0.00","0.09","0.04","0.00"
"Middlesbrough","0.00","0.00","0.00","!","0.13","0.00"
"Milton Keynes","!","0.00","0.00","0.11","0.06","0.00"
"Newcastle upon Tyne","!","!","0.00","0.19","0.14","0.00"
"Newham","0.03","0.12","0.00","0.15","0.12","!"
"Norfolk","!","0.29","0.00","0.18","0.18","0.00"
"North East Lincolnshire","0.00","0.00","0.00","!","0.17","0.00"
"North Lincolnshire","0.00","!","0.00","0.00","0.11","0.00"
"North Somerset","0.00","0.00","0.00","0.00","0.15","0.00"
"North Tyneside","0.00","0.00","0.00","0.00","0.03","!"
"North Yorkshire","0.00","0.00","0.00","!","0.11","0.00"
"Northamptonshire","!","0.13","0.00","0.17","0.11","!"
"Northumberland","0.00","0.00","0.00","!","0.14","0.00"
"Nottingham","0.05","0.18","0.00","0.41","0.21","!"
"Nottinghamshire","!","!","0.00","0.14","0.04","0.00"
"Oldham","0.09","0.00","0.00","0.22","0.14","0.00"
"Oxfordshire","0.00","0.12","0.00","0.07","0.05","0.00"
"Peterborough","0.06","!","0.00","0.00","0.08","0.00"
"Plymouth","0.00","0.00","0.00","0.00","0.05","0.00"
"Poole","0.00","0.00","0.00","!","0.13","0.00"
"Portsmouth","0.00","0.00","0.00","!","0.06","0.00"
"Reading","!","!","0.00","0.48","0.16","0.00"
"Redbridge","0.03","0.25","0.00","0.14","0.06","0.00"
"Redcar and Cleveland","!","0.00","0.00","0.00","0.05","0.00"
"Richmond upon Thames","0.00","0.00","0.00","!","0.06","0.00"
"Rochdale","0.03","!","0.00","0.26","0.23","0.00"
"Rotherham","0.00","!","0.00","!","0.07","0.00"
"Rutland","0.00","0.00","0.00","0.00","0.13","0.00"
"Salford","0.00","0.16","0.00","0.12","0.20","0.00"
"Sandwell","0.02","0.26","0.00","0.27","0.15","0.00"
"Sefton","!","!","0.00","0.00","0.10","0.00"
"Sheffield","0.03","!","0.00","0.30","0.17","!"
"Shropshire","0.00","0.00","0.00","!","0.13","0.00"
"Slough","0.03","0.16","0.00","0.15","0.13","!"
"Solihull","0.07","!","0.00","0.31","0.18","!"
"Somerset","0.00","0.00","0.00","0.30","0.13","0.00"
"South Gloucestershire","0.00","0.00","0.00","0.21","0.09","0.00"
"South Tyneside","!","0.00","0.00","0.00","0.21","0.00"
"Southampton","!","0.00","0.00","!","0.07","0.00"
"Southend-on-Sea","0.00","!","0.00","!","0.07","0.00"
"Southwark","!","0.11","0.00","0.08","0.07","0.10"
"St. Helens","0.00","0.00","0.00","0.00","!","0.00"
"Staffordshire","0.08","0.37","0.00","0.29","0.16","!"
"Stockport","0.00","!","0.00","0.14","0.11","!"
"Stockton-on-Tees","!","0.00","0.00","0.00","0.07","0.00"
"Stoke-on-Trent","0.16","0.00","0.00","0.34","0.15","0.00"
"Suffolk","!","0.00","0.00","0.15","0.09","0.00"
"Sunderland","0.00","0.00","0.00","0.00","0.08","0.00"
"Surrey","0.00","0.00","0.00","0.03","0.04","0.00"
"Sutton","!","!","0.00","!","0.07","0.00"
"Swindon","!","0.00","0.00","0.16","0.16","!"
"Tameside","0.10","!","0.00","0.18","0.22","0.00"
"Telford and Wrekin","!","0.00","0.00","!","0.04","0.00"
"Thurrock","0.00","!","0.00","!","0.10","0.00"
"Torbay","0.00","0.00","0.00","0.00","0.17","0.00"
"Tower Hamlets","0.01","0.09","0.00","0.00","!","0.00"
"Trafford","0.05","!","0.00","0.28","0.13","0.51"
"Wakefield","!","0.00","0.00","0.27","0.14","0.00"
"Walsall","0.04","!","0.00","0.26","0.17","0.00"
"Waltham Forest","!","0.11","0.00","0.06","0.03","0.00"
"Wandsworth","0.05","0.22","0.00","0.12","0.04","0.00"
"Warrington","0.00","0.00","0.00","0.00","0.02","0.00"
"Warwickshire","0.00","!","0.00","0.08","0.08","0.00"
"West Berkshire","0.00","!","0.00","0.40","0.12","0.00"
"West Sussex","0.07","0.36","0.00","0.12","0.10","0.65"
"Westminster","0.00","0.07","0.00","!","!","!"
"Wigan","0.00","0.00","0.00","0.00","0.01","0.00"
"Wiltshire","0.00","0.00","0.00","0.00","0.01","0.00"
"Windsor and Maidenhead","!","0.00","0.00","!","0.10","0.00"
"Wirral","0.00","!","0.00","0.22","0.12","0.00"
"Wokingham","0.18","!","0.00","!","0.11","0.00"
"Wolverhampton","0.03","0.25","0.00","0.33","0.21","!"
"Worcestershire","!","0.00","0.00","0.18","0.12","!"
"York","0.00","0.00","0.00","0.00","!","0.00"
