"Title","Temporary exclusions by ethnicity and local authority"
"Location","England"
"Time period","2016/17"
"Data source","Permanent and fixed-period exclusions in England: 2016 to 2017"
"Data source link","https://www.gov.uk/government/statistics/permanent-and-fixed-period-exclusions-in-england-2016-to-2017"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated","19/07/2018"

"Ethnicity","Local authority","%"
"Chinese","Havering","1.49"
"Chinese","Hillingdon","!"
"Chinese","Hounslow","0.00"
"Chinese","Kingston upon Thames","0.00"
"Chinese","Merton","2.02"
"Chinese","Newham","0.00"
"Chinese","Redbridge","0.00"
"Chinese","Richmond upon Thames","!"
"Chinese","Sutton","!"
"Chinese","Waltham Forest","0.00"
"Chinese","Birmingham","!"
"Chinese","Coventry","!"
"Chinese","Dudley","0.00"
"Chinese","Sandwell","0.00"
"Chinese","Solihull","2.76"
"Chinese","Walsall","!"
"Chinese","Wolverhampton","!"
"Chinese","Knowsley","0.00"
"Chinese","Liverpool","0.63"
"Chinese","St. Helens","0.00"
"Chinese","Sefton","0.00"
"Chinese","Wirral","1.14"
"Chinese","Bolton","2.82"
"Chinese","Bury","2.46"
"Chinese","Manchester","!"
"Chinese","Oldham","0.00"
"Chinese","Rochdale","!"
"Chinese","Salford","0.00"
"Chinese","Stockport","0.00"
"Chinese","Tameside","0.00"
"Chinese","Trafford","!"
"Chinese","Wigan","0.00"
"Chinese","Barnsley","0.00"
"Chinese","Doncaster","2.63"
"Chinese","Rotherham","!"
"Chinese","Sheffield","0.00"
"Chinese","Bradford","0.00"
"Chinese","Calderdale","0.00"
"Chinese","Kirklees","0.00"
"Chinese","Leeds","0.00"
"Chinese","Wakefield","2.78"
"Chinese","Gateshead","0.00"
"Chinese","Newcastle upon Tyne","0.00"
"Chinese","North Tyneside","0.00"
"Chinese","South Tyneside","0.00"
"Chinese","Sunderland","0.00"
"Chinese","Isles Of Scilly","N/A"
"Chinese","Bath and North East Somerset","!"
"Chinese","Bristol City of","1.20"
"Chinese","North Somerset","!"
"Chinese","South Gloucestershire","!"
"Chinese","Hartlepool","0.00"
