"Title","Sentences and custody"
"Location","England and Wales"
"Time period","2009 to 2016"
"Data source","Ministry of Justice"
"Data source link","https://www.gov.uk/government/collections/criminal-justice-statistics"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated","2018-03-02"
"Year","Ethnicity_type_child","Ethnicity","Age group","Custody Rate"
"2016","ONS 5+1 2001","Chinese and other","Juveniles","11.1"
"2009","ONS 5+1 2001","Chinese and other","Young adults","26.6"
"2010","ONS 5+1 2001","Chinese and other","Young adults","31.7"
"2011","ONS 5+1 2001","Chinese and other","Young adults","36.7"
"2012","ONS 5+1 2001","Chinese and other","Young adults","36.6"
"2013","ONS 5+1 2001","Chinese and other","Young adults","26.7"
"2014","ONS 5+1 2001","Chinese and other","Young adults","31.8"
"2015","ONS 5+1 2001","Chinese and other","Young adults","31.3"
"2016","ONS 5+1 2001","Chinese and other","Young adults","29.5"
"2009","ONS 5+1 2001","Chinese and other","Adults","44.3"
"2010","ONS 5+1 2001","Chinese and other","Adults","42.3"
"2011","ONS 5+1 2001","Chinese and other","Adults","41"
"2012","ONS 5+1 2001","Chinese and other","Adults","42.7"
"2013","ONS 5+1 2001","Chinese and other","Adults","40.8"
"2014","ONS 5+1 2001","Chinese and other","Adults","38.2"
"2015","ONS 5+1 2001","Chinese and other","Adults","37.3"
"2016","ONS 5+1 2001","Chinese and other","Adults","35.6"
"2009","ONS 5+1 2001","Not stated","Juveniles","15.5"
"2010","ONS 5+1 2001","Not stated","Juveniles","11.9"
"2011","ONS 5+1 2001","Not stated","Juveniles","12"
"2012","ONS 5+1 2001","Not stated","Juveniles","11.6"
"2013","ONS 5+1 2001","Not stated","Juveniles","12.8"
"2014","ONS 5+1 2001","Not stated","Juveniles","10.2"
"2015","ONS 5+1 2001","Not stated","Juveniles","10.1"
"2016","ONS 5+1 2001","Not stated","Juveniles","10.9"
"2009","ONS 5+1 2001","Not stated","Young adults","36.3"
"2010","ONS 5+1 2001","Not stated","Young adults","28"
"2011","ONS 5+1 2001","Not stated","Young adults","24.5"
"2012","ONS 5+1 2001","Not stated","Young adults","26.9"
"2013","ONS 5+1 2001","Not stated","Young adults","25.5"
"2014","ONS 5+1 2001","Not stated","Young adults","25.5"
"2015","ONS 5+1 2001","Not stated","Young adults","26.6"
"2016","ONS 5+1 2001","Not stated","Young adults","28.4"
"2009","ONS 5+1 2001","Not stated","Adults","32.2"
"2010","ONS 5+1 2001","Not stated","Adults","24.2"
"2011","ONS 5+1 2001","Not stated","Adults","23.4"
"2012","ONS 5+1 2001","Not stated","Adults","26.7"
"2013","ONS 5+1 2001","Not stated","Adults","25.7"
"2014","ONS 5+1 2001","Not stated","Adults","23"
"2015","ONS 5+1 2001","Not stated","Adults","24.3"
"2016","ONS 5+1 2001","Not stated","Adults","27.7"
"2009","ONS 5+1 2001","All","Juveniles","9.7"
"2010","ONS 5+1 2001","All","Juveniles","8.9"
"2011","ONS 5+1 2001","All","Juveniles","10.2"
"2012","ONS 5+1 2001","All","Juveniles","9.7"
"2013","ONS 5+1 2001","All","Juveniles","9.9"
"2014","ONS 5+1 2001","All","Juveniles","9.2"
"2015","ONS 5+1 2001","All","Juveniles","10.2"
"2016","ONS 5+1 2001","All","Juveniles","10.2"
"2009","ONS 5+1 2001","All","Young adults","24.6"
"2010","ONS 5+1 2001","All","Young adults","23"
"2011","ONS 5+1 2001","All","Young adults","24.3"
"2012","ONS 5+1 2001","All","Young adults","24.2"
"2013","ONS 5+1 2001","All","Young adults","23.9"
"2014","ONS 5+1 2001","All","Young adults","24.8"
"2015","ONS 5+1 2001","All","Young adults","25.1"
"2016","ONS 5+1 2001","All","Young adults","27"
"2009","ONS 5+1 2001","All","Adults","27.3"
"2010","ONS 5+1 2001","All","Adults","26.4"
"2011","ONS 5+1 2001","All","Adults","28"
"2012","ONS 5+1 2001","All","Adults","28.7"
"2013","ONS 5+1 2001","All","Adults","28.6"
"2014","ONS 5+1 2001","All","Adults","28.6"
"2015","ONS 5+1 2001","All","Adults","29.8"
"2016","ONS 5+1 2001","All","Adults","32.1"
