"Title"," EBacc entry by ethnicity, gender and area"
"Location","England"
"Time period","2015/16"
"Data source","Key stage 4 statistics"
"Data source link","https://www.gov.uk/government/statistics/revised-gcse-and-equivalent-results-in-england-2015-to-2016"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated","19 January 2017 (revised)"

"Standard Ethnicity","Local authority","All","Boys","Girls"
"Asian","Rotherham","21","10","31"
"Asian","Rutland","!","!","!"
"Asian","Salford","55","43","71"
"Asian","Sandwell","30","23","38"
"Asian","Sefton","52","50","56"
"Asian","Sheffield","39","30","50"
"Asian","Shropshire","!","!","!"
"Asian","Slough","46","43","48"
"Asian","Solihull","54","42","68"
"Asian","Somerset","44","28","60"
"Asian","South Gloucestershire","40","31","56"
"Asian","South Tyneside","49","39","58"
"Asian","Southampton","56","51","61"
"Asian","Southend-on-Sea","70","65","79"
"Asian","Southwark","66","56","74"
"Asian","St. Helens","50","!","!"
"Asian","Staffordshire","35","32","40"
"Asian","Stockport","57","47","68"
"Asian","Stockton-on-Tees","43","28","58"
"Asian","Stoke-on-Trent","33","26","40"
"Asian","Suffolk","46","43","49"
"Asian","Sunderland","57","32","71"
"Asian","Surrey","52","46","58"
"Asian","Sutton","82","77","87"
"Asian","Swindon","48","43","53"
"Asian","Tameside","35","25","45"
"Asian","Telford and Wrekin","50","46","56"
"Asian","Thurrock","55","40","69"
"Asian","Torbay","50","!","!"
"Asian","Tower Hamlets","53","52","54"
"Asian","Trafford","46","37","56"
"Asian","Wakefield","40","26","52"
"Asian","Walsall","45","44","48"
"Asian","Waltham Forest","46","30","63"
"Asian","Wandsworth","70","64","78"
"Asian","Warrington","53","53","53"
"Asian","Warwickshire","54","45","62"
"Asian","West Berkshire","54","48","62"
"Asian","West Sussex","51","41","62"
"Asian","Westminster","45","39","53"
"Asian","Wigan","30","25","40"
"Asian","Wiltshire","43","46","39"
"Asian","Windsor and Maidenhead","47","28","66"
"Asian","Wirral","67","78","61"
"Asian","Wokingham","57","51","70"
