"Title","Employment"
"Location","England, Wales and Scotland"
"Time period","2004 to 2016"
"Data source","Department for Work and Pensions"
"Data source link","https://www.ons.gov.uk/employmentandlabourmarket/peopleinwork/employmentandemployeetypes/qmis/annualpopulationsurveyapsqmi"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated","December 2016"
"DATE","ECON_STATUS","REGION","ETHNICITY","SEX","AGE_BAND","AGE_GROUP","NUMERATOR","DENOMINATOR","SAMP_SIZE","Value","CONFIDENCE_INTERVAL","SUPRESS"
"Jan04-Dec04","Employed","Scotland","Other","All","25-49","16-64","?","?","?","?","?","Supress"
"Jan04-Dec04","Employed","Scotland","Other","All","50-64","16-64","?","?","?","?","?","Supress"
"Jan04-Dec04","Employed","Scotland","Other","Female","All","16-64","?","?","?","?","?","Supress"
"Jan04-Dec04","Employed","Scotland","Other","Female","16-24","16-64","?","?","?","?","?","Supress"
"Jan04-Dec04","Employed","Scotland","Other","Female","25-49","16-64","?","?","?","?","?","Supress"
"Jan04-Dec04","Employed","Scotland","Other","Female","50-64","16-64","?","?","?","?","?","Supress"
"Jan04-Dec04","Employed","Scotland","Other","Male","All","16-64","?","?","?","?","?","Supress"
"Jan04-Dec04","Employed","Scotland","Other","Male","16-24","16-64","?","?","?","?","?","Supress"
"Jan04-Dec04","Employed","Scotland","Other","Male","25-49","16-64","?","?","?","?","?","Supress"
"Jan04-Dec04","Employed","Scotland","Other","Male","50-64","16-64","?","?","?","?","?","Supress"
"Jan04-Dec04","Employed","Scotland","Unreported","All","All","16-64","?","?","?","?","?","Supress"
"Jan04-Dec04","Employed","Scotland","Unreported","All","16-24","16-64","?","?","?","?","?","Supress"
"Jan04-Dec04","Employed","Scotland","Unreported","All","25-49","16-64","?","?","?","?","?","Supress"
"Jan04-Dec04","Employed","Scotland","Unreported","All","50-64","16-64","?","?","?","?","?","Supress"
"Jan04-Dec04","Employed","Scotland","Unreported","Female","All","16-64","?","?","?","?","?","Supress"
"Jan04-Dec04","Employed","Scotland","Unreported","Female","25-49","16-64","?","?","?","?","?","Supress"
"Jan04-Dec04","Employed","Scotland","Unreported","Female","50-64","16-64","?","?","?","?","?","Supress"
"Jan04-Dec04","Employed","Scotland","Unreported","Male","All","16-64","?","?","?","?","?","Supress"
"Jan04-Dec04","Employed","Scotland","Unreported","Male","16-24","16-64","?","?","?","?","?","Supress"
"Jan04-Dec04","Employed","Scotland","Unreported","Male","25-49","16-64","?","?","?","?","?","Supress"
"Jan04-Dec04","Employed","Scotland","Unreported","Male","50-64","16-64","?","?","?","?","?","Supress"
"Jan04-Dec04","Employed","South East","All","All","All","16-64","3,971,935","5,144,200","42,439","77.2","0.4",""
"Jan04-Dec04","Employed","South East","All","All","16-24","16-64","564,312","864,839","6,362","65.3","1.2",""
"Jan04-Dec04","Employed","South East","All","All","25-49","16-64","2,381,306","2,820,442","23,142","84.4","0.5",""
"Jan04-Dec04","Employed","South East","All","All","50-64","16-64","1,026,317","1,458,919","12,935","70.3","0.8",""
"Jan04-Dec04","Employed","South East","All","Female","All","16-64","1,826,443","2,592,772","21,932","70.4","0.6",""
"Jan04-Dec04","Employed","South East","All","Female","16-24","16-64","273,778","429,031","3,228","63.8","1.7",""
"Jan04-Dec04","Employed","South East","All","Female","25-49","16-64","1,095,016","1,423,997","12,056","76.9","0.8",""
"Jan04-Dec04","Employed","South East","All","Female","50-64","16-64","457,649","739,744","6,648","61.9","1.2",""
"Jan04-Dec04","Employed","South East","All","Male","All","16-64","2,145,492","2,551,428","20,507","84.1","0.5",""
"Jan04-Dec04","Employed","South East","All","Male","16-24","16-64","290,534","435,808","3,134","66.7","1.7",""
"Jan04-Dec04","Employed","South East","All","Male","25-49","16-64","1,286,290","1,396,445","11,086","92.1","0.5",""
"Jan04-Dec04","Employed","South East","All","Male","50-64","16-64","568,668","719,175","6,287","79.1","1",""
"Jan04-Dec04","Employed","South East","White British","All","All","16-64","3,557,037","4,553,571","37,468","78.1","0.7",""
"Jan04-Dec04","Employed","South East","White British","All","16-24","16-64","510,867","751,815","5,513","68","1.9",""
"Jan04-Dec04","Employed","South East","White British","All","25-49","16-64","2,094,488","2,456,773","20,073","85.3","0.8",""
"Jan04-Dec04","Employed","South East","White British","All","50-64","16-64","951,682","1,344,983","11,882","70.8","1.3",""
"Jan04-Dec04","Employed","South East","White British","Female","All","16-64","1,632,286","2,284,018","19,251","71.5","1",""
"Jan04-Dec04","Employed","South East","White British","Female","16-24","16-64","246,805","372,143","2,788","66.3","2.8",""
"Jan04-Dec04","Employed","South East","White British","Female","25-49","16-64","964,645","1,234,583","10,400","78.1","1.3",""
"Jan04-Dec04","Employed","South East","White British","Female","50-64","16-64","420,836","677,292","6,063","62.1","1.9",""
"Jan04-Dec04","Employed","South East","White British","Male","All","16-64","1,924,751","2,269,553","18,217","84.8","0.8",""
"Jan04-Dec04","Employed","South East","White British","Male","16-24","16-64","264,062","379,672","2,725","69.6","2.7",""
"Jan04-Dec04","Employed","South East","White British","Male","25-49","16-64","1,129,843","1,222,190","9,673","92.4","0.8",""
"Jan04-Dec04","Employed","South East","White British","Male","50-64","16-64","530,846","667,691","5,819","79.5","1.6",""
"Jan04-Dec04","Employed","South East","White Other","All","All","16-64","193,319","265,861","2,191","72.7","2.9",""
"Jan04-Dec04","Employed","South East","White Other","All","16-24","16-64","19,634","35,026","244","56.1","9.8",""
"Jan04-Dec04","Employed","South East","White Other","All","25-49","16-64","129,344","162,770","1,333","79.5","3.4",""
"Jan04-Dec04","Employed","South East","White Other","All","50-64","16-64","44,341","68,065","614","65.1","6",""
"Jan04-Dec04","Employed","South East","White Other","Female","All","16-64","93,123","142,708","1,200","65.3","4.3",""
"Jan04-Dec04","Employed","South East","White Other","Female","16-24","16-64","11,185","19,482","138","57.4","13",""
"Jan04-Dec04","Employed","South East","White Other","Female","25-49","16-64","60,360","86,430","726","69.8","5.3",""
"Jan04-Dec04","Employed","South East","White Other","Female","50-64","16-64","21,578","36,796","336","58.6","8.3",""
"Jan04-Dec04","Employed","South East","White Other","Male","All","16-64","100,196","123,153","991","81.4","3.8",""
"Jan04-Dec04","Employed","South East","White Other","Male","16-24","16-64","8,449","15,544","106","54.4","15",""
"Jan04-Dec04","Employed","South East","White Other","Male","25-49","16-64","68,984","76,340","607","90.4","3.7",""
"Jan04-Dec04","Employed","South East","White Other","Male","50-64","16-64","22,763","31,269","278","72.8","8.3",""
"Jan04-Dec04","Employed","South East","Black","All","All","16-64","35,455","49,739","423","71.3","6.8",""
"Jan04-Dec04","Employed","South East","Black","All","16-24","16-64","?","?","?","?","?","Supress"
"Jan04-Dec04","Employed","South East","Black","All","25-49","16-64","26,971","35,173","306","76.7","7.5",""
"Jan04-Dec04","Employed","South East","Black","All","50-64","16-64","?","?","?","?","?","Supress"
"Jan04-Dec04","Employed","South East","Black","Female","All","16-64","16,051","24,401","217","65.8","10",""
"Jan04-Dec04","Employed","South East","Black","Female","16-24","16-64","?","?","?","?","?","Supress"
"Jan04-Dec04","Employed","South East","Black","Female","25-49","16-64","12,341","17,000","154","72.6","11.1",""
"Jan04-Dec04","Employed","South East","Black","Female","50-64","16-64","?","?","?","?","?","Supress"
"Jan04-Dec04","Employed","South East","Black","Male","All","16-64","19,404","25,338","206","76.6","9.1",""
"Jan04-Dec04","Employed","South East","Black","Male","16-24","16-64","?","?","?","?","?","Supress"
"Jan04-Dec04","Employed","South East","Black","Male","25-49","16-64","14,630","18,173","152","80.5","10",""
"Jan04-Dec04","Employed","South East","Black","Male","50-64","16-64","?","?","?","?","?","Supress"
"Jan04-Dec04","Employed","South East","Mixed","All","All","16-64","30,847","44,328","355","69.6","7.6",""
"Jan04-Dec04","Employed","South East","Mixed","All","16-24","16-64","9,294","17,136","131","54.2","13.5",""
"Jan04-Dec04","Employed","South East","Mixed","All","25-49","16-64","18,491","22,852","187","80.9","8.9",""
"Jan04-Dec04","Employed","South East","Mixed","All","50-64","16-64","?","?","?","?","?","Supress"
"Jan04-Dec04","Employed","South East","Mixed","Female","All","16-64","14,917","23,096","187","64.6","10.8",""
"Jan04-Dec04","Employed","South East","Mixed","Female","16-24","16-64","?","?","?","?","?","Supress"
"Jan04-Dec04","Employed","South East","Mixed","Female","25-49","16-64","?","?","?","?","?","Supress"
"Jan04-Dec04","Employed","South East","Mixed","Female","50-64","16-64","?","?","?","?","?","Supress"
"Jan04-Dec04","Employed","South East","Mixed","Male","All","16-64","15,930","21,232","168","75","10.3",""
"Jan04-Dec04","Employed","South East","Mixed","Male","16-24","16-64","?","?","?","?","?","Supress"
"Jan04-Dec04","Employed","South East","Mixed","Male","25-49","16-64","?","?","?","?","?","Supress"
"Jan04-Dec04","Employed","South East","Mixed","Male","50-64","16-64","?","?","?","?","?","Supress"
"Jan04-Dec04","Employed","South East","Indian","All","All","16-64","52,209","69,477","652","75.1","5.2",""
"Jan04-Dec04","Employed","South East","Indian","All","16-24","16-64","6,580","13,976","127","47.1","13.7",""
"Jan04-Dec04","Employed","South East","Indian","All","25-49","16-64","38,187","43,994","406","86.8","5.2",""
"Jan04-Dec04","Employed","South East","Indian","All","50-64","16-64","7,442","11,507","119","64.7","13.6",""
"Jan04-Dec04","Employed","South East","Indian","Female","All","16-64","22,793","34,057","335","66.9","8",""
"Jan04-Dec04","Employed","South East","Indian","Female","16-24","16-64","?","?","?","?","?","Supress"
"Jan04-Dec04","Employed","South East","Indian","Female","25-49","16-64","16,572","21,534","209","77","9",""
"Jan04-Dec04","Employed","South East","Indian","Female","50-64","16-64","?","?","?","?","?","Supress"
"Jan04-Dec04","Employed","South East","Indian","Male","All","16-64","29,416","35,420","317","83","6.5",""
"Jan04-Dec04","Employed","South East","Indian","Male","16-24","16-64","?","?","?","?","?","Supress"
"Jan04-Dec04","Employed","South East","Indian","Male","25-49","16-64","21,615","22,460","197","96.2","4.2",""
"Jan04-Dec04","Employed","South East","Indian","Male","50-64","16-64","?","?","?","?","?","Supress"
"Jan04-Dec04","Employed","South East","Pakistani/Bangladeshi","All","All","16-64","31,472","56,418","481","55.8","7",""
"Jan04-Dec04","Employed","South East","Pakistani/Bangladeshi","All","16-24","16-64","6,284","17,189","139","36.6","12.6",""
"Jan04-Dec04","Employed","South East","Pakistani/Bangladeshi","All","25-49","16-64","21,890","32,774","282","66.8","8.7",""
"Jan04-Dec04","Employed","South East","Pakistani/Bangladeshi","All","50-64","16-64","?","?","?","?","?","Supress"
"Jan04-Dec04","Employed","South East","Pakistani/Bangladeshi","Female","All","16-64","10,291","28,093","252","36.6","9.4",""
"Jan04-Dec04","Employed","South East","Pakistani/Bangladeshi","Female","16-24","16-64","?","?","?","?","?","Supress"
"Jan04-Dec04","Employed","South East","Pakistani/Bangladeshi","Female","25-49","16-64","7,004","16,576","153","42.3","12.4",""
"Jan04-Dec04","Employed","South East","Pakistani/Bangladeshi","Female","50-64","16-64","?","?","?","?","?","Supress"
"Jan04-Dec04","Employed","South East","Pakistani/Bangladeshi","Male","All","16-64","21,181","28,325","229","74.8","8.9",""
"Jan04-Dec04","Employed","South East","Pakistani/Bangladeshi","Male","16-24","16-64","?","?","?","?","?","Supress"
"Jan04-Dec04","Employed","South East","Pakistani/Bangladeshi","Male","25-49","16-64","14,886","16,198","129","91.9","7.4",""
"Jan04-Dec04","Employed","South East","Pakistani/Bangladeshi","Male","50-64","16-64","?","?","?","?","?","Supress"
"Jan04-Dec04","Employed","South East","Other Asian","All","All","16-64","35,102","53,178","443","66","7",""
"Jan04-Dec04","Employed","South East","Other Asian","All","16-24","16-64","?","?","?","?","?","Supress"
"Jan04-Dec04","Employed","South East","Other Asian","All","25-49","16-64","26,531","33,703","285","78.7","7.5",""
"Jan04-Dec04","Employed","South East","Other Asian","All","50-64","16-64","?","?","?","?","?","Supress"
"Jan04-Dec04","Employed","South East","Other Asian","Female","All","16-64","19,020","29,124","253","65.3","9.3",""
"Jan04-Dec04","Employed","South East","Other Asian","Female","16-24","16-64","?","?","?","?","?","Supress"
"Jan04-Dec04","Employed","South East","Other Asian","Female","25-49","16-64","14,116","19,523","170","72.3","10.6",""
"Jan04-Dec04","Employed","South East","Other Asian","Female","50-64","16-64","?","?","?","?","?","Supress"
"Jan04-Dec04","Employed","South East","Other Asian","Male","All","16-64","16,082","24,054","190","66.9","10.6",""
"Jan04-Dec04","Employed","South East","Other Asian","Male","16-24","16-64","?","?","?","?","?","Supress"
"Jan04-Dec04","Employed","South East","Other Asian","Male","25-49","16-64","12,415","14,180","115","87.6","9.5",""
"Jan04-Dec04","Employed","South East","Other Asian","Male","50-64","16-64","?","?","?","?","?","Supress"
"Jan04-Dec04","Employed","South East","Other","All","All","16-64","32,250","44,882","371","71.9","7.2",""
"Jan04-Dec04","Employed","South East","Other","All","16-24","16-64","?","?","?","?","?","Supress"
"Jan04-Dec04","Employed","South East","Other","All","25-49","16-64","23,201","29,687","249","78.2","8.1",""
"Jan04-Dec04","Employed","South East","Other","All","50-64","16-64","?","?","?","?","?","Supress"
"Jan04-Dec04","Employed","South East","Other","Female","All","16-64","15,875","23,810","207","66.7","10.1",""
"Jan04-Dec04","Employed","South East","Other","Female","16-24","16-64","?","?","?","?","?","Supress"
"Jan04-Dec04","Employed","South East","Other","Female","25-49","16-64","10,988","15,432","137","71.2","12",""
"Jan04-Dec04","Employed","South East","Other","Female","50-64","16-64","?","?","?","?","?","Supress"
"Jan04-Dec04","Employed","South East","Other","Male","All","16-64","16,375","21,072","164","77.7","10.1",""
"Jan04-Dec04","Employed","South East","Other","Male","16-24","16-64","?","?","?","?","?","Supress"
"Jan04-Dec04","Employed","South East","Other","Male","25-49","16-64","12,213","14,255","112","85.7","10.3",""
"Jan04-Dec04","Employed","South East","Other","Male","50-64","16-64","?","?","?","?","?","Supress"
"Jan04-Dec04","Employed","South East","Unreported","All","All","16-64","?","?","?","?","?","Supress"
"Jan04-Dec04","Employed","South East","Unreported","All","16-24","16-64","?","?","?","?","?","Supress"
"Jan04-Dec04","Employed","South East","Unreported","All","25-49","16-64","?","?","?","?","?","Supress"
"Jan04-Dec04","Employed","South East","Unreported","All","50-64","16-64","?","?","?","?","?","Supress"
"Jan04-Dec04","Employed","South East","Unreported","Female","All","16-64","?","?","?","?","?","Supress"
"Jan04-Dec04","Employed","South East","Unreported","Female","16-24","16-64","?","?","?","?","?","Supress"
"Jan04-Dec04","Employed","South East","Unreported","Female","25-49","16-64","?","?","?","?","?","Supress"
"Jan04-Dec04","Employed","South East","Unreported","Female","50-64","16-64","?","?","?","?","?","Supress"
"Jan04-Dec04","Employed","South East","Unreported","Male","All","16-64","?","?","?","?","?","Supress"
"Jan04-Dec04","Employed","South East","Unreported","Male","16-24","16-64","?","?","?","?","?","Supress"
"Jan04-Dec04","Employed","South East","Unreported","Male","25-49","16-64","?","?","?","?","?","Supress"
"Jan04-Dec04","Employed","South East","Unreported","Male","50-64","16-64","?","?","?","?","?","Supress"
"Jan04-Dec04","Employed","South West","All","All","All","16-64","2,369,237","3,124,241","31,191","75.8","0.5",""
"Jan04-Dec04","Employed","South West","All","All","16-24","16-64","345,477","522,276","4,615","66.1","1.4",""
"Jan04-Dec04","Employed","South West","All","All","25-49","16-64","1,379,945","1,641,085","16,001","84.1","0.6",""
"Jan04-Dec04","Employed","South West","All","All","50-64","16-64","643,815","960,880","10,575","67","0.9",""
"Jan04-Dec04","Employed","South West","All","Female","All","16-64","1,101,412","1,576,141","16,252","69.9","0.7",""
"Jan04-Dec04","Employed","South West","All","Female","16-24","16-64","163,600","255,826","2,270","63.9","2",""
"Jan04-Dec04","Employed","South West","All","Female","25-49","16-64","645,554","830,443","8,478","77.7","0.9",""
"Jan04-Dec04","Employed","South West","All","Female","50-64","16-64","292,258","489,872","5,504","59.7","1.3",""
"Jan04-Dec04","Employed","South West","All","Male","All","16-64","1,267,825","1,548,100","14,939","81.9","0.6",""
"Jan04-Dec04","Employed","South West","All","Male","16-24","16-64","181,877","266,450","2,345","68.3","1.9",""
"Jan04-Dec04","Employed","South West","All","Male","25-49","16-64","734,391","810,642","7,523","90.6","0.7",""
"Jan04-Dec04","Employed","South West","All","Male","50-64","16-64","351,557","471,008","5,071","74.6","1.2",""
"Jan04-Dec04","Employed","South West","White British","All","All","16-64","2,203,280","2,893,780","28,943","76.1","0.8",""
"Jan04-Dec04","Employed","South West","White British","All","16-24","16-64","321,030","481,657","4,282","66.7","2.2",""
"Jan04-Dec04","Employed","South West","White British","All","25-49","16-64","1,276,494","1,512,229","14,784","84.4","0.9",""
"Jan04-Dec04","Employed","South West","White British","All","50-64","16-64","605,756","899,894","9,877","67.3","1.5",""
"Jan04-Dec04","Employed","South West","White British","Female","All","16-64","1,024,729","1,459,385","15,066","70.2","1.2",""
"Jan04-Dec04","Employed","South West","White British","Female","16-24","16-64","152,386","236,624","2,101","64.4","3.2",""
"Jan04-Dec04","Employed","South West","White British","Female","25-49","16-64","597,456","764,327","7,832","78.2","1.4",""
"Jan04-Dec04","Employed","South West","White British","Female","50-64","16-64","274,887","458,434","5,133","60","2.1",""
"Jan04-Dec04","Employed","South West","White British","Male","All","16-64","1,178,551","1,434,395","13,877","82.2","1",""
"Jan04-Dec04","Employed","South West","White British","Male","16-24","16-64","168,644","245,033","2,181","68.8","3.1",""
"Jan04-Dec04","Employed","South West","White British","Male","25-49","16-64","679,038","747,902","6,952","90.8","1.1",""
"Jan04-Dec04","Employed","South West","White British","Male","50-64","16-64","330,869","441,460","4,744","74.9","1.9",""
"Jan04-Dec04","Employed","South West","White Other","All","All","16-64","104,329","143,336","1,545","72.8","3.5",""
"Jan04-Dec04","Employed","South West","White Other","All","16-24","16-64","12,155","20,484","197","59.3","10.8",""
"Jan04-Dec04","Employed","South West","White Other","All","25-49","16-64","62,440","76,179","782","82","4.3",""
"Jan04-Dec04","Employed","South West","White Other","All","50-64","16-64","29,734","46,673","566","63.7","6.3",""
"Jan04-Dec04","Employed","South West","White Other","Female","All","16-64","48,948","73,982","821","66.2","5.1",""
"Jan04-Dec04","Employed","South West","White Other","Female","16-24","16-64","5,749","10,530","104","54.6","15.1",""
"Jan04-Dec04","Employed","South West","White Other","Female","25-49","16-64","29,233","38,917","413","75.1","6.6",""
"Jan04-Dec04","Employed","South West","White Other","Female","50-64","16-64","13,966","24,535","304","56.9","8.8",""
"Jan04-Dec04","Employed","South West","White Other","Male","All","16-64","55,381","69,354","724","79.9","4.6",""
"Jan04-Dec04","Employed","South West","White Other","Male","16-24","16-64","?","?","?","?","?","Supress"
"Jan04-Dec04","Employed","South West","White Other","Male","25-49","16-64","33,207","37,262","369","89.1","5",""
"Jan04-Dec04","Employed","South West","White Other","Male","50-64","16-64","15,768","22,138","262","71.2","8.7",""
"Jan04-Dec04","Employed","South West","Black","All","All","16-64","12,024","17,831","124","67.4","13",""
"Jan04-Dec04","Employed","South West","Black","All","16-24","16-64","?","?","?","?","?","Supress"
"Jan04-Dec04","Employed","South West","Black","All","25-49","16-64","?","?","?","?","?","Supress"
"Jan04-Dec04","Employed","South West","Black","All","50-64","16-64","?","?","?","?","?","Supress"
"Jan04-Dec04","Employed","South West","Black","Female","All","16-64","?","?","?","?","?","Supress"
"Jan04-Dec04","Employed","South West","Black","Female","16-24","16-64","?","?","?","?","?","Supress"
"Jan04-Dec04","Employed","South West","Black","Female","25-49","16-64","?","?","?","?","?","Supress"
"Jan04-Dec04","Employed","South West","Black","Female","50-64","16-64","?","?","?","?","?","Supress"
"Jan04-Dec04","Employed","South West","Black","Male","All","16-64","?","?","?","?","?","Supress"
"Jan04-Dec04","Employed","South West","Black","Male","16-24","16-64","?","?","?","?","?","Supress"
"Jan04-Dec04","Employed","South West","Black","Male","25-49","16-64","?","?","?","?","?","Supress"
"Jan04-Dec04","Employed","South West","Black","Male","50-64","16-64","?","?","?","?","?","Supress"
"Jan04-Dec04","Employed","South West","Mixed","All","All","16-64","11,931","16,532","137","72.2","11.9",""
"Jan04-Dec04","Employed","South West","Mixed","All","16-24","16-64","?","?","?","?","?","Supress"
"Jan04-Dec04","Employed","South West","Mixed","All","25-49","16-64","?","?","?","?","?","Supress"
"Jan04-Dec04","Employed","South West","Mixed","All","50-64","16-64","?","?","?","?","?","Supress"
"Jan04-Dec04","Employed","South West","Mixed","Female","All","16-64","?","?","?","?","?","Supress"
"Jan04-Dec04","Employed","South West","Mixed","Female","16-24","16-64","?","?","?","?","?","Supress"
"Jan04-Dec04","Employed","South West","Mixed","Female","25-49","16-64","?","?","?","?","?","Supress"
"Jan04-Dec04","Employed","South West","Mixed","Female","50-64","16-64","?","?","?","?","?","Supress"
"Jan04-Dec04","Employed","South West","Mixed","Male","All","16-64","?","?","?","?","?","Supress"
"Jan04-Dec04","Employed","South West","Mixed","Male","16-24","16-64","?","?","?","?","?","Supress"
"Jan04-Dec04","Employed","South West","Mixed","Male","25-49","16-64","?","?","?","?","?","Supress"
"Jan04-Dec04","Employed","South West","Mixed","Male","50-64","16-64","?","?","?","?","?","Supress"
"Jan04-Dec04","Employed","South West","Indian","All","All","16-64","13,444","17,532","129","76.7","11.5",""
"Jan04-Dec04","Employed","South West","Indian","All","16-24","16-64","?","?","?","?","?","Supress"
"Jan04-Dec04","Employed","South West","Indian","All","25-49","16-64","?","?","?","?","?","Supress"
"Jan04-Dec04","Employed","South West","Indian","All","50-64","16-64","?","?","?","?","?","Supress"
"Jan04-Dec04","Employed","South West","Indian","Female","All","16-64","?","?","?","?","?","Supress"
"Jan04-Dec04","Employed","South West","Indian","Female","16-24","16-64","?","?","?","?","?","Supress"
"Jan04-Dec04","Employed","South West","Indian","Female","25-49","16-64","?","?","?","?","?","Supress"
"Jan04-Dec04","Employed","South West","Indian","Female","50-64","16-64","?","?","?","?","?","Supress"
"Jan04-Dec04","Employed","South West","Indian","Male","All","16-64","?","?","?","?","?","Supress"
"Jan04-Dec04","Employed","South West","Indian","Male","16-24","16-64","?","?","?","?","?","Supress"
"Jan04-Dec04","Employed","South West","Indian","Male","25-49","16-64","?","?","?","?","?","Supress"
"Jan04-Dec04","Employed","South West","Indian","Male","50-64","16-64","?","?","?","?","?","Supress"
"Jan04-Dec04","Employed","South West","Pakistani/Bangladeshi","All","All","16-64","?","?","?","?","?","Supress"
"Jan04-Dec04","Employed","South West","Pakistani/Bangladeshi","All","16-24","16-64","?","?","?","?","?","Supress"
"Jan04-Dec04","Employed","South West","Pakistani/Bangladeshi","All","25-49","16-64","?","?","?","?","?","Supress"
"Jan04-Dec04","Employed","South West","Pakistani/Bangladeshi","Female","All","16-64","?","?","?","?","?","Supress"
"Jan04-Dec04","Employed","South West","Pakistani/Bangladeshi","Female","16-24","16-64","?","?","?","?","?","Supress"
"Jan04-Dec04","Employed","South West","Pakistani/Bangladeshi","Female","25-49","16-64","?","?","?","?","?","Supress"
"Jan04-Dec04","Employed","South West","Pakistani/Bangladeshi","Male","All","16-64","?","?","?","?","?","Supress"
"Jan04-Dec04","Employed","South West","Pakistani/Bangladeshi","Male","16-24","16-64","?","?","?","?","?","Supress"
"Jan04-Dec04","Employed","South West","Pakistani/Bangladeshi","Male","25-49","16-64","?","?","?","?","?","Supress"
"Jan04-Dec04","Employed","South West","Other Asian","All","All","16-64","10,278","14,280","123","72","12.5",""
"Jan04-Dec04","Employed","South West","Other Asian","All","16-24","16-64","?","?","?","?","?","Supress"
"Jan04-Dec04","Employed","South West","Other Asian","All","25-49","16-64","?","?","?","?","?","Supress"
"Jan04-Dec04","Employed","South West","Other Asian","All","50-64","16-64","?","?","?","?","?","Supress"
"Jan04-Dec04","Employed","South West","Other Asian","Female","All","16-64","?","?","?","?","?","Supress"
"Jan04-Dec04","Employed","South West","Other Asian","Female","16-24","16-64","?","?","?","?","?","Supress"
"Jan04-Dec04","Employed","South West","Other Asian","Female","25-49","16-64","?","?","?","?","?","Supress"
"Jan04-Dec04","Employed","South West","Other Asian","Female","50-64","16-64","?","?","?","?","?","Supress"
"Jan04-Dec04","Employed","South West","Other Asian","Male","All","16-64","?","?","?","?","?","Supress"
"Jan04-Dec04","Employed","South West","Other Asian","Male","16-24","16-64","?","?","?","?","?","Supress"
"Jan04-Dec04","Employed","South West","Other Asian","Male","25-49","16-64","?","?","?","?","?","Supress"
"Jan04-Dec04","Employed","South West","Other Asian","Male","50-64","16-64","?","?","?","?","?","Supress"
"Jan04-Dec04","Employed","South West","Other","All","All","16-64","8,978","12,200","111","73.6","13",""
"Jan04-Dec04","Employed","South West","Other","All","16-24","16-64","?","?","?","?","?","Supress"
"Jan04-Dec04","Employed","South West","Other","All","25-49","16-64","?","?","?","?","?","Supress"
"Jan04-Dec04","Employed","South West","Other","All","50-64","16-64","?","?","?","?","?","Supress"
"Jan04-Dec04","Employed","South West","Other","Female","All","16-64","?","?","?","?","?","Supress"
"Jan04-Dec04","Employed","South West","Other","Female","16-24","16-64","?","?","?","?","?","Supress"
"Jan04-Dec04","Employed","South West","Other","Female","25-49","16-64","?","?","?","?","?","Supress"
"Jan04-Dec04","Employed","South West","Other","Female","50-64","16-64","?","?","?","?","?","Supress"
"Jan04-Dec04","Employed","South West","Other","Male","All","16-64","?","?","?","?","?","Supress"
"Jan04-Dec04","Employed","South West","Other","Male","16-24","16-64","?","?","?","?","?","Supress"
"Jan04-Dec04","Employed","South West","Other","Male","25-49","16-64","?","?","?","?","?","Supress"
"Jan04-Dec04","Employed","South West","Other","Male","50-64","16-64","?","?","?","?","?","Supress"
"Jan04-Dec04","Employed","South West","Unreported","All","All","16-64","?","?","?","?","?","Supress"
"Jan04-Dec04","Employed","South West","Unreported","All","16-24","16-64","?","?","?","?","?","Supress"
"Jan04-Dec04","Employed","South West","Unreported","All","25-49","16-64","?","?","?","?","?","Supress"
"Jan04-Dec04","Employed","South West","Unreported","All","50-64","16-64","?","?","?","?","?","Supress"
"Jan04-Dec04","Employed","South West","Unreported","Female","All","16-64","?","?","?","?","?","Supress"
"Jan04-Dec04","Employed","South West","Unreported","Female","16-24","16-64","?","?","?","?","?","Supress"
"Jan04-Dec04","Employed","South West","Unreported","Female","25-49","16-64","?","?","?","?","?","Supress"
"Jan04-Dec04","Employed","South West","Unreported","Female","50-64","16-64","?","?","?","?","?","Supress"
"Jan04-Dec04","Employed","South West","Unreported","Male","All","16-64","?","?","?","?","?","Supress"
"Jan04-Dec04","Employed","South West","Unreported","Male","25-49","16-64","?","?","?","?","?","Supress"
"Jan04-Dec04","Employed","South West","Unreported","Male","50-64","16-64","?","?","?","?","?","Supress"
"Jan04-Dec04","Employed","Wales","All","All","All","16-64","1,286,676","1,857,893","28,134","69.3","0.5",""
"Jan04-Dec04","Employed","Wales","All","All","16-24","16-64","197,741","339,546","4,481","58.2","1.4",""
"Jan04-Dec04","Employed","Wales","All","All","25-49","16-64","764,981","958,132","14,310","79.8","0.7",""
"Jan04-Dec04","Employed","Wales","All","All","50-64","16-64","323,954","560,215","9,343","57.8","1",""
"Jan04-Dec04","Employed","Wales","All","Female","All","16-64","599,272","941,224","14,931","63.7","0.8",""
"Jan04-Dec04","Employed","Wales","All","Female","16-24","16-64","93,104","168,068","2,348","55.4","2",""
"Jan04-Dec04","Employed","Wales","All","Female","25-49","16-64","359,806","488,995","7,720","73.6","1",""
"Jan04-Dec04","Employed","Wales","All","Female","50-64","16-64","146,362","284,161","4,863","51.5","1.4",""
"Jan04-Dec04","Employed","Wales","All","Male","All","16-64","687,404","916,669","13,203","75","0.7",""
"Jan04-Dec04","Employed","Wales","All","Male","16-24","16-64","104,637","171,478","2,133","61","2.1",""
"Jan04-Dec04","Employed","Wales","All","Male","25-49","16-64","405,175","469,137","6,590","86.4","0.8",""
"Jan04-Dec04","Employed","Wales","All","Male","50-64","16-64","177,592","276,054","4,480","64.3","1.4",""
