"Title","Civil Service Workforce"
"Location","United Kingdom"
"Time period","2016"
"Data source","Cabinet Office"
"Data source link","https://www.ons.gov.uk/releases/civilservicestatistics2016"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated","6/10/2016"
"Year","Ethnic group","GRADE","Number","Rate","Median Salary"
"2016","Asian of Asian British","Aged 20-29","2,460","9.50%","22800"
"2016","Black or Black British","Aged 20-29","710","2.70%","24100"
"2016","Chinese","Aged 20-29","110","0.40%","26400"
"2016","Other ethnic group","Aged 20-29","130","0.50%","24100"
"2016","Not reported / Not declared","Aged 20-29","16,320","N/A","22200"
"2016","All Groups","Aged 30-39","88,790","N/A","25800"
"2016","white","Aged 30-39","57,340","85.90%","25800"
"2016","Mixed","Aged 30-39","1,300","1.90%","28000"
"2016","Asian of Asian British","Aged 30-39","5,660","8.50%","25000"
"2016","Black or Black British","Aged 30-39","1,790","2.70%","25700"
"2016","Chinese","Aged 30-39","290","0.40%","29200"
"2016","Other ethnic group","Aged 30-39","400","0.60%","29200"
"2016","Not reported / Not declared","Aged 30-39","22,020","N/A","25500"
"2016","All Groups","Aged 40-49","116,940","N/A","26400"
"2016","white","Aged 40-49","81,390","88.40%","26400"
"2016","Mixed","Aged 40-49","1,200","1.30%","29200"
"2016","Asian of Asian British","Aged 40-49","5,420","5.90%","25700"
"2016","Black or Black British","Aged 40-49","3,370","3.70%","27000"
"2016","Chinese","Aged 40-49","250","0.30%","27900"
"2016","Other ethnic group","Aged 40-49","460","0.50%","29200"
"2016","Not reported / Not declared","Aged 40-49","24,860","N/A","26400"
"2016","All Groups","Aged 50-59","134,290","N/A","26400"
"2016","white","Aged 50-59","97,750","91.40%","26400"
"2016","Mixed","Aged 50-59","1,050","1.00%","28400"
"2016","Asian of Asian British","Aged 50-59","3,840","3.60%","26000"
"2016","Black or Black British","Aged 50-59","3,570","3.30%","27200"
"2016","Chinese","Aged 50-59","170","0.20%","27800"
"2016","Other ethnic group","Aged 50-59","560","0.50%","29200"
"2016","Not reported / Not declared","Aged 50-59","27,340","N/A","26400"
"2016","All Groups","Aged 60-64","27,180","N/A","25000"
"2016","white","Aged 60-64","19,970","92.50%","25200"
"2016","Mixed","Aged 60-64","160","0.70%","24200"
"2016","Asian of Asian British","Aged 60-64","870","4.00%","24100"
"2016","Black or Black British","Aged 60-64","410","1.90%","24400"
"2016","Chinese","Aged 60-64","50","0.20%","23600"
"2016","Other ethnic group","Aged 60-64","120","0.60%","25200"
"2016","Not reported / Not declared","Aged 60-64","5,610","N/A","24500"
"2016","All Groups","Aged 65 & Over","7,370","N/A","23400"
"2016","white","Aged 65 & Over","5,230","89.70%","23300"
"2016","Mixed","Aged 65 & Over","40","0.70%","25100"
"2016","Asian of Asian British","Aged 65 & Over","390","6.70%","24100"
"2016","Black or Black British","Aged 65 & Over","120","2.10%","24100"
"2016","Chinese","Aged 65 & Over","10","0.20%","24400"
"2016","Other ethnic group","Aged 65 & Over","40","0.70%","23100"
"2016","Not reported / Not declared","Aged 65 & Over","1,540","N/A","22800"
"2016","All Groups","Unknown Age","10","N/A","38400"
"2016","white","Unknown Age","!","!","!"
"2016","Mixed","Unknown Age","0","0.00%","-"
"2016","Asian of Asian British","Unknown Age","0","0.00%","-"
"2016","Black or Black British","Unknown Age","0","0.00%","-"
"2016","Chinese","Unknown Age","0","0.00%","-"
"2016","Other ethnic group","Unknown Age","0","0.00%","-"
"2016","Not reported / Not declared","Unknown Age","10","N/A","30000"
