"Title","Phonics attainments for children aged 5 to 7 by ethnicity and area"
"Location","England"
"Time period","2015/16"
"Data source","Phonics screening check and key stage 1 assessments"
"Data source link","https://www.gov.uk/government/statistics/phonics-screening-check-and-key-stage-1-assessments-england-2016"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated","19 December 2016 (updated with disadvantaged data)"

"Ethnicity","Local authority","%"
"Black","Nottingham","80"
"Black","Nottinghamshire","80"
"Black","Rutland","100"
"Black","Birmingham","81"
"Black","Coventry","85"
"Black","Dudley","78"
"Black","Herefordshire, County of","!"
"Black","Sandwell","80"
"Black","Shropshire","!"
"Black","Solihull","78"
"Black","Staffordshire","85"
"Black","Stoke-on-Trent","74"
"Black","Telford and Wrekin","93"
"Black","Walsall","84"
"Black","Warwickshire","94"
"Black","Wolverhampton","80"
"Black","Worcestershire","76"
"Black","Bedford","76"
"Black","Cambridgeshire","78"
"Black","Central Bedfordshire","90"
"Black","Essex","86"
"Black","Hertfordshire","80"
"Black","Luton","82"
"Black","Norfolk","79"
"Black","Peterborough","77"
"Black","Southend-on-Sea","83"
"Black","Suffolk","85"
"Black","Thurrock","90"
"Black","Camden","81"
"Black","City of London","!"
"Black","Hackney","84"
"Black","Hammersmith and Fulham","83"
"Black","Haringey","83"
"Black","Islington","79"
"Black","Kensington and Chelsea","87"
"Black","Lambeth","83"
"Black","Lewisham","83"
"Black","Newham","88"
"Black","Southwark","83"
"Black","Tower Hamlets","79"
"Black","Wandsworth","82"
"Black","Westminster","89"
"Black","Barking and Dagenham","84"
"Black","Barnet","81"
"Black","Bexley","90"
"Black","Brent","81"
"Black","Bromley","87"
"Black","Croydon","79"
"Black","Ealing","76"
"Black","Enfield","79"
"Black","Greenwich","87"
"Black","Harrow","82"
"Black","Havering","85"
"Black","Hillingdon","85"
"Black","Hounslow","80"
"Black","Kingston upon Thames","87"
"Black","Merton","83"
"Black","Redbridge","79"
"Black","Richmond upon Thames","86"
"Black","Sutton","85"
"Black","Waltham Forest","85"
"Black","Bracknell Forest","93"
"Black","Brighton and Hove","83"
"Black","Buckinghamshire","76"
"Black","East Sussex","78"
"Black","Hampshire","81"
"Black","Isle of Wight","!"
"Black","Kent","89"
"Black","Medway","89"
"Black","Milton Keynes","85"
"Black","Oxfordshire","83"
"Black","Portsmouth","83"
"Black","Reading","84"
"Black","Slough","80"
"Black","Southampton","83"
"Black","Surrey","84"
"Black","West Berkshire","!"
"Black","West Sussex","74"
"Black","Windsor and Maidenhead","75"
"Black","Wokingham","78"
"Black","Bath and North East Somerset","80"
"Black","Bournemouth","!"
"Black","Bristol, City of","73"
"Black","Cornwall","!"
"Black","Devon","!"
"Black","Dorset","!"
"Black","Gloucestershire","77"
"Black","Isles of Scilly","!"
"Black","North Somerset","!"
"Black","Plymouth","81"
"Black","Poole","!"
"Black","Somerset","!"
"Black","South Gloucestershire","82"
"Black","Swindon","78"
"Black","Torbay","!"
"Black","Wiltshire","81"
"Mixed","County Durham","77"
"Mixed","Darlington","!"
"Mixed","Gateshead","87"
"Mixed","Hartlepool","73"
"Mixed","Middlesbrough","72"
"Mixed","Newcastle upon Tyne","86"
"Mixed","North Tyneside","92"
"Mixed","Northumberland","87"
"Mixed","Redcar and Cleveland","89"
"Mixed","South Tyneside","91"
"Mixed","Stockton-on-Tees","77"
"Mixed","Sunderland","88"
"Mixed","Blackburn with Darwen","94"
"Mixed","Blackpool","91"
"Mixed","Bolton","85"
"Mixed","Bury","86"
"Mixed","Cheshire East","84"
"Mixed","Cheshire West and Chester","83"
"Mixed","Cumbria","76"
"Mixed","Halton","76"
"Mixed","Knowsley","66"
"Mixed","Lancashire","82"
"Mixed","Liverpool","76"
"Mixed","Manchester","79"
"Mixed","Oldham","82"
"Mixed","Rochdale","86"
"Mixed","Salford","85"
"Mixed","Sefton","78"
"Mixed","St. Helens","80"
"Mixed","Stockport","81"
"Mixed","Tameside","78"
"Mixed","Trafford","81"
"Mixed","Warrington","89"
"Mixed","Wigan","91"
"Mixed","Wirral","82"
"Mixed","Barnsley","80"
"Mixed","Bradford","76"
"Mixed","Calderdale","81"
"Mixed","Doncaster","78"
"Mixed","East Riding of Yorkshire","86"
"Mixed","Kingston upon Hull, City of","81"
"Mixed","Kirklees","78"
"Mixed","Leeds","75"
"Mixed","North East Lincolnshire","87"
"Mixed","North Lincolnshire","82"
"Mixed","North Yorkshire","83"
"Mixed","Rotherham","81"
"Mixed","Sheffield","78"
"Mixed","Wakefield","85"
"Mixed","York","86"
"Mixed","Derby","75"
"Mixed","Derbyshire","80"
"Mixed","Leicester","79"
"Mixed","Leicestershire","81"
"Mixed","Lincolnshire","83"
"Mixed","Northamptonshire","83"
"Mixed","Nottingham","78"
"Mixed","Nottinghamshire","81"
"Mixed","Rutland","!"
"Mixed","Birmingham","81"
"Mixed","Coventry","80"
"Mixed","Dudley","78"
"Mixed","Herefordshire, County of","84"
"Mixed","Sandwell","79"
"Mixed","Shropshire","85"
"Mixed","Solihull","84"
"Mixed","Staffordshire","85"
"Mixed","Stoke-on-Trent","83"
"Mixed","Telford and Wrekin","87"
"Mixed","Walsall","83"
"Mixed","Warwickshire","81"
"Mixed","Wolverhampton","79"
"Mixed","Worcestershire","85"
"Mixed","Bedford","73"
"Mixed","Cambridgeshire","80"
"Mixed","Central Bedfordshire","86"
"Mixed","Essex","83"
"Mixed","Hertfordshire","84"
"Mixed","Luton","76"
"Mixed","Norfolk","76"
"Mixed","Peterborough","79"
"Mixed","Southend-on-Sea","80"
"Mixed","Suffolk","78"
"Mixed","Thurrock","85"
"Mixed","Camden","83"
"Mixed","City of London","!"
"Mixed","Hackney","85"
"Mixed","Hammersmith and Fulham","86"
"Mixed","Haringey","88"
"Mixed","Islington","81"
"Mixed","Kensington and Chelsea","85"
"Mixed","Lambeth","85"
"Mixed","Lewisham","83"
"Mixed","Newham","89"
"Mixed","Southwark","84"
"Mixed","Tower Hamlets","79"
"Mixed","Wandsworth","83"
"Mixed","Westminster","88"
"Mixed","Barking and Dagenham","79"
"Mixed","Barnet","83"
"Mixed","Bexley","84"
"Mixed","Brent","83"
"Mixed","Bromley","86"
"Mixed","Croydon","80"
"Mixed","Ealing","84"
"Mixed","Enfield","82"
"Mixed","Greenwich","89"
"Mixed","Harrow","88"
"Mixed","Havering","86"
"Mixed","Hillingdon","86"
"Mixed","Hounslow","86"
"Mixed","Kingston upon Thames","85"
"Mixed","Merton","81"
"Mixed","Redbridge","79"
"Mixed","Richmond upon Thames","90"
"Mixed","Sutton","82"
"Mixed","Waltham Forest","84"
"Mixed","Bracknell Forest","86"
"Mixed","Brighton and Hove","81"
"Mixed","Buckinghamshire","81"
"Mixed","East Sussex","82"
"Mixed","Hampshire","87"
"Mixed","Isle of Wight","80"
"Mixed","Kent","86"
"Mixed","Medway","88"
"Mixed","Milton Keynes","85"
"Mixed","Oxfordshire","81"
"Mixed","Portsmouth","87"
"Mixed","Reading","80"
"Mixed","Slough","78"
