"Title","Police workforce"
"Location","England and Wales"
"Time period","2007 to 2016"
"Data source","Home Office"
"Data source link","https://www.gov.uk/government/statistics/police-workforce-england-and-wales-31-march-2016"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated","21 July 2016"
"Measure","Time","Time_type","Ethnicity","Ethnicity_type","Gender","Gender_type","Rank","Rank_type","Geography","Geography_type","FTE","Headcount","Population by ethnicity, gender, and PFA (based on 2011 Census)","Rate per 100,000 population by ethnicity, gender, and PFA (Based on FTE except Special Constables)","Proportion of workforce of this ethnicity in this aggregated rank, in this year, and this PFA (excludes unreported)","Proportion of population of this ethnicity in this PFA (based on 2011 Census)"
"Rate per population","2008","As at 31/3","White","ONS 2001 5+1","All","All","Designated Detention Officer (S.39)","Detailed rank data","Metropolitan Police","Police Force Area","0","0","4,881,636","0","N/A","60%"
"Rate per population","2008","As at 31/3","White","ONS 2001 5+1","All","All","Designated Detention Officer (S.39)","Detailed rank data","Norfolk","Police Force Area","0","0","828,018","0","N/A","97%"
"Rate per population","2008","As at 31/3","White","ONS 2001 5+1","All","All","Designated Detention Officer (S.39)","Detailed rank data","North Wales","Police Force Area","0","0","670,704","0","N/A","97%"
"Rate per population","2008","As at 31/3","White","ONS 2001 5+1","All","All","Designated Detention Officer (S.39)","Detailed rank data","North Yorkshire","Police Force Area","0","0","769,206","0","N/A","97%"
"Rate per population","2008","As at 31/3","White","ONS 2001 5+1","All","All","Designated Detention Officer (S.39)","Detailed rank data","Northamptonshire","Police Force Area","0","0","632,822","0","N/A","91%"
"Rate per population","2008","As at 31/3","White","ONS 2001 5+1","All","All","Designated Detention Officer (S.39)","Detailed rank data","Northumbria","Police Force Area","0","0","1,343,747","0","N/A","95%"
"Rate per population","2008","As at 31/3","White","ONS 2001 5+1","All","All","Designated Detention Officer (S.39)","Detailed rank data","Nottinghamshire","Police Force Area","0","0","969,501","0","N/A","89%"
"Rate per population","2008","As at 31/3","White","ONS 2001 5+1","All","All","Designated Detention Officer (S.39)","Detailed rank data","South Wales","Police Force Area","115","116","1,198,458","9.6","N/A","93%"
"Rate per population","2008","As at 31/3","White","ONS 2001 5+1","All","All","Designated Detention Officer (S.39)","Detailed rank data","South Yorkshire","Police Force Area","0","0","1,217,653","0","N/A","91%"
"Rate per population","2008","As at 31/3","White","ONS 2001 5+1","All","All","Designated Detention Officer (S.39)","Detailed rank data","Staffordshire","Police Force Area","39","39","1,032,327","3.73","N/A","94%"
"Rate per population","2008","As at 31/3","White","ONS 2001 5+1","All","All","Designated Detention Officer (S.39)","Detailed rank data","Suffolk","Police Force Area","0","0","693,195","0","N/A","95%"
"Rate per population","2008","As at 31/3","White","ONS 2001 5+1","All","All","Designated Detention Officer (S.39)","Detailed rank data","Surrey","Police Force Area","0","0","1,023,682","0","N/A","90%"
"Rate per population","2008","As at 31/3","White","ONS 2001 5+1","All","All","Designated Detention Officer (S.39)","Detailed rank data","Sussex","Police Force Area","0","0","1,505,433","0","N/A","94%"
"Rate per population","2008","As at 31/3","White","ONS 2001 5+1","All","All","Designated Detention Officer (S.39)","Detailed rank data","Thames Valley","Police Force Area","0","0","1,919,646","0","N/A","85%"
"Rate per population","2008","As at 31/3","White","ONS 2001 5+1","All","All","Designated Detention Officer (S.39)","Detailed rank data","Warwickshire","Police Force Area","0","0","505,688","0","N/A","93%"
"Rate per population","2008","As at 31/3","White","ONS 2001 5+1","All","All","Designated Detention Officer (S.39)","Detailed rank data","West Mercia","Police Force Area","0","0","1,176,516","0","N/A","96%"
"Rate per population","2008","As at 31/3","White","ONS 2001 5+1","All","All","Designated Detention Officer (S.39)","Detailed rank data","West Midlands","Police Force Area","0","0","1,919,138","0","N/A","70%"
"Rate per population","2008","As at 31/3","White","ONS 2001 5+1","All","All","Designated Detention Officer (S.39)","Detailed rank data","West Yorkshire","Police Force Area","0","0","1,819,818","0","N/A","82%"
"Rate per population","2008","As at 31/3","White","ONS 2001 5+1","All","All","Designated Detention Officer (S.39)","Detailed rank data","Wiltshire","Police Force Area","0","0","642,869","0","N/A","95%"
"Rate per population","2008","As at 31/3","White","ONS 2001 5+1","All","All","Designated Escort Officer (S.38)","Detailed rank data","All - including BTP","Police Force Area","0","0","48,209,395","0","N/A","86%"
"Rate per population","2008","As at 31/3","White","ONS 2001 5+1","All","All","Designated Escort Officer (S.38)","Detailed rank data","Avon & Somerset","Police Force Area","0","0","1,491,970","0","N/A","93%"
"Rate per population","2008","As at 31/3","White","ONS 2001 5+1","All","All","Designated Escort Officer (S.38)","Detailed rank data","Bedfordshire","Police Force Area","0","0","476,647","0","N/A","77%"
"Rate per population","2008","As at 31/3","White","ONS 2001 5+1","All","All","Designated Escort Officer (S.38)","Detailed rank data","British Transport Police","Police Force Area","0","0","N/A","N/A","N/A","N/A"
"Rate per population","2008","As at 31/3","White","ONS 2001 5+1","All","All","Designated Escort Officer (S.38)","Detailed rank data","Cambridgeshire","Police Force Area","0","0","726,531","0","N/A","90%"
"Rate per population","2008","As at 31/3","White","ONS 2001 5+1","All","All","Designated Escort Officer (S.38)","Detailed rank data","Cheshire","Police Force Area","0","0","995,998","0","N/A","97%"
"Rate per population","2008","As at 31/3","White","ONS 2001 5+1","All","All","Designated Escort Officer (S.38)","Detailed rank data","Cleveland","Police Force Area","0","0","526,456","0","N/A","94%"
"Rate per population","2008","As at 31/3","White","ONS 2001 5+1","All","All","Designated Escort Officer (S.38)","Detailed rank data","Cumbria","Police Force Area","0","0","492,257","0","N/A","98%"
"Rate per population","2008","As at 31/3","White","ONS 2001 5+1","All","All","Designated Escort Officer (S.38)","Detailed rank data","Derbyshire","Police Force Area","0","0","949,845","0","N/A","93%"
"Rate per population","2008","As at 31/3","White","ONS 2001 5+1","All","All","Designated Escort Officer (S.38)","Detailed rank data","Devon & Cornwall","Police Force Area","0","0","1,627,306","0","N/A","98%"
"Rate per population","2008","As at 31/3","White","ONS 2001 5+1","All","All","Designated Escort Officer (S.38)","Detailed rank data","Dorset","Police Force Area","0","0","714,637","0","N/A","96%"
"Rate per population","2008","As at 31/3","White","ONS 2001 5+1","All","All","Designated Escort Officer (S.38)","Detailed rank data","Durham","Police Force Area","0","0","605,364","0","N/A","98%"
"Rate per population","2008","As at 31/3","White","ONS 2001 5+1","All","All","Designated Escort Officer (S.38)","Detailed rank data","Dyfed-Powys","Police Force Area","0","0","504,714","0","N/A","98%"
"Rate per population","2008","As at 31/3","White","ONS 2001 5+1","All","All","Designated Escort Officer (S.38)","Detailed rank data","Essex","Police Force Area","0","0","1,608,308","0","N/A","93%"
"Rate per population","2008","As at 31/3","White","ONS 2001 5+1","All","All","Designated Escort Officer (S.38)","Detailed rank data","Gloucestershire","Police Force Area","0","0","569,647","0","N/A","95%"
"Rate per population","2008","As at 31/3","White","ONS 2001 5+1","All","All","Designated Escort Officer (S.38)","Detailed rank data","Greater Manchester","Police Force Area","0","0","2,248,123","0","N/A","84%"
"Rate per population","2008","As at 31/3","White","ONS 2001 5+1","All","All","Designated Escort Officer (S.38)","Detailed rank data","Gwent","Police Force Area","0","0","554,377","0","N/A","96%"
"Rate per population","2008","As at 31/3","White","ONS 2001 5+1","All","All","Designated Escort Officer (S.38)","Detailed rank data","Hampshire","Police Force Area","0","0","1,771,378","0","N/A","93%"
"Rate per population","2008","As at 31/3","White","ONS 2001 5+1","All","All","Designated Escort Officer (S.38)","Detailed rank data","Hertfordshire","Police Force Area","0","0","977,495","0","N/A","88%"
"Rate per population","2008","As at 31/3","White","ONS 2001 5+1","All","All","Designated Escort Officer (S.38)","Detailed rank data","Humberside","Police Force Area","0","0","885,279","0","N/A","96%"
"Rate per population","2008","As at 31/3","White","ONS 2001 5+1","All","All","Designated Escort Officer (S.38)","Detailed rank data","Kent","Police Force Area","0","0","1,607,681","0","N/A","93%"
"Rate per population","2008","As at 31/3","White","ONS 2001 5+1","All","All","Designated Escort Officer (S.38)","Detailed rank data","Lancashire","Police Force Area","0","0","1,320,035","0","N/A","90%"
"Rate per population","2008","As at 31/3","White","ONS 2001 5+1","All","All","Designated Escort Officer (S.38)","Detailed rank data","Leicestershire","Police Force Area","0","0","797,704","0","N/A","78%"
"Rate per population","2008","As at 31/3","White","ONS 2001 5+1","All","All","Designated Escort Officer (S.38)","Detailed rank data","Lincolnshire","Police Force Area","0","0","696,484","0","N/A","98%"
"Rate per population","2008","As at 31/3","White","ONS 2001 5+1","All","All","Designated Escort Officer (S.38)","Detailed rank data","London, City of","Police Force Area","0","0","N/A","N/A","N/A","79%"
"Rate per population","2008","As at 31/3","White","ONS 2001 5+1","All","All","Designated Escort Officer (S.38)","Detailed rank data","Merseyside","Police Force Area","0","0","1,305,303","0","N/A","95%"
"Rate per population","2008","As at 31/3","White","ONS 2001 5+1","All","All","Designated Escort Officer (S.38)","Detailed rank data","Metropolitan Police","Police Force Area","0","0","4,881,636","0","N/A","60%"
"Rate per population","2008","As at 31/3","White","ONS 2001 5+1","All","All","Designated Escort Officer (S.38)","Detailed rank data","Norfolk","Police Force Area","0","0","828,018","0","N/A","97%"
"Rate per population","2008","As at 31/3","White","ONS 2001 5+1","All","All","Designated Escort Officer (S.38)","Detailed rank data","North Wales","Police Force Area","0","0","670,704","0","N/A","97%"
"Rate per population","2008","As at 31/3","White","ONS 2001 5+1","All","All","Designated Escort Officer (S.38)","Detailed rank data","North Yorkshire","Police Force Area","0","0","769,206","0","N/A","97%"
"Rate per population","2008","As at 31/3","White","ONS 2001 5+1","All","All","Designated Escort Officer (S.38)","Detailed rank data","Northamptonshire","Police Force Area","0","0","632,822","0","N/A","91%"
"Rate per population","2008","As at 31/3","White","ONS 2001 5+1","All","All","Designated Escort Officer (S.38)","Detailed rank data","Northumbria","Police Force Area","0","0","1,343,747","0","N/A","95%"
"Rate per population","2008","As at 31/3","White","ONS 2001 5+1","All","All","Designated Escort Officer (S.38)","Detailed rank data","Nottinghamshire","Police Force Area","0","0","969,501","0","N/A","89%"
"Rate per population","2008","As at 31/3","White","ONS 2001 5+1","All","All","Designated Escort Officer (S.38)","Detailed rank data","South Wales","Police Force Area","0","0","1,198,458","0","N/A","93%"
"Rate per population","2008","As at 31/3","White","ONS 2001 5+1","All","All","Designated Escort Officer (S.38)","Detailed rank data","South Yorkshire","Police Force Area","0","0","1,217,653","0","N/A","91%"
"Rate per population","2008","As at 31/3","White","ONS 2001 5+1","All","All","Designated Escort Officer (S.38)","Detailed rank data","Staffordshire","Police Force Area","0","0","1,032,327","0","N/A","94%"
"Rate per population","2008","As at 31/3","White","ONS 2001 5+1","All","All","Designated Escort Officer (S.38)","Detailed rank data","Suffolk","Police Force Area","0","0","693,195","0","N/A","95%"
"Rate per population","2008","As at 31/3","White","ONS 2001 5+1","All","All","Designated Escort Officer (S.38)","Detailed rank data","Surrey","Police Force Area","0","0","1,023,682","0","N/A","90%"
"Rate per population","2008","As at 31/3","White","ONS 2001 5+1","All","All","Designated Escort Officer (S.38)","Detailed rank data","Sussex","Police Force Area","0","0","1,505,433","0","N/A","94%"
"Rate per population","2008","As at 31/3","White","ONS 2001 5+1","All","All","Designated Escort Officer (S.38)","Detailed rank data","Thames Valley","Police Force Area","0","0","1,919,646","0","N/A","85%"
"Rate per population","2008","As at 31/3","White","ONS 2001 5+1","All","All","Designated Escort Officer (S.38)","Detailed rank data","Warwickshire","Police Force Area","0","0","505,688","0","N/A","93%"
"Rate per population","2008","As at 31/3","White","ONS 2001 5+1","All","All","Designated Escort Officer (S.38)","Detailed rank data","West Mercia","Police Force Area","0","0","1,176,516","0","N/A","96%"
"Rate per population","2008","As at 31/3","White","ONS 2001 5+1","All","All","Designated Escort Officer (S.38)","Detailed rank data","West Midlands","Police Force Area","0","0","1,919,138","0","N/A","70%"
"Rate per population","2008","As at 31/3","White","ONS 2001 5+1","All","All","Designated Escort Officer (S.38)","Detailed rank data","West Yorkshire","Police Force Area","0","0","1,819,818","0","N/A","82%"
"Rate per population","2008","As at 31/3","White","ONS 2001 5+1","All","All","Designated Escort Officer (S.38)","Detailed rank data","Wiltshire","Police Force Area","0","0","642,869","0","N/A","95%"
"Rate per population","2008","As at 31/3","White","ONS 2001 5+1","All","All","Designated Escort Officer (S.39)","Detailed rank data","All - including BTP","Police Force Area","0","0","48,209,395","0","N/A","86%"
"Rate per population","2008","As at 31/3","White","ONS 2001 5+1","All","All","Designated Escort Officer (S.39)","Detailed rank data","Avon & Somerset","Police Force Area","0","0","1,491,970","0","N/A","93%"
"Rate per population","2008","As at 31/3","White","ONS 2001 5+1","All","All","Designated Escort Officer (S.39)","Detailed rank data","Bedfordshire","Police Force Area","0","0","476,647","0","N/A","77%"
"Rate per population","2008","As at 31/3","White","ONS 2001 5+1","All","All","Designated Escort Officer (S.39)","Detailed rank data","British Transport Police","Police Force Area","0","0","N/A","N/A","N/A","N/A"
"Rate per population","2008","As at 31/3","White","ONS 2001 5+1","All","All","Designated Escort Officer (S.39)","Detailed rank data","Cambridgeshire","Police Force Area","0","0","726,531","0","N/A","90%"
"Rate per population","2008","As at 31/3","White","ONS 2001 5+1","All","All","Designated Escort Officer (S.39)","Detailed rank data","Cheshire","Police Force Area","0","0","995,998","0","N/A","97%"
"Rate per population","2008","As at 31/3","White","ONS 2001 5+1","All","All","Designated Escort Officer (S.39)","Detailed rank data","Cleveland","Police Force Area","0","0","526,456","0","N/A","94%"
"Rate per population","2008","As at 31/3","White","ONS 2001 5+1","All","All","Designated Escort Officer (S.39)","Detailed rank data","Cumbria","Police Force Area","0","0","492,257","0","N/A","98%"
"Rate per population","2008","As at 31/3","White","ONS 2001 5+1","All","All","Designated Escort Officer (S.39)","Detailed rank data","Derbyshire","Police Force Area","0","0","949,845","0","N/A","93%"
"Rate per population","2008","As at 31/3","White","ONS 2001 5+1","All","All","Designated Escort Officer (S.39)","Detailed rank data","Devon & Cornwall","Police Force Area","0","0","1,627,306","0","N/A","98%"
"Rate per population","2008","As at 31/3","White","ONS 2001 5+1","All","All","Designated Escort Officer (S.39)","Detailed rank data","Dorset","Police Force Area","0","0","714,637","0","N/A","96%"
"Rate per population","2008","As at 31/3","White","ONS 2001 5+1","All","All","Designated Escort Officer (S.39)","Detailed rank data","Durham","Police Force Area","0","0","605,364","0","N/A","98%"
"Rate per population","2008","As at 31/3","White","ONS 2001 5+1","All","All","Designated Escort Officer (S.39)","Detailed rank data","Dyfed-Powys","Police Force Area","0","0","504,714","0","N/A","98%"
"Rate per population","2008","As at 31/3","White","ONS 2001 5+1","All","All","Designated Escort Officer (S.39)","Detailed rank data","Essex","Police Force Area","0","0","1,608,308","0","N/A","93%"
"Rate per population","2008","As at 31/3","White","ONS 2001 5+1","All","All","Designated Escort Officer (S.39)","Detailed rank data","Gloucestershire","Police Force Area","0","0","569,647","0","N/A","95%"
"Rate per population","2008","As at 31/3","White","ONS 2001 5+1","All","All","Designated Escort Officer (S.39)","Detailed rank data","Greater Manchester","Police Force Area","0","0","2,248,123","0","N/A","84%"
"Rate per population","2008","As at 31/3","White","ONS 2001 5+1","All","All","Designated Escort Officer (S.39)","Detailed rank data","Gwent","Police Force Area","0","0","554,377","0","N/A","96%"
"Rate per population","2008","As at 31/3","White","ONS 2001 5+1","All","All","Designated Escort Officer (S.39)","Detailed rank data","Hampshire","Police Force Area","0","0","1,771,378","0","N/A","93%"
"Rate per population","2008","As at 31/3","White","ONS 2001 5+1","All","All","Designated Escort Officer (S.39)","Detailed rank data","Hertfordshire","Police Force Area","0","0","977,495","0","N/A","88%"
"Rate per population","2008","As at 31/3","White","ONS 2001 5+1","All","All","Designated Escort Officer (S.39)","Detailed rank data","Humberside","Police Force Area","0","0","885,279","0","N/A","96%"
"Rate per population","2008","As at 31/3","White","ONS 2001 5+1","All","All","Designated Escort Officer (S.39)","Detailed rank data","Kent","Police Force Area","0","0","1,607,681","0","N/A","93%"
"Rate per population","2008","As at 31/3","White","ONS 2001 5+1","All","All","Designated Escort Officer (S.39)","Detailed rank data","Lancashire","Police Force Area","0","0","1,320,035","0","N/A","90%"
"Rate per population","2008","As at 31/3","White","ONS 2001 5+1","All","All","Designated Escort Officer (S.39)","Detailed rank data","Leicestershire","Police Force Area","0","0","797,704","0","N/A","78%"
"Rate per population","2008","As at 31/3","White","ONS 2001 5+1","All","All","Designated Escort Officer (S.39)","Detailed rank data","Lincolnshire","Police Force Area","0","0","696,484","0","N/A","98%"
"Rate per population","2008","As at 31/3","White","ONS 2001 5+1","All","All","Designated Escort Officer (S.39)","Detailed rank data","London, City of","Police Force Area","0","0","N/A","N/A","N/A","79%"
"Rate per population","2008","As at 31/3","White","ONS 2001 5+1","All","All","Designated Escort Officer (S.39)","Detailed rank data","Merseyside","Police Force Area","0","0","1,305,303","0","N/A","95%"
"Rate per population","2008","As at 31/3","White","ONS 2001 5+1","All","All","Designated Escort Officer (S.39)","Detailed rank data","Metropolitan Police","Police Force Area","0","0","4,881,636","0","N/A","60%"
"Rate per population","2008","As at 31/3","White","ONS 2001 5+1","All","All","Designated Escort Officer (S.39)","Detailed rank data","Norfolk","Police Force Area","0","0","828,018","0","N/A","97%"
"Rate per population","2008","As at 31/3","White","ONS 2001 5+1","All","All","Designated Escort Officer (S.39)","Detailed rank data","North Wales","Police Force Area","0","0","670,704","0","N/A","97%"
"Rate per population","2008","As at 31/3","White","ONS 2001 5+1","All","All","Designated Escort Officer (S.39)","Detailed rank data","North Yorkshire","Police Force Area","0","0","769,206","0","N/A","97%"
"Rate per population","2008","As at 31/3","White","ONS 2001 5+1","All","All","Designated Escort Officer (S.39)","Detailed rank data","Northamptonshire","Police Force Area","0","0","632,822","0","N/A","91%"
"Rate per population","2008","As at 31/3","White","ONS 2001 5+1","All","All","Designated Escort Officer (S.39)","Detailed rank data","Northumbria","Police Force Area","0","0","1,343,747","0","N/A","95%"
"Rate per population","2008","As at 31/3","White","ONS 2001 5+1","All","All","Designated Escort Officer (S.39)","Detailed rank data","Nottinghamshire","Police Force Area","0","0","969,501","0","N/A","89%"
"Rate per population","2008","As at 31/3","White","ONS 2001 5+1","All","All","Designated Escort Officer (S.39)","Detailed rank data","South Wales","Police Force Area","0","0","1,198,458","0","N/A","93%"
"Rate per population","2008","As at 31/3","White","ONS 2001 5+1","All","All","Designated Escort Officer (S.39)","Detailed rank data","South Yorkshire","Police Force Area","0","0","1,217,653","0","N/A","91%"
"Rate per population","2008","As at 31/3","White","ONS 2001 5+1","All","All","Designated Escort Officer (S.39)","Detailed rank data","Staffordshire","Police Force Area","0","0","1,032,327","0","N/A","94%"
"Rate per population","2008","As at 31/3","White","ONS 2001 5+1","All","All","Designated Escort Officer (S.39)","Detailed rank data","Suffolk","Police Force Area","0","0","693,195","0","N/A","95%"
"Rate per population","2008","As at 31/3","White","ONS 2001 5+1","All","All","Designated Escort Officer (S.39)","Detailed rank data","Surrey","Police Force Area","0","0","1,023,682","0","N/A","90%"
"Rate per population","2008","As at 31/3","White","ONS 2001 5+1","All","All","Designated Escort Officer (S.39)","Detailed rank data","Sussex","Police Force Area","0","0","1,505,433","0","N/A","94%"
"Rate per population","2008","As at 31/3","White","ONS 2001 5+1","All","All","Designated Escort Officer (S.39)","Detailed rank data","Thames Valley","Police Force Area","0","0","1,919,646","0","N/A","85%"
"Rate per population","2008","As at 31/3","White","ONS 2001 5+1","All","All","Designated Escort Officer (S.39)","Detailed rank data","Warwickshire","Police Force Area","0","0","505,688","0","N/A","93%"
"Rate per population","2008","As at 31/3","White","ONS 2001 5+1","All","All","Designated Escort Officer (S.39)","Detailed rank data","West Mercia","Police Force Area","0","0","1,176,516","0","N/A","96%"
"Rate per population","2008","As at 31/3","White","ONS 2001 5+1","All","All","Designated Escort Officer (S.39)","Detailed rank data","West Midlands","Police Force Area","0","0","1,919,138","0","N/A","70%"
"Rate per population","2008","As at 31/3","White","ONS 2001 5+1","All","All","Designated Escort Officer (S.39)","Detailed rank data","West Yorkshire","Police Force Area","0","0","1,819,818","0","N/A","82%"
"Rate per population","2008","As at 31/3","White","ONS 2001 5+1","All","All","Designated Escort Officer (S.39)","Detailed rank data","Wiltshire","Police Force Area","0","0","642,869","0","N/A","95%"
"Rate per population","2008","As at 31/3","White","ONS 2001 5+1","All","All","Designated Investigation Officer (S.38)","Detailed rank data","All - including BTP","Police Force Area","474","486","48,209,395","0.98","N/A","86%"
"Rate per population","2008","As at 31/3","White","ONS 2001 5+1","All","All","Designated Investigation Officer (S.38)","Detailed rank data","Avon & Somerset","Police Force Area","0","0","1,491,970","0","N/A","93%"
"Rate per population","2008","As at 31/3","White","ONS 2001 5+1","All","All","Designated Investigation Officer (S.38)","Detailed rank data","Bedfordshire","Police Force Area","21","21","476,647","4.41","N/A","77%"
"Rate per population","2008","As at 31/3","White","ONS 2001 5+1","All","All","Designated Investigation Officer (S.38)","Detailed rank data","British Transport Police","Police Force Area","0","0","N/A","N/A","N/A","N/A"
"Rate per population","2008","As at 31/3","White","ONS 2001 5+1","All","All","Designated Investigation Officer (S.38)","Detailed rank data","Cambridgeshire","Police Force Area","0","0","726,531","0","N/A","90%"
"Rate per population","2008","As at 31/3","White","ONS 2001 5+1","All","All","Designated Investigation Officer (S.38)","Detailed rank data","Cheshire","Police Force Area","11","11","995,998","1.1","N/A","97%"
"Rate per population","2008","As at 31/3","White","ONS 2001 5+1","All","All","Designated Investigation Officer (S.38)","Detailed rank data","Cleveland","Police Force Area","0","0","526,456","0","N/A","94%"
"Rate per population","2008","As at 31/3","White","ONS 2001 5+1","All","All","Designated Investigation Officer (S.38)","Detailed rank data","Cumbria","Police Force Area","0","0","492,257","0","N/A","98%"
"Rate per population","2008","As at 31/3","White","ONS 2001 5+1","All","All","Designated Investigation Officer (S.38)","Detailed rank data","Derbyshire","Police Force Area","0","0","949,845","0","N/A","93%"
"Rate per population","2008","As at 31/3","White","ONS 2001 5+1","All","All","Designated Investigation Officer (S.38)","Detailed rank data","Devon & Cornwall","Police Force Area","0","0","1,627,306","0","N/A","98%"
"Rate per population","2008","As at 31/3","White","ONS 2001 5+1","All","All","Designated Investigation Officer (S.38)","Detailed rank data","Dorset","Police Force Area","8","8","714,637","1.12","N/A","96%"
"Rate per population","2008","As at 31/3","White","ONS 2001 5+1","All","All","Designated Investigation Officer (S.38)","Detailed rank data","Durham","Police Force Area","0","0","605,364","0","N/A","98%"
"Rate per population","2008","As at 31/3","White","ONS 2001 5+1","All","All","Designated Investigation Officer (S.38)","Detailed rank data","Dyfed-Powys","Police Force Area","1","1","504,714","0.2","N/A","98%"
"Rate per population","2008","As at 31/3","White","ONS 2001 5+1","All","All","Designated Investigation Officer (S.38)","Detailed rank data","Essex","Police Force Area","16","16","1,608,308","0.96","N/A","93%"
"Rate per population","2008","As at 31/3","White","ONS 2001 5+1","All","All","Designated Investigation Officer (S.38)","Detailed rank data","Gloucestershire","Police Force Area","0","0","569,647","0","N/A","95%"
"Rate per population","2008","As at 31/3","White","ONS 2001 5+1","All","All","Designated Investigation Officer (S.38)","Detailed rank data","Greater Manchester","Police Force Area","56","56","2,248,123","2.49","N/A","84%"
"Rate per population","2008","As at 31/3","White","ONS 2001 5+1","All","All","Designated Investigation Officer (S.38)","Detailed rank data","Gwent","Police Force Area","0","0","554,377","0","N/A","96%"
"Rate per population","2008","As at 31/3","White","ONS 2001 5+1","All","All","Designated Investigation Officer (S.38)","Detailed rank data","Hampshire","Police Force Area","2","2","1,771,378","0.11","N/A","93%"
"Rate per population","2008","As at 31/3","White","ONS 2001 5+1","All","All","Designated Investigation Officer (S.38)","Detailed rank data","Hertfordshire","Police Force Area","53","55","977,495","5.4","N/A","88%"
"Rate per population","2008","As at 31/3","White","ONS 2001 5+1","All","All","Designated Investigation Officer (S.38)","Detailed rank data","Humberside","Police Force Area","20","21","885,279","2.3","N/A","96%"
"Rate per population","2008","As at 31/3","White","ONS 2001 5+1","All","All","Designated Investigation Officer (S.38)","Detailed rank data","Kent","Police Force Area","101","106","1,607,681","6.26","N/A","93%"
"Rate per population","2008","As at 31/3","White","ONS 2001 5+1","All","All","Designated Investigation Officer (S.38)","Detailed rank data","Lancashire","Police Force Area","0","0","1,320,035","0","N/A","90%"
"Rate per population","2008","As at 31/3","White","ONS 2001 5+1","All","All","Designated Investigation Officer (S.38)","Detailed rank data","Leicestershire","Police Force Area","0","0","797,704","0","N/A","78%"
"Rate per population","2008","As at 31/3","White","ONS 2001 5+1","All","All","Designated Investigation Officer (S.38)","Detailed rank data","Lincolnshire","Police Force Area","4","4","696,484","0.57","N/A","98%"
"Rate per population","2008","As at 31/3","White","ONS 2001 5+1","All","All","Designated Investigation Officer (S.38)","Detailed rank data","London, City of","Police Force Area","0","0","N/A","N/A","N/A","79%"
"Rate per population","2008","As at 31/3","White","ONS 2001 5+1","All","All","Designated Investigation Officer (S.38)","Detailed rank data","Merseyside","Police Force Area","0","0","1,305,303","0","N/A","95%"
"Rate per population","2008","As at 31/3","White","ONS 2001 5+1","All","All","Designated Investigation Officer (S.38)","Detailed rank data","Metropolitan Police","Police Force Area","0","0","4,881,636","0","N/A","60%"
"Rate per population","2008","As at 31/3","White","ONS 2001 5+1","All","All","Designated Investigation Officer (S.38)","Detailed rank data","Norfolk","Police Force Area","5","6","828,018","0.66","N/A","97%"
"Rate per population","2008","As at 31/3","White","ONS 2001 5+1","All","All","Designated Investigation Officer (S.38)","Detailed rank data","North Wales","Police Force Area","3","3","670,704","0.45","N/A","97%"
"Rate per population","2008","As at 31/3","White","ONS 2001 5+1","All","All","Designated Investigation Officer (S.38)","Detailed rank data","North Yorkshire","Police Force Area","0","0","769,206","0","N/A","97%"
"Rate per population","2008","As at 31/3","White","ONS 2001 5+1","All","All","Designated Investigation Officer (S.38)","Detailed rank data","Northamptonshire","Police Force Area","0","0","632,822","0","N/A","91%"
"Rate per population","2008","As at 31/3","White","ONS 2001 5+1","All","All","Designated Investigation Officer (S.38)","Detailed rank data","Northumbria","Police Force Area","58","58","1,343,747","4.3","N/A","95%"
"Rate per population","2008","As at 31/3","White","ONS 2001 5+1","All","All","Designated Investigation Officer (S.38)","Detailed rank data","Nottinghamshire","Police Force Area","0","0","969,501","0","N/A","89%"
"Rate per population","2008","As at 31/3","White","ONS 2001 5+1","All","All","Designated Investigation Officer (S.38)","Detailed rank data","South Wales","Police Force Area","0","0","1,198,458","0","N/A","93%"
"Rate per population","2008","As at 31/3","White","ONS 2001 5+1","All","All","Designated Investigation Officer (S.38)","Detailed rank data","South Yorkshire","Police Force Area","0","0","1,217,653","0","N/A","91%"
"Rate per population","2008","As at 31/3","White","ONS 2001 5+1","All","All","Designated Investigation Officer (S.38)","Detailed rank data","Staffordshire","Police Force Area","0","0","1,032,327","0","N/A","94%"
"Rate per population","2008","As at 31/3","White","ONS 2001 5+1","All","All","Designated Investigation Officer (S.38)","Detailed rank data","Suffolk","Police Force Area","17","17","693,195","2.45","N/A","95%"
"Rate per population","2008","As at 31/3","White","ONS 2001 5+1","All","All","Designated Investigation Officer (S.38)","Detailed rank data","Surrey","Police Force Area","80","81","1,023,682","7.81","N/A","90%"
"Rate per population","2008","As at 31/3","White","ONS 2001 5+1","All","All","Designated Investigation Officer (S.38)","Detailed rank data","Sussex","Police Force Area","19","20","1,505,433","1.25","N/A","94%"
"Rate per population","2008","As at 31/3","White","ONS 2001 5+1","All","All","Designated Investigation Officer (S.38)","Detailed rank data","Thames Valley","Police Force Area","0","0","1,919,646","0","N/A","85%"
"Rate per population","2008","As at 31/3","White","ONS 2001 5+1","All","All","Designated Investigation Officer (S.38)","Detailed rank data","Warwickshire","Police Force Area","0","0","505,688","0","N/A","93%"
"Rate per population","2008","As at 31/3","White","ONS 2001 5+1","All","All","Designated Investigation Officer (S.38)","Detailed rank data","West Mercia","Police Force Area","0","0","1,176,516","0","N/A","96%"
