"Title","Apprenticeship starts by ethnicity"
"Location","England"
"Time period","2002/03 to 2015/16"
"Data source","Apprenticeship statistics https://www.gov.uk/government/statistical-data-sets/fe-data-library-apprenticeships"
"Source","https://www.ethnicityfactsandfigures.digitalbeta.org.uk"

"Measure","Time","Time_type","Ethnicity","Ethnicity_type","Geography","Geography_type","Gender","Gender_type","Age Bracket","Age Bracket Type","Value"
"All England apprenticeship starts","2009/10","Academic Year","Asian","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","9390"
"All England apprenticeship starts","2009/10","Academic Year","Unknown","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","2660"
"All England apprenticeship starts","2009/10","Academic Year","All England ","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","279700"
"All England apprenticeship starts","2009/10","Academic Year","Ethnic minority (excl. White minorities)","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","22230"
"All England apprenticeship starts","2010/11","Academic Year","White","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","407050"
"All England apprenticeship starts","2010/11","Academic Year","Other","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","3440"
"All England apprenticeship starts","2010/11","Academic Year","Mixed","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","8290"
"All England apprenticeship starts","2010/11","Academic Year","Black","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","14610"
"All England apprenticeship starts","2010/11","Academic Year","Asian","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","19270"
"All England apprenticeship starts","2010/11","Academic Year","Unknown","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","4550"
"All England apprenticeship starts","2010/11","Academic Year","All England ","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","457200"
"All England apprenticeship starts","2010/11","Academic Year","Ethnic minority (excl. White minorities)","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","45610"
"All England apprenticeship starts","2011/12","Academic Year","White","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","464960"
"All England apprenticeship starts","2011/12","Academic Year","Other","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","3430"
"All England apprenticeship starts","2011/12","Academic Year","Mixed","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","9850"
"All England apprenticeship starts","2011/12","Academic Year","Black","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","17350"
"All England apprenticeship starts","2011/12","Academic Year","Asian","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","20720"
"All England apprenticeship starts","2011/12","Academic Year","Unknown","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","4270"
"All England apprenticeship starts","2011/12","Academic Year","All England ","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","520600"
"All England apprenticeship starts","2011/12","Academic Year","Ethnic minority (excl. White minorities)","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","51350"
"All England apprenticeship starts","2012/13","Academic Year","White","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","455440"
"All England apprenticeship starts","2012/13","Academic Year","Other","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","3380"
"All England apprenticeship starts","2012/13","Academic Year","Mixed","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","10110"
"All England apprenticeship starts","2012/13","Academic Year","Black","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","16590"
"All England apprenticeship starts","2012/13","Academic Year","Asian","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","19690"
"All England apprenticeship starts","2012/13","Academic Year","Unknown","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","5010"
"All England apprenticeship starts","2012/13","Academic Year","All England ","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","510200"
"All England apprenticeship starts","2012/13","Academic Year","Ethnic minority (excl. White minorities)","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","49770"
"All England apprenticeship starts","2013/14","Academic Year","White","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","391480"
"All England apprenticeship starts","2013/14","Academic Year","Other","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","3110"
"All England apprenticeship starts","2013/14","Academic Year","Mixed","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","9470"
"All England apprenticeship starts","2013/14","Academic Year","Black","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","13650"
"All England apprenticeship starts","2013/14","Academic Year","Asian","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","18600"
"All England apprenticeship starts","2013/14","Academic Year","Unknown","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","4110"
"All England apprenticeship starts","2013/14","Academic Year","All England ","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","440400"
"All England apprenticeship starts","2013/14","Academic Year","Ethnic minority (excl. White minorities)","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","44830"
"All England apprenticeship starts","2014/15","Academic Year","White","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","442340"
"All England apprenticeship starts","2014/15","Academic Year","Other","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","3500"
"All England apprenticeship starts","2014/15","Academic Year","Mixed","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","10930"
"All England apprenticeship starts","2014/15","Academic Year","Black","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","17250"
