"Title","New social housing lettings by ethnicity and income"
"Location","England"
"Time period","2015/16"
"Data source","Social housing lettings statistics https://www.gov.uk/government/collections/rents-lettings-and-tenancies"
"Source","https://www.ethnicityfactsandfigures.digitalbeta.org.uk"

"Ethnicity"," Number of New Lettings ","Income","Distribution by Income of main tenant new Lettings"
"Other","65","£600 and above","1.8"
"White","5,083","£600 and above","3.1"
"White: English, Scottish, Welsh, Northern Irish, British","4,529","£600 and above","2.9"
"White: Irish","27","£600 and above","2.4"
"White: Other","524","£600 and above","6"
"Mixed: White & Black Caribbean","49","£600 and above","1.6"
"Mixed: White & Black African","39","£600 and above","3.7"
"Mixed: White & Asian","18","£600 and above","2.3"
"Mixed: Other","43","£600 and above","3.1"
"Asian/Asian British: Indian","46","£600 and above","2.8"
"Asian/Asian British: Pakistani","69","£600 and above","2.2"
"Asian/Asian British: Bangladeshi","51","£600 and above","3"
"Asian/Asian British: Other","72","£600 and above","2.9"
"Black, African, Caribbean or Black British: Caribbean","124","£600 and above","2.3"
"Black, African, Caribbean or Black British: African","329","£600 and above","4"
"Black, African, Caribbean or Black British: Other","66","£600 and above","3.8"
"Asian/Asian British: Chinese","4","£600 and above","1.3"
"Other Ethnic group: Other","49","£600 and above","1.9"
"White: Gypsy, Irish Traveller","3","£600 and above","1.5"
"Other Ethnic group: Arab","16","£600 and above","1.5"
