"Standard Ethnicity","Local authority","Boys","Girls"
"All","Reading","73","80"
"All","Redbridge","78","83"
"All","Redcar and Cleveland","78","86"
"All","Richmond upon Thames","87","91"
"All","Rochdale","76","82"
"All","Rotherham","76","83"
"All","Rutland","85","87"
"All","Salford","79","84"
"All","Sandwell","71","78"
"All","Sefton","79","84"
"All","Sheffield","76","82"
"All","Shropshire","82","86"
"All","Slough","78","85"
"All","Solihull","80","87"
"All","Somerset","84","88"
"All","South Gloucestershire","85","88"
"All","South Tyneside","78","85"
"All","Southampton","78","84"
"All","Southend-on-Sea","79","86"
"All","Southwark","80","84"
"All","St. Helens","74","80"
"All","Staffordshire","82","87"
"All","Stockport","83","85"
"All","Stockton-on-Tees","84","89"
"All","Stoke-on-Trent","73","81"
"All","Suffolk","79","83"
"All","Sunderland","81","87"
"All","Surrey","85","88"
"All","Sutton","77","84"
"All","Swindon","75","80"
"All","Tameside","80","84"
"All","Telford and Wrekin","80","86"
"All","Thurrock","77","81"
"All","Torbay","79","84"
"All","Tower Hamlets","76","83"
"All","Trafford","83","88"
"All","Wakefield","76","84"
"All","Walsall","75","81"
"All","Waltham Forest","84","89"
"All","Wandsworth","83","87"
"All","Warrington","84","87"
"All","Warwickshire","81","86"
"All","West Berkshire","83","88"
"All","West Sussex","76","80"
"All","Westminster","78","83"
"All","Wigan","78","84"
"All","Wiltshire","81","85"
"All","Windsor and Maidenhead","86","89"
"All","Wirral","76","85"
"All","Wokingham","88","92"
"All","Wolverhampton","72","78"
"All","Worcestershire","82","87"
"All","York","82","84"
"Asian","Barking and Dagenham","81","88"
"Asian","Barnet","86","86"
"Asian","Barnsley","70","100"
"Asian","Bath and North East Somerset","!","!"
"Asian","Bedford","70","79"
"Asian","Bexley","90","95"
"Asian","Birmingham","72","77"
"Asian","Blackburn with Darwen","79","84"
"Asian","Blackpool","71","82"
"Asian","Bolton","80","82"
"Asian","Bournemouth","74","81"
"Asian","Bracknell Forest","95","93"
"Asian","Bradford","73","78"
"Asian","Brent","79","86"
"Asian","Brighton and Hove","81","80"
"Asian","Bristol, City of","74","78"
"Asian","Bromley","91","91"
"Asian","Buckinghamshire","73","75"
"Asian","Bury","76","81"
"Asian","Calderdale","57","59"
"Asian","Cambridgeshire","78","77"
"Asian","Camden","73","81"
"Asian","Central Bedfordshire","91","93"
"Asian","Cheshire East","79","71"
"Asian","Cheshire West and Chester","63","90"
"Asian","City of London","!","!"
"Asian","Cornwall","!","100"
"Asian","County Durham","!","!"
"Asian","Coventry","79","86"
"Asian","Croydon","84","89"
"Asian","Cumbria","84","89"
"Asian","Darlington","65","76"
"Asian","Derby","77","83"
"Asian","Derbyshire","87","90"
"Asian","Devon","71","85"
"Asian","Doncaster","77","78"
"Asian","Dorset","78","85"
"Asian","Dudley","72","81"
"Asian","Ealing","74","83"
"Asian","East Riding of Yorkshire","!","!"
"Asian","East Sussex","87","93"
"Asian","Enfield","84","89"
"Asian","Essex","78","84"
"Asian","Gateshead","77","72"
"Asian","Gloucestershire","80","92"
"Asian","Greenwich","90","91"
"Asian","Hackney","87","89"
"Asian","Halton","!","!"
"Asian","Hammersmith and Fulham","83","91"
"Asian","Hampshire","84","86"
"Asian","Haringey","80","93"
"Asian","Harrow","87","93"
"Asian","Hartlepool","!","!"
"Asian","Havering","85","93"
"Asian","Herefordshire, County of","!","!"
"Asian","Hertfordshire","81","88"
"Asian","Hillingdon","80","87"
"Asian","Hounslow","89","92"
"Asian","Isle of Wight","!","100"
"Asian","Isles of Scilly","!","!"
"Asian","Islington","70","79"
"Asian","Kensington and Chelsea","!","!"
"Asian","Kent","88","88"
"Asian","Kingston upon Hull, City of","!","!"
"Asian","Kingston upon Thames","81","80"
"Asian","Kirklees","72","78"
"Asian","Knowsley","100","100"
"Asian","Lambeth","83","87"
"Asian","Lancashire","78","79"
"Asian","Leeds","73","73"
"Asian","Leicester","79","83"
"Asian","Leicestershire","85","87"
"Asian","Lewisham","84","84"
"Asian","Lincolnshire","!","!"
"Asian","Liverpool","71","71"
"Asian","Luton","73","82"
"Asian","Manchester","69","79"
"Asian","Medway","88","79"
"Asian","Merton","86","89"
"Asian","Middlesbrough","68","78"
"Asian","Milton Keynes","77","86"
"Asian","Newcastle upon Tyne","74","82"
"Asian","Newham","83","88"
"Asian","Norfolk","87","92"
"Asian","North East Lincolnshire","100","!"
"Asian","North Lincolnshire","88","92"
"Asian","North Somerset","100","85"
"Asian","North Tyneside","!","!"
"Asian","North Yorkshire","70","93"
"Asian","Northamptonshire","77","86"
"Asian","Northumberland","!","!"
"Asian","Nottingham","76","82"
"Asian","Nottinghamshire","72","80"
"Asian","Oldham","62","70"
"Asian","Oxfordshire","73","77"
"Asian","Peterborough","71","78"
"Asian","Plymouth","!","!"
"Asian","Poole","77","86"
"Asian","Portsmouth","79","82"
"Asian","Reading","73","83"
"Asian","Redbridge","83","87"
"Asian","Redcar and Cleveland","!","!"
"Asian","Richmond upon Thames","80","86"
"Asian","Rochdale","76","79"
"Asian","Rotherham","73","83"
"Asian","Rutland","100","100"
"Asian","Salford","80","85"
"Asian","Sandwell","71","80"
"Asian","Sefton","!","!"
"Asian","Sheffield","71","77"
"Asian","Shropshire","!","!"
"Asian","Slough","83","89"
"Asian","Solihull","74","82"
"Asian","Somerset","66","90"
"Asian","South Gloucestershire","83","89"
"Asian","South Tyneside","86","83"
"Asian","Southampton","77","88"
"Asian","Southend-on-Sea","78","92"
"Asian","Southwark","83","82"
"Asian","St. Helens","!","!"
"Asian","Staffordshire","77","84"
"Asian","Stockport","84","81"
"Asian","Stockton-on-Tees","79","96"
"Asian","Stoke-on-Trent","70","83"
"Asian","Suffolk","88","79"
"Asian","Sunderland","74","83"
"Asian","Surrey","83","86"
"Asian","Sutton","79","87"
"Asian","Swindon","76","81"
"Asian","Tameside","75","79"
"Asian","Telford and Wrekin","74","80"
"Asian","Thurrock","77","92"
"Asian","Torbay","!","!"
"Asian","Tower Hamlets","76","83"
"Asian","Trafford","80","89"
"Asian","Wakefield","62","77"
"Asian","Walsall","78","83"
"Asian","Waltham Forest","84","90"
"Asian","Wandsworth","80","93"
"Asian","Warrington","80","88"
"Asian","Warwickshire","82","88"
"Asian","West Berkshire","79","91"
"Asian","West Sussex","75","81"
"Asian","Westminster","80","88"
"Asian","Wigan","69","73"
"Asian","Wiltshire","86","89"
"Asian","Windsor and Maidenhead","82","93"
"Asian","Wirral","84","90"
"Asian","Wokingham","85","96"
"Asian","Wolverhampton","73","82"
"Asian","Worcestershire","71","75"
"Asian","York","73","75"
"Black","Barking and Dagenham","83","90"
"Black","Barnet","77","79"
"Black","Barnsley","!","!"
"Black","Bath and North East Somerset","!","!"
"Black","Bedford","72","91"
"Black","Bexley","89","92"
"Black","Birmingham","73","76"
"Black","Blackburn with Darwen","!","!"
"Black","Blackpool","!","!"
"Black","Bolton","68","70"
"Black","Bournemouth","!","!"
"Black","Bracknell Forest","!","!"
"Black","Bradford","68","76"
"Black","Brent","77","83"
"Black","Brighton and Hove","77","86"
"Black","Bristol, City of","66","76"
"Black","Bromley","86","88"
"Black","Buckinghamshire","73","76"
"Black","Bury","72","71"
"Black","Calderdale","100","!"
"Black","Cambridgeshire","74","74"
"Black","Camden","76","80"
"Black","Central Bedfordshire","79","82"
"Black","Cheshire East","!","!"
"Black","Cheshire West and Chester","!","!"
"Black","City of London","!","!"
"Black","Cornwall","!","!"
"Black","County Durham","!","!"
"Black","Coventry","71","81"
"Black","Croydon","76","85"
"Black","Cumbria","!","!"
"Black","Darlington","!","100"
"Black","Derby","75","87"
"Black","Derbyshire","73","75"
"Black","Devon","!","!"
"Black","Doncaster","65","79"
"Black","Dorset","100","100"
"Black","Dudley","79","82"
"Black","Ealing","71","79"
"Black","East Riding of Yorkshire","!","!"
"Black","East Sussex","!","!"
"Black","Enfield","72","80"
"Black","Essex","76","84"
"Black","Gateshead","!","!"
"Black","Gloucestershire","77","81"
"Black","Greenwich","86","90"
"Black","Hackney","77","89"
"Black","Halton","!","!"
"Black","Hammersmith and Fulham","76","80"
"Black","Hampshire","78","90"
"Black","Haringey","78","86"
"Black","Harrow","76","87"
"Black","Hartlepool","100","!"
"Black","Havering","78","93"
"Black","Herefordshire, County of","!","!"
"Black","Hertfordshire","81","85"
"Black","Hillingdon","74","81"
"Black","Hounslow","80","86"
"Black","Isle of Wight","!","!"
"Black","Isles of Scilly","!","!"
"Black","Islington","73","79"
"Black","Kensington and Chelsea","84","87"
"Black","Kent","82","88"
"Black","Kingston upon Hull, City of","58","71"
"Black","Kingston upon Thames","83","78"
"Black","Kirklees","70","79"
"Black","Knowsley","100","!"
"Black","Lambeth","77","84"
"Black","Lancashire","!","!"
"Black","Leeds","61","77"
"Black","Leicester","69","80"
"Black","Leicestershire","81","91"
"Black","Lewisham","76","85"
"Black","Lincolnshire","!","!"
"Black","Liverpool","68","74"
"Black","Luton","77","79"
"Black","Manchester","74","85"
"Black","Medway","85","90"
"Black","Merton","84","92"
"Black","Middlesbrough","81","81"
"Black","Milton Keynes","81","85"
"Black","Newcastle upon Tyne","75","84"
"Black","Newham","78","88"
"Black","Norfolk","78","85"
"Black","North East Lincolnshire","!","!"
"Black","North Lincolnshire","!","!"
"Black","North Somerset","!","!"
"Black","North Tyneside","!","!"
"Black","North Yorkshire","!","!"
"Black","Northamptonshire","69","81"
"Black","Northumberland","!","!"
"Black","Nottingham","75","83"
"Black","Nottinghamshire","58","91"
"Black","Oldham","66","65"
"Black","Oxfordshire","74","81"
"Black","Peterborough","76","87"
"Black","Plymouth","!","!"
"Black","Poole","!","!"
"Black","Portsmouth","81","83"
"Black","Reading","74","78"
"Black","Redbridge","74","78"
"Black","Redcar and Cleveland","!","!"
"Black","Richmond upon Thames","88","86"
"Black","Rochdale","70","66"
"Black","Rotherham","67","70"
"Black","Rutland","!","!"
"Black","Salford","76","85"
"Black","Sandwell","68","78"
"Black","Sefton","!","!"
"Black","Sheffield","74","80"
"Black","Shropshire","!","!"
"Black","Slough","74","88"
"Black","Solihull","79","79"
"Black","Somerset","!","!"
"Black","South Gloucestershire","70","86"
"Black","South Tyneside","!","!"
"Black","Southampton","80","83"
"Black","Southend-on-Sea","80","79"
"Black","Southwark","78","85"
"Black","St. Helens","!","!"
"Black","Staffordshire","69","85"
"Black","Stockport","!","!"
"Black","Stockton-on-Tees","!","!"
"Black","Stoke-on-Trent","74","91"
"Black","Suffolk","72","77"
"Black","Sunderland","!","100"
"Black","Surrey","80","89"
"Black","Sutton","76","79"
"Black","Swindon","!","!"
"Black","Tameside","80","77"
"Black","Telford and Wrekin","85","92"
"Black","Thurrock","80","89"
"Black","Torbay","!","!"
"Black","Tower Hamlets","79","83"
"Black","Trafford","80","88"
"Black","Wakefield","77","83"
"Black","Walsall","78","82"
"Black","Waltham Forest","82","90"
"Black","Wandsworth","77","81"
"Black","Warrington","!","100"
"Black","Warwickshire","70","81"
"Black","West Berkshire","100","!"
"Black","West Sussex","72","58"
"Black","Westminster","85","81"
"Black","Wigan","62","76"
"Black","Wiltshire","76","87"
"Black","Windsor and Maidenhead","!","!"
"Black","Wirral","!","!"
"Black","Wokingham","90","88"
"Black","Wolverhampton","75","83"
"Black","Worcestershire","74","63"
"Black","York","!","100"
"Chinese","Barking and Dagenham","!","!"
"Chinese","Barnet","84","90"
"Chinese","Barnsley","!","!"
"Chinese","Bath and North East Somerset","!","!"
"Chinese","Bedford","!","100"
"Chinese","Bexley","100","!"
"Chinese","Birmingham","78","90"
"Chinese","Blackburn with Darwen","!","!"
"Chinese","Blackpool","!","!"
"Chinese","Bolton","!","!"
"Chinese","Bournemouth","100","!"
"Chinese","Bracknell Forest","!","100"
"Chinese","Bradford","!","100"
"Chinese","Brent","100","100"
"Chinese","Brighton and Hove","100","100"
"Chinese","Bristol, City of","!","100"
"Chinese","Bromley","!","!"
"Chinese","Buckinghamshire","!","!"
"Chinese","Bury","100","100"
"Chinese","Calderdale","!","!"
"Chinese","Cambridgeshire","!","!"
"Chinese","Camden","!","!"
"Chinese","Central Bedfordshire","!","100"
"Chinese","Cheshire East","!","!"
"Chinese","Cheshire West and Chester","100","100"
"Chinese","City of London","!","!"
"Chinese","Cornwall","100","100"
"Chinese","County Durham","!","100"
"Chinese","Coventry","!","100"
"Chinese","Croydon","!","100"
"Chinese","Cumbria","100","!"
"Chinese","Darlington","!","!"
"Chinese","Derby","!","!"
"Chinese","Derbyshire","!","!"
"Chinese","Devon","100","!"
"Chinese","Doncaster","!","!"
"Chinese","Dorset","!","!"
"Chinese","Dudley","!","100"
"Chinese","Ealing","100","100"
"Chinese","East Riding of Yorkshire","!","!"
"Chinese","East Sussex","100","!"
"Chinese","Enfield","77","77"
"Chinese","Essex","!","!"
"Chinese","Gateshead","!","!"
"Chinese","Gloucestershire","!","!"
"Chinese","Greenwich","!","!"
"Chinese","Hackney","!","!"
"Chinese","Halton","!","!"
"Chinese","Hammersmith and Fulham","!","!"
"Chinese","Hampshire","!","!"
"Chinese","Haringey","!","!"
"Chinese","Harrow","100","100"
"Chinese","Hartlepool","!","!"
"Chinese","Havering","!","100"
"Chinese","Herefordshire, County of","!","!"
"Chinese","Hertfordshire","!","!"
"Chinese","Hillingdon","!","!"
"Chinese","Hounslow","!","!"
"Chinese","Isle of Wight","!","!"
"Chinese","Isles of Scilly","!","!"
"Chinese","Islington","!","!"
"Chinese","Kensington and Chelsea","!","!"
"Chinese","Kent","87","91"
"Chinese","Kingston upon Hull, City of","!","!"
"Chinese","Kingston upon Thames","100","!"
"Chinese","Kirklees","!","!"
"Chinese","Knowsley","!","100"
"Chinese","Lambeth","!","100"
"Chinese","Lancashire","!","!"
"Chinese","Leeds","82","67"
"Chinese","Leicester","!","!"
"Chinese","Leicestershire","!","!"
"Chinese","Lewisham","79","81"
"Chinese","Lincolnshire","64","100"
"Chinese","Liverpool","61","83"
"Chinese","Luton","!","!"
"Chinese","Manchester","!","!"
"Chinese","Medway","!","!"
"Chinese","Merton","!","!"
"Chinese","Middlesbrough","!","!"
"Chinese","Milton Keynes","77","71"
"Chinese","Newcastle upon Tyne","76","100"
"Chinese","Newham","!","!"
"Chinese","Norfolk","!","!"
"Chinese","North East Lincolnshire","!","!"
"Chinese","North Lincolnshire","!","!"
"Chinese","North Somerset","!","!"
"Chinese","North Tyneside","!","!"
"Chinese","North Yorkshire","!","!"
"Chinese","Northamptonshire","81","100"
"Chinese","Northumberland","!","!"
"Chinese","Nottingham","!","!"
"Chinese","Nottinghamshire","79","86"
"Chinese","Oldham","!","!"
"Chinese","Oxfordshire","!","!"
"Chinese","Peterborough","!","!"
"Chinese","Plymouth","!","!"
"Chinese","Poole","100","!"
"Chinese","Portsmouth","100","100"
"Chinese","Reading","100","!"
"Chinese","Redbridge","!","!"
"Chinese","Redcar and Cleveland","!","!"
"Chinese","Richmond upon Thames","!","100"
"Chinese","Rochdale","!","!"
"Chinese","Rotherham","100","!"
"Chinese","Rutland","!","!"
"Chinese","Salford","!","100"
"Chinese","Sandwell","!","!"
"Chinese","Sefton","100","!"
"Chinese","Sheffield","!","!"
"Chinese","Shropshire","!","!"
"Chinese","Slough","!","!"
"Chinese","Solihull","100","!"
"Chinese","Somerset","!","!"
"Chinese","South Gloucestershire","100","!"
"Chinese","South Tyneside","!","!"
"Chinese","Southampton","!","!"
"Chinese","Southend-on-Sea","!","!"
"Chinese","Southwark","85","84"
"Chinese","St. Helens","100","!"
"Chinese","Staffordshire","!","!"
"Chinese","Stockport","!","!"
"Chinese","Stockton-on-Tees","100","!"
"Chinese","Stoke-on-Trent","!","!"
"Chinese","Suffolk","!","!"
"Chinese","Sunderland","!","!"
"Chinese","Surrey","!","!"
"Chinese","Sutton","!","!"
"Chinese","Swindon","!","!"
"Chinese","Tameside","!","!"
"Chinese","Telford and Wrekin","!","!"
"Chinese","Thurrock","!","!"
"Chinese","Torbay","!","!"
"Chinese","Tower Hamlets","!","!"
"Chinese","Trafford","!","!"
"Chinese","Wakefield","100","!"
"Chinese","Walsall","!","100"
"Chinese","Waltham Forest","!","!"
"Chinese","Wandsworth","!","!"
"Chinese","Warrington","!","100"
"Chinese","Warwickshire","70","100"
"Chinese","West Berkshire","!","!"
"Chinese","West Sussex","!","!"
"Chinese","Westminster","100","!"
"Chinese","Wigan","!","100"
"Chinese","Wiltshire","!","!"
"Chinese","Windsor and Maidenhead","!","!"
"Chinese","Wirral","!","!"
"Chinese","Wokingham","!","100"
"Chinese","Wolverhampton","80","100"
"Chinese","Worcestershire","60","100"
"Chinese","York","!","!"
"Mixed","Barking and Dagenham","79","85"
"Mixed","Barnet","81","84"
"Mixed","Barnsley","88","79"
"Mixed","Bath and North East Somerset","79","82"
"Mixed","Bedford","80","86"
"Mixed","Bexley","82","89"
"Mixed","Birmingham","71","81"
"Mixed","Blackburn with Darwen","84","83"
"Mixed","Blackpool","!","!"
"Mixed","Bolton","79","83"
"Mixed","Bournemouth","83","92"
"Mixed","Bracknell Forest","!","!"
"Mixed","Bradford","74","84"
"Mixed","Brent","81","91"
"Mixed","Brighton and Hove","83","85"
"Mixed","Bristol, City of","76","81"
"Mixed","Bromley","85","94"
"Mixed","Buckinghamshire","80","86"
"Mixed","Bury","68","88"
"Mixed","Calderdale","68","78"
"Mixed","Cambridgeshire","77","90"
"Mixed","Camden","83","82"
"Mixed","Central Bedfordshire","74","84"
"Mixed","Cheshire East","90","83"
"Mixed","Cheshire West and Chester","85","93"
"Mixed","City of London","!","!"
"Mixed","Cornwall","86","86"
"Mixed","County Durham","82","89"
"Mixed","Coventry","71","87"
"Mixed","Croydon","79","87"
"Mixed","Cumbria","77","89"
"Mixed","Darlington","!","!"
"Mixed","Derby","78","83"
"Mixed","Derbyshire","!","!"
"Mixed","Devon","80","86"
"Mixed","Doncaster","76","88"
"Mixed","Dorset","79","88"
"Mixed","Dudley","79","89"
"Mixed","Ealing","85","90"
"Mixed","East Riding of Yorkshire","89","84"
"Mixed","East Sussex","85","88"
"Mixed","Enfield","78","87"
"Mixed","Essex","81","86"
"Mixed","Gateshead","79","79"
"Mixed","Gloucestershire","80","82"
"Mixed","Greenwich","85","89"
"Mixed","Hackney","87","89"
"Mixed","Halton","!","!"
"Mixed","Hammersmith and Fulham","79","87"
"Mixed","Hampshire","82","88"
"Mixed","Haringey","88","87"
"Mixed","Harrow","86","88"
"Mixed","Hartlepool","!","!"
"Mixed","Havering","88","91"
"Mixed","Herefordshire, County of","!","!"
"Mixed","Hertfordshire","85","91"
"Mixed","Hillingdon","79","85"
"Mixed","Hounslow","87","90"
"Mixed","Isle of Wight","71","100"
"Mixed","Isles of Scilly","!","!"
"Mixed","Islington","82","86"
"Mixed","Kensington and Chelsea","85","93"
"Mixed","Kent","84","94"
"Mixed","Kingston upon Hull, City of","78","82"
"Mixed","Kingston upon Thames","85","84"
"Mixed","Kirklees","75","81"
"Mixed","Knowsley","!","!"
"Mixed","Lambeth","85","89"
"Mixed","Lancashire","74","83"
"Mixed","Leeds","70","72"
"Mixed","Leicester","67","79"
"Mixed","Leicestershire","88","83"
"Mixed","Lewisham","86","88"
"Mixed","Lincolnshire","85","87"
"Mixed","Liverpool","67","85"
"Mixed","Luton","77","86"
"Mixed","Manchester","77","81"
"Mixed","Medway","89","84"
"Mixed","Merton","82","89"
"Mixed","Middlesbrough","73","79"
"Mixed","Milton Keynes","81","88"
"Mixed","Newcastle upon Tyne","82","89"
"Mixed","Newham","84","91"
"Mixed","Norfolk","84","90"
"Mixed","North East Lincolnshire","!","!"
"Mixed","North Lincolnshire","!","!"
"Mixed","North Somerset","91","84"
"Mixed","North Tyneside","81","86"
"Mixed","North Yorkshire","83","88"
"Mixed","Northamptonshire","77","83"
"Mixed","Northumberland","!","!"
"Mixed","Nottingham","74","80"
"Mixed","Nottinghamshire","85","83"
"Mixed","Oldham","79","78"
"Mixed","Oxfordshire","85","86"
"Mixed","Peterborough","72","80"
"Mixed","Plymouth","78","73"
"Mixed","Poole","78","91"
"Mixed","Portsmouth","75","84"
"Mixed","Reading","73","79"
"Mixed","Redbridge","80","82"
"Mixed","Redcar and Cleveland","!","!"
"Mixed","Richmond upon Thames","85","92"
"Mixed","Rochdale","86","77"
"Mixed","Rotherham","74","89"
"Mixed","Rutland","100","!"
"Mixed","Salford","78","89"
"Mixed","Sandwell","70","80"
"Mixed","Sefton","79","84"
"Mixed","Sheffield","73","78"
"Mixed","Shropshire","!","!"
"Mixed","Slough","76","90"
"Mixed","Solihull","80","91"
"Mixed","Somerset","82","92"
"Mixed","South Gloucestershire","83","89"
"Mixed","South Tyneside","70","60"
"Mixed","Southampton","80","84"
"Mixed","Southend-on-Sea","71","88"
"Mixed","Southwark","78","85"
"Mixed","St. Helens","64","83"
"Mixed","Staffordshire","81","91"
"Mixed","Stockport","79","91"
"Mixed","Stockton-on-Tees","82","83"
"Mixed","Stoke-on-Trent","75","86"
"Mixed","Suffolk","79","79"
"Mixed","Sunderland","!","!"
"Mixed","Surrey","81","91"
"Mixed","Sutton","89","87"
"Mixed","Swindon","69","83"
"Mixed","Tameside","79","86"
"Mixed","Telford and Wrekin","89","84"
"Mixed","Thurrock","81","85"
"Mixed","Torbay","!","!"
"Mixed","Tower Hamlets","74","89"
"Mixed","Trafford","81","83"
"Mixed","Wakefield","76","84"
"Mixed","Walsall","70","86"
"Mixed","Waltham Forest","87","90"
"Mixed","Wandsworth","84","81"
"Mixed","Warrington","89","90"
"Mixed","Warwickshire","86","85"
"Mixed","West Berkshire","87","89"
"Mixed","West Sussex","79","79"
"Mixed","Westminster","78","90"
"Mixed","Wigan","81","83"
"Mixed","Wiltshire","82","89"
"Mixed","Windsor and Maidenhead","86","83"
"Mixed","Wirral","!","!"
"Mixed","Wokingham","89","91"
"Mixed","Wolverhampton","75","81"
"Mixed","Worcestershire","81","89"
"Mixed","York","82","89"
"White","Barking and Dagenham","78","80"
"White","Barnet","84","87"
"White","Barnsley","77","84"
"White","Bath and North East Somerset","82","84"
"White","Bedford","81","83"
"White","Bexley","83","85"
"White","Birmingham","72","79"
"White","Blackburn with Darwen","82","85"
"White","Blackpool","83","86"
"White","Bolton","78","84"
"White","Bournemouth","82","88"
"White","Bracknell Forest","85","85"
"White","Bradford","74","80"
"White","Brent","79","80"
"White","Brighton and Hove","85","88"
"White","Bristol, City of","80","85"
"White","Bromley","84","89"
"White","Buckinghamshire","82","87"
"White","Bury","78","85"
"White","Calderdale","76","81"
"White","Cambridgeshire","81","84"
"White","Camden","87","87"
"White","Central Bedfordshire","83","87"
"White","Cheshire East","80","85"
"White","Cheshire West and Chester","80","84"
"White","City of London","!","!"
"White","Cornwall","83","87"
"White","County Durham","82","87"
"White","Coventry","75","78"
"White","Croydon","82","85"
"White","Cumbria","81","86"
"White","Darlington","83","85"
"White","Derby","71","78"
"White","Derbyshire","85","87"
"White","Devon","80","85"
"White","Doncaster","77","81"
"White","Dorset","80","83"
"White","Dudley","78","86"
"White","Ealing","79","84"
"White","East Riding of Yorkshire","82","88"
"White","East Sussex","83","86"
"White","Enfield","74","78"
"White","Essex","81","85"
"White","Gateshead","81","87"
"White","Gloucestershire","81","84"
"White","Greenwich","81","88"
"White","Hackney","84","89"
"White","Halton","75","80"
"White","Hammersmith and Fulham","87","89"
"White","Hampshire","87","90"
"White","Haringey","82","85"
"White","Harrow","73","87"
"White","Hartlepool","75","85"
"White","Havering","85","88"
"White","Herefordshire, County of","84","86"
"White","Hertfordshire","84","87"
"White","Hillingdon","78","84"
"White","Hounslow","83","88"
"White","Isle of Wight","81","83"
"White","Isles of Scilly","!","!"
"White","Islington","82","84"
"White","Kensington and Chelsea","90","91"
"White","Kent","84","88"
"White","Kingston upon Hull, City of","75","81"
"White","Kingston upon Thames","84","89"
"White","Kirklees","81","84"
"White","Knowsley","73","80"
"White","Lambeth","85","87"
"White","Lancashire","80","85"
"White","Leeds","74","77"
"White","Leicester","67","71"
"White","Leicestershire","83","87"
"White","Lewisham","86","89"
"White","Lincolnshire","79","84"
"White","Liverpool","69","75"
"White","Luton","77","78"
"White","Manchester","76","81"
"White","Medway","79","84"
"White","Merton","83","86"
"White","Middlesbrough","74","79"
"White","Milton Keynes","79","85"
"White","Newcastle upon Tyne","80","86"
"White","Newham","75","77"
"White","Norfolk","83","87"
"White","North East Lincolnshire","74","83"
"White","North Lincolnshire","84","90"
"White","North Somerset","84","86"
"White","North Tyneside","81","85"
"White","North Yorkshire","83","86"
"White","Northamptonshire","79","84"
"White","Northumberland","84","90"
"White","Nottingham","71","78"
"White","Nottinghamshire","79","84"
"White","Oldham","74","81"
"White","Oxfordshire","82","86"
"White","Peterborough","71","77"
"White","Plymouth","77","81"
"White","Poole","84","88"
"White","Portsmouth","80","85"
"White","Reading","73","81"
"White","Redbridge","72","81"
"White","Redcar and Cleveland","79","86"
"White","Richmond upon Thames","89","92"
"White","Rochdale","76","85"
