"","All","","Asian","","Black","","Chinese","","Mixed","","White",""
"Local authority","Boys","Girls","Boys","Girls","Boys","Girls","Boys","Girls","Boys","Girls","Boys","Girls"
"Wandsworth","83","87","80","93","77","81","!","!","84","81","89","91"
"Warrington","84","87","80","88","!","100","!","100","89","90","84","87"
"Warwickshire","81","86","82","88","70","81","70","100","86","85","81","87"
"West Berkshire","83","88","79","91","100","!","!","!","87","89","83","88"
"West Sussex","76","80","75","81","72","58","!","!","79","79","76","81"
"Westminster","78","83","80","88","85","81","100","!","78","90","83","86"
"Wigan","78","84","69","73","62","76","!","100","81","83","78","85"
"Wiltshire","81","85","86","89","76","87","!","!","82","89","82","85"
"Windsor and Maidenhead","86","89","82","93","!","!","!","!","86","83","88","90"
"Wirral","76","85","84","90","!","!","!","!","!","!","77","85"
"Wokingham","88","92","85","96","90","88","!","100","89","91","89","91"
"Wolverhampton","72","78","73","82","75","83","80","100","75","81","71","76"
"Worcestershire","82","87","71","75","74","63","60","100","81","89","82","88"
"York","82","84","73","75","!","100","!","!","82","89","83","85"
