"Title","Science attainment for children aged 5 to 7 by ethnicity and area"
"Location","England"
"Time period","2015/16"
"Data source","Key stage 1 statistics"
"Data source link","https://www.gov.uk/government/statistics/phonics-screening-check-and-key-stage-1-assessments-england-2016"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated",""

"Ethnicity","Local authority",""
"Mixed","Northamptonshire","80"
"Mixed","Northumberland","90"
"Mixed","Nottingham","77"
"Mixed","Nottinghamshire","84"
"Mixed","Oldham","78"
"Mixed","Oxfordshire","85"
"Mixed","Peterborough","76"
"Mixed","Plymouth","75"
"Mixed","Poole","85"
"Mixed","Portsmouth","79"
"Mixed","Reading","76"
"Mixed","Redbridge","81"
"Mixed","Redcar and Cleveland","70"
"Mixed","Richmond upon Thames","88"
"Mixed","Rochdale","82"
"Mixed","Rotherham","81"
"Mixed","Rutland","!"
"Mixed","Salford","83"
"Mixed","Sandwell","75"
"Mixed","Sefton","81"
"Mixed","Sheffield","76"
"Mixed","Shropshire","89"
"Mixed","Slough","84"
"Mixed","Solihull","85"
"Mixed","Somerset","86"
"Mixed","South Gloucestershire","87"
"Mixed","South Tyneside","67"
"Mixed","Southampton","82"
"Mixed","Southend-on-Sea","79"
"Mixed","Southwark","81"
"Mixed","St. Helens","73"
"Mixed","Staffordshire","86"
"Mixed","Stockport","85"
"Mixed","Stockton-on-Tees","83"
"Mixed","Stoke-on-Trent","81"
"Mixed","Suffolk","79"
"Mixed","Sunderland","85"
"Mixed","Surrey","86"
"Mixed","Sutton","88"
"Mixed","Swindon","75"
"Mixed","Tameside","83"
"Mixed","Telford and Wrekin","87"
"Mixed","Thurrock","83"
"Mixed","Torbay","84"
"Mixed","Tower Hamlets","81"
"Mixed","Trafford","82"
"Mixed","Wakefield","79"
"Mixed","Walsall","78"
"Mixed","Waltham Forest","88"
"Mixed","Wandsworth","83"
"Mixed","Warrington","90"
"Mixed","Warwickshire","85"
"Mixed","West Berkshire","88"
"Mixed","West Sussex","79"
"Mixed","Westminster","84"
"Mixed","Wigan","82"
"Mixed","Wiltshire","85"
"Mixed","Windsor and Maidenhead","85"
"Mixed","Wirral","83"
"Mixed","Wokingham","90"
"Mixed","Wolverhampton","78"
"Mixed","Worcestershire","84"
"Mixed","York","86"
"White","Barking and Dagenham","79"
"White","Barnet","85"
"White","Barnsley","80"
"White","Bath and North East Somerset","83"
"White","Bedford","82"
"White","Bexley","84"
"White","Birmingham","75"
"White","Blackburn with Darwen","83"
"White","Blackpool","85"
"White","Bolton","81"
"White","Bournemouth","85"
"White","Bracknell Forest","85"
"White","Bradford","77"
"White","Brent","79"
"White","Brighton and Hove","86"
"White","Bristol, City of","82"
"White","Bromley","86"
"White","Buckinghamshire","84"
"White","Bury","82"
"White","Calderdale","78"
"White","Cambridgeshire","82"
"White","Camden","87"
"White","Central Bedfordshire","85"
"White","Cheshire East","82"
"White","Cheshire West and Chester","82"
"White","City of London","!"
"White","Cornwall","85"
"White","County Durham","84"
"White","Coventry","76"
"White","Croydon","83"
"White","Cumbria","83"
"White","Darlington","84"
"White","Derby","74"
"White","Derbyshire","86"
"White","Devon","82"
"White","Doncaster","79"
"White","Dorset","81"
"White","Dudley","82"
"White","Ealing","81"
"White","East Riding of Yorkshire","85"
"White","East Sussex","84"
"White","Enfield","76"
"White","Essex","83"
"White","Gateshead","84"
"White","Gloucestershire","82"
"White","Greenwich","84"
"White","Hackney","86"
"White","Halton","78"
"White","Hammersmith and Fulham","88"
"White","Hampshire","88"
"White","Haringey","84"
"White","Harrow","80"
"White","Hartlepool","80"
"White","Havering","86"
"White","Herefordshire, County of","85"
"White","Hertfordshire","85"
"White","Hillingdon","81"
"White","Hounslow","85"
"White","Isle of Wight","82"
"White","Isles of Scilly","!"
"White","Islington","83"
"White","Kensington and Chelsea","91"
"White","Kent","86"
"White","Kingston upon Hull, City of","78"
"White","Kingston upon Thames","87"
"White","Kirklees","82"
"White","Knowsley","76"
"White","Lambeth","86"
"White","Lancashire","82"
"White","Leeds","76"
"White","Leicester","69"
"White","Leicestershire","85"
"White","Lewisham","87"
"White","Lincolnshire","81"
"White","Liverpool","72"
"White","Luton","77"
"White","Manchester","78"
"White","Medway","81"
"White","Merton","85"
"White","Middlesbrough","76"
"White","Milton Keynes","82"
"White","Newcastle upon Tyne","83"
"White","Newham","76"
"White","Norfolk","85"
"White","North East Lincolnshire","78"
"White","North Lincolnshire","87"
"White","North Somerset","85"
"White","North Tyneside","83"
"White","North Yorkshire","84"
"White","Northamptonshire","82"
"White","Northumberland","87"
"White","Nottingham","75"
"White","Nottinghamshire","82"
"White","Oldham","77"
"White","Oxfordshire","84"
"White","Peterborough","74"
"White","Plymouth","79"
"White","Poole","86"
"White","Portsmouth","82"
"White","Reading","77"
"White","Redbridge","76"
"White","Redcar and Cleveland","82"
"White","Richmond upon Thames","90"
"White","Rochdale","81"
"White","Rotherham","80"
"White","Rutland","86"
"White","Salford","83"
"White","Sandwell","75"
"White","Sefton","81"
"White","Sheffield","81"
"White","Shropshire","84"
"White","Slough","76"
"White","Solihull","84"
"White","Somerset","86"
"White","South Gloucestershire","87"
"White","South Tyneside","83"
"White","Southampton","81"
"White","Southend-on-Sea","83"
"White","Southwark","85"
"White","St. Helens","77"
"White","Staffordshire","85"
"White","Stockport","84"
"White","Stockton-on-Tees","87"
"White","Stoke-on-Trent","77"
"White","Suffolk","81"
"White","Sunderland","84"
"White","Surrey","87"
"White","Sutton","80"
"White","Swindon","78"
"White","Tameside","83"
"White","Telford and Wrekin","83"
"White","Thurrock","77"
"White","Torbay","81"
"White","Tower Hamlets","79"
"White","Trafford","86"
"White","Wakefield","81"
"White","Walsall","78"
"White","Waltham Forest","86"
"White","Wandsworth","90"
"White","Warrington","86"
"White","Warwickshire","84"
"White","West Berkshire","85"
"White","West Sussex","78"
"White","Westminster","84"
"White","Wigan","81"
"White","Wiltshire","83"
"White","Windsor and Maidenhead","89"
"White","Wirral","81"
"White","Wokingham","90"
"White","Wolverhampton","74"
"White","Worcestershire","85"
"White","York","84"
