"Region","Ethnicity","%"
"North East","Bangladeshi","2.5"
"North East","Chinese","3.6"
"North East","Indian","1.1"
"North East","Pakistani","1.8"
"North East","Asian other","1.6"
"North East","Black","0.7"
"North East","Black African","1.1"
"North East","Black Caribbean","0.2"
"North East","Black other","0.4"
"North East","Mixed","1.8"
"North East","Mixed White/Asian","2.3"
"North East","Mixed White/Black African","2.1"
"North East","Mixed White/Black Caribbean","1.4"
"North East","Mixed other","1.7"
"North East","White","5.1"
"North East","White British","5.4"
"North East","White Irish","1.5"
"North East","White Gypsy/Traveller","2.9"
"North East","White other","1.4"
"North East","Other","2.0"
"North East","Arab","1.6"
"North East","Any other","2.5"
"North West","All","12.6"
"North West","Asian","10.4"
"North West","Bangladeshi","10.3"
"North West","Chinese","12.2"
"North West","Indian","7.6"
"North West","Pakistani","16.8"
"North West","Asian other","5.6"
"North West","Black","5.2"
"North West","Black African","6.0"
"North West","Black Caribbean","3.9"
"North West","Black other","5.5"
"North West","Mixed","9.1"
"North West","Mixed White/Asian","8.9"
"North West","Mixed White/Black African","11.1"
"North West","Mixed White/Black Caribbean","9.2"
"North West","Mixed other","7.9"
"North West","White","13.2"
"North West","White British","13.6"
"North West","White Irish","12.2"
"North West","White Gypsy/Traveller","7.2"
"North West","White other","6.1"
"North West","Other","7.8"
"North West","Arab","5.9"
"North West","Any other","10.6"
"South East","All","15.4"
"South East","Asian","10.7"
"South East","Bangladeshi","6.3"
"South East","Chinese","13.5"
"South East","Indian","10.8"
"South East","Pakistani","8.8"
"South East","Asian other","14.3"
"South East","Black","7.3"
"South East","Black African","8.8"
"South East","Black Caribbean","5.8"
"South East","Black other","5.2"
"South East","Mixed","13.7"
"South East","Mixed White/Asian","17.2"
"South East","Mixed White/Black African","13.8"
"South East","Mixed White/Black Caribbean","10.8"
"South East","Mixed other","13.9"
"South East","White","16.2"
"South East","White British","16.3"
"South East","White Irish","13.9"
"South East","White Gypsy/Traveller","25.2"
"South East","White other","15.3"
"South East","Other","9.1"
"South East","Arab","9.5"
"South East","Any other","8.4"
"South West","All","9.4"
"South West","Asian","2.5"
"South West","Bangladeshi","1.9"
"South West","Chinese","5.7"
"South West","Indian","2.4"
"South West","Pakistani","1.0"
"South West","Asian other","3.5"
"South West","Black","2.7"
"South West","Black African","2.4"
"South West","Black Caribbean","2.5"
"South West","Black other","3.6"
"South West","Mixed","5.9"
"South West","Mixed White/Asian","6.3"
"South West","Mixed White/Black African","5.2"
"South West","Mixed White/Black Caribbean","6.0"
"South West","Mixed other","5.6"
"South West","White","10.5"
"South West","White British","10.8"
"South West","White Irish","5.4"
"South West","White Gypsy/Traveller","9.8"
"South West","White other","6.3"
"South West","Other","2.8"
"South West","Arab","3.0"
"South West","Any other","2.5"
"Wales","All","5.5"
"Wales","Asian","1.7"
"Wales","Bangladeshi","2.4"
"Wales","Chinese","3.5"
"Wales","Indian","1.2"
"Wales","Pakistani","1.1"
"Wales","Asian other","2.0"
"Wales","Black","1.0"
"Wales","Black African","1.2"
"Wales","Black Caribbean","0.6"
"Wales","Black other","0.9"
"Wales","Mixed","2.6"
"Wales","Mixed White/Asian","2.6"
"Wales","Mixed White/Black African","2.7"
"Wales","Mixed White/Black Caribbean","2.6"
"Wales","Mixed other","2.4"
"Wales","White","6.1"
"Wales","White British","6.3"
"Wales","White Irish","2.7"
"Wales","White Gypsy/Traveller","4.8"
"Wales","White other","2.2"
"Wales","Other","2.7"
"Wales","Arab","1.7"
"Wales","Any other","4.2"
"West Midlands","All","10.0"
"West Midlands","Asian","14.3"
"West Midlands","Bangladeshi","11.7"
"West Midlands","Chinese","8.0"
"West Midlands","Indian","15.5"
"West Midlands","Pakistani","20.2"
"West Midlands","Asian other","9.0"
"West Midlands","Black","9.8"
"West Midlands","Black African","6.5"
"West Midlands","Black Caribbean","14.6"
"West Midlands","Black other","11.1"
"West Midlands","Mixed","10.8"
"West Midlands","Mixed White/Asian","9.5"
"West Midlands","Mixed White/Black African","5.6"
"West Midlands","Mixed White/Black Caribbean","16.1"
"West Midlands","Mixed other","7.4"
"West Midlands","White","9.6"
"West Midlands","White British","9.8"
"West Midlands","White Irish","10.4"
"West Midlands","White Gypsy/Traveller","8.2"
"West Midlands","White other","5.6"
"West Midlands","Other","8.9"
"West Midlands","Arab","9.6"
"West Midlands","Any other","7.8"
"Yorkshire and The Humber","All","9.4"
"Yorkshire and The Humber","Asian","9.2"
"Yorkshire and The Humber","Bangladeshi","5.0"
"Yorkshire and The Humber","Chinese","7.2"
"Yorkshire and The Humber","Indian","4.9"
"Yorkshire and The Humber","Pakistani","20.1"
"Yorkshire and The Humber","Asian other","4.8"
"Yorkshire and The Humber","Black","4.3"
"Yorkshire and The Humber","Black African","4.7"
"Yorkshire and The Humber","Black Caribbean","3.9"
"Yorkshire and The Humber","Black other","3.9"
"Yorkshire and The Humber","Mixed","6.9"
"Yorkshire and The Humber","Mixed White/Asian","7.6"
"Yorkshire and The Humber","Mixed White/Black African","5.6"
"Yorkshire and The Humber","Mixed White/Black Caribbean","7.8"
"Yorkshire and The Humber","Mixed other","5.5"
"Yorkshire and The Humber","White","9.7"
"Yorkshire and The Humber","White British","10.0"
"Yorkshire and The Humber","White Irish","5.0"
"Yorkshire and The Humber","White Gypsy/Traveller","7.6"
"Yorkshire and The Humber","White other","5.2"
"Yorkshire and The Humber","Other","7.3"
"Yorkshire and The Humber","Arab","5.9"
"Yorkshire and The Humber","Any other","9.3"
